,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Filterkaffee,35,13,20140523181701,20151227140101,unknown
1,Bungert55,23,11,20140803101254,20181224101420,unknown
2,Parvolus,15,1,20181209173644,20190130052059,unknown
3,Falkmart,14,1,20160816091600,20181209200758,unknown
4,Malabon,14,8,20140718202636,20181211212730,unknown
5,88.207.143.111,9,0,20190118121418,20190118122341,unknown
6,AKor4711,5,3,20150601082552,20150720193752,unknown
7,2A02:810D:1600:714:31E8:5E51:E408:5B0D,5,0,20140624113516,20140624114020,unknown
8,Donkeyboy11,4,2,20181112223215,20181112225501,unknown
9,Z6ehswhha5HGRTd,4,3,20150531170859,20161227151825,unknown
10,79.240.209.192,3,0,20170112202458,20170112202924,unknown
11,SamWinchester000,3,0,20180919145607,20181017204439,unknown
12,Aka,3,3,20161227214338,20180301145917,unknown
13,79.240.215.26,3,0,20170113105050,20170113235311,unknown
14,Cirdan,3,3,20160824203921,20180909150239,unknown
15,S Michaelis,3,3,20170331080251,20170403090420,unknown
16,91.34.171.105,2,0,20140805134031,20140805230448,unknown
17,178.5.227.123,2,0,20140524012530,20140524013853,unknown
18,Berihert,2,2,20150531192513,20150531192550,unknown
19,Rabanusmaurus,2,0,20180312171919,20180312172025,unknown
20,185.29.166.94,2,0,20140701214219,20140701214625,unknown
21,RoBri,2,0,20150612091747,20150612091902,unknown
22,SarahMaria179,2,0,20180405141638,20180405141827,unknown
23,178.194.131.35,2,0,20140914131813,20140914131848,unknown
24,Horst Gräbner,2,0,20140624115929,20190118125041,unknown
25,Carl B aus W,2,2,20161018172717,20161018172748,unknown
26,Berlinschneid,2,0,20170806153510,20170806205226,unknown
27,91.61.224.135,2,0,20170805060046,20170805065544,unknown
28,Arno789,2,0,20180623025335,20180623025505,unknown
29,Gaumenschmaus,2,0,20180920140711,20180920142922,unknown
30,Alex352,2,0,20160307205811,20160307210122,unknown
31,Cramunhao,1,1,20140712194522,20140712194522,unknown
32,Kolja21,1,1,20160514124616,20160514124616,unknown
33,Stefan Weil,1,0,20180822181846,20180822181846,unknown
34,217.87.79.235,1,0,20180313104459,20180313104459,unknown
35,Birgitlankes,1,1,20180905170658,20180905170658,unknown
36,Joshua Pet,1,0,20190129225006,20190129225006,unknown
37,180.222.143.249,1,0,20150415223910,20150415223910,unknown
38,Girus,1,1,20181222063554,20181222063554,unknown
39,Ephraim33,1,0,20140525100103,20140525100103,unknown
40,Leololeone,1,1,20180313115711,20180313115711,unknown
41,Beamter71,1,1,20150730191546,20150730191546,unknown
42,2003:CD:AF2D:2837:221:97FF:FEAA:8717,1,0,20181211203845,20181211203845,unknown
43,Grisunrw,1,1,20160226163450,20160226163450,unknown
44,Goesseln,1,0,20140527093735,20140527093735,unknown
45,78.53.4.9,1,0,20140524072831,20140524072831,unknown
46,Helmutvan,1,1,20180822104514,20180822104514,unknown
47,JamesP,1,1,20170131142133,20170131142133,unknown
48,109.41.1.8,1,0,20180405140924,20180405140924,unknown
49,217.245.251.53,1,0,20150719200218,20150719200218,unknown
50,InternetArchiveBot,1,0,20180325181650,20180325181650,unknown
51,91.33.221.178,1,0,20140701215147,20140701215147,unknown
52,Invisigoth67,1,1,20181209012231,20181209012231,unknown
53,SFfmL,1,0,20140624114033,20140624114033,unknown
54,Gut informiert,1,1,20170403202151,20170403202151,unknown
55,Krdbot,1,1,20140531063349,20140531063349,unknown
56,2003:D0:DBE7:9500:D89B:609:BC0C:3E4,1,0,20181221122101,20181221122101,unknown
57,Kopiersperre,1,1,20160722165626,20160722165626,unknown
58,RonaldH,1,0,20160312091905,20160312091905,unknown
59,92.105.195.34,1,0,20141104145148,20141104145148,unknown
60,212.121.136.249,1,0,20140527090814,20140527090814,unknown
61,Jkü,1,1,20160721153635,20160721153635,unknown
62,Pherm,1,0,20150624173951,20150624173951,unknown
63,78.54.71.197,1,0,20180505075647,20180505075647,unknown
64,M. Krafft,1,0,20170330115601,20170330115601,unknown
65,2003:4D:6F79:B502:95EB:E3BB:6284:4A12,1,0,20150927102534,20150927102534,unknown
66,WikiBenutzer,1,0,20150223114657,20150223114657,unknown
67,91.34.135.229,1,0,20140802214438,20140802214438,unknown
68,Wikifreund,1,0,20150612002334,20150612002334,unknown
69,LennBr,1,0,20190127054108,20190127054108,unknown
70,Dievo,1,1,20150409122253,20150409122253,unknown
71,2A02:908:261B:7A80:F02A:DD64:FFB:D025,1,0,20190113181535,20190113181535,unknown
72,Jivee Blau,1,0,20140524024431,20140524024431,unknown
73,Pwp.berlin,1,1,20190221163915,20190221163915,unknown
74,2001:A60:157A:F401:D1C7:C495:4DD4:BA6D,1,0,20150118001454,20150118001454,unknown
75,Kamsa Hapnida,1,0,20140716143901,20140716143901,unknown
76,Macuser10,1,1,20150415223951,20150415223951,unknown
77,Mike Krüger,1,1,20181112200745,20181112200745,unknown
78,Haage42,1,0,20180821161005,20180821161005,unknown
79,194.39.218.10,1,0,20180823071925,20180823071925,unknown
80,Dhouben,1,1,20140526115604,20140526115604,unknown
81,195.37.166.234,1,0,20160415065253,20160415065253,unknown
82,Horst-schlaemma,1,0,20150322101016,20150322101016,unknown
