,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Berlin-Jurist,76,24,20050202083212,20150123144132,unknown
1,Zollstock,21,0,20050525221756,20051003133627,unknown
2,N.Eschenhagen,21,6,20061213185535,20170102094348,unknown
3,TMFS,19,5,20031030144902,20061125014919,unknown
4,Fg68at,15,2,20060217082908,20111207194312,unknown
5,Alter Fuxx,14,1,20060811144035,20061130001523,unknown
6,Englandfan,12,1,20060410105607,20061123232309,unknown
7,Frado,11,0,20061008222546,20071015151752,unknown
8,Yoda1893,9,3,20061124185108,20141211084043,unknown
9,62.153.71.162,9,0,20051221131317,20060613095118,unknown
10,Emmridet,7,7,20090328191302,20111127175003,unknown
11,Gloser,7,0,20130831224204,20190223083333,unknown
12,82.82.207.197,7,0,20050525104646,20050525160830,unknown
13,Geschichtsfan,7,6,20040309110622,20040309112128,unknown
14,Robocop1,6,2,20060906221807,20060910190857,unknown
15,Jcornelius,6,4,20040710150356,20071019115711,unknown
16,62.214.14.177,6,0,20040405103251,20040405104959,unknown
17,GS63,6,2,20120819220708,20141211093635,unknown
18,Zwobot,6,6,20040106232731,20081222145439,unknown
19,-jkb-,6,2,20070924122012,20071013194557,unknown
20,Wikiroe,5,5,20081222151437,20090210010622,unknown
21,Sebmol,5,5,20060708205655,20071015152135,unknown
22,Aka,4,4,20050712110703,20190223153638,unknown
23,Jed,4,4,20040211094459,20040928105834,unknown
24,Hardenacke,4,4,20080505081307,20080505081536,unknown
25,GLGerman,4,1,20060811231200,20061124212158,unknown
26,MAY,4,0,20100914215354,20130618130637,unknown
27,Eunuch aus Taus,4,4,20120131212435,20120131212727,unknown
28,Professor Hastig,4,1,20070926000803,20070926215739,unknown
29,PDD,4,2,20060309093825,20070920171428,unknown
30,Lley,4,0,20140826085342,20160130184720,unknown
31,Hippocastanum,4,0,20160130145524,20160131235724,unknown
32,Basel-Pforte,4,4,20120310104119,20120310104554,unknown
33,Komischn,4,4,20110210224433,20150106102600,unknown
34,Neun-x,4,0,20110209070731,20170704060819,unknown
35,Iste Praetor,4,3,20110102195034,20120310104308,unknown
36,David Wintzer,4,4,20080916120334,20170516133316,unknown
37,Eike sauer,4,2,20040424201542,20050512223047,unknown
38,DrGonzo687,4,0,20140826151258,20140826152202,unknown
39,Tickle me,4,4,20051130020116,20051130020326,unknown
40,Tilman Berger,4,4,20070507213547,20100917202426,unknown
41,Klugschnacker,4,0,20041129104434,20041221083816,unknown
42,145.97.39.142,3,0,20060117012313,20060511055121,unknown
43,Felix König,3,3,20090911092716,20101009194903,unknown
44,Zombie433~dewiki,3,0,20130107162352,20130107162519,unknown
45,Martin Siegert,3,2,20140905211350,20141008123352,unknown
46,84.128.236.126,3,0,20041218114118,20041218114256,unknown
47,YoungDylan,3,3,20160729081618,20160729082532,unknown
48,SieBot,3,3,20070508202148,20090701002547,unknown
49,Quasimodogeniti,3,3,20091204162218,20091204162359,unknown
