,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,19,7,20031031004710,20050930102805,unknown
1,Neun-x,12,3,20100906034956,20160731100508,unknown
2,GFHund,7,3,20110124201559,20110725211001,unknown
3,138.246.7.180,7,0,20100701142602,20100705130614,unknown
4,79.192.171.250,7,0,20100602143836,20100602224850,unknown
5,Ot,6,1,20070910160303,20161211055914,unknown
6,Lerche2,6,6,20160924152342,20181114093954,unknown
7,Zwobot,5,5,20040207094346,20070228165342,unknown
8,Aka,5,5,20160927011110,20181114190718,unknown
9,Lexprofi,4,3,20110920010021,20120115231709,unknown
10,Jed,4,4,20040207142931,20111024112942,unknown
11,N.Eschenhagen,4,2,20150716175149,20150716180512,unknown
12,VH-Halle,3,1,20110107110203,20120914125959,unknown
13,Mogelzahn,3,0,20070512011408,20170425173345,unknown
14,Dietrich,3,0,20061013135128,20061013135226,unknown
15,137.226.97.112,3,0,20050606204906,20050606205314,unknown
16,Faber-Castell,3,0,20060908141524,20060921181303,unknown
17,Shoshone,3,2,20080301022105,20080301022708,unknown
18,B.A.Enz,3,2,20130620182029,20140610164704,unknown
19,Zebra,3,1,20070312140603,20070312141549,unknown
20,Gustav von Aschenbach,3,2,20080109173507,20181108091357,unknown
21,Parzi,3,0,20080225085149,20080810153301,unknown
22,Rybak,3,1,20050113111941,20081215110209,unknown
23,Pyaet,3,1,20160615080533,20160615083418,unknown
24,David Wintzer,3,3,20040807074404,20111214153223,unknown
25,Pelz,3,3,20111104211553,20120130220454,unknown
26,Radschläger,3,3,20091023171446,20091023184340,unknown
27,84.114.129.38,3,0,20101104001505,20101104003140,unknown
28,2001:16B8:D9:CB00:3532:5AE8:EE07:CB3D,3,0,20180215094936,20180215102500,unknown
29,Pflastertreter,2,0,20081031190832,20081117124320,unknown
30,Jesi,2,0,20090617004024,20100412120028,unknown
31,Pvanderloewen,2,0,20101105154457,20101105154821,unknown
32,Tohma,2,1,20041113143016,20150414005016,unknown
33,RoBri,2,0,20180215095820,20180215100050,unknown
34,InaktiverBenutzer12345,2,1,20060203062340,20060209052453,unknown
35,Dummbeutel,2,2,20100919112723,20100919112929,unknown
36,Stefan Kühn,2,1,20040930065132,20050215143537,unknown
37,Harka2,2,1,20120113084455,20120115183343,unknown
38,Dschungelfan,2,0,20171119203209,20171124181515,unknown
39,Georg2011,2,0,20150410212914,20150410220614,unknown
40,Chester100,2,1,20110322122216,20120706080754,unknown
41,80.136.34.52,2,0,20120914054743,20120914055420,unknown
42,Regi51,2,1,20160405182210,20160405182353,unknown
43,Sebbot,2,1,20060909114057,20140602055427,unknown
44,Consileon,2,0,20151013084446,20151013084621,unknown
45,Katharina,2,2,20040302085047,20040304141039,unknown
46,Beitraeger,2,2,20060213171322,20060213173437,unknown
47,Andrsvoss,2,1,20031206205138,20050706134828,unknown
48,Mulno,2,1,20050528204536,20050623175915,unknown
49,MarkusHagenlocher,2,2,20041003153420,20041003153456,unknown
50,91.2.159.55,2,0,20081117073800,20081117074133,unknown
51,Florian Adler,2,2,20080412145235,20080412150204,unknown
52,84.141.44.217,2,0,20060125135526,20060125135629,unknown
53,Profiteur,2,1,20110330150004,20110330150024,unknown
54,Dmicha,2,2,20121130064641,20180909112714,unknown
55,Remos2008,2,0,20080810152135,20080816235913,unknown
56,JosFritz,2,1,20110725192417,20110725211623,unknown
57,Miltrak,2,0,20130527160147,20141228100354,unknown
58,217.114.68.24,1,0,20040229215404,20040229215404,unknown
59,84.63.102.147,1,0,20060131124152,20060131124152,unknown
60,Seewolf,1,0,20080226013251,20080226013251,unknown
61,Astrobeamer,1,0,20100117033411,20100117033411,unknown
62,89.247.161.181,1,0,20110530153047,20110530153047,unknown
63,Tremonist,1,0,20131220142901,20131220142901,unknown
64,Eppelheim,1,0,20170928115753,20170928115753,unknown
65,Laroon,1,0,20031025184612,20031025184612,unknown
66,Mostpatiently,1,1,20050813200836,20050813200836,unknown
67,TobeBot,1,1,20090907025316,20090907025316,unknown
68,Addbot,1,1,20130403082449,20130403082449,unknown
69,87.153.42.48,1,0,20161210155146,20161210155146,unknown
70,Konzertmeister,1,0,20050204151139,20050204151139,unknown
71,213.211.237.31,1,0,20090511144633,20090511144633,unknown
72,Kirsche1968,1,1,20100908141000,20100908141000,unknown
73,79.235.53.176,1,0,20120322101605,20120322101605,unknown
74,TaxonKatBot,1,1,20160621145604,20160621145604,unknown
75,TabellenBot,1,1,20180609184442,20180609184442,unknown
76,Anathema,1,1,20040921070113,20040921070113,unknown
77,77.176.76.133,1,0,20100719162237,20100719162237,unknown
78,Alterzopf,1,0,20111207211537,20111207211537,unknown
79,2.242.170.107,1,0,20151109015223,20151109015223,unknown
80,NCC5843,1,0,20171010084024,20171010084024,unknown
81,HeinzWörth,1,1,20040422211832,20040422211832,unknown
82,GeorgHH,1,1,20060506211135,20060506211135,unknown
83,217.7.77.71,1,0,20080311110839,20080311110839,unknown
84,VolkovBot,1,1,20100405150036,20100405150036,unknown
85,112.205.51.84,1,0,20110812133338,20110812133338,unknown
86,Christian aus Neumünster,1,1,20141120185511,20141120185511,unknown
87,Abubiju,1,1,20051109220658,20051109220658,unknown
88,91.14.98.218,1,0,20080219105845,20080219105845,unknown
89,Falkmart,1,0,20100105110656,20100105110656,unknown
90,88.134.142.72,1,0,20110316220909,20110316220909,unknown
91,82.165.140.50,1,0,20130620181450,20130620181450,unknown
92,SeL,1,1,20170411104917,20170411104917,unknown
93,85.140.211.201,1,0,20070721200002,20070721200002,unknown
94,131.130.87.225,1,0,20120703090814,20120703090814,unknown
95,Hardenacke,1,0,20181221190651,20181221190651,unknown
96,Polarlys,1,1,20070210004304,20070210004304,unknown
97,Foundert,1,0,20081214055905,20081214055905,unknown
98,84.171.145.108,1,0,20100906120204,20100906120204,unknown
99,LIU,1,0,20120302165235,20120302165235,unknown
100,194.166.119.43,1,0,20160405181657,20160405181657,unknown
101,Arnomane,1,0,20040717001442,20040717001442,unknown
102,Totalklerikal,1,0,20080704073312,20080704073312,unknown
103,79.192.175.226,1,0,20100603183716,20100603183716,unknown
104,Martha Wer,1,0,20111001203639,20111001203639,unknown
105,Teta pk,1,1,20150721065603,20150721065603,unknown
106,85.180.228.53,1,0,20170929044618,20170929044618,unknown
107,Triebtäter,1,0,20040301054751,20040301054751,unknown
108,Vorrauslöscher,1,0,20100204151959,20100204151959,unknown
109,MFM,1,1,20110712164342,20110712164342,unknown
110,84.130.155.21,1,0,20140604182917,20140604182917,unknown
111,ERWEH,1,0,20050824191622,20050824191622,unknown
112,84.58.197.112,1,0,20071007230345,20071007230345,unknown
113,91.39.127.198,1,0,20090912212946,20090912212946,unknown
114,195.200.70.46,1,0,20130405082206,20130405082206,unknown
115,DynaMoToR,1,1,20170111092753,20170111092753,unknown
116,62.245.210.146,1,0,20050513220410,20050513220410,unknown
117,Kriddl,1,1,20070519182655,20070519182655,unknown
118,Zollernalb,1,1,20090526223332,20090526223332,unknown
119,Martin Sg.,1,1,20120411143256,20120411143256,unknown
120,MBq,1,1,20160622065746,20160622065746,unknown
121,Schilderwaldmeister,1,0,20180820172312,20180820172312,unknown
122,Thijs!bot,1,1,20070129055940,20070129055940,unknown
123,Burkhard L,1,0,20081031210948,20081031210948,unknown
124,Airwalk-td,1,1,20100723201847,20100723201847,unknown
125,Über-Blick,1,0,20151213065043,20151213065043,unknown
