,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Jesusfreund,308,55,20050709215250,20100409113707,unknown
1,Kplasa,194,7,20050520100110,20060319132143,unknown
2,Gonzo Greyskull,164,25,20080713131658,20131102223205,unknown
3,GuterSoldat,133,10,20060309224207,20061208065132,unknown
4,Dr. Manuel,97,29,20060517132754,20110310203541,unknown
5,Ulitz,80,17,20040720175654,20150708184723,unknown
6,Epikur,54,11,20040330140907,20040918103006,unknown
7,Lars Hennings,41,6,20040624080059,20080122185524,unknown
8,Sargoth,30,20,20070313105536,20150605132412,unknown
9,Hardenacke,28,21,20070304174736,20180410183334,unknown
10,Nuuk,28,4,20060108102937,20171019062531,unknown
11,Southpark,27,22,20040225100810,20060221045437,unknown
12,Black-Red Galaxy,27,0,20130105210435,20130130150116,unknown
13,Walter P.,26,8,20040331115212,20050520132844,unknown
14,Skriptor,23,10,20040225064301,20050714091115,unknown
15,Ralf S.,23,14,20040924160249,20061119151235,unknown
16,Fräggel,21,2,20070118130010,20080618181544,unknown
17,Phi,19,1,20130108212627,20190118152426,unknown
18,Nordeinrev,18,0,20150605105555,20150730201146,unknown
19,Rita2008,17,2,20100105203532,20181215180905,unknown
20,Tets,16,7,20070118040452,20130105220704,unknown
21,Chricho,16,3,20120701235703,20181110185315,unknown
22,Csac4864,16,4,20140105172511,20170601102954,unknown
23,145.254.32.77,15,0,20050723103755,20050723120553,unknown
24,Louis Wu,15,3,20140824214653,20181104071608,unknown
25,Frado,14,1,20061029160942,20080107214008,unknown
26,-jkb-,14,10,20130106125858,20180501110155,unknown
27,Thdoerfler,13,3,20040316153749,20040825152400,unknown
28,212.117.127.63,13,0,20041223084103,20041223085525,unknown
29,Horst Gräbner,13,12,20140622152446,20171129165443,unknown
30,Xqbot,12,12,20091003124157,20130120185743,unknown
31,FelMol,11,0,20110202000122,20130106114401,unknown
32,Benatrevqre,10,5,20100829212705,20171207231536,unknown
33,Aka,10,10,20050412133643,20180427170105,unknown
34,212.238.215.149,9,0,20040721003450,20041215002236,unknown
35,Lley,9,6,20060801075047,20080704132422,unknown
36,Zwobot,9,9,20040218072154,20060202235313,unknown
37,MAK,9,3,20040909171034,20050416090926,unknown
38,Perzeptor,9,3,20040519174522,20040710114055,unknown
39,Arbeiter- und Bauernmacht,9,6,20090117114712,20090502143039,unknown
40,Puffreis,8,5,20060531020341,20060620121802,unknown
41,Binter,8,2,20060515194916,20060515204516,unknown
42,Regi51,8,8,20131031201654,20181128132453,unknown
43,Serols,8,7,20150123112511,20170404123628,unknown
44,Kixx~dewiki,8,0,20030502142034,20030502142954,unknown
45,Herr Andrax,8,0,20050313130505,20070727140038,unknown
46,89.204.155.159,7,0,20151223011925,20151223022037,unknown
47,145.254.33.250,7,0,20050720061358,20050720071643,unknown
48,Benni Bärmann,7,1,20040528081909,20040716143928,unknown
49,80.139.45.234,7,0,20040330105621,20040330111010,unknown
50,Mr. Froude,7,0,20150707093025,20150730204952,unknown
51,141.44.242.162,6,0,20040304182651,20040304183022,unknown
52,Samwise,6,2,20040327002736,20060531211744,unknown
53,80.139.35.210,6,0,20040715101132,20040715134423,unknown
54,Stern,6,3,20041202123552,20051014164920,unknown
55,145.254.33.88,6,0,20050724040510,20050724042000,unknown
56,X~dewiki,6,2,20050602165737,20090201015751,unknown
57,Itti,6,6,20130109132604,20150904063434,unknown
58,Pittimann,6,6,20130523194415,20190131102045,unknown
59,217.184.102.226,6,0,20040331173852,20040331192501,unknown
60,145.254.34.34,6,0,20050722092338,20050724011129,unknown
61,145.254.34.10,6,0,20050815213443,20050815225211,unknown
62,Logograph,6,6,20150120074032,20181213075025,unknown
63,Pappenheim,6,1,20110329144202,20141016072012,unknown
64,Der Naturfreund,6,0,20130424172137,20130424173925,unknown
65,TXiKiBoT,6,6,20080613085641,20100726181321,unknown
66,Mannerheim,5,1,20081207134446,20081224031342,unknown
67,Ca$e,5,3,20110323162143,20110324141450,unknown
68,Gustav von Aschenbach,5,2,20130109132531,20180115105935,unknown
69,Schnabeltassentier,5,4,20151030101711,20160210092137,unknown
70,D,5,5,20060801201550,20060801203422,unknown
71,SchlechterSoldat,5,0,20060621094100,20060621104656,unknown
72,Hokanomono,5,4,20031111192640,20040326203330,unknown
73,145.254.35.166,5,0,20050720081605,20050720090810,unknown
74,LinkFA-Bot,5,2,20080406050028,20100725232554,unknown
