,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,100,28,20040717210009,20160228205348,unknown
1,Lectorium,60,0,20170123000259,20180208001155,unknown
2,Rita2008,50,1,20070117093228,20180128180640,unknown
3,Sirdon,40,5,20050622183117,20071001130906,unknown
4,Phantom,27,14,20051027174405,20080204101335,unknown
5,Jesusfreund,22,8,20050104224528,20090113220118,unknown
6,212.238.215.149,18,0,20040716165622,20050128003056,unknown
7,Gloser,18,2,20110927233929,20180818132921,unknown
8,Phi,17,3,20071019113346,20180115194417,unknown
9,Gonzo Greyskull,17,4,20081230143448,20120130201459,unknown
10,Nuuk,15,5,20060617124206,20170414103242,unknown
11,Urgelein,15,6,20160324093518,20170412192944,unknown
12,Aka,14,14,20061015105027,20190308192645,unknown
13,Nachtwächter,12,5,20120821074312,20171024083547,unknown
14,Kopilot,11,2,20180207110807,20180207115739,unknown
15,Skriptor,11,1,20050402095009,20050919141655,unknown
16,Ute Erb,10,10,20081230135818,20160817092943,unknown
17,Osika,9,4,20090622181334,20110614202432,unknown
18,Tohma,9,1,20070811180125,20121015160453,unknown
19,GuterSoldat,8,2,20060604214710,20060718041247,unknown
20,Commander-pirx,7,3,20120525144221,20170131110101,unknown
21,145.254.35.14,7,0,20050406233925,20050407003035,unknown
22,Hermes31,7,0,20071111214646,20080101171510,unknown
23,Benatrevqre,7,0,20100628184657,20120822105542,unknown
24,217.86.7.79,7,0,20040521105425,20040521113440,unknown
25,Karsten11,7,0,20070605200050,20110110142644,unknown
26,Res-berlin,6,1,20040309095842,20040418153125,unknown
27,Lindenschmit,6,6,20071105103914,20071105110428,unknown
28,Southpark,6,1,20041128142433,20100506201431,unknown
29,Jbuechler,6,5,20080101144256,20080101160008,unknown
30,Horst Gräbner,6,4,20130122181836,20180202080807,unknown
31,2.juni,6,4,20060126153012,20090113192321,unknown
32,Gerd Wiechmann,6,0,20090902205841,20170315160735,unknown
33,Zwobot,5,5,20040320171452,20070912015653,unknown
34,WRomey,5,4,20021129202333,20021228145304,unknown
35,Sf67,5,5,20050110184953,20071221103542,unknown
36,77.177.3.52,5,0,20071111182804,20071111200312,unknown
37,212.118.216.43,5,0,20121017154327,20121019051958,unknown
38,Regi51,5,5,20090617105321,20180412192216,unknown
39,SFfmL,5,0,20130422140156,20170408162728,unknown
40,Qhx,5,4,20100404125849,20100406234743,unknown
41,Louis Wu,5,1,20130524071731,20150105230820,unknown
42,SmokezShining,5,0,20040325155657,20040412045924,unknown
43,Natsu Dragoneel,5,5,20150613204454,20181230165914,unknown
44,Fräggel,5,0,20061222215500,20070506085733,unknown
45,Babeuf,4,2,20050919163528,20050920112842,unknown
46,83.134.135.158,4,0,20081112015452,20081118153757,unknown
47,ND-Leser,4,1,20080914102758,20080919151518,unknown
48,Jed,4,3,20051004081954,20070114182136,unknown
49,44Pinguine,4,0,20141213121858,20141214082948,unknown
50,Roland Kutzki,4,3,20090917163854,20140409154703,unknown
51,Armin P.,4,4,20100416195101,20110806123739,unknown
52,Norrskensflamman,4,1,20080621135514,20080623163446,unknown
53,AF666,4,0,20050409095133,20050409100537,unknown
54,Dawei,4,0,20040701033020,20060116141857,unknown
55,AHZ,4,0,20041128200128,20060817101303,unknown
56,Mogelzahn,4,2,20040811081849,20050214055036,unknown
57,Pittimann,4,4,20101122083046,20170928084246,unknown
58,Mia-etol,4,2,20080621173918,20081203221334,unknown
59,Phobetor,4,4,20090112051325,20090112060640,unknown
60,Atomiccocktail,4,0,20100506132026,20141015093232,unknown
61,Matux,4,3,20040907074308,20040914214038,unknown
62,84.180.50.43,4,0,20120203075111,20120203075317,unknown
63,Ulula,4,0,20051208123724,20080910201213,unknown
64,Drak,4,3,20070227192225,20070227193108,unknown
65,84.168.101.38,4,0,20061103080720,20061103081403,unknown
66,Jjkorff,4,0,20040710195251,20060604220809,unknown
67,Felixkrull,4,0,20050206145027,20050207171408,unknown
68,Asdrubal,4,0,20061115212731,20061115215825,unknown
