,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Southpark,98,45,20040506121954,20171204201508,unknown
1,Dioskorides,76,18,20180714181029,20190210072420,unknown
2,Phi,53,7,20071028064824,20190204204829,unknown
3,Leit,32,23,20060426163447,20180427180938,unknown
4,TMFS,26,8,20031118115315,20070729221007,unknown
5,Benatrevqre,23,4,20101026134359,20190119223134,unknown
6,Bvo66,22,12,20080918100037,20130612104708,unknown
7,Datenspecht,19,5,20120214104454,20120912195543,unknown
8,Der wahre Jakob,18,12,20101024133237,20181015213735,unknown
9,Aka,15,15,20050408183530,20180719055244,unknown
10,Zinnmann,14,10,20060906121420,20150916122823,unknown
11,80.152.169.79,14,0,20140827132755,20150916122121,unknown
12,84.150.241.178,14,0,20060612215940,20060612224531,unknown
13,212.9.184.28,13,0,20050227170203,20050917172026,unknown
14,87.123.120.40,13,0,20061216232401,20061216233734,unknown
15,Peter200,13,9,20050525163633,20121210131909,unknown
16,Maxanter,12,10,20061225090242,20120622103446,unknown
17,G-Michel-Hürth,12,3,20060118153518,20120415140257,unknown
18,Pittimann,12,12,20101111081854,20150601092333,unknown
19,Sir,11,9,20051016140750,20061216233105,unknown
20,H.Albatros,11,11,20070526184914,20150113141151,unknown
21,LKD,11,11,20060705112820,20101122091801,unknown
22,Noehren-kaiserslautern,11,5,20070408093445,20171114153833,unknown
23,Hermannthomas,11,3,20050902121429,20080227235908,unknown
24,Agentpitch~dewiki,11,0,20110105165502,20110105232021,unknown
25,Gödeke,10,8,20071111132346,20130905105946,unknown
26,Histor22,10,0,20100603205125,20120803211704,unknown
27,Diba,10,10,20061214075409,20141016071929,unknown
28,Snahlemmuh,10,5,20090814194058,20120826204109,unknown
29,GiordanoBruno,10,1,20150516134124,20180716154417,unknown
30,Zwobot,10,10,20040207095645,20081222092924,unknown
31,Mogelzahn,9,5,20040704220349,20111109202530,unknown
32,Spuk968,9,9,20100507084434,20111006093515,unknown
33,MAY,8,0,20101124050449,20171205185911,unknown
34,Rlbberlin,8,4,20060324081734,20060324142535,unknown
35,Dr Möpuse,8,3,20070805091543,20071228135156,unknown
36,134.155.247.155,8,0,20051013061329,20051013062813,unknown
37,Richarddd,8,6,20071108224906,20080701120554,unknown
38,Hans Dunkelberg,8,6,20081213175622,20101011172917,unknown
39,Snoopy1964,8,8,20141201115715,20150916121941,unknown
40,Josef Roth,8,2,20111021085741,20130311153041,unknown
41,WIr lagen vor Madagaskar,7,0,20150812211533,20190105182621,unknown
42,Benutzername eingeben,7,4,20141120060651,20141120094620,unknown
43,Neun-x,7,1,20121107063039,20180617141958,unknown
44,Bürger-falk,7,0,20110919144142,20110919144549,unknown
45,Docmo,7,1,20050622162623,20140815175056,unknown
46,Liborianer,7,0,20120505135012,20130217200824,unknown
47,Didym,7,7,20121007000734,20150916120839,unknown
48,RobotQuistnix,7,7,20050824230209,20070603135533,unknown
49,Nightflyer,7,3,20080201212555,20171028132215,unknown
50,GT1976,7,0,20081223083453,20151111063427,unknown
51,Marco Krohn,7,4,20030724230158,20040422153221,unknown
52,Carol.Christiansen,6,6,20100706175433,20130723183843,unknown
53,Carbidfischer,6,6,20060323163232,20061108165639,unknown
54,91.186.47.59,6,0,20061122085310,20061122090055,unknown
55,Freseniust,6,1,20090109075232,20110608120017,unknown
56,Howwi,6,6,20100430072001,20120412191650,unknown
57,Mnh,6,6,20060121221906,20061127095124,unknown
58,Jivee Blau,6,6,20100623155331,20131217134921,unknown
59,Felix König,6,3,20101016143057,20140719145421,unknown
60,Wowo2008,6,0,20130328185741,20170421122725,unknown
61,°Mary°,6,0,20060711094334,20060713094208,unknown
62,Schaengel89,6,2,20050510151857,20060719212801,unknown
63,Triebtäter,6,0,20040529124643,20090108204024,unknown
64,Lux lb,6,3,20060604165525,20070603114935,unknown
65,Ziko,6,0,20070424173223,20110916185624,unknown
66,Klingelingeling,6,1,20060505212105,20060505213315,unknown
67,Tönjes,6,1,20070520163342,20080312084933,unknown
68,Dr. Meierhofer,6,3,20060729184708,20060820002817,unknown
69,83.124.3.85,6,0,20060513084915,20060513091408,unknown
70,Merkið,6,2,20140125180040,20150912164159,unknown
71,Driverofthebluetaxi,6,1,20120527171422,20171202182556,unknown
72,84.56.138.126,6,0,20050227143645,20050227151812,unknown
73,Sir James,6,1,20080506192453,20180104050341,unknown
74,Sebbot,6,2,20070104020308,20120604050036,unknown
75,Richard Lenzen,6,6,20121113074627,20190210022308,unknown
76,Vsop,6,0,20170220210258,20190106000738,unknown
77,MsChaos,6,6,20051013061405,20051013062846,unknown
78,Karsten11,5,1,20070128185245,20180320154808,unknown
79,Syrcro,5,2,20060109123737,20060128171518,unknown
80,DerHexer,5,5,20070123142739,20120827091624,unknown
81,Init,5,3,20060819184026,20060827204919,unknown
82,Hasselklausi,5,1,20160126184022,20171211165728,unknown
83,Jamiri,5,2,20120731105009,20140930212822,unknown
84,193.31.178.138,5,0,20050418091445,20050504141313,unknown
85,Scooter,5,5,20051210133201,20091007085413,unknown
86,Axel.Mauruszat,5,1,20080310072144,20090711112927,unknown
87,Floklk,5,2,20060825123505,20060831133752,unknown
88,Thoken,5,4,20041229004212,20100914075705,unknown
89,Dr.cueppers,5,2,20060817140025,20150312151546,unknown
90,SchirmerPower,5,3,20070110003418,20140617162740,unknown
91,Cardhu,5,3,20050621113205,20110203132635,unknown
92,Ich901,5,0,20150417212653,20150417213150,unknown
93,Vincenzo1492,5,0,20170219170326,20170221215827,unknown
94,Polarlys,5,3,20060606163855,20120912192650,unknown
95,Slllu,5,0,20080831105320,20080831135902,unknown
96,SieBot,5,5,20070507184416,20100902044736,unknown
97,Bergisch Neukirchen,5,1,20120410190412,20121201192652,unknown
98,Hartmut Riehm,5,1,20051201103658,20060109140251,unknown
99,Otberg,5,3,20120516073023,20150316091207,unknown
100,62.134.61.23,5,0,20041112132143,20041118073423,unknown
101,Zollernalb,5,4,20071004155024,20090525095027,unknown
102,Güwy,5,0,20120708162142,20181228174155,unknown
103,Kh80,4,4,20050427080824,20090507082606,unknown
104,Gudrun Meyer,4,4,20101208143025,20150512151626,unknown
105,Hartmuty,4,0,20050913164201,20050916163928,unknown
106,Alnilam,4,4,20120322125722,20150310095639,unknown
107,Sprachfreund49,4,0,20131012163908,20131012204335,unknown
108,84.173.74.83,4,0,20070605124752,20070605124943,unknown
109,Fifat,4,4,20060205145701,20060223093532,unknown
110,Alfrekules,4,0,20080403110337,20081003152552,unknown
111,Complex,4,4,20071123100947,20090302194830,unknown
112,Stefan Kühn,4,2,20030719102226,20040720144001,unknown
113,Itti,4,4,20140221090959,20150608152635,unknown
114,Einstein47,4,0,20040323183601,20040323183953,unknown
115,Anton-Josef,4,4,20071113094724,20120410191110,unknown
116,Xqbot,4,4,20090318122924,20120625195758,unknown
117,Serols,4,4,20140917071311,20150504153011,unknown
118,JFH-52,4,4,20171218195838,20190204200822,unknown
119,Regi51,4,4,20080219071314,20120113183127,unknown
120,Jed,4,4,20031207010055,20120316201653,unknown
121,JensUhlenbrock,4,3,20060326172506,20061218112718,unknown
122,84.143.241.140,4,0,20050930111042,20050930111229,unknown
123,Ilja Lorek Schaffhausen,4,4,20170806052612,20170806071716,unknown
