,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,GS,28,3,20050803081659,20060128180925,unknown
1,In dubio pro dubio,25,23,20110111163247,20110720135359,unknown
2,84.176.244.235,18,0,20050613073542,20050613113716,unknown
3,Lumpenpack,17,12,20060110115317,20060113223026,unknown
4,Stillhart,15,0,20120720093526,20150213220608,unknown
5,Zaphiro,15,15,20070906225248,20100921123145,unknown
6,Herr Andrax,15,0,20050801133302,20070218153905,unknown
7,Aka,12,9,20050321175742,20181106202112,unknown
8,77.177.170.180,11,0,20110719225232,20110719231958,unknown
9,Gustav von Aschenbach,11,7,20070911121237,20180607114233,unknown
10,Themistokles1984,11,3,20090327114512,20160916134340,unknown
11,Cogito2,10,0,20051006122224,20051104103807,unknown
12,77.8.60.234,10,0,20110720055356,20110720063828,unknown
13,Hannover86,9,4,20180905074035,20181106153317,unknown
14,Miltrak,8,0,20130911005739,20160905111053,unknown
15,Rudolfox,8,0,20110111160053,20110111162923,unknown
16,Über-Blick,8,0,20130927041202,20130927064530,unknown
17,Wilhelm Langnick,7,1,20070326190033,20071226141903,unknown
18,Jjkorff,7,4,20080120215813,20080120223803,unknown
19,SieBot,7,7,20071121040029,20100312174617,unknown
20,83.135.123.171,6,0,20110720080628,20110720082054,unknown
21,Barb,5,4,20050628151620,20060324222612,unknown
22,141.24.48.43,5,0,20050815201137,20050830161153,unknown
23,Benatrevqre,5,2,20120624140453,20120624142936,unknown
24,Bogert,5,4,20070522165148,20080401211854,unknown
25,Emkaer,4,2,20080218144232,20080719122419,unknown
26,Verzettelung,4,3,20130923165626,20160726101301,unknown
27,Benowar,4,2,20110328185145,20110328191510,unknown
28,62.245.207.18,4,0,20050321175703,20050321180355,unknown
29,Pittimann,4,4,20111128180810,20160923081816,unknown
30,Eintragung ins Nichts,4,0,20071222103039,20080111111237,unknown
31,74.72.165.105,4,0,20120913014302,20120913015108,unknown
32,Tafkas,4,0,20070423195754,20080818114143,unknown
33,Jed,4,3,20070106220046,20120916083130,unknown
34,Xqbot,4,4,20090325100539,20100518214720,unknown
35,Kai-Hendrik,4,0,20100705164132,20100706165254,unknown
36,145.254.43.126,4,0,20060606133204,20060606133456,unknown
37,Sprachpfleger,4,1,20120304113212,20120304130943,unknown
38,FlaBot,4,3,20041130101922,20050527091039,unknown
39,84.146.214.14,3,0,20060111174651,20060111175259,unknown
40,John1401,3,1,20040310151306,20040315221106,unknown
41,Sänger,3,1,20181222130805,20190209103411,unknown
42,84.146.239.116,3,0,20060111153216,20060111154435,unknown
43,145.254.35.120,3,0,20041204040645,20041204040904,unknown
44,Jesi,3,0,20150224173420,20180123133525,unknown
45,VolkovBot,3,3,20080405165334,20111116070421,unknown
46,Nachtigaller,3,0,20050821195430,20050821200751,unknown
47,TXiKiBoT,3,3,20100203154543,20100520130247,unknown
48,KastusK,3,0,20130623110101,20131219155215,unknown
49,EmausBot,3,3,20100609123154,20111111233448,unknown
50,Jergen,3,1,20080719062812,20080719130007,unknown
51,193.175.253.253,3,0,20060111131507,20060112123854,unknown
52,Olag,3,0,20110329202406,20120803203533,unknown
53,Irmgard,3,0,20030612220109,20110329220407,unknown
54,Schmuckeremit,3,2,20080522113609,20080522113850,unknown
55,84.56.172.143,3,0,20080818113412,20080818120229,unknown
56,U86774,3,0,20080211205716,20080211210025,unknown
57,Freiheit der Wissenschaft,3,0,20080110025621,20080110025901,unknown
58,178.188.135.18,3,0,20111128180711,20111128180801,unknown
59,RoBri,3,2,20170912112913,20170918092539,unknown
60,84.146.212.1,3,0,20060111150350,20060111152002,unknown
61,WikitanvirBot,3,3,20111215133827,20120120021812,unknown
62,Ibsen~dewiki,3,1,20051031141738,20051031142308,unknown
63,Björn Siebke,3,1,20040714212458,20061206083822,unknown
64,Codica,2,2,20060716070731,20060716072145,unknown
65,2.247.240.38,2,0,20180112113616,20180112113802,unknown
66,Bepet,2,2,20120310161622,20120310161920,unknown
67,Q'Alex,2,0,20051227085518,20060430151950,unknown
68,Scooter,2,2,20111128180724,20140109075049,unknown
69,Illuminatis333,2,0,20170918091914,20170918092127,unknown
70,217.83.93.91,2,0,20041211191005,20041211191116,unknown
71,62.47.62.221,2,0,20050804201621,20050804201834,unknown
72,80.109.106.164,2,0,20051123164751,20051123164825,unknown
73,DrFL,2,2,20080919091323,20080921141957,unknown
74,80.136.175.151,2,0,20060112194003,20060112194039,unknown
75,Der Stachel,2,0,20070914203915,20070914204413,unknown
76,Wolpertinger,2,2,20050404123029,20050404124405,unknown
77,88.78.252.69,2,0,20081030211759,20081030211959,unknown
78,193.170.244.5,2,0,20051215073552,20051215073841,unknown
79,84.139.226.164,2,0,20070526112854,20070526113135,unknown
80,217.234.121.133,2,0,20071213173359,20071213173456,unknown
81,Bernard Ladenthin,2,2,20060903194247,20110113153951,unknown
82,DragonBot,2,2,20071117220923,20130109151729,unknown
83,149.225.150.3,2,0,20040808102533,20040808102736,unknown
84,Stilfehler,2,0,20180418161838,20180418162311,unknown
85,84.176.181.138,2,0,20050614095351,20050614095630,unknown
86,90.187.101.51,2,0,20090212195344,20090212195704,unknown
87,Stanislaus18,2,0,20100320124418,20100320124538,unknown
88,178.5.107.40,2,0,20110513222059,20110513222512,unknown
89,Nightfireboy,2,1,20071024171222,20071024171246,unknown
90,84.146.213.4,2,0,20050427160419,20050427160746,unknown
91,T.M.L.-KuTV,2,2,20090204173743,20090204185227,unknown
92,80.136.171.53,2,0,20060111000751,20060111000847,unknown
93,LexICon,2,2,20160607193517,20160607193624,unknown
94,Jack-Bauer-CTU,2,0,20080111110836,20080111111501,unknown
95,Engie,2,2,20080707121836,20100225174408,unknown
96,Kichottel,2,1,20151013104414,20151013104645,unknown
97,84.57.139.53,2,0,20050804204542,20050804204627,unknown
98,SpesBona,2,1,20081001170507,20101026190438,unknown
99,137.208.223.44,2,0,20070517150728,20070517150757,unknown
100,Horst Gräbner,2,1,20170213101115,20171118141347,unknown
101,Escarbot,2,2,20080412220251,20110201153159,unknown
102,Idioma-bot,2,2,20071113170705,20081211190549,unknown
103,Invisigoth67,2,2,20090208162800,20190118235343,unknown
104,80.136.167.46,2,0,20060111162058,20060111162133,unknown
105,Der Messer,2,2,20110412180754,20110531160316,unknown
106,Zumbo,2,2,20040306230451,20040306230539,unknown
107,Kaiser Wilhelm II,2,0,20080103185508,20080103185629,unknown
108,Avoided,2,2,20081030211814,20081030212024,unknown
109,Sum~dewiki,2,1,20060324234126,20060502113911,unknown
110,86.56.43.45,2,0,20071218100822,20071218101444,unknown
111,80.137.173.91,2,0,20051112045648,20051112054551,unknown
112,84.63.234.1,2,0,20120812081952,20120812082034,unknown
113,88.134.200.109,2,0,20060911133139,20060911133314,unknown
114,91.23.249.96,2,0,20110720024319,20110720024359,unknown
115,Woldemar1958,2,2,20161216094730,20181006085631,unknown
116,Mathias Schindler,2,2,20040822200809,20050612081948,unknown
117,188.104.149.71,2,0,20140312164356,20140312164450,unknown
118,79.228.36.72,2,0,20110531123218,20110531123242,unknown
119,212.117.101.146,2,0,20070312141533,20070312141551,unknown
120,SilvonenBot,2,2,20080304173244,20100123101208,unknown
