,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Zaphiro,94,91,20091127162019,20100303171956,unknown
1,GiordanoBruno,43,19,20091127172008,20171119200250,unknown
2,Fossa,31,6,20080903133125,20121222133446,unknown
3,Hardenacke,19,16,20100127092838,20151117185238,unknown
4,Oreg,15,4,20080115040932,20080218145618,unknown
5,TMFS,13,2,20070527120646,20080218151238,unknown
6,Ot,12,2,20091127161413,20180610035411,unknown
7,J. Patrick Fischer,10,3,20100420141739,20151002131210,unknown
8,Unterstrichmoepunterstrich,9,6,20101126005116,20170718213251,unknown
9,Euplerinae,9,0,20100119145853,20100127144224,unknown
10,Kartoffelkopf,8,0,20111130150856,20111209151322,unknown
11,Osika,7,1,20100127092726,20100127162021,unknown
12,Tets,7,0,20120202110847,20120418073151,unknown
13,Pfarrer,7,2,20070412120834,20070614092834,unknown
14,Mr. Mustard,7,2,20100201211041,20111210232505,unknown
15,Nemissimo,6,1,20100114165318,20120822180148,unknown
16,Xqbot,6,6,20091130012244,20100330212517,unknown
17,Pistazienfresser,6,2,20100103184743,20100106025230,unknown
18,91.62.34.213,6,0,20090824000934,20090824002413,unknown
19,Carolin,6,3,20101101172043,20101101223835,unknown
20,Gustav von Aschenbach,6,6,20091128014058,20120708150035,unknown
21,Stefan64,6,2,20091201185404,20111130161130,unknown
22,Bene16,5,1,20070316171231,20091128065855,unknown
23,Kunani,5,3,20110411092102,20111129192243,unknown
24,Bunnyfrosch,5,1,20091130220700,20110223213548,unknown
25,Boshomi,5,4,20150614091553,20161130162914,unknown
26,Leit,5,2,20091127161032,20110515110702,unknown
27,Reisewitz,5,1,20100102103147,20100107202726,unknown
28,Ngowatchtransparent,5,1,20080905160713,20100727090808,unknown
29,134.93.147.212,4,0,20140512110955,20140512112413,unknown
30,Srbauer,4,3,20050427101049,20070316173153,unknown
31,Hans-Peter34,4,0,20080204002654,20080212065027,unknown
32,Berlinschneid,4,2,20070911090151,20110630150425,unknown
33,Christianju,4,1,20110708091434,20110708093413,unknown
34,Wikieditoroftoday,4,1,20110218113618,20110304135950,unknown
35,Inkowik,4,4,20100102161724,20110211145852,unknown
36,Nuuk,4,2,20120416202729,20170628125420,unknown
37,Professor Einstein,4,0,20100220095215,20100221103919,unknown
38,Neun-x,4,0,20130922225606,20151001180119,unknown
39,RudolfSimon,4,1,20130113142813,20170926125157,unknown
40,Lonegunman,4,0,20091128100038,20100106051228,unknown
41,Regi51,4,4,20101027203949,20130922193959,unknown
42,Unicoma82,4,3,20111217093226,20111225194746,unknown
43,Túrelio,4,0,20091130082817,20091201131459,unknown
44,Polentario,4,0,20100104002137,20100104003522,unknown
45,RX-Guru,4,4,20111031170742,20151003140108,unknown
46,Michelhausen,4,0,20120201103643,20120203162820,unknown
47,89.247.72.79,3,0,20100202151636,20100202181309,unknown
48,Liberaler Humanist,3,3,20110121140146,20120708150215,unknown
49,Sebbot,3,0,20101106202710,20150517050940,unknown
50,Codc,3,3,20130804234254,20130809204231,unknown
51,Frederic~dewiki,3,0,20090209202433,20090416172504,unknown
52,Politics,3,1,20091202053836,20100202153551,unknown
53,Stuttgart1950,3,3,20091127163321,20091127165946,unknown
54,91.46.164.149,3,0,20100319084551,20100319085709,unknown
55,Tekko,3,3,20091127160904,20091127161100,unknown
56,Internezzo,3,1,20100727095115,20100727102930,unknown
57,Kaffee Togo,3,0,20091216105409,20091217124228,unknown
58,Halut,3,0,20091230104354,20091230105742,unknown
59,Engie,3,2,20100616102506,20110630130652,unknown
60,Flavia67,3,2,20120308095917,20120308100738,unknown
61,WAH,3,2,20100120190046,20100225132843,unknown
62,Toter Alter Mann,3,3,20100215003108,20101120185614,unknown
63,Charmrock,3,0,20091201144432,20091201151533,unknown
64,Niedergrund,3,1,20120717203608,20120717205226,unknown
65,Logograph,3,3,20091127162737,20121229212111,unknown
66,Chrysalis,3,3,20091127160502,20091127162703,unknown
67,Aka,3,3,20100110134851,20180210195637,unknown
68,178.7.146.253,3,0,20120420213102,20120421094121,unknown
69,141.55.209.180,2,0,20111213005643,20111213010159,unknown
70,Hans Dunkelberg,2,2,20100104160933,20101011172451,unknown
71,Marcussteele5,2,0,20150428223354,20150506224614,unknown
72,84.56.91.136,2,0,20050920162638,20050920162830,unknown
73,93.232.53.119,2,0,20100101215447,20100101215517,unknown
74,88.67.209.251,2,0,20100129223821,20100129224419,unknown
75,Luke081515Bot,2,0,20161120125305,20161129193034,unknown
76,87.170.4.79,2,0,20100122061212,20100122061751,unknown
77,Grand Tour,2,1,20090320114748,20091128160136,unknown
78,Iwesb,2,2,20151011085400,20151011090615,unknown
79,Seewolf,2,2,20080826100340,20110812125011,unknown
80,SchirmerPower,2,0,20091127172343,20091130002607,unknown
81,Georg.Paaßen,2,0,20130826154250,20130911173512,unknown
82,178.203.220.187,2,0,20120708150013,20120708150204,unknown
83,Mechanicus,2,1,20100822235110,20100822235435,unknown
84,PaSova,2,2,20140317203111,20140318152832,unknown
85,Pfieffer Latsch,2,2,20110812184948,20111220181641,unknown
86,84.62.164.45,2,0,20100120185944,20100120190244,unknown
87,Simpsonsfan2,2,0,20100212213754,20120119212914,unknown
88,Miebner,2,2,20100212154534,20100914173646,unknown
89,Stobaios,2,1,20171219011432,20181020023411,unknown
90,TravenTorsvan,2,0,20091130131520,20091130202221,unknown
91,Jobu0101,2,1,20101004132003,20131217082909,unknown
92,Casra,2,0,20091128195759,20091128200131,unknown
93,Svencb,2,0,20050427224404,20050427225223,unknown
94,195.243.133.154,2,0,20110119124453,20110119124521,unknown
95,Spuk968,2,2,20110925182249,20140512111535,unknown
96,Crowdsurfer,2,2,20100601113326,20100601113400,unknown
97,Komischn,2,2,20101127232509,20120613151612,unknown
98,Benatrevqre,2,1,20091205113042,20091205194207,unknown
99,Luckas-bot,2,2,20100116162547,20100703091403,unknown
100,Ekpah,2,1,20121222093303,20121222123448,unknown
101,Feuerspiegel,2,1,20100212175116,20100213163053,unknown
102,Adornix,2,1,20091127175459,20100101215528,unknown
103,Bennsenson,2,1,20091201133115,20091202002041,unknown
104,Giftmischer,2,2,20100916084638,20120123093535,unknown
105,31.17.236.234,2,0,20130209175341,20130209180404,unknown
106,House1630,2,0,20091206225719,20091206230154,unknown
107,88.77.212.109,2,0,20100213175032,20100213175137,unknown
108,Catfisheye,2,1,20100113003923,20100123222209,unknown
109,87.153.182.16,2,0,20110211145640,20110211145833,unknown
110,202.171.42.7,2,0,20100105210850,20100105211116,unknown
111,Cymothoa exigua,2,2,20100319090801,20100319090857,unknown
112,Digamma,2,0,20170924201347,20170924202252,unknown
113,Zahnradzacken,2,2,20110130143908,20110220142722,unknown
114,Rudolfox,2,0,20091129125740,20091129130020,unknown
115,Tirelietirelei,2,2,20120420175738,20120420175813,unknown
116,KAgamemnon,2,2,20110119124700,20110119124804,unknown
117,LucienBOT,2,2,20091127232529,20091128180212,unknown
118,Felicitas W,2,2,20090414150423,20090414150453,unknown
119,87.145.2.58,2,0,20110406165122,20110406165153,unknown
120,Stepro,2,2,20100117142738,20101020122510,unknown
121,JosFritz,2,0,20121222100044,20131215082439,unknown
122,Zwobot,2,2,20060316044600,20060316152434,unknown
123,193.17.243.1,2,0,20080421083016,20080421083330,unknown
124,Olaf Kosinsky,2,2,20150212174920,20150216122132,unknown
125,84.56.84.146,2,0,20050830210305,20050830210658,unknown
126,Eintragung ins Nichts,2,0,20080214112519,20080303000220,unknown
127,Yoda1893,2,0,20091128123250,20091130085855,unknown
128,146.52.15.90,2,0,20111122123829,20111122123935,unknown
129,Itti,2,2,20091231174541,20121229213253,unknown
130,SamWinchester000,2,0,20161022210759,20161022210900,unknown
131,141.91.136.41,2,0,20110119075157,20110119075234,unknown
132,Max Dax,2,0,20110412171153,20110412172745,unknown
