,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nicola,208,13,20100217153018,20190225091625,unknown
1,Janjonas,25,25,20131227223519,20181216191409,unknown
2,Ralf Roletschek,11,1,20120904190706,20170916172315,unknown
3,Aka,8,8,20120406104100,20181217212544,unknown
4,Kängurutatze,6,2,20120404120959,20160114143738,unknown
5,Über-Blick,5,0,20180303115517,20180303120051,unknown
6,101.115.103.115,4,0,20120406062457,20120406062925,unknown
7,Nightflyer,4,0,20180907122534,20180907215451,unknown
8,Liesel,4,0,20120802174236,20130725131149,unknown
9,Giacomo1970,4,0,20171126165101,20181217061530,unknown
10,Greifen,4,0,20120803051631,20121221063549,unknown
11,Olaf Kosinsky,3,0,20130725113707,20180629184151,unknown
12,Squasher,3,1,20120802175012,20160816212317,unknown
13,Luckas-bot,3,3,20120404140512,20120409205230,unknown
14,Yoda1893,2,1,20130608135533,20160816212023,unknown
15,Zollernalb,2,2,20180907164104,20181215175225,unknown
16,ZéroBot,2,2,20120824082103,20120904071819,unknown
17,JamesP,2,2,20150309173603,20160114124610,unknown
18,CommonsDelinker,2,2,20120503194709,20121126132519,unknown
19,RikVII,2,1,20161218194750,20180908131904,unknown
20,Chianti,2,0,20120803064023,20120803064726,unknown
21,31.221.36.146,2,0,20160305170344,20160305170825,unknown
22,80.143.44.115,2,0,20180907124204,20180907124241,unknown
23,MarcelBuehner,2,2,20180712183607,20180712185356,unknown
24,Geher,2,2,20140909185615,20150722092451,unknown
25,2003:C6:93E6:3001:2980:5AE5:9C48:FBC3,2,0,20180626171625,20180626171646,unknown
26,Shahrzad,2,0,20101029094709,20101029145817,unknown
27,S.flaischlen,2,0,20160415213543,20160816212707,unknown
28,2A02:8109:8E40:5911:7CD7:73D3:C694:4132,2,0,20180627133310,20180627133349,unknown
29,84.84.115.224,2,0,20140304071248,20140304071337,unknown
30,Scheppi80,2,2,20121126154107,20130503181753,unknown
31,Mupa280868,2,2,20180627133326,20180627133354,unknown
32,Brodkey65,2,0,20130725120853,20150222141627,unknown
33,Friechtle,2,0,20130224041110,20130224043507,unknown
34,Theonlytruth,2,0,20160304060939,20160304061521,unknown
35,Xxlfussel,2,0,20180806203501,20180808132949,unknown
36,Asdert,1,1,20160817091129,20160817091129,unknown
37,178.24.0.155,1,0,20110130210517,20110130210517,unknown
38,141.30.221.102,1,0,20160802202516,20160802202516,unknown
39,193.17.236.1,1,0,20180907123953,20180907123953,unknown
40,85.180.85.32,1,0,20120802180354,20120802180354,unknown
41,Seth Cohen,1,1,20180707133449,20180707133449,unknown
42,Edzard-Freng,1,0,20140527002033,20140527002033,unknown
