,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nis Randers,7,7,20070401111332,20070810184207,unknown
1,MAY,6,0,20100915002912,20160227144941,unknown
2,Gödeke,6,5,20090125173456,20130905102506,unknown
3,Jbergner,6,1,20080127080527,20160629080926,unknown
4,62.225.117.54,5,0,20070202070108,20070723063117,unknown
5,Manorainjan,5,3,20060323193309,20060501145449,unknown
6,JCS,5,2,20060910191410,20081102061419,unknown
7,N.Eschenhagen,5,1,20061207185651,20140205120814,unknown
8,The cleaner,5,2,20061205174037,20061205233026,unknown
9,Karsten11,5,0,20070127110732,20090903102342,unknown
10,Zwobot,5,5,20031218093445,20050505093348,unknown
11,Aka,5,5,20050421082454,20180406155255,unknown
12,FlügelRad,5,3,20101114115303,20111129191049,unknown
13,CDU Sachsen,4,1,20140707122141,20140707134555,unknown
14,Rabanusmaurus,4,1,20151124210828,20180212182929,unknown
15,Miebner,4,2,20100124181451,20120603102412,unknown
16,Anti.,4,1,20171105113226,20171105115056,unknown
17,Speaker,4,2,20090720194141,20090814231755,unknown
18,InaktiverBenutzer12345,4,0,20061207172553,20061207175459,unknown
19,Sir,4,3,20051211225616,20060820084041,unknown
20,90.186.169.24,4,0,20061207044939,20061207051300,unknown
21,Blaufisch,3,3,20080401182113,20080401182218,unknown
22,Schreiberer,3,0,20130303103317,20130303103501,unknown
23,80.139.1.71,3,0,20050816184958,20050816191017,unknown
24,Wahldresdner,3,0,20061123122000,20061123122329,unknown
25,Sebastianvader,3,2,20070531172121,20070531174929,unknown
26,80.144.244.123,3,0,20070401101312,20070401133745,unknown
27,Neueschwarz,3,0,20110310132742,20110315142044,unknown
28,Hardenacke,3,3,20081005184322,20090418194322,unknown
29,Liesel,3,1,20060524154339,20070401135618,unknown
30,Sir James,3,1,20101108082816,20110226014128,unknown
31,Tripudium,3,0,20070719212456,20170228212748,unknown
32,79.233.85.19,3,0,20080626173409,20080626174746,unknown
33,84.135.201.68,3,0,20070322010907,20070322011030,unknown
34,Florian Adler,3,3,20070201223133,20070415181503,unknown
35,Aloysios,3,2,20121001101500,20121009213711,unknown
36,X-Weinzar,3,1,20081204160240,20090622003131,unknown
37,Triebtäter,2,0,20070519164019,20070519164054,unknown
38,217.93.228.201,2,0,20080728143513,20080728143550,unknown
39,Pilawa,2,2,20070325170937,20070325171045,unknown
40,217.225.253.221,2,0,20030605174706,20030605175227,unknown
41,He3nry,2,2,20050622121530,20050628133533,unknown
42,Pelz,2,2,20090723115448,20111116125123,unknown
43,Jürgen Engel,2,1,20110110111350,20110111092827,unknown
44,Gustav von Aschenbach,2,2,20090511121744,20100122064352,unknown
45,Korrekturleser,2,2,20061205151631,20061205163655,unknown
46,Hejkal,2,1,20070712200731,20180127210537,unknown
47,62.214.24.231,2,0,20040721110908,20040721110927,unknown
48,Meine Wenigkeit,2,0,20070415122916,20070415180421,unknown
49,Vtrobbe,2,0,20050704024912,20050704024947,unknown
50,80.132.92.122,2,0,20160520183127,20160520190128,unknown
51,NapoBindo,2,1,20070308202243,20150924181335,unknown
52,217.7.17.165,2,0,20101127105047,20101214025633,unknown
53,Mps,2,2,20041222172540,20140403152612,unknown
54,JAnDbot,2,2,20061207074658,20070103162310,unknown
55,David Wintzer,2,2,20120205121923,20180113161550,unknown
56,Frze,2,2,20160722041054,20161005073521,unknown
57,82.207.245.173,2,0,20050630082023,20050630082112,unknown
58,217.85.160.45,2,0,20150920113911,20150920113930,unknown
59,Horst Gräbner,2,2,20170814130601,20180830162502,unknown
60,GT1976,2,0,20120713040340,20151112051035,unknown
61,Mogelzahn,2,1,20051203142254,20111122175920,unknown
62,Ephraim33,2,0,20091001123953,20100619115419,unknown
63,80.226.0.1,2,0,20110406214942,20110406215027,unknown
64,ChristophDemmer,2,1,20050429060033,20150110104757,unknown
65,Wikswat,2,1,20170410075843,20170410101413,unknown
66,95.90.46.72,2,0,20090415231608,20090415232241,unknown
67,Schubbay,2,1,20100728200421,20100810110124,unknown
68,Jed,2,2,20040928115211,20050606052928,unknown
69,1971markus,2,0,20100501165225,20130303105105,unknown
70,Johnny47,2,2,20111204102129,20111204103230,unknown
71,Neun-x,2,0,20110706155003,20110706155739,unknown
72,Stahlfresser,2,2,20110310140255,20110315145432,unknown
73,ArthurMcGill,2,0,20170824131307,20170824131410,unknown
74,Liborianer,2,0,20120716211553,20120825123149,unknown
75,Wö-ma,2,0,20080323165750,20080626201615,unknown
76,WikiAnika,2,1,20091112000250,20111209221719,unknown
77,LeoDavid,2,1,20110412174456,20110412174901,unknown
78,Topmanager,2,0,20071010195831,20071010195850,unknown
79,80.132.109.140,2,0,20111209203630,20111209204505,unknown
80,Alexander Fischer,2,1,20040714134841,20060219144859,unknown
81,Buchbibliothek,2,0,20151101204456,20160504184810,unknown
82,Hs-berlin,1,0,20160711103816,20160711103816,unknown
83,84.168.58.221,1,0,20061123121843,20061123121843,unknown
84,2003:DC:BD6:4E00:DDF:BB27:87A3:195F,1,0,20180924144932,20180924144932,unknown
85,Ziko,1,0,20100327115935,20100327115935,unknown
86,Minuex,1,1,20111127081833,20111127081833,unknown
87,Denny,1,1,20040303203033,20040303203033,unknown
88,Se4598,1,1,20140205112233,20140205112233,unknown
89,St.Krekeler,1,0,20050720224217,20050720224217,unknown
90,84.188.225.231,1,0,20060820053516,20060820053516,unknown
91,Market,1,1,20180716101426,20180716101426,unknown
92,Xqbot,1,1,20091112024535,20091112024535,unknown
93,Dealerofsalvation,1,1,20110413061947,20110413061947,unknown
94,Pessottino,1,0,20160220144820,20160220144820,unknown
95,Schnabeltassentier,1,0,20171121032451,20171121032451,unknown
96,Rabensteiner,1,1,20071229065713,20071229065713,unknown
97,Krdbot,1,1,20121031121312,20121031121312,unknown
98,83.109.151.54,1,0,20050128002626,20050128002626,unknown
99,Kamsa Hapnida,1,0,20150820090803,20150820090803,unknown
100,194.180.57.12,1,0,20170814130505,20170814130505,unknown
101,90.186.174.232,1,0,20061207175254,20061207175254,unknown
102,Lieblingsmicha,1,1,20070809235027,20070809235027,unknown
103,Knergy,1,1,20100911105106,20100911105106,unknown
104,Sportfreund.php,1,0,20120317131050,20120317131050,unknown
105,FlaBot,1,0,20041206020954,20041206020954,unknown
106,Bertrand Freiesleben,1,0,20150222155827,20150222155827,unknown
107,Scooter,1,1,20051128230059,20051128230059,unknown
108,Grecolat,1,1,20161030152538,20161030152538,unknown
109,Tresckow,1,0,20081212011845,20081212011845,unknown
110,Lobservateur,1,0,20100516133958,20100516133958,unknown
111,Martin1978,1,1,20111209203925,20111209203925,unknown
112,Martino,1,0,20061108111513,20061108111513,unknown
113,2003:DC:BD6:4E00:8DA1:AED2:85A:4EB7,1,0,20180830161610,20180830161610,unknown
114,84.153.224.96,1,0,20080513124457,20080513124457,unknown
115,212.18.80.17,1,0,20100121111653,20100121111653,unknown
116,Letdemsay,1,0,20110917112801,20110917112801,unknown
117,Corny84,1,1,20030917231526,20030917231526,unknown
118,Hansbaer,1,0,20130924103520,20130924103520,unknown
119,2003:C2:A3F0:F189:D89D:7546:5257:C875,1,0,20180203075130,20180203075130,unknown
120,80.135.112.252,1,0,20080129042428,20080129042428,unknown
121,Bitzer,1,1,20090914022357,20090914022357,unknown
122,Ὁ οἶστρος,1,1,20110329212920,20110329212920,unknown
123,KarlMartell,1,0,20130210092855,20130210092855,unknown
124,Matthias Schneider,1,1,20050429055543,20050429055543,unknown
125,Schulzundschulze,1,0,20060624112827,20060624112827,unknown
126,Walfisch5,1,1,20171018143435,20171018143435,unknown
127,Logograph,1,1,20061219004824,20061219004824,unknown
128,Xquenda,1,0,20070831071006,20070831071006,unknown
129,134.106.40.32,1,0,20090605112955,20090605112955,unknown
130,Widlotic,1,1,20120903220653,20120903220653,unknown
131,Luke081515Bot,1,0,20150625125026,20150625125026,unknown
132,211.175.217.212,1,0,20060215044022,20060215044022,unknown
133,Olaf Kosinsky,1,0,20170401140420,20170401140420,unknown
134,212.144.2.60,1,0,20070804142935,20070804142935,unknown
135,BuSchu,1,1,20090329133958,20090329133958,unknown
