,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Orik,74,11,20100623045755,20181124181249,unknown
1,GiordanoBruno,34,19,20061201121943,20131008105233,unknown
2,Miraki,22,12,20130125203243,20170527070910,unknown
3,TMFS,17,4,20031118115416,20080811013613,unknown
4,Theophilus77,17,7,20120306162325,20130318185438,unknown
5,Kricket,14,5,20070212231815,20090301152257,unknown
6,HaeB,13,4,20040213122724,20060719115919,unknown
7,M.ottenbruch,12,0,20120316080816,20130301172512,unknown
8,217.80.66.50,11,0,20060125065330,20060125123243,unknown
9,Aka,11,11,20071126174826,20190211221154,unknown
10,Rosenkohl,10,2,20120308220516,20130210014548,unknown
11,217.80.68.186,9,0,20060114091323,20060114135216,unknown
12,Dioskorides,8,1,20180719221326,20181124231659,unknown
13,217.80.70.127,8,0,20060113163117,20060113170112,unknown
14,Altaripensis,8,6,20120229182603,20120306165856,unknown
15,Alkim Y,8,4,20130301202707,20130922090452,unknown
16,Waelder,7,3,20031217223614,20040122233947,unknown
17,Manetti,7,0,20060113115206,20060113120159,unknown
18,MAY,7,0,20090317091904,20180726003431,unknown
19,Mogelzahn,6,3,20060407171510,20130324170639,unknown
20,Datenspecht,6,1,20120214101611,20120403171126,unknown
21,Steschke,6,5,20080407204825,20080409194750,unknown
22,Louis63,6,1,20140510064106,20141118054207,unknown
23,141.2.140.13,6,0,20060116153708,20060116154849,unknown
24,Sir,6,5,20051018100500,20060114033316,unknown
25,Acht-x,6,4,20140211071822,20140211084410,unknown
26,Schotterebene,6,6,20140406063511,20170622053253,unknown
27,Waldersee,6,4,20070321130925,20120329151722,unknown
28,Thor1982,5,2,20070208203040,20090731004457,unknown
29,Kaisersoft,5,5,20090318170237,20120802204705,unknown
30,Phi,5,2,20120501104455,20140211155618,unknown
31,Chris111noehles,5,1,20050705164615,20050705164927,unknown
32,Stolp,5,1,20070701094939,20141109140656,unknown
33,SchnitteUK,5,1,20131223214648,20141117184047,unknown
34,Zwobot,5,5,20040220223710,20070218023045,unknown
35,Str1977,5,0,20140501104609,20140501114729,unknown
36,Bennsenson,5,0,20120304113823,20120304132019,unknown
37,Ciciban,5,0,20041107093923,20041107095631,unknown
38,217.81.106.243,5,0,20110819081612,20110819082226,unknown
39,Bene16,4,2,20090928053057,20101002040047,unknown
40,Neun-x,4,0,20140211173335,20151111220509,unknown
41,Ottomanisch,4,1,20110819081857,20110819082631,unknown
42,Hao Xi,4,2,20080628094753,20080628100749,unknown
