,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Southpark,81,54,20040625082116,20110417110506,unknown
1,Hardenacke,23,20,20071210171112,20181225153326,unknown
2,Mogelzahn,15,12,20040807112722,20121003150922,unknown
3,GiordanoBruno,14,7,20070225111525,20190113185314,unknown
4,Denis Barthel,14,13,20040708073047,20040708083736,unknown
5,Schubbay,11,10,20040711191028,20040713204814,unknown
6,62.104.220.72,10,0,20040302201205,20040302203525,unknown
7,Osika,10,2,20100506202907,20110904190447,unknown
8,Jjkorff,10,3,20071104173028,20071109210351,unknown
9,Zwobot,8,8,20031218093547,20041205175127,unknown
10,TMFS,6,4,20031107004852,20040322151408,unknown
11,Gloser,6,0,20140827091628,20161119100620,unknown
12,Nuuk,5,3,20080712143251,20150413165410,unknown
13,Fossa,5,3,20080717232041,20081113024927,unknown
14,Oenie,5,5,20100828082030,20120511103339,unknown
15,Benatrevqre,5,3,20071106112313,20101106184937,unknown
16,Rita2008,5,0,20110904170832,20171229154702,unknown
17,84.58.237.181,5,0,20070218203721,20070218205321,unknown
18,Stolp,5,3,20071208014548,20130601145745,unknown
19,Aka,5,5,20061201180656,20171125124129,unknown
20,Georg Hügler,4,1,20160805185151,20160806063714,unknown
21,Richard Lenzen,4,4,20130627024324,20160821105215,unknown
22,Necrophorus,4,2,20040705142219,20041112090618,unknown
23,Marcus Cyron,4,4,20091019134617,20190123192144,unknown
24,WernerE,4,0,20050103120204,20050114103443,unknown
25,Onkel Dittmeyer,4,4,20110814115731,20110815225946,unknown
26,Stefan64,4,2,20100506210745,20100512151451,unknown
27,Tobias1983,4,3,20080706095727,20100901101303,unknown
28,Löschfix,4,4,20070514164443,20070514164733,unknown
29,Atomiccocktail,4,1,20080307222759,20090728205205,unknown
30,Randbewohner,4,2,20121024122051,20121126122648,unknown
31,Stefan Kühn,3,2,20030809083510,20040930214047,unknown
32,Schreiben,3,2,20090705074614,20110320201025,unknown
33,Wheeke,3,3,20140609120427,20160824171435,unknown
34,Phi,3,0,20161119094641,20180123171543,unknown
35,Sleepingbeauty,3,0,20060610145414,20060610145629,unknown
36,134.76.61.96,3,0,20050608172320,20050608172517,unknown
37,217.255.6.164,3,0,20041010200519,20041010201725,unknown
38,DaB.,3,2,20031221203608,20180310171833,unknown
39,Neun-x,3,0,20110730102522,20110730104225,unknown
40,RonMeier,3,3,20130115142559,20161128161552,unknown
41,84.141.61.138,3,0,20070130090556,20070130090843,unknown
42,81.14.156.138,3,0,20041221214424,20041221215156,unknown
43,Tihmann,3,0,20041015181634,20041015182350,unknown
44,Tohma,3,0,20110601042415,20171230085719,unknown
45,AxelHH,3,0,20100511223556,20101013181141,unknown
46,Moritzz,3,0,20080718095122,20090123132314,unknown
47,Howwi,3,2,20091027204233,20121109074444,unknown
48,Anathema,3,3,20040921090423,20040921090516,unknown
49,Paddy,3,2,20040803182238,20040805115708,unknown
50,212.82.254.131,3,0,20120530094532,20120530094722,unknown
51,Lienhard Schulz,3,2,20040704213408,20041114151441,unknown
52,84.144.220.185,3,0,20060309171350,20060309172022,unknown
53,Leit,3,3,20081102101601,20081226121359,unknown
