,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,In dubio pro dubio,18,16,20151111201213,20151112232406,unknown
1,OB-LA-DI,9,4,20080309000203,20080620143447,unknown
2,FlaBot,6,6,20050102055438,20070105203429,unknown
3,Pass3456,6,0,20110312235722,20110313154324,unknown
4,Lektor w,6,2,20141016215356,20141016222009,unknown
5,87.162.73.139,4,0,20080815170542,20080815172042,unknown
6,Livani,4,0,20080309102624,20080405134720,unknown
7,Meffo,4,1,20081119154956,20100427165129,unknown
8,Liberal Freemason,4,1,20080308232610,20080308235308,unknown
9,87.78.132.88,4,0,20071113162615,20071113163023,unknown
10,Luckas-bot,4,4,20100414104845,20120407042955,unknown
11,VolkovBot,3,3,20080209083319,20090124135734,unknown
12,DerHexer,3,3,20130416094225,20130416094829,unknown
13,77.180.34.49,3,0,20110313110007,20110313113249,unknown
14,Charmrock,3,1,20090727102911,20100529104957,unknown
15,217.251.216.88,3,0,20051226125831,20051226130203,unknown
16,91.1.190.216,3,0,20111215072333,20111215072513,unknown
17,Jonathan Hornung,3,2,20051226131528,20051226131556,unknown
18,EmausBot,3,3,20120114164032,20130126200327,unknown
19,FelMol,3,1,20110314143855,20110325122222,unknown
20,217.87.56.155,3,0,20130416094221,20130416094822,unknown
21,Chauki,2,0,20070110075641,20070110075716,unknown
22,Howwi,2,2,20111215072346,20111215072534,unknown
23,Janakaro,2,2,20141012195231,20141012195352,unknown
24,Alter Fritz,2,0,20070627203453,20070627203950,unknown
25,87.245.71.213,2,0,20120408075432,20120408075539,unknown
26,80.132.235.9,2,0,20040414144718,20040414144947,unknown
27,Guido Radig,2,2,20131001170625,20131001170810,unknown
28,80.143.203.106,2,0,20081126071517,20081126071913,unknown
29,92.231.221.220,2,0,20101106121415,20101106121450,unknown
30,Bobbl,2,2,20130205114643,20130228121354,unknown
31,Mha,2,0,20070320225207,20070320225234,unknown
32,134.245.122.85,2,0,20080617090702,20080617090800,unknown
33,Scooterman,2,0,20080226163537,20080226163918,unknown
34,92.72.192.114,2,0,20130612184954,20130612185104,unknown
35,2A02:908:146B:46C0:400A:7C81:2836:566B,2,0,20161126135714,20161126135917,unknown
36,87.165.103.182,2,0,20111219221451,20111219221507,unknown
37,MorbZ-Bot,2,2,20090609014719,20130312153254,unknown
38,87.181.88.223,2,0,20131104073012,20131104073406,unknown
39,Xqbot,2,2,20101216202758,20130208191738,unknown
40,SashatoBot,2,2,20061225234713,20070904205712,unknown
41,Sargoth,2,0,20080405113735,20080405115420,unknown
42,80.135.10.115,2,0,20151105094109,20151105094233,unknown
43,194.113.40.219,2,0,20081119161034,20081119161546,unknown
44,Logograph,2,2,20081126071945,20100304100941,unknown
45,Sava,2,0,20050616030021,20051009220740,unknown
46,Moldauer,1,0,20080405134209,20080405134209,unknown
47,85.22.5.234,1,0,20100113131453,20100113131453,unknown
48,Pittimann,1,1,20151105094117,20151105094117,unknown
49,Olag,1,0,20090731075642,20090731075642,unknown
50,Chaddy,1,1,20111023182626,20111023182626,unknown
51,Nikola Herweg,1,0,20040408234632,20040408234632,unknown
52,84.190.101.252,1,0,20060701154605,20060701154605,unknown
53,217.230.57.172,1,0,20071209013832,20071209013832,unknown
54,Dietrich,1,0,20090325053153,20090325053153,unknown
55,Richard Lenzen,1,1,20130727072304,20130727072304,unknown
56,Hadhuey,1,1,20060112203327,20060112203327,unknown
57,Riad.Bot,1,1,20081120200427,20081120200427,unknown
58,SassoBot,1,1,20100922035954,20100922035954,unknown
59,Laibwächter,1,1,20121219195033,20121219195033,unknown
60,87.191.148.240,1,0,20171124114839,20171124114839,unknown
61,HallucinoGenetic,1,0,20051009174149,20051009174149,unknown
62,Escarbot,1,1,20070215080542,20070215080542,unknown
63,DumZiBoT,1,1,20080614002243,20080614002243,unknown
64,91.9.252.62,1,0,20100304100930,20100304100930,unknown
65,GünniX,1,1,20160103101904,20160103101904,unknown
66,ConBot,1,1,20050604113119,20050604113119,unknown
67,84.154.118.251,1,0,20080318103757,20080318103757,unknown
68,82.82.185.159,1,0,20091124183323,20091124183323,unknown
69,Millbart,1,1,20111125173703,20111125173703,unknown
70,Windharp,1,1,20150511132137,20150511132137,unknown
71,83.216.224.1,1,0,20041103175005,20041103175005,unknown
72,RV,1,0,20061207123131,20061207123131,unknown
73,LinkFA-Bot,1,0,20090710041606,20090710041606,unknown
74,217.232.103.30,1,0,20110325111003,20110325111003,unknown
75,Itti,1,1,20131104073416,20131104073416,unknown
76,Auto,1,0,20060331233817,20060331233817,unknown
77,DorganBot,1,1,20071114162748,20071114162748,unknown
78,Paul.Matthies,1,0,20081228025514,20081228025514,unknown
79,Diddimus,1,1,20110115224351,20110115224351,unknown
80,Tsca.bot,1,1,20051110211045,20051110211045,unknown
81,YonaBot,1,1,20070426012121,20070426012121,unknown
82,CSp1980,1,1,20100529012313,20100529012313,unknown
83,Hajo Keffer,1,1,20120928115948,20120928115948,unknown
84,Veliensis,1,0,20160930124127,20160930124127,unknown
85,Wst,1,1,20050708134848,20050708134848,unknown
86,84.74.195.8,1,0,20070117185541,20070117185541,unknown
87,TXiKiBoT,1,1,20080531055700,20080531055700,unknown
88,Revvar,1,1,20100113131556,20100113131556,unknown
89,Diba,1,1,20111215072402,20111215072402,unknown
90,FNDE,1,1,20151105094235,20151105094235,unknown
91,Tom Jac,1,0,20050107091156,20050107091156,unknown
92,Vogelfrey,1,1,20090831092853,20090831092853,unknown
93,GrouchoBot,1,1,20111027172339,20111027172339,unknown
94,Maxim~dewiki,1,0,20060701175742,20060701175742,unknown
95,85.180.216.70,1,0,20071209154220,20071209154220,unknown
96,87.174.48.199,1,0,20090501101151,20090501101151,unknown
97,Chlewbot,1,1,20060209055707,20060209055707,unknown
98,85.176.26.20,1,0,20071006181835,20071006181835,unknown
99,Fish-guts,1,1,20171124114846,20171124114846,unknown
100,Tox,1,0,20051009174541,20051009174541,unknown
101,Hildegund,1,1,20100330183737,20100330183737,unknown
102,ChuispastonBot,1,1,20120419191528,20120419191528,unknown
103,Krdbot,1,1,20160112091852,20160112091852,unknown
104,Maya,1,0,20050608182731,20050608182731,unknown
105,87.172.153.118,1,0,20080322131114,20080322131114,unknown
106,Regi51,1,1,20091124183337,20091124183337,unknown
107,78.34.44.85,1,0,20111203062934,20111203062934,unknown
108,Boshomi,1,0,20150517081954,20150517081954,unknown
109,Bierdimpfl,1,1,20041104010034,20041104010034,unknown
110,Thijs!bot,1,1,20061217214620,20061217214620,unknown
111,La Corona,1,0,20110325111017,20110325111017,unknown
112,Grey Geezer,1,0,20131119073021,20131119073021,unknown
113,221.220.115.134,1,0,20060602113837,20060602113837,unknown
114,Oschoett,1,1,20071117235259,20071117235259,unknown
115,Karsten11,1,0,20090106121943,20090106121943,unknown
116,87.168.46.127,1,0,20110209073201,20110209073201,unknown
117,VVVBot,1,1,20070507135433,20070507135433,unknown
118,134.61.78.15,1,0,20100529102857,20100529102857,unknown
119,Kasirbot,1,1,20121116232058,20121116232058,unknown
120,RedBot,1,1,20050708173222,20050708173222,unknown
121,Korinth,1,1,20070117191647,20070117191647,unknown
122,91.47.168.152,1,0,20080602181650,20080602181650,unknown
123,MondalorBot,1,1,20100131101002,20100131101002,unknown
124,Chef,1,1,20050207141029,20050207141029,unknown
125,213.39.181.194,1,0,20080314102054,20080314102054,unknown
126,91.34.249.172,1,0,20090913144940,20090913144940,unknown
127,Memorino,1,0,20111121181728,20111121181728,unknown
128,Dexbot,1,1,20150103040930,20150103040930,unknown
129,Napa,1,1,20040414153911,20040414153911,unknown
130,KatBot,1,1,20060929192839,20060929192839,unknown
131,TheWolf,1,1,20071209154231,20071209154231,unknown
132,Kleinbär,1,0,20110314142639,20110314142639,unknown
133,Gurion,1,0,20060215205720,20060215205720,unknown
134,JAnDbot,1,1,20071109134614,20071109134614,unknown
135,Sa-se,1,0,20081126071831,20081126071831,unknown
136,Addbot,1,1,20130403143314,20130403143314,unknown
137,2003:5F:CD2A:E00:7066:8630:8C49:C772,1,0,20181117122553,20181117122553,unknown
138,80.145.103.172,1,0,20051031093406,20051031093406,unknown
139,Musik-chris,1,1,20070413211005,20070413211005,unknown
140,Micwil,1,1,20080624071323,20080624071323,unknown
141,WissensDürster,1,1,20100414073301,20100414073301,unknown
142,Darian,1,1,20120712222048,20120712222048,unknown
143,Dr. Karl-Heinz Best,1,0,20160423193147,20160423193147,unknown
144,Fgb,1,0,20050615144856,20050615144856,unknown
145,TobeBot,1,1,20100103125450,20100103125450,unknown
146,ChristophDemmer,1,1,20041208105518,20041208105518,unknown
147,Maron W,1,1,20090731004705,20090731004705,unknown
148,Jesi,1,0,20110429082434,20110429082434,unknown
149,Don Magnifico,1,1,20140323091443,20140323091443,unknown
150,YurikBot,1,1,20060612103034,20060612103034,unknown
151,RobertLechner,1,1,20071202133228,20071202133228,unknown
152,Mr. Mustard,1,0,20090106124736,20090106124736,unknown
153,Geierkrächz,1,1,20110209073206,20110209073206,unknown
154,Mikered,1,0,20130706100545,20130706100545,unknown
155,Marco K.,1,1,20070510172338,20070510172338,unknown
156,Korny78,1,1,20100726154626,20100726154626,unknown
157,Makecat-bot,1,1,20121117075505,20121117075505,unknown
158,Wowo2008,1,0,20170731081018,20170731081018,unknown
159,Karl-Henner,1,1,20050807205912,20050807205912,unknown
160,CHAS0R,1,1,20070210155401,20070210155401,unknown
161,Kevang,1,0,20080611013911,20080611013911,unknown
162,217.228.126.20,1,0,20100219105614,20100219105614,unknown
163,HГq,1,1,20160102173402,20160102173402,unknown
164,Der Eberswalder,1,0,20050313171713,20050313171713,unknown
165,Stammzelle,1,0,20080317212732,20080317212732,unknown
166,Peter200,1,1,20090913145000,20090913145000,unknown
167,Hojokendal,1,0,20111125144447,20111125144447,unknown
168,149.226.255.200,1,0,20150511132114,20150511132114,unknown
169,80.132.230.22,1,0,20040415092454,20040415092454,unknown
170,Anonyma,1,1,20061011115548,20061011115548,unknown
171,141.2.140.18,1,0,20071217122631,20071217122631,unknown
172,89.61.209.209,1,0,20090611181620,20090611181620,unknown
173,Se4598,1,1,20131104073025,20131104073025,unknown
174,Eskimbot,1,1,20060224135006,20060224135006,unknown
