,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Phrood,48,19,20050408192146,20090604162730,unknown
1,Der Stachel,29,7,20061009205657,20070830191614,unknown
2,Definition278,27,0,20070824124933,20070830165030,unknown
3,Weiße Rose,21,6,20050205211938,20060807113218,unknown
4,Dietrich,20,0,20060605063539,20090104172952,unknown
5,Ftr,15,2,20060220122843,20060220135144,unknown
6,Kpisimon,14,8,20090929150956,20150728171616,unknown
7,Jergen,13,4,20070625135332,20070625192411,unknown
8,87.244.156.171,11,0,20070531180632,20070531181514,unknown
9,Grenzgänger,10,1,20070716140112,20081220222015,unknown
10,Alkim Y,6,0,20111223132705,20130618060746,unknown
11,GLGerman,5,2,20070625134139,20070625155623,unknown
12,Anima,5,0,20051209202031,20060116210133,unknown
13,Neun-x,5,0,20120120151911,20161204215015,unknown
14,194.153.217.235,5,0,20080117141935,20080118072117,unknown
15,3ecken1elfer,5,0,20061009203339,20061009224718,unknown
16,Danyalov,4,1,20050731215353,20061009202843,unknown
17,Stefanbw,4,0,20160628230117,20160628230924,unknown
18,Olag,4,0,20131205091351,20131205092159,unknown
19,77.13.201.97,3,0,20150614020515,20150614021236,unknown
20,Horst Gräbner,3,2,20120714075359,20181107114549,unknown
21,Sinn,3,2,20070416080342,20070710150020,unknown
22,Merkið,3,3,20130218160254,20160110002347,unknown
23,Nere,3,3,20160426163549,20170603232345,unknown
24,95.91.237.254,3,0,20150727140129,20150729154349,unknown
25,Gugganij,3,1,20040728183149,20060807111739,unknown
26,Complex,3,3,20070710150101,20090217152418,unknown
27,93.201.116.41,3,0,20120211151644,20120211152224,unknown
28,84.162.210.60,3,0,20070710145747,20070710150053,unknown
29,Engelbaet,2,1,20090104134129,20090104134216,unknown
30,Nerd,2,0,20021102103158,20021107184736,unknown
31,Saguamundi,2,0,20130322165121,20130322170052,unknown
32,80.130.99.192,2,0,20060209095823,20060209095930,unknown
33,93.228.124.5,2,0,20170603232520,20170604134129,unknown
34,92.229.55.191,2,0,20110617172258,20110617172457,unknown
35,193.16.163.243,2,0,20041203194935,20041203195441,unknown
36,Mustionline~dewiki,2,0,20051223150714,20051224141229,unknown
37,Hirschfeldt,2,0,20181107104932,20181107111803,unknown
38,Demophilo,2,0,20080304022303,20080310184822,unknown
39,Aeromix,2,0,20101115222045,20101115222115,unknown
40,Langec,2,2,20040620171406,20050205164504,unknown
41,46.206.184.167,2,0,20120217171803,20120217172703,unknown
42,93.208.101.229,2,0,20130830064326,20130830064549,unknown
43,Irmgard,2,1,20030809121119,20040816125334,unknown
44,Asthma,2,1,20060221212610,20061023074313,unknown
45,84.167.230.93,2,0,20080112140056,20080112140748,unknown
46,91.9.246.121,2,0,20080801135631,20080801135727,unknown
47,Rumbero,2,0,20121001010531,20121001010700,unknown
48,Porter2005,2,0,20061213004953,20070307170322,unknown
49,Libelula~dewiki,2,1,20060909132159,20060909132729,unknown
50,Hunne,2,2,20021105103729,20021105103821,unknown
51,MerlIwBot,2,2,20110630014058,20130116153910,unknown
52,Tfjt,2,1,20130207203742,20130207203821,unknown
53,ThePeritus,2,1,20070210183418,20070210183450,unknown
54,Themistokles1984,2,2,20090311132128,20090315013505,unknown
55,77.56.53.183,2,0,20130913225705,20130913225843,unknown
56,84.142.197.242,2,0,20050420143521,20050420143708,unknown
57,Dr. Otterbeck,2,0,20060325074516,20071108132257,unknown
58,ChoG,2,2,20150521060531,20150521060727,unknown
59,Boshomi,2,0,20151210060342,20151210214352,unknown
60,84.63.118.69,2,0,20060610102320,20060610102439,unknown
61,84.188.201.65,2,0,20081109004400,20081109004841,unknown
62,Mr. Froude,2,0,20150711111604,20150711111747,unknown
63,Marilyn.hanson,2,2,20041227113349,20050121195538,unknown
64,84.58.235.76,2,0,20061121095934,20061121100030,unknown
65,2003:42:2C57:1501:256B:731D:DCC3:CCFD,2,0,20160307150400,20160307150428,unknown
66,87.161.82.251,2,0,20090316181236,20090316181437,unknown
67,103II,2,1,20080117183458,20080311135444,unknown
68,136.199.223.52,2,0,20110314122432,20110314122544,unknown
69,Ilja Lorek,2,1,20140505224153,20150711112402,unknown
70,85.176.149.248,2,0,20060619175913,20060619175946,unknown
71,63.98.148.163,2,0,20050121001402,20050121001511,unknown
72,91.41.166.118,2,0,20141007082730,20141007082809,unknown
73,92.225.38.200,2,0,20090827164745,20090827165158,unknown
