,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Alstersegler,47,0,20180422155205,20180422170001,unknown
1,Cameljoe13,12,9,20080911193549,20100622080617,unknown
2,Etmot,9,5,20090811101021,20170925065710,unknown
3,Hardenacke,6,6,20080104214522,20080914134556,unknown
4,87.160.255.31,5,0,20080104215713,20080104221647,unknown
5,Tokota,4,2,20171208190602,20181015065100,unknown
6,66.171.228.31,3,0,20110728182811,20110728183047,unknown
7,Aka,3,3,20110731123319,20180131185256,unknown
8,84.59.70.189,3,0,20051028120011,20051028120905,unknown
9,RedBot,2,2,20090723051742,20090803163904,unknown
10,Schnabeltassentier,2,1,20150417095947,20181021121036,unknown
11,Kalorie,2,0,20091207212447,20130906110815,unknown
12,79.201.39.253,2,0,20130814101635,20130814101745,unknown
13,217.236.20.12,2,0,20050126104219,20050126104255,unknown
14,Olaf Kosinsky,2,1,20150213092832,20171208121522,unknown
15,Neuroca,2,0,20050613074352,20180122094833,unknown
16,Pelz,2,2,20090312213021,20111208224944,unknown
17,RoBri,2,1,20171209103642,20180507204431,unknown
18,87.160.243.120,2,0,20080106165220,20080106213438,unknown
19,NEXT903125,2,1,20101230002021,20101230002130,unknown
20,217.227.150.10,2,0,20050201191006,20050201191141,unknown
21,Stefan,2,2,20180105172131,20180128210401,unknown
22,Scooter,2,2,20051205232523,20140918190013,unknown
23,87.167.197.205,2,0,20150417095915,20150417100040,unknown
24,79.168.32.208,2,0,20110727214309,20110803124620,unknown
25,217.227.146.222,1,0,20050119220254,20050119220254,unknown
26,Seidl,1,1,20100521151209,20100521151209,unknown
27,Mittelhesse,1,1,20150201112848,20150201112848,unknown
28,Horst Gräbner,1,1,20180222091618,20180222091618,unknown
29,217.227.148.247,1,0,20050114190017,20050114190017,unknown
30,Oursana,1,0,20130925012532,20130925012532,unknown
31,Parvolus,1,0,20171210094842,20171210094842,unknown
32,Tehabe,1,1,20080818031906,20080818031906,unknown
33,Filzpantoffel,1,1,20110812200619,20110812200619,unknown
34,89.51.55.118,1,0,20060228204302,20060228204302,unknown
35,Micky Messer,1,0,20110531144438,20110531144438,unknown
36,Klaaschwotzer,1,0,20171019151250,20171019151250,unknown
37,217.227.144.217,1,0,20050306204523,20050306204523,unknown
38,NiggleA,1,0,20100615142848,20100615142848,unknown
39,Sepp Herberger,1,1,20180330153223,20180330153223,unknown
40,217.227.158.144,1,0,20050115113152,20050115113152,unknown
41,Learyx2012,1,0,20140918050619,20140918050619,unknown
42,SamWinchester000,1,0,20180204190057,20180204190057,unknown
43,Eikeklapper,1,0,20081216201831,20081216201831,unknown
44,188.124.129.139,1,0,20171209100933,20171209100933,unknown
45,2A02:908:8C1:A60:1C32:5321:D329:426A,1,0,20171208103023,20171208103023,unknown
46,80.228.66.73,1,0,20051026195038,20051026195038,unknown
47,Tilla,1,0,20101220132136,20101220132136,unknown
48,92.224.24.172,1,0,20160916091701,20160916091701,unknown
49,79.204.10.40,1,0,20190225171249,20190225171249,unknown
50,Miraki,1,0,20100529183954,20100529183954,unknown
51,109.41.65.243,1,0,20180306221407,20180306221407,unknown
52,Dundak,1,0,20050114222200,20050114222200,unknown
53,Kaffeeringe,1,0,20131211203935,20131211203935,unknown
54,CommonsDelinker,1,0,20180104111700,20180104111700,unknown
55,Berlinschneid,1,1,20110903175001,20110903175001,unknown
56,Louis63,1,1,20171208211808,20171208211808,unknown
57,84.144.114.228,1,0,20060303160035,20060303160035,unknown
58,Akkakk,1,0,20110611195743,20110611195743,unknown
59,Rabanusmaurus,1,0,20171020083040,20171020083040,unknown
60,Steschke,1,1,20100621222159,20100621222159,unknown
61,Der.Traeumer,1,1,20150417100434,20150417100434,unknown
62,Peter200,1,0,20050115120046,20050115120046,unknown
63,FishInWater,1,0,20100324224800,20100324224800,unknown
64,2003:4D:EB3F:F201:AD9B:3DF4:9165:6B41,1,0,20141011212417,20141011212417,unknown
65,Carlos Eggenstein,1,1,20180209231519,20180209231519,unknown
66,DE1588,1,0,20130910130619,20130910130619,unknown
67,Mellebga,1,0,20171208150618,20171208150618,unknown
68,Jcornelius,1,0,20171013092745,20171013092745,unknown
69,Frank Schulenburg,1,1,20190225171337,20190225171337,unknown
70,Jocian,1,1,20100606210023,20100606210023,unknown
71,Sebbot,1,0,20150214061007,20150214061007,unknown
72,InternetArchiveBot,1,0,20180325123000,20180325123000,unknown
73,217.246.145.23,1,0,20050114231009,20050114231009,unknown
74,Rapober,1,1,20090901155819,20090901155819,unknown
75,Trier1954,1,1,20140204125041,20140204125041,unknown
76,Jschorling,1,0,20081013125123,20081013125123,unknown
77,Definitiv,1,1,20111220145156,20111220145156,unknown
78,Aschmidt,1,1,20171208224203,20171208224203,unknown
79,87.160.197.248,1,0,20071206184230,20071206184230,unknown
80,Krdbot,1,0,20110705170608,20110705170608,unknown
81,Sambus1985,1,1,20171030102158,20171030102158,unknown
82,Ehrhardt,1,0,20050826193652,20050826193652,unknown
83,Bembo,1,0,20100713160107,20100713160107,unknown
84,Boshomi,1,0,20151023125746,20151023125746,unknown
85,2A01:598:A80B:AD52:C1DB:DB7B:FAC2:FD77,1,0,20180507204130,20180507204130,unknown
86,217.83.12.213,1,0,20050115170821,20050115170821,unknown
87,80.226.29.223,1,0,20100521151148,20100521151148,unknown
88,WernerPopken,1,1,20150108142550,20150108142550,unknown
89,2003:E4:C3D3:A000:4C40:94D9:718:F6AB,1,0,20180222091508,20180222091508,unknown
90,91.64.2.96,1,0,20090529132209,20090529132209,unknown
91,Aspiriniks,1,1,20130910134035,20130910134035,unknown
92,88.217.107.79,1,0,20171209113706,20171209113706,unknown
93,83.135.235.2,1,0,20080106200039,20080106200039,unknown
94,Giftmischer,1,1,20110812132543,20110812132543,unknown
95,Lujoho24,1,1,20171208184543,20171208184543,unknown
96,217.247.199.23,1,0,20110510091233,20110510091233,unknown
97,Caesar Mitis,1,0,20171019140802,20171019140802,unknown
98,Unscheinbar,1,1,20050201202238,20050201202238,unknown
99,193.17.244.2,1,0,20100614154706,20100614154706,unknown
100,WikiFreibeuter,1,0,20180329061809,20180329061809,unknown
101,Finanzer,1,0,20050114232008,20050114232008,unknown
102,Suppengrün,1,1,20090922183808,20090922183808,unknown
103,Mattstei,1,1,20140723071336,20140723071336,unknown
104,Bubo bubo,1,1,20180105192751,20180105192751,unknown
105,PaterMcFly,1,0,20081024193040,20081024193040,unknown
106,Umherirrender,1,1,20120704192902,20120704192902,unknown
107,Marcus Cyron,1,1,20171208234117,20171208234117,unknown
108,Thomas Schulte im Walde,1,1,20171113212524,20171113212524,unknown
109,217.83.120.161,1,0,20051024071510,20051024071510,unknown
110,Oge,1,0,20101215005948,20101215005948,unknown
111,2A02:8108:1BF:E088:F138:835F:40B8:12F8,1,0,20160830065227,20160830065227,unknown
112,Paul Ewe,1,1,20180919190430,20180919190430,unknown
