,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Lukati,87,2,20150719162243,20170617171740,unknown
1,ElTres,44,6,20150719185453,20190124154800,unknown
2,JosFritz,38,15,20150720011249,20160428160112,unknown
3,Miltrak,37,0,20150719161145,20160130110916,unknown
4,Eishöhle,36,28,20150719165646,20151223204246,unknown
5,Gallscooky,33,27,20170226134345,20180717152132,unknown
6,Be11,28,0,20150719180623,20151213163627,unknown
7,KorrekTOM,25,16,20150921130859,20160606074918,unknown
8,Mathesar,25,1,20150722132024,20170324161330,unknown
9,Potarator,18,0,20160626163756,20181015193933,unknown
10,Martin Sell,15,0,20160806193709,20181015040559,unknown
11,JagielloXXwieku,14,3,20150719203720,20151020203108,unknown
12,Nobody perfect,13,6,20150805125610,20170613131359,unknown
13,33cln33,13,8,20150917084515,20181015092838,unknown
14,Kukuk13,12,1,20150803211411,20151109112000,unknown
15,Robberey1705,11,0,20161114012432,20180706190301,unknown
16,Szkopski,11,1,20160512063102,20160923082958,unknown
17,Tastaturtest,11,0,20150907071548,20151112061451,unknown
18,Verzettelung,10,9,20150810165716,20161115133625,unknown
19,Macabu,10,3,20150719165925,20150728191218,unknown
20,Perrak,10,1,20151006104321,20181015110852,unknown
21,Cyve,10,1,20150720094558,20150726085608,unknown
22,Verschlusssache,10,1,20150719163238,20150916235435,unknown
23,Excolis,9,2,20150720173233,20160705102641,unknown
24,Horst Gräbner,8,5,20150723111520,20180715124050,unknown
25,JFKCom,8,2,20170124201907,20170414112509,unknown
26,Schwarze Feder,8,1,20150719162945,20150721002658,unknown
27,Tenorhornist5798,8,0,20170617161447,20180315004001,unknown
28,Daniel749,8,4,20161226142942,20181111140054,unknown
29,Giftzwerg 88,7,1,20150722082326,20181101085722,unknown
30,Aka,7,7,20150801171129,20181111132023,unknown
31,Philraith12,7,7,20150719163838,20150720143206,unknown
32,Anti.,7,1,20161113214306,20161113222209,unknown
33,79.221.133.10,7,0,20150805120645,20150806050327,unknown
34,SamWinchester000,7,0,20151117003520,20171116222745,unknown
35,Roentgenium111,7,1,20160513145155,20180917101325,unknown
36,Harry8,7,4,20150927103156,20181110184249,unknown
37,Mama Leone,6,3,20170312131843,20170823144242,unknown
38,Alnilam,6,1,20150821230617,20160626165218,unknown
39,Kleiner Stampfi,6,1,20150719174711,20150809151848,unknown
40,Nere,6,6,20150719214759,20170120224137,unknown
41,2.243.10.174,6,0,20160307213957,20160307220600,unknown
42,EH⁴²,6,4,20150719164912,20150720103410,unknown
43,79.221.144.135,6,0,20170312110836,20170312193659,unknown
44,Vincent Eisfeld,5,1,20150910135315,20170508085120,unknown
45,House1630,5,1,20151227130537,20160214222941,unknown
46,111Alpha,5,0,20150719183447,20160524124515,unknown
47,Ungeruehrt,4,4,20150719163520,20150720173226,unknown
48,Dorpater,4,0,20150728174715,20160516083414,unknown
49,Mwmarli,4,0,20170428160447,20170428160947,unknown
50,RoBri,4,4,20170927102228,20190226102814,unknown
51,X black X,4,0,20160124201345,20170327100549,unknown
52,AHZ,4,0,20160307214736,20160706183905,unknown
53,84.62.100.74,4,0,20150906032106,20150906032618,unknown
54,Bernd Vogel,4,0,20170105132803,20170515152509,unknown
55,JPWE,4,0,20170117122723,20170404172116,unknown
56,Kurator71,4,2,20160923090026,20160923115545,unknown
