,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,149,51,20050829194631,20120803194644,unknown
1,Olag,102,25,20090319105507,20130606203834,unknown
2,Sava,51,9,20050122125630,20051014021744,unknown
3,Chauki,44,2,20061007111132,20070109141515,unknown
4,Southpark,34,22,20040106185729,20061207185116,unknown
5,Livani,33,4,20070710074919,20081022010619,unknown
6,Barb,31,20,20050310142106,20060808135453,unknown
7,Charmrock,31,2,20090618075653,20111129183006,unknown
8,TobiasVetter,19,3,20111121095508,20120911225729,unknown
9,Zollstock,19,0,20051029134538,20051031151010,unknown
10,Emes,18,9,20050103210635,20111222214752,unknown
11,Weiße Rose,17,3,20050103234926,20060530221310,unknown
12,RV,14,2,20061128002810,20061219110552,unknown
13,Der Eberswalder,14,3,20050505223619,20070203082904,unknown
14,Freewolli,13,2,20070105141358,20070114232154,unknown
15,Avantix,13,0,20060728013041,20061019035929,unknown
16,Sargoth,13,6,20071021105346,20160721135417,unknown
17,Helmut Zenz,12,0,20060209133036,20060217100728,unknown
18,EconomicProphet,10,0,20110330053240,20110513094559,unknown
19,UHT,10,4,20080731125920,20100311205944,unknown
20,213.6.233.244,9,0,20051001160111,20051001160727,unknown
21,H-stt,9,9,20070202103656,20071228093046,unknown
22,Unscheinbar,8,5,20040608114357,20050316145437,unknown
23,Ziko,7,0,20100302150342,20100408203703,unknown
24,Zwobot,7,7,20040315105300,20070126213623,unknown
25,Liberalprofi,7,0,20100114205631,20100324112054,unknown
26,217.184.102.107,6,0,20060726010358,20060726013218,unknown
27,Millbart,6,6,20080219162117,20171001112940,unknown
28,Mogelzahn,6,3,20050608121413,20060825193316,unknown
29,Xqbot,6,6,20090625213738,20131231190359,unknown
30,Centinel,6,2,20060204083759,20060904222515,unknown
31,217.88.227.125,6,0,20050312223416,20050312230558,unknown
32,FelMol,6,0,20101211175005,20111124195326,unknown
33,Pass3456,6,0,20110424220329,20150122213855,unknown
34,Qyerro,6,1,20111121121202,20120318090145,unknown
35,Aka,6,6,20061020193729,20180819180346,unknown
36,Ceterum censeo,5,0,20051030104036,20051211091638,unknown
37,Pexpil,5,3,20111113180709,20111116105104,unknown
38,131.220.132.231,5,0,20060823125034,20060823130421,unknown
39,Skriptor,5,4,20040327123712,20040504142102,unknown
40,Philokomos,5,0,20110107113752,20110107120816,unknown
41,84.73.63.114,5,0,20061015064406,20061015073222,unknown
42,Machahn,5,1,20060625154813,20071105171313,unknown
43,82.83.4.27,5,0,20041205230512,20041206004722,unknown
44,Mr. Mustard,5,0,20081018085214,20100518202130,unknown
45,Gurion,5,0,20060216203805,20060303121310,unknown
46,C.Löser,5,3,20050306085329,20060514153300,unknown
47,85.206.152.199,5,0,20060902113556,20060902131337,unknown
48,Shanul,5,3,20060222165832,20060608165820,unknown
49,Trinitrix,5,0,20130529004313,20151213195054,unknown
50,80.109.117.16,5,0,20051215173331,20061124212616,unknown
51,NL,5,0,20040504121045,20050104155350,unknown
52,FlaBot,5,5,20050102090422,20050615211148,unknown
53,82.83.62.9,5,0,20040710224640,20040710225858,unknown
54,85.206.151.196,4,0,20060902135439,20060902135739,unknown
55,62.99.243.82,4,0,20040414131319,20040414131708,unknown
56,Leif Czerny,4,1,20130604211828,20161110121408,unknown
57,Cyve,4,0,20141020195935,20141020202302,unknown
58,GuterSoldat,4,0,20060509225954,20060509231656,unknown
59,141.2.140.18,4,0,20071217084443,20080206122605,unknown
60,Mooond,4,0,20040802162049,20040905024316,unknown
61,Boonekamp,4,4,20100206192424,20111116112855,unknown
