,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Olag,109,7,20090915114431,20150930153244,unknown
1,RedZiz,64,0,20061022183421,20070819203314,unknown
2,Sargoth,59,23,20070703223304,20170829025902,unknown
3,138.232.1.229,51,0,20040913144131,20051004151413,unknown
4,Dominik.Kuehl,35,12,20130303000822,20140209181750,unknown
5,Barb,25,15,20050320001509,20060617171853,unknown
6,Chef,24,19,20041024211950,20051018145205,unknown
7,Southpark,24,23,20040313201318,20051222034240,unknown
8,NL,23,7,20040824082623,20050205122740,unknown
9,D,16,3,20040103022319,20041027210921,unknown
10,Büroklammer,15,4,20060617164622,20061201114125,unknown
11,Zinnmann,14,7,20050623101051,20180825004536,unknown
12,Enantiodromie,14,6,20090226123806,20100703222733,unknown
13,62.46.117.188,13,0,20040913234835,20041024161830,unknown
14,Stechlin,12,11,20040913165513,20041027174515,unknown
15,Aka,11,11,20060529204809,20181230235351,unknown
16,Flubber,11,6,20061102154945,20070208161114,unknown
17,Ulitz,10,2,20050131221956,20090214220256,unknown
18,Kosmo100,9,0,20100626091152,20100707150536,unknown
19,Der Ultraweise,9,0,20070607013615,20070607015228,unknown
20,Okin,9,2,20150304133137,20170905195922,unknown
21,Nescio*,9,0,20060521115902,20100626140513,unknown
22,84.137.44.223,8,0,20130303111038,20130303114214,unknown
23,Liberal Freemason,8,3,20061119011405,20090627191954,unknown
24,Julia69,7,4,20050805113626,20061031155321,unknown
25,Unscheinbar,7,5,20040920080108,20050215145757,unknown
26,Der Eberswalder,7,4,20051029115917,20061127232939,unknown
27,UHT,7,2,20080624111428,20100621123529,unknown
28,Stefan Volk,6,3,20040906125459,20040907162320,unknown
29,Georg Hügler,6,0,20170709155400,20180305182914,unknown
30,178.14.149.93,6,0,20170825221734,20170828210857,unknown
31,2.243.19.22,6,0,20140518115955,20140518123818,unknown
32,Airwave2k2,6,4,20130101151303,20150527164841,unknown
33,90.190.58.228,5,0,20071230124816,20071230160929,unknown
34,ThomasMullerHome,5,1,20080730233652,20080731000555,unknown
35,Longoy,5,1,20100617074244,20100619172209,unknown
36,Charmrock,5,1,20110413171639,20110414065744,unknown
37,84.154.26.192,5,0,20061128083137,20061128084137,unknown
38,Sol,5,1,20061103221611,20090508124859,unknown
39,Trickymaster,5,2,20090412064408,20090412070838,unknown
40,Sava,5,1,20050320130532,20051008220849,unknown
41,84.57.69.85,5,0,20060507201037,20060507202125,unknown
42,131.220.5.42,5,0,20061031114746,20061031115919,unknown
43,Stern,5,4,20040911182854,20041202121959,unknown
44,62.109.65.12,4,0,20040103012548,20040103013345,unknown
45,Bujo,4,0,20140617152709,20140617154434,unknown
46,Benatrevqre,4,2,20111208172859,20111210111107,unknown
47,80.139.25.239,4,0,20041111144923,20041111162544,unknown
48,62.46.116.116,4,0,20041026221806,20041026231119,unknown
49,Livani,4,0,20080403084905,20081214132631,unknown
50,85.216.17.217,4,0,20060118181700,20060118184221,unknown
51,84.57.69.121,4,0,20041016231356,20041016232051,unknown
52,Pcgod,3,0,20040919180549,20040919232214,unknown
53,Beyerw,3,1,20130311212553,20130316120201,unknown
54,Jed,3,2,20060211083624,20061202153949,unknown
55,JAnDbot,3,3,20080808120517,20110608123225,unknown
56,62.46.118.173,3,0,20041021204302,20041021204833,unknown
57,Dickbauch,3,3,20050523122035,20050523124746,unknown
58,OB-LA-DI,3,0,20080328195826,20080617075739,unknown
59,Matt Jenny,3,0,20061001223736,20070110205008,unknown
60,Regi51,3,3,20141211144440,20161104160431,unknown
61,Thomasmuellerhome,3,0,20081210085056,20090101123454,unknown
62,Delos,3,0,20040911175848,20040913150241,unknown
63,62.46.118.176,3,0,20041024213658,20041024215022,unknown
64,Scooter,3,2,20061129235821,20110308135541,unknown
65,83.171.164.30,3,0,20051022142824,20051022143305,unknown
66,Asthma,3,1,20080403035510,20100522180505,unknown
67,62.46.116.182,3,0,20041027210043,20041027210821,unknown
68,84.143.70.193,3,0,20050810063319,20050810064544,unknown
69,87.171.32.254,3,0,20130111004126,20130111004400,unknown
70,HenHei,3,2,20041024144906,20050807143114,unknown
71,Phyntos,3,1,20080517132331,20080517133133,unknown
72,84.191.42.96,3,0,20060220143829,20060220144941,unknown
73,85.178.223.9,3,0,20120222190914,20120222191104,unknown
74,80.136.58.6,3,0,20061029125120,20061029181736,unknown
75,86.71.163.114,3,0,20090629201034,20090629201525,unknown
76,Markus Levonyak,3,0,20051209182138,20051209190217,unknown
77,Stephan.rehfeld,3,0,20130929171435,20130929175952,unknown
78,Kriegslüsterner,3,0,20051011194535,20060327034001,unknown
79,Sabbrinaa,3,1,20160429101312,20160430111526,unknown
80,62.46.116.162,3,0,20040919180451,20040919181816,unknown
81,EmausBot,3,3,20110722122249,20121117164159,unknown
82,Betzy Weiss,3,0,20050523121001,20050523124532,unknown
83,62.46.117.185,3,0,20041007001055,20041007001840,unknown
84,Jobu0101,3,3,20120517151648,20130723070750,unknown
85,Tsor,3,1,20050215170544,20061129152311,unknown
86,Klaus Frisch,3,1,20170701200739,20170903214548,unknown
87,Norrskensflamman,3,2,20080101102238,20080101113236,unknown
88,Mr. Mustard,3,1,20090412071254,20120919114316,unknown
89,195.93.60.138,3,0,20050717192521,20051002141601,unknown
90,Gonzo Greyskull,3,0,20100404204327,20100802190512,unknown
91,84.154.4.69,3,0,20061128092411,20061128094048,unknown
92,213.148.151.130,3,0,20040824153757,20040914131050,unknown
93,Macador,2,2,20050322154903,20050322155850,unknown
94,62.46.117.114,2,0,20050214191519,20050214191708,unknown
95,Panter Rei,2,2,20111203134923,20111203212702,unknown
96,84.57.72.147,2,0,20060613154254,20060613154354,unknown
97,Verschlusssache,2,1,20150209123002,20150209123053,unknown
98,62.46.117.88,2,0,20051018220706,20051018222631,unknown
99,LKD,2,2,20060507202238,20061128083217,unknown
100,Logograph,2,0,20140807095104,20171108071757,unknown
101,137.248.1.11,2,0,20061127123822,20061127123836,unknown
102,194.77.229.250,2,0,20040817101312,20040817101412,unknown
103,Benstadis,2,0,20080414215720,20080414223359,unknown
104,Schumir,2,2,20051006103049,20051006104202,unknown
105,84.149.107.169,2,0,20061108103116,20061108103728,unknown
106,80.140.79.182,2,0,20040313195530,20040313201035,unknown
107,Zoidberg,2,2,20041027203501,20041104210918,unknown
108,Nothere,2,2,20100915112816,20110128125644,unknown
109,Pass3456,2,0,20140209185329,20140729170622,unknown
110,Freedy,2,0,20050807090613,20051118161234,unknown
111,84.137.75.205,2,0,20130101164441,20130101180449,unknown
112,Infraschall,2,0,20100619100718,20100628111358,unknown
113,62.46.117.117,2,0,20051222032724,20051222034005,unknown
114,Luckas-bot,2,2,20110920232136,20120310210333,unknown
115,Fräggel,2,0,20061220195905,20080517150837,unknown
116,Nerd,2,1,20041216200630,20060212103117,unknown
117,84.63.43.200,2,0,20051113162910,20051113163055,unknown
118,2003:45:4B01:FA52:45C1:1B37:8B87:62B5,2,0,20161104160258,20161104160402,unknown
119,Ebertrainer,2,1,20080513150445,20080513150535,unknown
120,93.209.60.88,2,0,20130523123506,20130523123732,unknown
121,Pischdi,2,2,20061119175913,20061119180106,unknown
122,62.134.92.255,2,0,20040420105241,20040420105726,unknown
123,Zwobot,2,2,20070618232553,20080208225608,unknown
124,Muroshi,2,0,20180120092422,20180120094928,unknown
125,62.46.117.69,2,0,20040919231938,20040919232104,unknown
126,LinkFA-Bot,2,0,20080407153514,20090710041527,unknown
127,89.204.155.99,2,0,20120429233342,20120429234858,unknown
128,134.2.237.117,2,0,20050919175932,20050919180046,unknown
129,Marco K.,2,2,20070510171942,20070510172555,unknown
130,62.46.117.171,2,0,20040913201256,20040913203004,unknown
131,85.5.128.217,2,0,20080312024344,20080312024510,unknown
132,Jergen,2,2,20071230131348,20071230131516,unknown
133,Wotan,2,2,20040817101842,20041026164121,unknown
134,88.72.212.113,2,0,20070709150657,20070709153819,unknown
135,Recycle,2,2,20180807100341,20180807101008,unknown
136,194.209.166.27,2,0,20090116121201,20090116121224,unknown
137,84.185.82.119,2,0,20101221235046,20101221235202,unknown
138,145.120.1.185,2,0,20060126233206,20060126233307,unknown
139,Saure Fische,2,0,20061031152655,20061031183716,unknown
140,141.48.97.45,2,0,20150929151353,20150929152644,unknown
141,De rien,2,1,20090720153848,20090720155914,unknown
142,Snipsnapper,2,2,20060601170351,20070423175853,unknown
143,Luke081515Bot,2,0,20161116214057,20161119115341,unknown
144,62.46.117.239,2,0,20041020203603,20041020203621,unknown
145,62.46.117.80,2,0,20051013045524,20051013045805,unknown
146,Chauki,2,0,20061125180132,20061129172040,unknown
147,Finanzer,2,2,20041105112659,20041207002714,unknown
148,Pan Tau,2,1,20120430014030,20121104191316,unknown
149,138.232.104.225,2,0,20051004134857,20051018142819,unknown
150,Ute Erb,2,2,20130317143207,20140210021721,unknown
151,H7,2,2,20151226163655,20151226164009,unknown
152,Stammzelle,2,1,20080314021635,20080314023045,unknown
153,Klawuttke,2,0,20100617074448,20100617074528,unknown
154,Gardini,2,2,20060617171919,20061001220631,unknown
155,TaxonBot,2,0,20150330203226,20150330203241,unknown
156,62.46.117.182,2,0,20041207002459,20041207003343,unknown
