,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Jesusfreund,328,57,20050110024809,20100426163712,unknown
1,GS,178,30,20050829102913,20091228112853,unknown
2,Miltrak,162,1,20131019204744,20170424132737,unknown
3,Boris Fernbacher,102,2,20060905130808,20070603121623,unknown
4,Sargoth,50,25,20070123214201,20180215143848,unknown
5,Ulitz,49,14,20060111183925,20090506091813,unknown
6,Nuuk,42,13,20060106204844,20181218180759,unknown
7,Jeldrik,40,5,20051215132116,20060930214359,unknown
8,Inspektor.Godot,37,17,20060419194104,20070826131327,unknown
9,Herr Andrax,34,9,20050107033309,20080108150243,unknown
10,EscoBier,26,0,20061012095540,20080312181114,unknown
11,Hardenacke,26,15,20070823152646,20181218181725,unknown
12,Fräggel,26,2,20060821063916,20080608204850,unknown
13,Hartmut Banske,22,1,20070823225520,20070826092127,unknown
14,Rafl,19,3,20050708105304,20060410234905,unknown
15,Friedrich123,18,4,20060930182649,20070523235105,unknown
16,Tohma,16,1,20080906091826,20181213090009,unknown
17,Dr.Apefce,14,1,20070820015100,20070825201932,unknown
18,Krautrose,14,2,20080108133345,20080116054950,unknown
19,Niedergrund,14,6,20111006085238,20131107221246,unknown
20,Arcy,14,2,20081122144420,20100911172721,unknown
21,Gay-Online,14,0,20060107141452,20060111215043,unknown
22,Hao Xi,14,7,20080216204533,20090105190802,unknown
23,Rita2008,13,0,20110213160317,20181218180130,unknown
24,Weiße Rose,13,3,20060106222145,20060915203457,unknown
25,Fossa,12,2,20070115165048,20090919182118,unknown
26,Zaphiro,11,11,20050730090859,20070525190757,unknown
27,24karamea,11,3,20101022153632,20180220103113,unknown
28,Arbeiter- und Bauernmacht,9,5,20090202165747,20090331185704,unknown
29,Pink Evolution,9,1,20070820225047,20070824230639,unknown
30,Rosa Liebknecht,9,0,20070525202047,20070526075827,unknown
31,Mannerheim,9,2,20081115122039,20081224030744,unknown
32,JosFritz,9,4,20141002192910,20160415071248,unknown
33,Der Stachel,9,4,20070128193055,20070824225105,unknown
34,Nico b.,8,2,20100120194714,20161026183113,unknown
35,Southpark,8,6,20040222124153,20060410225736,unknown
36,Konsular,8,7,20050816200346,20050816212211,unknown
37,3ecken1elfer,8,0,20070523194721,20080608001248,unknown
38,Gonzo Greyskull,7,2,20091226202303,20110901181856,unknown
39,Carolus.Abraxas,7,0,20120530010504,20120601170305,unknown
40,Berlin-Jurist,7,1,20051228225948,20091227100837,unknown
41,Sue me in Florida,7,4,20070512171028,20070512183626,unknown
42,Revvar,7,7,20070527100542,20070604193829,unknown
43,Subamaggus,6,2,20160203173533,20160520170807,unknown
44,Pausenclown,6,2,20070630161825,20070630165837,unknown
45,Sebbbbb,6,1,20050125050338,20050125051329,unknown
46,Marco K.,6,2,20060618123117,20070512172141,unknown
47,RobertLechner,6,6,20040310231537,20161230135507,unknown
48,195.93.60.132,6,0,20060410225625,20060410231456,unknown
49,Gustav von Aschenbach,6,4,20090505133752,20170925013511,unknown
50,Pluriscient,5,1,20040221181826,20040222152725,unknown
51,Pittimann,5,5,20120227143619,20190128135145,unknown
52,62.111.103.158,5,0,20070822100655,20070822105017,unknown
53,Häuslebauer,5,0,20111205171820,20161125132759,unknown
54,217.85.82.157,5,0,20070525132857,20070525161412,unknown
55,Tsui,5,2,20050507195730,20060226224252,unknown
56,Aka,5,5,20081220225300,20181213093059,unknown
57,Themistokles1984,5,5,20090811115558,20090811122917,unknown
58,Giro,5,3,20060915210416,20090919175835,unknown
59,Homo Politicus,5,0,20050704230308,20050707221622,unknown
60,172.158.213.144,5,0,20070128163920,20070128164534,unknown
61,Hermes31,5,0,20080108135446,20080108144641,unknown
62,Eishöhle,5,4,20150224173803,20150224180853,unknown
63,Markooo,5,3,20110625073359,20110629115610,unknown
64,Tönjes,5,3,20070128163952,20171111184807,unknown
65,Q-ß,5,2,20091226161210,20140710092037,unknown
66,217.83.89.120,5,0,20040222200105,20040222202751,unknown
67,Mathias Schindler,5,5,20040222002521,20040222203042,unknown
68,Birnenschnaps,5,0,20051228201000,20051228213401,unknown
69,Friedrich Marx,4,0,20080607111427,20080607120541,unknown
70,89.53.168.115,4,0,20070126213820,20070127181617,unknown
71,Naturistvernunft,4,0,20070505202822,20070505203124,unknown
72,Isa Blake,4,0,20121029112215,20121230121215,unknown
73,Cogito2,4,0,20051014062446,20051014085826,unknown
74,Jergen,4,1,20070514125041,20161005140749,unknown
