,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,B. Gutleben,57,8,20050301185648,20181015094303,unknown
1,Chauki,14,0,20061125193524,20061210082034,unknown
2,Livani,13,0,20080907114157,20080917092245,unknown
3,C.Löser,11,3,20050824230041,20060616164050,unknown
4,Freigut,10,7,20150520143458,20161010102716,unknown
5,Ot,7,2,20090313111158,20180727053452,unknown
6,Mr. Mustard,7,0,20090401210449,20100107134148,unknown
7,Gegen den Strom,5,1,20080514103510,20080707161744,unknown
8,Ceterum censeo,5,1,20051115121207,20060331220915,unknown
9,Weiße Rose,5,3,20050125004132,20060413191911,unknown
10,DerMorgen,5,0,20080917220921,20080917224330,unknown
11,200.120.36.192,4,0,20110928160111,20110928161855,unknown
12,Ziko,4,0,20120518160430,20121001205319,unknown
13,Aka,4,4,20060426195448,20180121173716,unknown
14,Bahrmatt,4,4,20130321144910,20161128162127,unknown
15,Constanz~dewiki,3,3,20060727160703,20060729084250,unknown
16,Ulitz,3,3,20060122215553,20061209170339,unknown
17,79.213.159.104,3,0,20181128081952,20181128082333,unknown
18,KarlV,3,0,20051115132321,20051117075604,unknown
19,Bestmensch,3,0,20080731055709,20080819071128,unknown
20,Schwijker,3,3,20090813143934,20100108133702,unknown
21,Thmonline,3,2,20150915225157,20170115123627,unknown
22,Willomitz,3,0,20180629185549,20181017182301,unknown
23,Karla m,3,2,20080605234251,20080606101853,unknown
24,84.75.131.39,3,0,20110616155736,20110616182028,unknown
25,Luckas-bot,3,3,20100502104929,20120205113214,unknown
26,Mannerheim,3,0,20080427120000,20080427120130,unknown
27,Verum,3,1,20090424200353,20180525164927,unknown
28,2003:D1:71B:A600:AC20:440F:312B:FC8B,3,0,20180726214805,20180726215230,unknown
29,84.185.60.36,3,0,20051107174709,20051107180745,unknown
30,85.2.155.149,3,0,20110616181344,20110616182407,unknown
31,Cekay,2,2,20120915171014,20141002214142,unknown
32,NeeRoo,2,0,20100528020707,20100528021957,unknown
33,ElTres,2,0,20111012074636,20111012074921,unknown
34,Bujo,2,0,20160222222329,20160320174302,unknown
35,VolkovBot,2,2,20090430215155,20111123082127,unknown
36,212.204.7.240,2,0,20050219014224,20050219014357,unknown
37,92.226.221.58,2,0,20090401210121,20090401211506,unknown
38,DaniNydal,2,0,20180220224355,20180220234630,unknown
39,87.184.88.7,2,0,20070801210353,20070801210426,unknown
40,GrouchoBot,2,2,20081002171236,20120701210010,unknown
41,80.187.99.147,2,0,20100107133110,20100107133300,unknown
42,79.210.102.31,2,0,20170927133007,20170927133038,unknown
43,Offbeat,2,0,20161008093418,20161008093502,unknown
44,Chaddy,2,2,20110114192110,20110114192139,unknown
45,194.121.48.2,2,0,20060517084736,20060517084851,unknown
46,87.123.140.154,2,0,20181008101034,20181008101059,unknown
47,Horst-schlaemma,2,2,20150915101359,20150921005755,unknown
48,217.250.76.12,2,0,20071114170559,20071114170631,unknown
49,Micha99,2,0,20051003193050,20051003193312,unknown
50,EH⁴²,2,1,20101011145322,20150125132412,unknown
51,Ruhestörer,2,2,20060413191056,20060413192154,unknown
52,Xqbot,2,2,20100427194330,20121027020504,unknown
53,ChuispastonBot,2,2,20120122160352,20120314064713,unknown
54,Martinwilke1980,2,1,20070806174334,20070806174501,unknown
55,De rien,2,1,20090117204612,20090121115501,unknown
56,79.194.81.24,2,0,20170929110900,20170929111127,unknown
57,Chrisandres,2,0,20161119130625,20161119131718,unknown
58,Kochel86,2,0,20121026173513,20121205082036,unknown
59,84.173.112.122,2,0,20181112122253,20181112123811,unknown
60,Irakli,2,2,20070427071706,20070516000721,unknown
61,217.190.231.120,2,0,20060323142459,20060323142613,unknown
62,Olag,2,0,20090319093746,20090320112624,unknown
63,2A02:8071:898:5500:4C90:28B1:D4BB:70A6,2,0,20141019130028,20141019130856,unknown
64,84.141.240.179,2,0,20060113075205,20060113075319,unknown
65,178.4.220.176,2,0,20180120171157,20180120171415,unknown
66,Thijs!bot,2,2,20070127142353,20080414210647,unknown
67,80.187.98.56,2,0,20100102181641,20100102181747,unknown
68,77.177.231.190,2,0,20070617185116,20070617185253,unknown
69,212.204.10.125,2,0,20050910103844,20050910113310,unknown
70,Kängurutatze,2,1,20160318144804,20160521003828,unknown
71,Bernd.Brincken,2,1,20150127191630,20150127192148,unknown
72,79.247.104.225,2,0,20090313110931,20090313111043,unknown
73,Jed,2,2,20051210204059,20100906192118,unknown
74,77.1.240.252,2,0,20110416075055,20110416075325,unknown
75,Schnabeltassentier,2,2,20181112122306,20181128082342,unknown
76,83.135.205.120,1,0,20080325213003,20080325213003,unknown
77,Parteienforscher,1,1,20090624182616,20090624182616,unknown
78,Julius1990,1,0,20110113094730,20110113094730,unknown
79,80.134.191.166,1,0,20050323195708,20050323195708,unknown
80,80.187.106.0,1,0,20151019110005,20151019110005,unknown
81,80.132.253.115,1,0,20060501145745,20060501145745,unknown
82,GjR,1,1,20180831101859,20180831101859,unknown
83,Ticketautomat,1,0,20070416200214,20070416200214,unknown
84,80.131.253.117,1,0,20080114170538,20080114170538,unknown
85,Havelbaude,1,0,20090402072551,20090402072551,unknown
86,79.239.60.222,1,0,20120202235058,20120202235058,unknown
87,130.226.173.23,1,0,20041210235037,20041210235037,unknown
88,80.243.40.68,1,0,20060309152957,20060309152957,unknown
89,KleinMuffin,1,1,20180327180328,20180327180328,unknown
90,K.J.Bot~dewiki,1,1,20070225033701,20070225033701,unknown
91,Rusti,1,0,20071011140615,20071011140615,unknown
92,Hozro,1,1,20090313111030,20090313111030,unknown
93,StYxXx,1,1,20100312085201,20100312085201,unknown
94,Dexbot,1,1,20140902061909,20140902061909,unknown
95,E^(nix),1,1,20051221021913,20051221021913,unknown
96,EckhardLieb,1,0,20180108113316,20180108113316,unknown
97,Nahabedere,1,0,20070122151943,20070122151943,unknown
98,85.178.26.182,1,0,20070709101332,20070709101332,unknown
99,AlnoktaBOT,1,1,20080830101353,20080830101353,unknown
100,80.187.101.85,1,0,20091224161531,20091224161531,unknown
101,87.187.179.67,1,0,20110725175423,20110725175423,unknown
102,Merkið,1,1,20130923114229,20130923114229,unknown
103,Forevermore,1,1,20050930223136,20050930223136,unknown
104,Informationswiedergutmachung,1,1,20170522164216,20170522164216,unknown
105,85.178.23.39,1,0,20061030191439,20061030191439,unknown
106,194.95.179.131,1,0,20070615054552,20070615054552,unknown
107,SieBot,1,1,20090910175907,20090910175907,unknown
108,Letdemsay,1,0,20110419213106,20110419213106,unknown
109,Brunobruno1,1,0,20121117164559,20121117164559,unknown
110,Logograph,1,1,20181112123829,20181112123829,unknown
111,Kyrre,1,0,20080225144925,20080225144925,unknown
112,217.226.223.208,1,0,20101010152555,20101010152555,unknown
113,AvocatoBot,1,1,20120429104438,20120429104438,unknown
114,Boovess,1,1,20150930100207,20150930100207,unknown
115,Akriesch,1,0,20060413175522,20060413175522,unknown
116,178.19.232.57,1,0,20180809120441,20180809120441,unknown
117,217.125.174.99,1,0,20070319235221,20070319235221,unknown
