,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Olaf Kosinsky,43,0,20170924163622,20181217154839,unknown
1,Cassandro,42,20,20170925064652,20171002072258,unknown
2,129.13.72.197,31,0,20170925081135,20171122125219,unknown
3,Andim,20,20,20170925200331,20190108205020,unknown
4,Onkelkoeln,13,13,20170926060026,20171029191054,unknown
5,CommonsDelinker,12,0,20171002142252,20181106164342,unknown
6,Rudolph Buch,10,9,20180131220142,20180209165755,unknown
7,Ephraim33,10,0,20170927061304,20171123204916,unknown
8,Daniel749,8,6,20170926163127,20171006105221,unknown
9,FDP Thüringen,8,2,20171219120015,20190117091712,unknown
10,Jakob Gottfried,8,0,20170925080533,20170926101923,unknown
11,Robert Weemeyer,7,2,20171023170518,20181108205938,unknown
12,Springhead,7,0,20180515190951,20180523205014,unknown
13,Dateientlinkerbot,6,0,20170926144539,20181017162607,unknown
14,Definitiv,6,0,20170926071702,20170926080702,unknown
15,Interessierterch,5,0,20170925014934,20171006094423,unknown
16,Christallkeks,5,0,20170926024303,20170926162512,unknown
17,LiterallySimon,5,2,20170925150207,20170926235130,unknown
18,Cyve,5,0,20170930130237,20181127093440,unknown
19,Wo st 01,4,3,20170926103038,20170926114733,unknown
20,DerMeininger,4,1,20170926194631,20170927150909,unknown
21,Bormaschine,4,0,20170925120625,20171007225626,unknown
22,Kawana,4,0,20170925143700,20170925144740,unknown
23,Paddy1111~dewiki,3,2,20170927230723,20180213155524,unknown
24,Computer*Kid98,3,0,20171104131112,20171104155832,unknown
25,92.74.64.150,3,0,20170924201440,20170924205113,unknown
26,KimHolgerKelting,3,0,20180207195251,20180209232213,unknown
27,31.205.251.206,3,0,20170925081247,20170925082050,unknown
28,Urgelein,3,2,20171014140013,20171015075432,unknown
29,Sänger,3,0,20180919171956,20180927195011,unknown
30,Invisigoth67,3,1,20180524171001,20180524171335,unknown
31,ClenX,3,0,20181108193243,20181108194125,unknown
32,79.220.39.190,3,0,20180317165937,20180318081348,unknown
33,Skendix,3,0,20170930202204,20170930212100,unknown
34,2003:ED:4BC1:2100:80A7:88E:9AEE:FB6F,3,0,20170925074206,20170925142620,unknown
35,Berlinschneid,3,0,20171219115717,20180920174354,unknown
36,Kresspahl,3,3,20170925105950,20171116125945,unknown
37,David Wintzer,3,3,20171205095705,20181017164038,unknown
38,Aspiriniks,2,1,20170925174552,20170925184124,unknown
39,Informationswiedergutmachung,2,2,20171126174456,20171228115247,unknown
40,Raymond,2,0,20171217184908,20180709145740,unknown
41,WinfriedSchneider,2,2,20181219191534,20181220014834,unknown
42,Nuuk,2,2,20170925213520,20170926073103,unknown
43,Jensbest,2,0,20171020060733,20171104135735,unknown
44,Fit,2,0,20171019191643,20171024110950,unknown
45,MartinV,2,2,20171105002019,20180920200507,unknown
46,Karim,2,0,20170926071731,20170926072330,unknown
47,WikiFreibeuter,2,1,20170927113829,20170927131851,unknown
48,Max221B,2,0,20170925090621,20170925162120,unknown
49,Dietrich,2,0,20170925060855,20170925090006,unknown
50,MiloleipBerlama,2,2,20171018232825,20171018232923,unknown
51,Feldstadtschwerin,2,1,20170925053349,20170925053444,unknown
52,ThisIsForEveryone,2,1,20171004191607,20171004191657,unknown
53,Gesundbrunnen Berlin,2,1,20171020201337,20171107201437,unknown
54,A.Savin,2,1,20171021004825,20171021004925,unknown
55,46.125.250.65,1,0,20170925201331,20170925201331,unknown
56,Lómelinde,1,1,20170927152648,20170927152648,unknown
57,Markobr,1,0,20171004112506,20171004112506,unknown
58,Weizenbuddy,1,1,20171005121441,20171005121441,unknown
59,193.197.92.63,1,0,20180514123155,20180514123155,unknown
60,Martina Nolte,1,0,20171024052345,20171024052345,unknown
61,Steigi1900,1,0,20170925224822,20170925224822,unknown
62,188.99.118.140,1,0,20171004120738,20171004120738,unknown
63,DirkV71,1,0,20171007094225,20171007094225,unknown
64,Jesi,1,0,20190127114223,20190127114223,unknown
65,Greyt,1,1,20171020144823,20171020144823,unknown
66,89.13.150.182,1,0,20170926073755,20170926073755,unknown
67,St. Krug,1,0,20181001221708,20181001221708,unknown
68,TorstenKoopmann,1,0,20170925102906,20170925102906,unknown
69,Asset Alemap,1,1,20171025130740,20171025130740,unknown
70,194.39.218.10,1,0,20190109080324,20190109080324,unknown
71,Miebner,1,0,20171104222757,20171104222757,unknown
72,Charmingdragon,1,1,20170930174511,20170930174511,unknown
73,Mxlv,1,0,20170925112400,20170925112400,unknown
74,217.7.154.251,1,0,20180209102444,20180209102444,unknown
75,Vincent Eisfeld,1,0,20171006111759,20171006111759,unknown
76,2003:D0:E3C9:D400:2106:C4B9:DB76:13BE,1,0,20170927000339,20170927000339,unknown
77,Neuroca,1,0,20171024070359,20171024070359,unknown
78,Vdhalle,1,0,20170925181410,20170925181410,unknown
79,94.222.202.52,1,0,20170925210640,20170925210640,unknown
80,Perrak,1,0,20171017172004,20171017172004,unknown
81,134.61.167.66,1,0,20170925033102,20170925033102,unknown
82,Steffen Löwe Gera,1,1,20181219195759,20181219195759,unknown
83,LucaCR,1,1,20180914123200,20180914123200,unknown
84,2001:4DD5:7076:0:8097:9D7F:3191:4996,1,0,20180925210838,20180925210838,unknown
85,Roentgenium111,1,0,20170928201017,20170928201017,unknown
86,Schwabe,1,0,20180224180701,20180224180701,unknown
87,178.8.100.218,1,0,20171128193812,20171128193812,unknown
88,ThorstenNY,1,1,20171120201742,20171120201742,unknown
89,Amada44,1,0,20180518194909,20180518194909,unknown
90,Tidoni,1,1,20180620142052,20180620142052,unknown
91,87.123.57.254,1,0,20170926161538,20170926161538,unknown
92,Grugerio,1,0,20170926061510,20170926061510,unknown
93,Flvxx,1,0,20190223142215,20190223142215,unknown
94,91.96.191.255,1,0,20170925170451,20170925170451,unknown
95,BuBerlinoBu,1,1,20171017142450,20171017142450,unknown
96,79.233.9.233,1,0,20190203173419,20190203173419,unknown
97,FDP Fraktion Niedersachsen,1,0,20171023081505,20171023081505,unknown
98,178.2.95.188,1,0,20170929212502,20170929212502,unknown
99,AchimP,1,0,20171025142853,20171025142853,unknown
100,217.227.66.203,1,0,20170925225310,20170925225310,unknown
101,Jcornelius,1,1,20171006164846,20171006164846,unknown
102,Wickie37,1,1,20181208113044,20181208113044,unknown
103,Excolis,1,0,20170928180841,20170928180841,unknown
104,Seilbahn121,1,1,20180116205630,20180116205630,unknown
105,MSchnitzler2000,1,0,20170925203006,20170925203006,unknown
106,KL052,1,0,20190224105944,20190224105944,unknown
107,2003:CD:374B:E572:E031:34CA:2C8F:6584,1,0,20181212115512,20181212115512,unknown
108,MatthiasDD,1,0,20171230173745,20171230173745,unknown
109,Matbla7,1,0,20171012154826,20171012154826,unknown
110,87.178.9.95,1,0,20171203152615,20171203152615,unknown
111,Schnabeltassentier,1,0,20181208053854,20181208053854,unknown
112,91.96.185.171,1,0,20170926172220,20170926172220,unknown
113,Saukerl88,1,1,20170926073440,20170926073440,unknown
114,2.161.250.73,1,0,20170925191950,20170925191950,unknown
115,BuschBohne,1,1,20170925210420,20170925210420,unknown
116,Arne,1,1,20180420175517,20180420175517,unknown
117,Omerzu,1,0,20170927195104,20170927195104,unknown
118,2003:CD:373B:FCE1:C154:723:8CDC:C198,1,0,20180320164237,20180320164237,unknown
119,Slökmann,1,0,20170926021948,20170926021948,unknown
120,93.122.78.57,1,0,20171004105342,20171004105342,unknown
121,Imzadi,1,1,20181005044446,20181005044446,unknown
122,91.198.67.77,1,0,20170926062209,20170926062209,unknown
123,Eppelheim,1,0,20171023115912,20171023115912,unknown
124,Kymbrium,1,1,20181217204428,20181217204428,unknown
125,Ralf Roletschek,1,0,20171011230449,20171011230449,unknown
126,Zbrnajsem,1,0,20171020071606,20171020071606,unknown
127,Mflum,1,0,20170925141249,20170925141249,unknown
