,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,19,0,20031205163007,20060117131224,unknown
1,.js,14,0,20151229005907,20151229012532,unknown
2,EBB,6,6,20051017185938,20091104090513,unknown
3,84.130.254.110,5,0,20050825215840,20050825221600,unknown
4,ElTres,4,0,20130823133454,20171005085934,unknown
5,62.158.101.7,4,0,20131105101840,20131105102309,unknown
6,Felix König,3,2,20101112200235,20130712092749,unknown
7,W!B:,3,2,20120711144122,20150126190747,unknown
8,Pittimann,3,3,20131105102316,20180921073726,unknown
9,95.208.146.195,3,0,20111123105648,20111123110311,unknown
10,Benatrevqre,3,0,20160803152240,20160803152416,unknown
11,Ziko,3,0,20160304213736,20160802203923,unknown
12,Aka,3,3,20061115141805,20160518203705,unknown
13,Iiigel,3,0,20100305142836,20110415162429,unknown
14,82.135.74.67,3,0,20051013110723,20051013111322,unknown
15,Funnyeric,2,1,20081222093332,20081222093617,unknown
16,Steinsplitter,2,2,20131105101845,20131105102220,unknown
17,80.144.19.142,2,0,20050106004055,20050106004235,unknown
18,Steffen M.,2,1,20051010212209,20051010212430,unknown
19,Regi51,2,2,20160523103922,20171016144945,unknown
20,Maxl,2,2,20051013153141,20091023135440,unknown
21,77.119.131.216,2,0,20160226130809,20160226131037,unknown
22,87.122.170.88,2,0,20140129100802,20140129100904,unknown
23,89.144.193.101,2,0,20131022193003,20131022193031,unknown
24,Rapober,2,2,20090525192308,20111123122624,unknown
25,Harro von Wuff,2,2,20041227120230,20060115060316,unknown
26,Nightflyer,2,2,20111123105659,20111123105742,unknown
27,217.86.77.200,2,0,20161102161513,20161102161548,unknown
28,84.153.123.165,2,0,20051017173605,20051017173759,unknown
29,WikiNight,2,1,20071119133520,20071119134835,unknown
30,Pakeha,1,1,20180314131639,20180314131639,unknown
31,Hardenacke,1,1,20070203201645,20070203201645,unknown
32,92.78.110.236,1,0,20130711152240,20130711152240,unknown
33,Herzschlagstadt,1,0,20170907112638,20170907112638,unknown
34,84.154.207.199,1,0,20060117164332,20060117164332,unknown
35,ZéroBot,1,1,20120107184709,20120107184709,unknown
36,Centenier,1,1,20161102161616,20161102161616,unknown
37,Aligator2013,1,1,20091017154948,20091017154948,unknown
38,SamWinchester000,1,0,20131215184102,20131215184102,unknown
39,80.187.109.146,1,0,20190122110639,20190122110639,unknown
40,Morgenstund,1,1,20080121130750,20080121130750,unknown
41,BA123,1,0,20131018152226,20131018152226,unknown
42,Logograph,1,1,20171114075426,20171114075426,unknown
43,Srbauer,1,0,20041016170520,20041016170520,unknown
44,134.155.90.60,1,0,20060824110211,20060824110211,unknown
45,2003:7A:893F:7A0:D8BD:7574:422A:55,1,0,20170323132111,20170323132111,unknown
46,Pischdi,1,1,20110630181853,20110630181853,unknown
47,194.25.108.83,1,0,20051123070457,20051123070457,unknown
48,141.2.181.72,1,0,20100318103003,20100318103003,unknown
49,Der-Wir-Ing,1,0,20141027213524,20141027213524,unknown
50,DaSch,1,1,20090122120504,20090122120504,unknown
51,217.86.54.116,1,0,20180921073712,20180921073712,unknown
