,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,ElTres,310,31,20090630160729,20190123182645,unknown
1,Niggo911,132,32,20101203162555,20180218141535,unknown
2,Connoisseur of politics,97,63,20130914145359,20181207210558,unknown
3,AF666,73,0,20050331183422,20171127221345,unknown
4,KastusK,59,1,20130402102505,20171007210411,unknown
5,Eishöhle,48,44,20140312230314,20170103211805,unknown
6,Micha99,34,0,20050320030939,20060118103126,unknown
7,JanZwanzig,33,4,20130309180314,20181007103528,unknown
8,Unscheinbar,31,20,20050124210953,20170112152442,unknown
9,B. Gutleben,29,4,20050313191113,20171209163747,unknown
10,Nillurcheier,25,1,20141011122331,20190225122421,unknown
11,217.83.1.80,23,0,20041218135722,20041218142645,unknown
12,Olaf2,19,1,20041004212424,20101005114510,unknown
13,Catholicus,18,0,20130507162639,20150516114633,unknown
14,Jmb1982,17,6,20140523153039,20190109105011,unknown
15,BeverlyHillsCop,14,1,20130419150652,20150521130443,unknown
16,Sirdon,14,2,20060911160536,20071014104711,unknown
17,Verzettelung,13,6,20131019093029,20160920101614,unknown
18,Krawin,13,6,20070127213728,20080125013649,unknown
19,Jergen,12,7,20050218091417,20090617154152,unknown
20,Philip-Meyer-Theswitt,12,0,20150123234132,20150124000813,unknown
21,Achates,12,5,20070112093315,20071116202916,unknown
22,Mueck,12,5,20071014085848,20130721181937,unknown
23,Alberto568,12,3,20130406183819,20140221220845,unknown
24,84.128.136.73,12,0,20041205152948,20041205163009,unknown
25,217.227.150.55,11,0,20050301180807,20050301200216,unknown
26,217.83.14.48,11,0,20050318101254,20050318183545,unknown
27,Blunt.,11,6,20090622185339,20090702063337,unknown
28,217.227.158.52,11,0,20041216113042,20041216121731,unknown
29,217.227.147.120,10,0,20041207204017,20041207210901,unknown
30,217.227.153.70,10,0,20041215173123,20041215183918,unknown
31,Redeemer,10,4,20050813223627,20050814150454,unknown
32,Skriptor,10,3,20050301190910,20050913122959,unknown
33,HLWG,9,0,20061028175045,20061106214027,unknown
34,217.227.151.202,9,0,20041220204153,20041220210630,unknown
35,84.174.232.190,8,0,20061212104104,20061212104812,unknown
