,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,20,6,20091004121935,20120302150431,unknown
1,TMFS,11,3,20040223222835,20051123134644,unknown
2,Sir James,8,4,20091004144153,20160402074124,unknown
3,Mogelzahn,7,3,20060228131441,20181030205007,unknown
4,Heinero,7,0,20110802082640,20111215095326,unknown
5,Tohma,6,1,20070525200339,20160319180629,unknown
6,Sanandros,5,1,20160929103717,20181030203701,unknown
7,Bernd vdB,5,1,20070521103145,20070521110107,unknown
8,84.152.140.68,4,0,20100117182702,20100117190659,unknown
9,Aka,4,4,20050707200006,20150802134329,unknown
10,Felix König,4,4,20101112193737,20130714173917,unknown
11,217.228.213.85,3,0,20070101173245,20070101175811,unknown
12,Armin P.,3,3,20091101231115,20091101231514,unknown
13,Bettenburg,3,3,20041030001839,20041123235126,unknown
14,Scialfa,3,1,20080213091230,20130404104618,unknown
15,KlausAlfred,3,3,20090422124924,20100813103748,unknown
16,Florian.Keßler,3,3,20050312225708,20050313144839,unknown
17,SDB,3,0,20090605074036,20121102193640,unknown
18,Dmicha,3,3,20121204153905,20171019122924,unknown
19,80.129.91.211,3,0,20080207123937,20080207203014,unknown
20,Über-Blick,3,0,20120229221006,20120229223150,unknown
21,Pelz,2,1,20070922230515,20111213221047,unknown
22,80.141.207.49,2,0,20131227185719,20131227185846,unknown
23,Roland1952,2,2,20080918125902,20080918130136,unknown
24,Entengruetze,2,2,20130711174412,20130711200325,unknown
25,92.231.190.89,2,0,20130120140157,20130120144445,unknown
26,134.95.93.84,2,0,20080311212158,20080311212232,unknown
27,78.49.233.9,2,0,20110302134808,20110302191714,unknown
28,Bogert,2,1,20090205121352,20090211160438,unknown
29,Gonzosft,2,1,20101106191425,20101108230849,unknown
30,Definitiv,2,0,20111218171941,20111226142858,unknown
31,Andim,2,2,20100524161038,20171107114250,unknown
32,RobotQuistnix,2,2,20051215132542,20051227132422,unknown
33,FredericII,2,2,20080612051832,20081208055055,unknown
34,Zebra,2,1,20040917113047,20040917114951,unknown
35,SFfmL,2,2,20150505192041,20170428214958,unknown
36,MBq,2,1,20100101200346,20160622060734,unknown
37,84.172.2.238,2,0,20050715135353,20050715135609,unknown
38,84.177.86.110,2,0,20071121171230,20071121174755,unknown
39,91.39.105.28,2,0,20100820060852,20100820060935,unknown
40,82.82.125.42,2,0,20031031190024,20031031190041,unknown
41,89.204.139.43,2,0,20181208031346,20181208033214,unknown
42,PDD,2,0,20090901131450,20110721014356,unknown
43,Björn Hagemann,2,2,20150628201535,20181209111440,unknown
44,134.130.183.42,2,0,20080206123950,20080414133843,unknown
45,Ralf5000,2,1,20050709200903,20050803221308,unknown
46,91.52.240.251,2,0,20100921195109,20100921195704,unknown
47,Deposuit,2,1,20111009082852,20111009104501,unknown
48,Jü,2,2,20160512060720,20160512061010,unknown
49,89.246.223.177,2,0,20091024120304,20091024120428,unknown
50,Henryk751,2,0,20110716160234,20110717212536,unknown
