,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mogelzahn,61,48,20040707070832,20121228190518,unknown
1,Dioskorides,40,0,20170713152318,20190131222643,unknown
2,TMFS,30,7,20031117202007,20080110223456,unknown
3,Mr. Mustard,27,10,20081211143728,20120604175838,unknown
4,Janjonas,27,27,20170111201645,20190205164347,unknown
5,S.Mielke,18,9,20040330004354,20050411225014,unknown
6,ErzPoet,17,3,20070506161758,20070812160958,unknown
7,Hardenacke,17,15,20081009115231,20150222143208,unknown
8,Pass3456,15,1,20120215194331,20150219144756,unknown
9,Stobaios,14,0,20130720002705,20180902122019,unknown
10,Altaripensis,13,3,20120311141110,20120311210215,unknown
11,Felix Stember,12,9,20090103234228,20110302175935,unknown
12,Leit,12,7,20061228113934,20111111210930,unknown
13,Aka,12,12,20050706184937,20170811080222,unknown
14,Peter200,11,9,20050530095440,20130605072008,unknown
15,Keichwa,10,3,20040202182258,20051120202027,unknown
16,Naagmbh,10,1,20080118143006,20080121114101,unknown
17,Regi51,10,9,20090315200606,20180809102414,unknown
18,Pittimann,10,9,20100309143700,20170113090604,unknown
19,Chef,10,6,20050213153012,20080809172021,unknown
20,W7huber,9,3,20121220183644,20130125225511,unknown
21,Datenspecht,8,1,20120214103428,20120319165342,unknown
22,FlaBot,8,7,20041206013243,20061214022100,unknown
23,Pfalzfrank,8,3,20070220014557,20070812194213,unknown
24,FelMol,8,0,20120301232932,20171023140152,unknown
25,Konrad Lackerbeck,8,1,20070716094457,20081028124241,unknown
26,Ziko,8,0,20071104130711,20170608170408,unknown
27,80.141.41.8,8,0,20051226171008,20051226172151,unknown
28,OB-LA-DI,8,1,20080123222718,20080614150547,unknown
29,Orik,7,1,20170611080857,20170810212022,unknown
30,89.245.251.226,7,0,20070429181738,20070429182347,unknown
31,Horst Gräbner,7,5,20120417110727,20181123140413,unknown
32,131.130.223.12,6,0,20060127163415,20060127175830,unknown
33,WAH,6,2,20060502154408,20140104200358,unknown
34,Kharon,6,6,20100604112311,20160503222855,unknown
35,Skara Brae,6,6,20061120111013,20061202214757,unknown
36,Howwi,6,6,20100625071141,20130606191638,unknown
37,RoBri,6,5,20181110090322,20190220080458,unknown
38,Alnilam,6,6,20120606065612,20170404070403,unknown
39,Times,5,2,20081221225956,20110801153844,unknown
40,Nb,5,0,20060930131653,20070515090344,unknown
41,Dietrich,5,0,20161201133313,20161201135455,unknown
42,BurghardRichter,5,4,20121115223343,20121115224939,unknown
43,Ifindit,5,0,20120206010440,20120206014732,unknown
44,141.84.69.20,5,0,20051121205703,20051121221838,unknown
45,Zwobot,5,4,20040220224540,20061109115538,unknown
46,80.140.94.144,5,0,20050114092108,20050114092446,unknown
47,Popie,5,4,20051103071913,20051114054946,unknown
48,Fussballmann,5,0,20100421075815,20100421083932,unknown
49,Stuttgart1950,5,5,20070221081224,20070221082641,unknown
50,Superikonoskop,5,1,20160316102636,20181122075002,unknown
51,Zollernalb,5,5,20090321133220,20181110104137,unknown
52,Pide,5,0,20060829203619,20061002195140,unknown
53,87.165.35.217,5,0,20070220014020,20070220015031,unknown
54,SieBot,5,5,20070622134532,20080830034029,unknown
55,80.141.64.8,5,0,20060108120615,20060108121323,unknown
56,Ekab,4,1,20151121085440,20151121102357,unknown
57,Malcolm77,4,3,20121218150120,20121218151325,unknown
58,Waelder,4,2,20031223105533,20040126175924,unknown
59,Golney,4,4,20070910214520,20090218193306,unknown
60,Triebtäter,4,1,20040529124751,20050124112321,unknown
61,Syrcro,4,4,20070425095245,20070524173635,unknown
62,Stefan2552,4,0,20070524165140,20070812160541,unknown
63,134.130.182.37,4,0,20050201011501,20050518012757,unknown
64,84.128.31.84,4,0,20071108140511,20071108141255,unknown
65,84.153.8.156,4,0,20060126165645,20060126165838,unknown
66,Der Stachel,4,4,20061014234220,20061122152229,unknown
67,Sir,4,3,20060501150310,20060624013152,unknown
68,Gerhardvalentin,4,2,20090112201758,20190205170518,unknown
