,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Subamaggus,12,3,20160330182539,20171214135844,unknown
1,RoBri,12,11,20120928113700,20130116103248,unknown
2,ManfredFX,9,0,20130116140014,20160423194257,unknown
3,Olaf Kosinsky,9,0,20140220094029,20171208121909,unknown
4,Symposiarch,8,8,20110613093418,20180402095708,unknown
5,Chronist 47,8,6,20121004173633,20160518125829,unknown
6,N.Eschenhagen,7,2,20120928130924,20171101062233,unknown
7,Spurzem,7,1,20160314111919,20170629132241,unknown
8,Malabon,6,6,20120929065905,20160513203523,unknown
9,Wangen,6,0,20130116125216,20130130075325,unknown
10,Kandschwar,6,4,20080829185647,20140307144935,unknown
11,Nixus Minimax,6,2,20130103100345,20190109173115,unknown
12,109.192.217.47,6,0,20130116094248,20140115092013,unknown
13,Lektor w,5,0,20160125020935,20160125030527,unknown
14,Mundartpoet,5,3,20050610084342,20061004190626,unknown
15,79.219.98.160,5,0,20120930083724,20120930084156,unknown
16,Stefan64,5,2,20061004191404,20121001085148,unknown
17,Mainpage,4,0,20120928185302,20120928221030,unknown
18,AF666,4,0,20061004191003,20150114114827,unknown
19,83.76.110.70,4,0,20111005142945,20111005143102,unknown
20,Claus Ableiter,4,0,20100503224429,20100503231154,unknown
21,Hardenacke,4,4,20071225162041,20080825092343,unknown
22,Lena1,3,0,20131212115036,20131212115213,unknown
23,Leiflive,3,0,20160909213115,20161102122632,unknown
24,Jakob Gottfried,3,0,20121003125753,20121004093001,unknown
25,PsY.cHo,3,3,20121110141308,20160217141359,unknown
26,Pelz,3,3,20090505220750,20130531154138,unknown
27,Hasselklausi,3,0,20160220121218,20160518123523,unknown
28,Cvn65,3,3,20050219074520,20050220210950,unknown
29,Siehe-auch-Löscher,3,0,20121112085757,20130116120210,unknown
30,Itti,3,3,20120929122443,20131009101345,unknown
31,Gruenschuh,3,0,20131007210938,20131009093820,unknown
32,ZéroBot,3,3,20120929095341,20130116172024,unknown
33,Gert Lauken,3,2,20121001121502,20121004122849,unknown
34,Martin Kraft,3,1,20140223153548,20160119143101,unknown
35,Der wahre Jakob,2,1,20170224160802,20170224160841,unknown
36,Magnummandel,2,2,20050925121514,20070402103332,unknown
37,Karsten11,2,0,20090627064731,20160905072822,unknown
38,2003:E5:6F20:6D00:6D32:E26D:32F:3764,2,0,20181212210127,20181212210151,unknown
39,Hungchaka,2,2,20130120134540,20130710063059,unknown
40,217.66.32.2,2,0,20060511072549,20060511113546,unknown
41,Rapober,2,2,20090408073127,20090506072017,unknown
42,Hubon,2,2,20160315155430,20160315155443,unknown
43,Felix König,2,1,20130117165155,20131213173244,unknown
44,Tous4821,2,2,20131009100549,20131009100710,unknown
45,84.58.56.229,2,0,20051216185927,20051216190120,unknown
46,CHensel,2,0,20120928175959,20120928180052,unknown
47,InternetArchiveBot,2,0,20180325181336,20180827155029,unknown
48,Faber-Castell,2,0,20060811194902,20060811201404,unknown
49,134.130.71.206,2,0,20131007190312,20131007213829,unknown
50,Arimja,2,1,20160129191155,20160129191311,unknown
51,Jeune du fevrier,2,0,20120928203523,20120928203604,unknown
52,Elmepi,2,0,20151213083939,20151227065640,unknown
53,91.34.65.98,2,0,20080505200859,20080505200927,unknown
54,Mediatrotter,2,1,20150121203645,20150706201220,unknown
55,Horst-schlaemma,2,1,20160518124127,20160518124319,unknown
56,PlusPedia,2,0,20120928114556,20120928114614,unknown
57,EmausBot,2,2,20110811005238,20130412033816,unknown
58,Cosal,2,2,20130117174035,20130117174117,unknown
59,84.184.141.62,2,0,20060327194954,20060327195016,unknown
60,Happolati,2,2,20130116131138,20130116131206,unknown
61,Brevity,2,1,20131005105123,20131005105236,unknown
62,LiterallySimon,2,0,20130110023034,20130116194201,unknown
63,87.175.85.172,2,0,20130531154112,20130531154410,unknown
64,Rmcharb,2,0,20141019081705,20180726102116,unknown
65,Onkelkoeln,2,2,20120510180325,20130116205249,unknown
66,2003:80:AE00:EE87:9920:B7C7:B109:89D2,2,0,20170629120422,20170629125239,unknown
67,Aka,2,2,20160129195008,20160424121630,unknown
68,Sneecs,2,0,20090620092715,20130116162644,unknown
69,Sprachpfleger,2,2,20151221090121,20160127184315,unknown
70,84.176.59.186,2,0,20130530212639,20130530214002,unknown
71,Horst Gräbner,2,1,20140307071823,20161211162603,unknown
72,Harry8,2,2,20130120103005,20140324105557,unknown
73,195.212.29.172,2,0,20160304104425,20160304104459,unknown
74,Natsu Dragoneel,2,2,20160122102509,20190220085250,unknown
75,David Wintzer,2,2,20161107075809,20171209110407,unknown
76,Komischn,2,2,20120928132341,20121029144712,unknown
77,YoungDylan,2,0,20141105085919,20141105090833,unknown
78,80.171.77.126,1,0,20131009091844,20131009091844,unknown
79,2.240.44.99,1,0,20160204024014,20160204024014,unknown
80,109.239.170.9,1,0,20130912132957,20130912132957,unknown
81,79.238.168.117,1,0,20160119142852,20160119142852,unknown
82,91.221.58.28,1,0,20161102094409,20161102094409,unknown
83,84.169.202.149,1,0,20050218165508,20050218165508,unknown
84,88.69.116.255,1,0,20120928154528,20120928154528,unknown
85,Zollernalb,1,1,20150329200602,20150329200602,unknown
86,Stegosaurus Rex,1,0,20160518165807,20160518165807,unknown
87,194.95.119.139,1,0,20070515151056,20070515151056,unknown
88,Mc005,1,1,20120928115244,20120928115244,unknown
89,Nachtalb,1,0,20121105004019,20121105004019,unknown
90,92.224.203.102,1,0,20130530221002,20130530221002,unknown
91,217.88.250.187,1,0,20140324105536,20140324105536,unknown
92,Zahnputzbecher,1,1,20180207094541,20180207094541,unknown
93,84.59.26.227,1,0,20060927170152,20060927170152,unknown
94,136.199.223.82,1,0,20111106122309,20111106122309,unknown
95,Wikswat,1,0,20120930090056,20120930090056,unknown
96,82.83.19.163,1,0,20160312180021,20160312180021,unknown
97,Merkið,1,0,20170428085926,20170428085926,unknown
98,Mystifax,1,0,20100607092721,20100607092721,unknown
99,YFdyh-bot,1,1,20120929095730,20120929095730,unknown
100,Gleiberg,1,0,20131006062426,20131006062426,unknown
101,87.153.246.184,1,0,20161211162553,20161211162553,unknown
102,84.169.207.214,1,0,20050609145219,20050609145219,unknown
103,Miebner,1,0,20130116115155,20130116115155,unknown
104,93.192.87.78,1,0,20130819142635,20130819142635,unknown
105,WinfriedSchneider,1,1,20151111003531,20151111003531,unknown
106,Npsalomon,1,0,20080219025158,20080219025158,unknown
107,88.207.255.135,1,0,20120928134913,20120928134913,unknown
108,95.89.168.191,1,0,20121213172654,20121213172654,unknown
109,217.254.32.195,1,0,20141119110727,20141119110727,unknown
110,Felix17101999,1,0,20160518115804,20160518115804,unknown
111,Politico D,1,0,20181026132344,20181026132344,unknown
112,Video2005,1,1,20070212124143,20070212124143,unknown
113,MorbZ-Bot,1,1,20130226133525,20130226133525,unknown
114,79.245.234.1,1,0,20140224151929,20140224151929,unknown
115,Volkstribun 2.0,1,1,20171214031916,20171214031916,unknown
116,Heinte,1,1,20060826195941,20060826195941,unknown
117,LIU,1,0,20120929164607,20120929164607,unknown
118,2A02:908:F841:8C80:8CB:F828:1C8E:DBA,1,0,20160218215944,20160218215944,unknown
119,Freiheitsschokolade,1,0,20170310102219,20170310102219,unknown
120,Louperibot,1,1,20090721032249,20090721032249,unknown
121,Zoon politikon,1,0,20120929081038,20120929081038,unknown
122,Leit,1,0,20130116130251,20130116130251,unknown
123,Alinea,1,0,20130914113404,20130914113404,unknown
124,85.179.235.23,1,0,20160119161938,20160119161938,unknown
125,Engel BERG,1,1,20161102105922,20161102105922,unknown
126,Popie,1,1,20050218170737,20050218170737,unknown
127,Stefan,1,1,20081108162017,20081108162017,unknown
128,Holder,1,1,20130104163900,20130104163900,unknown
129,84.58.207.10,1,0,20150529131343,20150529131343,unknown
130,Queryzo,1,1,20160519081511,20160519081511,unknown
131,Seeler09,1,0,20181213031130,20181213031130,unknown
132,134.76.6.146,1,0,20070811144101,20070811144101,unknown
133,Eberkorn,1,1,20130531072759,20130531072759,unknown
134,*thing goes,1,1,20140705153746,20140705153746,unknown
