,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,H-stt,9,2,20110715122743,20170601163402,unknown
1,85.216.8.56,5,0,20060124193146,20060124193716,unknown
2,Palitzsch250,4,1,20140409155133,20150528164611,unknown
3,79.199.125.107,4,0,20111209112918,20111209113319,unknown
4,84.148.90.172,4,0,20051216195355,20051216195519,unknown
5,RobotQuistnix,4,4,20051110040538,20070516005336,unknown
6,JonskiC,4,0,20181106114320,20181106114958,unknown
7,87.78.115.198,3,0,20051127184905,20051127185016,unknown
8,Sebmol,3,1,20060728215435,20071022172639,unknown
9,Themistokles1984,3,2,20090310135310,20110103131039,unknown
10,84.169.105.82,3,0,20060109192636,20060109193126,unknown
11,Chobot,3,3,20051005132354,20100515062316,unknown
12,84.128.125.82,3,0,20090901084158,20090901084946,unknown
13,RibotBOT,3,3,20090729020421,20120314010733,unknown
14,80.128.109.43,3,0,20051111094848,20051111095124,unknown
15,217.230.11.169,3,0,20060913161505,20060913163520,unknown
16,Regi51,3,3,20110919142124,20180205113229,unknown
17,Logograph,2,2,20171026175740,20171026180010,unknown
18,MastiBot,2,2,20101016232803,20130223075720,unknown
19,84.162.216.51,2,0,20071006142802,20071006143641,unknown
20,Dietrich,2,0,20190101184322,20190101184344,unknown
21,KGF,2,2,20180521235041,20180521235725,unknown
22,79.216.219.63,2,0,20110830073109,20110830073155,unknown
23,Tfjt,2,2,20171028054753,20171028055608,unknown
24,217.84.50.59,2,0,20060914164850,20060914164938,unknown
25,Alnilam,2,2,20121119105701,20130415160641,unknown
26,77.11.1.106,2,0,20110714053141,20110714054210,unknown
27,91.64.148.199,2,0,20130415160524,20130415160635,unknown
28,92.106.110.190,2,0,20121027171458,20121027171653,unknown
29,Mouhibayya,2,0,20180707162234,20181003140112,unknown
30,84.161.2.27,2,0,20061024153247,20061024153302,unknown
31,Flo 1,2,2,20080504072300,20080504072333,unknown
32,D,2,2,20051031213504,20111011084458,unknown
33,Zinnmann,2,2,20060331071040,20060331072151,unknown
34,188.193.105.124,2,0,20180205113103,20180205113216,unknown
35,Forty2,2,0,20061221210902,20061221212517,unknown
36,Yodokus,2,1,20080715140612,20080717080633,unknown
37,2A02:1205:34EF:F9C0:3874:9A18:B68F:3B8F,2,0,20171026175716,20171026175830,unknown
38,Mijobe,2,2,20040730144942,20040730145141,unknown
39,Petropoxy (Lithoderm Proxy),2,2,20100903081603,20100903082654,unknown
40,Pittimann,2,2,20090901085010,20170814084032,unknown
41,Invisigoth67,2,2,20121027171512,20121027191323,unknown
42,Wst,2,1,20050720075831,20050720080851,unknown
43,SieBot,2,2,20090522193816,20090816211054,unknown
44,Piflaser,2,1,20150620130607,20150729150716,unknown
45,84.61.10.46,2,0,20070326132203,20070326132258,unknown
46,84.137.238.173,2,0,20080530090339,20080530090420,unknown
47,195.37.108.15,2,0,20170814083800,20170814084018,unknown
48,Catfisheye,2,2,20091230213409,20091230213604,unknown
49,EmausBot,2,2,20130301171559,20130303081110,unknown
50,87.245.63.112,2,0,20070424124854,20070424124920,unknown
51,GrouchoBot,2,2,20081214165533,20081216200125,unknown
52,Diba,2,2,20111209113023,20111209113324,unknown
53,YurikBot,1,1,20060106020239,20060106020239,unknown
54,Bhuck,1,0,20061221221959,20061221221959,unknown
55,E020613,1,1,20080824072144,20080824072144,unknown
56,Luckas-bot,1,1,20110716045259,20110716045259,unknown
57,Womba,1,0,20040916230947,20040916230947,unknown
58,84.160.135.217,1,0,20061015130843,20061015130843,unknown
59,Rklisowski,1,0,20071212104314,20071212104314,unknown
60,49.145.85.191,1,0,20131217154002,20131217154002,unknown
61,Sitacu,1,0,20170604035007,20170604035007,unknown
62,212.4.64.27,1,0,20031124192745,20031124192745,unknown
63,Katty,1,1,20051023090329,20051023090329,unknown
64,84.187.208.170,1,0,20060914160104,20060914160104,unknown
65,87.184.125.67,1,0,20091030224248,20091030224248,unknown
66,93.201.91.253,1,0,20121119105652,20121119105652,unknown
67,Hubon,1,0,20160407200522,20160407200522,unknown
68,Ixitixel,1,0,20050720120620,20050720120620,unknown
69,FredericII,1,1,20070608051643,20070608051643,unknown
70,Apo55,1,0,20090713101504,20090713101504,unknown
71,87.165.23.240,1,0,20120320222340,20120320222340,unknown
72,176.4.43.34,1,0,20150819111228,20150819111228,unknown
73,Jonaes02,1,1,20180907111552,20180907111552,unknown
74,58.4.183.156,1,0,20060331014658,20060331014658,unknown
75,217.81.119.180,1,0,20070328165714,20070328165714,unknown
76,77.24.14.237,1,0,20081202182230,20081202182230,unknown
77,84.161.155.46,1,0,20111011084435,20111011084435,unknown
78,84.183.131.195,1,0,20140804184012,20140804184012,unknown
79,Carl B aus W,1,1,20171213123326,20171213123326,unknown
80,Bierdimpfl,1,1,20041102053614,20041102053614,unknown
81,Seriously~dewiki,1,1,20051215182331,20051215182331,unknown
82,80.131.104.69,1,0,20061029224754,20061029224754,unknown
83,LatitudeBot,1,1,20080701123419,20080701123419,unknown
84,ZéroBot,1,1,20110704133522,20110704133522,unknown
85,Rettet den Sonnabend,1,1,20140131112100,20140131112100,unknown
86,122.14.140.48,1,0,20171017004022,20171017004022,unknown
87,128.176.76.203,1,0,20040318205125,20040318205125,unknown
88,80.128.115.104,1,0,20051107192438,20051107192438,unknown
89,84.133.238.173,1,0,20061007171754,20061007171754,unknown
90,91.5.222.243,1,0,20071108160606,20071108160606,unknown
91,91.61.132.34,1,0,20100425154630,20100425154630,unknown
92,KLBot2,1,1,20130326021733,20130326021733,unknown
93,Diebu,1,1,20160829074602,20160829074602,unknown
94,LeonardoRob0t,1,1,20050902132735,20050902132735,unknown
95,132.231.54.1,1,0,20060831075032,20060831075032,unknown
96,ペーター,1,0,20070919025225,20070919025225,unknown
97,LinkFA-Bot,1,0,20090813082304,20090813082304,unknown
98,Jesi,1,0,20120827092256,20120827092256,unknown
99,Huey Void,1,1,20151202185050,20151202185050,unknown
100,83.129.204.49,1,0,20050702231202,20050702231202,unknown
101,80.133.109.222,1,0,20060417112822,20060417112822,unknown
102,Gereon K.,1,0,20070501201339,20070501201339,unknown
103,84.137.166.17,1,0,20120118083905,20120118083905,unknown
104,DerMaxdorfer,1,1,20150413151539,20150413151539,unknown
105,82.212.15.39,1,0,20070113140402,20070113140402,unknown
106,84.157.204.20,1,0,20080918131303,20080918131303,unknown
107,77.9.164.25,1,0,20140527060135,20140527060135,unknown
108,217.82.253.9,1,0,20040929065030,20040929065030,unknown
109,84.144.101.195,1,0,20051128190819,20051128190819,unknown
110,200.56.249.230,1,0,20061021052133,20061021052133,unknown
111,193.175.73.204,1,0,20080504072115,20080504072115,unknown
112,138.246.7.175,1,0,20110113182109,20110113182109,unknown
113,87.177.76.45,1,0,20131228174057,20131228174057,unknown
114,Tohma,1,0,20170604043405,20170604043405,unknown
115,Urbanus,1,1,20031124232641,20031124232641,unknown
116,62.104.206.70,1,0,20051031213428,20051031213428,unknown
117,Commandercool,1,0,20071006205429,20071006205429,unknown
118,87.161.252.117,1,0,20091201094306,20091201094306,unknown
119,Jost Riedel,1,0,20160526185840,20160526185840,unknown
120,BLueFiSH.as,1,1,20050817094635,20050817094635,unknown
121,KatBot,1,1,20060802081910,20060802081910,unknown
122,89.60.185.104,1,0,20070623221530,20070623221530,unknown
123,Idioma-bot,1,1,20090726203632,20090726203632,unknown
124,Nirakka,1,1,20120320222420,20120320222420,unknown
125,Serols,1,1,20150819111236,20150819111236,unknown
126,CommonsDelinker,1,0,20180915100939,20180915100939,unknown
127,Yooden~dewiki,1,0,20060331014746,20060331014746,unknown
128,T.a.k.,1,0,20070328165919,20070328165919,unknown
129,Zorrobot,1,1,20081207174151,20081207174151,unknown
130,Dexbot,1,1,20140903062247,20140903062247,unknown
131,Aka,1,1,20180131183956,20180131183956,unknown
132,Southpark,1,0,20050408120200,20050408120200,unknown
133,PSIplus,1,1,20061128234008,20061128234008,unknown
134,Alecs.bot,1,1,20080702093723,20080702093723,unknown
135,79.208.179.156,1,0,20140318123756,20140318123756,unknown
136,Gronleuchta,1,0,20171017022709,20171017022709,unknown
137,Ulrich.fuchs,1,0,20040330093012,20040330093012,unknown
138,62.246.87.104,1,0,20061012170126,20061012170126,unknown
139,84.130.99.69,1,0,20071119150003,20071119150003,unknown
140,82.210.237.159,1,0,20100723122412,20100723122412,unknown
141,77.11.98.101,1,0,20160905120450,20160905120450,unknown
142,93.188.25.23,1,0,20190220101019,20190220101019,unknown
143,84.187.102.35,1,0,20060904195845,20060904195845,unknown
144,84.171.115.145,1,0,20070930081112,20070930081112,unknown
145,141.79.121.1,1,0,20160317112705,20160317112705,unknown
146,Schmutzman,1,0,20050707161010,20050707161010,unknown
147,Carbidfischer,1,1,20060605120510,20060605120510,unknown
148,87.123.170.143,1,0,20070504154814,20070504154814,unknown
149,84.131.193.235,1,0,20090510085017,20090510085017,unknown
150,Kmheide,1,0,20120118084002,20120118084002,unknown
151,Ramona3255,1,0,20150526151654,20150526151654,unknown
152,Thijs!bot,1,1,20070130022749,20070130022749,unknown
153,Vest,1,1,20080918131317,20080918131317,unknown
154,93.221.39.200,1,0,20110919142029,20110919142029,unknown
155,RonMeier,1,1,20140528072329,20140528072329,unknown
156,213.225.14.122,1,0,20171212133602,20171212133602,unknown
157,Chrisfrenzel,1,1,20041016094950,20041016094950,unknown
158,194.162.162.68,1,0,20051206155414,20051206155414,unknown
159,Wnme,1,1,20110113182136,20110113182136,unknown
160,DCB,1,0,20140103173411,20140103173411,unknown
161,Phi,1,0,20170604104743,20170604104743,unknown
162,Mikue,1,1,20031125071712,20031125071712,unknown
163,84.188.255.110,1,0,20060920073359,20060920073359,unknown
164,Helenopel,1,0,20071024174629,20071024174629,unknown
165,Revvar,1,1,20091201094340,20091201094340,unknown
166,JackieBot,1,1,20121224131951,20121224131951,unknown
167,Letdemsay,1,1,20160626124602,20160626124602,unknown
168,Jed,1,1,20050818053748,20050818053748,unknown
169,Bahnmoeller,1,1,20060811102016,20060811102016,unknown
170,84.128.75.35,1,0,20070905103356,20070905103356,unknown
171,87.182.232.241,1,0,20120618083933,20120618083933,unknown
172,79.213.246.10,1,0,20150908121231,20150908121231,unknown
173,FlaBot,1,1,20050409121121,20050409121121,unknown
174,Csar,1,0,20070422155113,20070422155113,unknown
175,80.133.189.54,1,0,20081213130842,20081213130842,unknown
176,Trigonomie,1,1,20111209112953,20111209112953,unknown
177,Merkið,1,0,20141009231927,20141009231927,unknown
178,Srbauer,1,1,20051228175913,20051228175913,unknown
179,Pelz,1,1,20140318123816,20140318123816,unknown
180,84.152.72.171,1,0,20061014135248,20061014135248,unknown
181,84.137.92.183,1,0,20071206182731,20071206182731,unknown
182,Gerd Wiechmann,1,0,20130512133254,20130512133254,unknown
183,91.221.59.29,1,0,20170601151128,20170601151128,unknown
184,MS Alpaka,1,1,20190220101059,20190220101059,unknown
185,84.178.245.104,1,0,20051010172623,20051010172623,unknown
186,Tobi B.,1,1,20070930081220,20070930081220,unknown
187,Helfmann,1,1,20160317112733,20160317112733,unknown
188,Eskimbot,1,1,20060607123754,20060607123754,unknown
189,Aibot,1,1,20070508000614,20070508000614,unknown
190,Ahanta,1,0,20120310155649,20120310155649,unknown
191,87.79.94.208,1,0,20180907111546,20180907111546,unknown
192,84.133.22.189,1,0,20060323193509,20060323193509,unknown
193,MystBot,1,1,20080921042106,20080921042106,unknown
194,84.131.128.3,1,0,20140706154514,20140706154514,unknown
195,Denalos,1,0,20171212133906,20171212133906,unknown
