,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Anima,34,21,20060307233209,20161012095119,unknown
1,WhoisWhoME,18,4,20110129151818,20180609105224,unknown
2,77.189.99.210,16,0,20110111161929,20110111222742,unknown
3,Tets,13,2,20060922013411,20130504181512,unknown
4,Spitzkopf,10,0,20120902143905,20120902212028,unknown
5,88.71.71.176,8,0,20100722145911,20100722152028,unknown
6,GDK,8,7,20060307224748,20060504135123,unknown
7,88.70.163.213,6,0,20100723004243,20100723005549,unknown
8,Stefan64,6,5,20060308170154,20170227201304,unknown
9,80.135.113.170,6,0,20070613095712,20070613100507,unknown
10,Mia-etol,5,4,20080611021746,20080710205539,unknown
11,Dietrich,5,0,20150503220440,20180709182342,unknown
12,88.71.85.164,5,0,20100718204427,20100718210300,unknown
13,Xqbot,5,5,20090215011540,20111204205327,unknown
14,Lektor w,5,4,20131109025507,20151229064036,unknown
15,Horst Gräbner,5,3,20130430191302,20180307144820,unknown
16,Fräggel,5,1,20061020020556,20080604195536,unknown
17,Gonzo Greyskull,5,2,20081127141134,20110918203344,unknown
18,Ot,4,1,20081105111807,20140223175813,unknown
19,DuMonde,4,2,20061030182333,20080710145934,unknown
20,84.162.255.132,4,0,20070320065914,20070320070331,unknown
21,SieBot,4,4,20070902230237,20100428014257,unknown
22,84.177.75.150,4,0,20070316112738,20070316113619,unknown
23,88.70.180.90,4,0,20100719214323,20100719215029,unknown
24,Sinn,4,1,20070320065920,20070613100941,unknown
25,Rita2008,4,0,20120901091351,20170331150203,unknown
26,WikitanvirBot,4,4,20110211214847,20110324061841,unknown
27,Thijs!bot,4,4,20060908083108,20070124141601,unknown
28,88.70.171.100,3,0,20100723000731,20100723001046,unknown
29,Obersachsebot,3,3,20090118131859,20090307154311,unknown
30,2003:C0:1F3B:F104:C95E:5CBC:69DD:3732,3,0,20181111230202,20181111231946,unknown
31,RibotBOT,3,3,20091129073034,20121217012154,unknown
32,Pittimann,3,3,20170515093902,20181012084958,unknown
33,88.70.180.100,3,0,20100716214413,20100716215227,unknown
34,88.70.179.155,3,0,20100719222026,20100719222947,unknown
35,Aka,3,3,20090925182849,20100831192408,unknown
36,Luckas-bot,2,2,20101224235413,20110211213327,unknown
37,Liesel,2,1,20060331080541,20100709092205,unknown
38,ArthurBot,2,2,20090321113125,20090827095825,unknown
39,Siwibegewp,2,1,20170120213927,20170406082534,unknown
40,80.145.11.240,2,0,20161207094922,20161207095528,unknown
41,Phi,2,0,20091121123552,20111210130713,unknown
42,VolkovBot,2,2,20080426130950,20100928064045,unknown
43,91.7.72.40,2,0,20091215170908,20091215170943,unknown
44,84.178.176.23,2,0,20120223075229,20120223075336,unknown
45,DorganBot,2,2,20071114121530,20080512155746,unknown
46,195.37.69.66,2,0,20130528104534,20130528104649,unknown
47,LilyKitty,2,0,20141222130537,20150213163500,unknown
48,SoWhy,2,1,20060307224505,20060307224600,unknown
49,80.131.228.170,2,0,20070312124710,20070312124921,unknown
50,SashatoBot,2,2,20061225210542,20070104135540,unknown
51,Norrskensflamman,2,2,20080613190130,20080613195201,unknown
52,IllCom,2,2,20171125181059,20171220045248,unknown
53,Louis Wu,2,0,20120927180614,20130619120910,unknown
54,Regi51,2,2,20091215170920,20091215171445,unknown
55,88.70.185.102,2,0,20100723002029,20100723002429,unknown
56,Richard Lenzen,2,2,20140128044712,20150820102244,unknown
57,83.77.231.48,2,0,20070128202206,20070128202234,unknown
58,TXiKiBoT,2,2,20080521005933,20080808054827,unknown
59,88.71.69.225,2,0,20100722160202,20100722160344,unknown
60,2A02:810D:A1C0:128:8D28:8435:BAAB:D7D0,2,0,20190107180032,20190107193003,unknown
61,84.188.149.162,2,0,20081127100846,20081127100920,unknown
62,Howwi,2,1,20091024082628,20120223075347,unknown
63,PDD,2,0,20110129173636,20110129173828,unknown
64,80.121.102.201,2,0,20060722231208,20060722231223,unknown
65,130.82.243.209,2,0,20150610183525,20150610183736,unknown
66,88.70.182.222,2,0,20100723003122,20100723003313,unknown
67,Activistnetworker,2,2,20120302134829,20120302135007,unknown
68,193.158.184.78,2,0,20181012084759,20181012084940,unknown
69,Crocodile7777,2,2,20091121104236,20091121110755,unknown
70,Mikered,2,0,20130319062230,20130528104700,unknown
71,Rockingsoul,2,2,20110120011405,20110120011516,unknown
72,88.70.184.196,2,0,20100722165904,20100722170210,unknown
73,88.70.164.44,2,0,20100718201506,20100718201748,unknown
74,DragonBot,2,2,20071021094759,20071103132916,unknown
75,75.142.96.157,2,0,20091113051909,20091113052902,unknown
76,Williwilli,2,2,20150814043451,20180713051711,unknown
77,88.72.189.138,2,0,20090730185513,20090730192306,unknown
78,81.56.39.113,1,0,20100330062345,20100330062345,unknown
79,Gerakibot,1,1,20121205074549,20121205074549,unknown
80,Den man tau,1,0,20141105103756,20141105103756,unknown
81,Nicolas17,1,1,20070316113637,20070316113637,unknown
82,95.90.188.31,1,0,20170927010419,20170927010419,unknown
83,Zaphiro,1,1,20080411072213,20080411072213,unknown
84,GrouchoBot,1,1,20100124221959,20100124221959,unknown
85,Salomis,1,1,20120317234752,20120317234752,unknown
86,89.54.60.45,1,0,20060307221615,20060307221615,unknown
87,Christian140,1,0,20140221193825,20140221193825,unknown
88,84.58.194.148,1,0,20070215113531,20070215113531,unknown
89,77.64.133.212,1,0,20080223231623,20080223231623,unknown
90,Varana,1,1,20081208190706,20081208190706,unknown
91,90.187.136.217,1,0,20111130194414,20111130194414,unknown
92,Rr2000,1,1,20130721091151,20130721091151,unknown
93,Damn it,1,0,20061221191645,20061221191645,unknown
94,GuterSoldat,1,0,20071108160300,20071108160300,unknown
95,91.10.179.211,1,0,20181110150708,20181110150708,unknown
96,88.71.95.105,1,0,20100717171902,20100717171902,unknown
97,Partisan1917,1,1,20110530205850,20110530205850,unknown
98,KLBot2,1,1,20130326021821,20130326021821,unknown
99,Sargoth,1,1,20160325084854,20160325084854,unknown
100,Immanuel Giel,1,0,20070628115021,20070628115021,unknown
101,Fachwart,1,0,20180221225754,20180221225754,unknown
102,84.172.135.147,1,0,20090929192856,20090929192856,unknown
103,88.70.164.96,1,0,20100716011054,20100716011054,unknown
104,88.71.82.202,1,0,20110122155433,20110122155433,unknown
105,Ahandrich,1,0,20130221090254,20130221090254,unknown
106,Bota47,1,1,20060610183002,20060610183002,unknown
107,Flying sheep,1,0,20070411200357,20070411200357,unknown
108,Bellerophon5685,1,0,20171121190949,20171121190949,unknown
109,Onkelkoeln,1,1,20090708175518,20090708175518,unknown
110,Superzerocool,1,1,20100215001517,20100215001517,unknown
111,ZéroBot,1,1,20101022142153,20101022142153,unknown
112,JackieBot,1,1,20120921121730,20120921121730,unknown
