,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Anne Winsch,29,1,20170530154828,20171026142159,unknown
1,Alstersegler,24,0,20170530130452,20170711141454,unknown
2,Olaf Kosinsky,16,4,20090930161546,20180226220057,unknown
3,Niteshift,14,9,20081005100649,20140117205538,unknown
4,Horst-schlaemma,14,4,20140110161621,20171114072107,unknown
5,Carolin,12,4,20140111104742,20170831000056,unknown
6,Volkstribun 2.0,12,6,20130828052431,20180315135531,unknown
7,RoBri,11,7,20130704094550,20181209144659,unknown
8,Ralf Roletschek,10,3,20160902222910,20170912122912,unknown
9,Horst Gräbner,9,6,20150314102622,20171012203443,unknown
10,Martin Kraft,8,3,20131114085956,20150316083638,unknown
11,92.225.108.145,7,0,20150314102252,20150314130719,unknown
12,Natsu Dragoneel,6,5,20160120084540,20171012203016,unknown
13,WinfriedSchneider,6,3,20091008185453,20091214204624,unknown
14,Epicharmos,6,6,20180506230238,20180506230647,unknown
15,Vanellus,6,2,20170111142551,20180824141440,unknown
16,78.52.241.137,6,0,20150309193640,20150310144047,unknown
17,Alkim Y,5,3,20100729095914,20100729101655,unknown
18,Marcus Cyron,5,3,20130629104800,20131215234735,unknown
19,Neun-x,5,0,20130525070347,20170813081827,unknown
20,Erichsohn,5,5,20081014151608,20091008211859,unknown
21,Jean11,5,0,20130524174317,20140115223407,unknown
22,Regi51,4,4,20140121205408,20171009142403,unknown
23,92.225.110.219,4,0,20150314164056,20150314201138,unknown
24,Spisazer,4,4,20081006064730,20131114084021,unknown
25,Flavia67,4,2,20130719080756,20160107225539,unknown
26,FinnlandFreund,4,0,20170602082255,20170704095335,unknown
27,Superswissboy,4,0,20090730215532,20090730220205,unknown
28,78.53.5.92,3,0,20170616182544,20170616182740,unknown
29,78.52.52.158,3,0,20110622052833,20110622080614,unknown
30,85.179.188.246,3,0,20150209081914,20150209082136,unknown
31,Andy king50,3,0,20170616182726,20170616183000,unknown
32,Nemissimo,3,0,20090811144926,20090811145434,unknown
33,Bundesparteienforscher,3,0,20160121074144,20160121074330,unknown
34,Feldstadtschwerin,3,1,20170706134037,20170706230848,unknown
35,Mama Leone,3,2,20130419121326,20180506233108,unknown
36,Frogfol,3,2,20131209025645,20180120113836,unknown
37,Fossa,3,0,20091001194403,20091002052912,unknown
38,HeBB,3,1,20110202162327,20160315172721,unknown
39,84.163.3.162,3,0,20140609193405,20140609193654,unknown
40,Ephraim33,3,0,20111008193339,20160308142754,unknown
41,80.147.27.54,3,0,20160905114628,20160905140812,unknown
42,Rudolph Buch,3,3,20170530085943,20170602131650,unknown
43,N.Eschenhagen,3,2,20131221095332,20170605223530,unknown
44,PhilFS,3,0,20090801103624,20090821171914,unknown
45,194.15.138.11,3,0,20131216124014,20131216124134,unknown
46,78.53.11.20,3,0,20170528221307,20170528222045,unknown
47,SamWinchester000,3,0,20161022003821,20161023172454,unknown
48,80.139.99.206,3,0,20131218151945,20131218190821,unknown
49,Codc,3,2,20150824205714,20170716012658,unknown
50,Aka,3,3,20170403185439,20180115173549,unknown
51,Dandelo,2,1,20120922233755,20180120114617,unknown
52,Birnentorte,2,2,20190306193155,20190306193553,unknown
53,QuellensucherW,2,2,20160905114723,20160905114736,unknown
54,92.226.36.6,2,0,20110622222245,20110622222353,unknown
55,80.187.102.20,2,0,20150209104617,20150209104740,unknown
56,92.226.39.212,2,0,20090810133543,20090810133616,unknown
57,80.187.102.77,2,0,20170716012617,20170716135439,unknown
58,174.6.201.165,2,0,20110221214308,20110221214410,unknown
59,Felistoria,2,1,20170528221735,20170528222230,unknown
60,DF5GO,2,0,20131213181355,20131215115135,unknown
61,195.50.146.138,2,0,20090730105830,20090730105954,unknown
62,Spuk968,2,2,20100115134952,20140203132421,unknown
63,78.94.240.180,2,0,20140203132312,20140203132416,unknown
64,Aflis,2,0,20170602130926,20170602131138,unknown
65,Komischn,2,2,20130829205328,20140528124524,unknown
66,Logograph,2,1,20150309195639,20181102123754,unknown
67,Werner von Basil,2,2,20170716142449,20170822025923,unknown
68,94.218.34.190,2,0,20110209104322,20110209104421,unknown
69,DerHexer,2,2,20140731154707,20170310125905,unknown
70,Sanomat2008,2,0,20111025163016,20140115081026,unknown
71,Juso md,2,2,20081005155117,20081005155222,unknown
72,84.56.48.65,2,0,20091001143013,20091001143046,unknown
73,78.52.237.61,2,0,20170716121609,20170716122233,unknown
74,Gary Dee,2,2,20110306030432,20110306030506,unknown
75,Kalehill,2,0,20130527072401,20130527072442,unknown
76,Volker-Morath,2,0,20170813231942,20170813231956,unknown
77,Hedwig in Washington,2,2,20110622052936,20110622080722,unknown
78,Tuxyso,2,0,20131220143451,20140110164708,unknown
79,Labant,2,1,20110212044216,20110221215635,unknown
80,80.187.119.51,2,0,20171011170732,20171011170829,unknown
81,78.53.3.253,2,0,20170617204752,20170617204937,unknown
82,78.42.229.120,2,0,20131114080318,20131114095148,unknown
83,Alfred Kiefer,2,2,20170531020930,20170704135635,unknown
84,Slartibartfass,2,0,20170909110218,20170909233551,unknown
85,79.233.13.233,2,0,20140111185408,20140111185436,unknown
86,Mikered,2,1,20150227194855,20150310144153,unknown
87,80.187.103.115,2,0,20170716141953,20170716142214,unknown
88,InternetArchiveBot,2,0,20180325163520,20180827130243,unknown
89,Neve Şalom,2,0,20141211094802,20141211094907,unknown
90,78.52.64.218,2,0,20180120111042,20180120111259,unknown
91,80.153.148.170,2,0,20100715114534,20100715114702,unknown
92,Arieswings,2,1,20150320071653,20171009115327,unknown
93,GermanTourist,2,0,20131017034246,20131017035127,unknown
94,Rotaraz,2,2,20180820094318,20180820152500,unknown
95,Raute74,2,0,20160715121942,20160715122017,unknown
96,Subamaggus,2,1,20180124180526,20180125154233,unknown
97,217.85.166.120,2,0,20150621085600,20150621085630,unknown
98,91.3.237.124,2,0,20170929060532,20170929060624,unknown
99,Wiegels,2,2,20140124155047,20170704190449,unknown
100,80.187.106.155,2,0,20150315195735,20150315195932,unknown
101,Itu,2,0,20110711024745,20110711025408,unknown
102,Centenier,2,2,20170716142026,20170716142237,unknown
103,TheodorKoenig,2,2,20140616123404,20140616123534,unknown
