,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Zusasa,1135,1,20160424081821,20190309082122,unknown
1,Ktiv,523,64,20190126165415,20190308094006,unknown
2,Jesusfreund,317,100,20041102030924,20101112043910,unknown
3,Dietrich,204,20,20040219070554,20181104054201,unknown
4,Kopilot,153,17,20130212113441,20190227121843,unknown
5,Lley,96,45,20040318213831,20160919131115,unknown
6,Präsident Jelzin,86,19,20100228190322,20100330122516,unknown
7,Red Baron 2,76,31,20110719052509,20190210081304,unknown
8,Georg Hügler,61,4,20170215195546,20190210125048,unknown
9,Schubbay,57,56,20180410072559,20181209121714,unknown
10,Phi,44,6,20090329193217,20190126183356,unknown
11,Aka,40,40,20050328082946,20190220170031,unknown
12,Gabel1960,30,4,20170128172431,20171118055529,unknown
13,Jordi,25,12,20120108231319,20160410203811,unknown
14,Gonzo.Lubitsch,21,6,20130418162551,20151201174823,unknown
15,Sprachfreund49,21,3,20101030233726,20101103225017,unknown
16,Johannes44,20,4,20101224071749,20160209100620,unknown
17,Robbatt,19,5,20050906091353,20060528172119,unknown
18,Martin Wolfangel,15,5,20110728132642,20120914163710,unknown
19,195.93.60.137,15,0,20041229120516,20051027105354,unknown
20,Skriptor,15,10,20050313153925,20050906162056,unknown
21,Rabanus Flavus,14,12,20110915133619,20190124182422,unknown
22,Soenke Rahn,13,6,20091112135345,20100826144235,unknown
23,Irmgard,13,11,20030819151122,20110824144506,unknown
24,Zwobot,12,12,20031218183851,20070921020557,unknown
25,Xqbot,12,12,20091204224452,20130223135626,unknown
26,Torsten Schleese,12,0,20051105053600,20070607101913,unknown
27,Jergen,11,7,20050426091921,20160518080449,unknown
28,Karl-Henner,11,11,20040118145803,20050427151106,unknown
29,Hfudfdb,10,5,20081205132037,20091205105645,unknown
30,HaeB,10,10,20041220110047,20051207074218,unknown
31,Emdee,10,7,20090930171937,20100330154557,unknown
32,Phrood,10,8,20050623183301,20050706205826,unknown
33,Zweioeltanks,10,3,20130808141803,20190216211142,unknown
34,Martin-vogel,10,3,20041127204154,20111122182615,unknown
35,82.82.155.182,9,0,20050904100243,20050904111316,unknown
36,Oursana,9,1,20151202184133,20160205004255,unknown
37,SieBot,9,9,20070509015600,20090519142933,unknown
38,Pfarrer,9,1,20060508181950,20070316112111,unknown
39,Altera levatur,9,9,20151128003859,20180123005406,unknown
40,Gunnar1m,9,6,20060302112607,20080206152032,unknown
41,Feetjen,8,5,20081025130533,20100906164818,unknown
42,Dufti123,8,5,20080528184616,20090510140028,unknown
43,El,8,4,20030608144329,20040302141222,unknown
44,78.94.240.244,8,0,20090831080141,20090831080911,unknown
45,Proxy,8,2,20050212092509,20160614222806,unknown
46,Freigut,8,8,20131101193823,20171103105541,unknown
47,84.140.240.149,8,0,20051101115922,20051101121422,unknown
48,D,8,8,20051021083749,20060105144905,unknown
49,Emes,8,5,20060112223022,20110715215518,unknown
50,84.128.204.223,8,0,20041220071716,20041220110216,unknown
51,Girus,8,8,20171205081707,20190223063751,unknown
52,Hhb,8,1,20130218093813,20190221093820,unknown
53,Pixelfire,7,0,20050509061643,20051221095639,unknown
54,84.160.95.61,7,0,20050714070424,20050714071431,unknown
55,Boonekamp,7,4,20091220094400,20110810130718,unknown
56,ChristophDemmer,7,4,20041130140917,20170804150331,unknown
57,Juesch,7,7,20051107074915,20051115092930,unknown
58,Torfkopp,7,4,20041027115246,20041105151006,unknown
59,80.139.74.183,7,0,20070111110237,20070111110830,unknown
60,Kuhn73,7,3,20140203190515,20150603184021,unknown
61,Wst,7,6,20021103163110,20050831080719,unknown
62,Allegoriowitsch,7,5,20100206110824,20130511133837,unknown
63,Mario todte,7,6,20050502165255,20060829124355,unknown
64,Jed,7,7,20040802044743,20071118100316,unknown
65,Ekuah,6,0,20070329192320,20100908205031,unknown
66,Huberbe,6,4,20161030182130,20180402201113,unknown
67,Wikiolo,6,2,20140328133815,20140329105720,unknown
68,Marie-Luise Heckmann,6,4,20161031202904,20161031210955,unknown
69,Terabyte,6,5,20040303233718,20050603072302,unknown
70,Armin P.,6,3,20080528185737,20161101152654,unknown
71,Diopuld,6,0,20151208235040,20181117014806,unknown
72,Thijs!bot,6,6,20060908034155,20110930154757,unknown
73,Highstacks,6,3,20040305130838,20040318154534,unknown
74,Paul Peplow,6,0,20131108195121,20131108203742,unknown
75,Sebbot,6,0,20061223141019,20130412084152,unknown
76,193.170.209.45,6,0,20050215105812,20050216103850,unknown
77,EmausBot,6,6,20110202080126,20130217223908,unknown
78,LKD,6,6,20061121104727,20101001081750,unknown
79,Janand,6,3,20040111110345,20101009210359,unknown
80,Ot,6,4,20090913101043,20180207191046,unknown
81,He3nry,6,5,20050930085526,20160111163328,unknown
82,Polarlys,6,4,20051210123441,20070202164247,unknown
83,Xenos,5,3,20100210174015,20120303070337,unknown
84,Herby1,5,0,20100711101220,20110207150232,unknown
85,Verdammt! Schon wieder das Passwort verbummelt.,5,2,20070112184323,20070112203140,unknown
86,Steffen Löwe Gera,5,5,20051215211914,20090214013028,unknown
87,HeinrichCotta,5,3,20160121094915,20180724100406,unknown
88,FordPrefect42,5,2,20101031122910,20171215135924,unknown
89,WAH,5,4,20060608130644,20161031205909,unknown
90,Penta,5,2,20051213151636,20051216214214,unknown
91,Finanzer,5,5,20041112155802,20051125122221,unknown
92,213.7.69.201,5,0,20050321185650,20050321191241,unknown
93,ChristophLanger,5,1,20031120112427,20040217100649,unknown
94,Dunnhaupt,5,2,20060425112235,20070413001218,unknown
95,VolkovBot,5,5,20080922091148,20090206091059,unknown
96,Magnus,5,5,20030519163709,20031026175300,unknown
97,Flominator,5,5,20050327082413,20050327100301,unknown
98,Tsui,5,5,20050612233010,20051214173604,unknown
99,Herrick,5,4,20041111170913,20051115090850,unknown
100,Crazy1880,5,1,20161101061228,20181122054507,unknown
101,Con2tto,5,5,20071229195933,20080613162711,unknown
102,Richard Lenzen,5,5,20150625235731,20190108032841,unknown
103,194.113.40.41,5,0,20050628061512,20051123110731,unknown
104,217.255.13.84,5,0,20041117114826,20041117120255,unknown
105,Stoerte,5,5,20050210191857,20050215110430,unknown
106,MarkusHagenlocher,5,5,20051125171751,20060204140244,unknown
107,Label5,5,0,20070506195034,20070509051228,unknown
108,ArtMechanic,5,2,20040808160101,20060123222157,unknown
109,JWBE,5,0,20180216104845,20180217102254,unknown
110,Janericloebe,5,2,20090107203545,20100325192209,unknown
111,131.130.125.99,5,0,20050122225909,20050404145912,unknown
112,WalterWolli,5,0,20061211174504,20070127122159,unknown
113,Kniekel,5,4,20070211194250,20070215161010,unknown
114,Benowar,5,2,20141218154113,20171031021412,unknown
115,212.125.149.104,5,0,20051030150952,20051030152609,unknown
116,G-Michel-Hürth,5,1,20090121135745,20160121110733,unknown
117,Dr.Mabuse99,5,4,20170214224752,20190228105050,unknown
118,AndreasPraefcke,5,2,20050519152500,20120516183527,unknown
119,Magnummandel,5,2,20051101120947,20090930171249,unknown
120,J.-H. Janßen,4,0,20061009185037,20160425210248,unknown
121,84.160.212.40,4,0,20050930083445,20050930084431,unknown
122,84.138.254.55,4,0,20051108090313,20051108091703,unknown
123,Urgelein,4,2,20101111205333,20181227122932,unknown
124,Jón,4,4,20070724073537,20140207204626,unknown
125,Letdemsay,4,0,20101031223343,20170501102409,unknown
126,Hejkal,4,2,20050414195313,20181120175209,unknown
127,House1630,4,1,20091206125623,20120126134932,unknown
128,Peter200,4,4,20070108165815,20090927072559,unknown
129,Godewind,4,3,20050410115454,20130418093714,unknown
130,Reinhard Kraasch,4,4,20051213182617,20051220091532,unknown
131,Tsor,4,3,20050730204338,20061231223309,unknown
132,88.70.9.95,4,0,20070114163903,20070114164731,unknown
133,Mehlauge,4,2,20100203222906,20160711082431,unknown
134,NiTenIchiRyu,4,4,20050316093708,20051107075510,unknown
135,Str1977,4,0,20090504194748,20171101223308,unknown
136,Krakatausz,4,1,20091203205036,20091205134911,unknown
137,Bettina Kruse,4,2,20070119202250,20080707173748,unknown
138,Mittelalterlich,4,0,20160627222513,20160627225040,unknown
139,Ben-Zin,4,4,20020418134047,20020903074202,unknown
140,217.232.68.125,4,0,20041230125957,20041230133622,unknown
141,80.141.88.213,4,0,20051115090653,20051115092844,unknown
142,Nuwv,4,0,20160917032039,20160917032806,unknown
143,Ciorano,4,1,20110120190356,20110122132740,unknown
144,Bloro,4,3,20171101140801,20171101151458,unknown
145,Geof,4,2,20040325003647,20111203184826,unknown
146,84.141.125.44,4,0,20051031064954,20051031070016,unknown
147,Entlinkt,4,4,20090618194626,20090910063627,unknown
148,84.58.48.130,4,0,20050604164317,20050604165734,unknown
149,Fabi569377,4,0,20061121104357,20061129130958,unknown
150,Ckeen,4,1,20050212114850,20050408161937,unknown
151,Gerda Arendt,4,2,20101211230543,20111112121501,unknown
152,Origamiemensch,4,0,20080212013839,20080217205736,unknown
153,Life-is-more,4,0,20060924123024,20180614164206,unknown
154,Leptokurtosis999,4,2,20060326101001,20060326101257,unknown
155,Bildungsbürger,4,3,20180128111536,20180128205845,unknown
156,Gum'Mib'Aer,4,4,20041203094417,20050728134427,unknown
157,YourEyesOnly,4,4,20070111110300,20070111110559,unknown
158,Fewskulchor,4,1,20091202121246,20091202121908,unknown
159,Ca$e,4,4,20100330114012,20100330115927,unknown
160,84.191.31.217,4,0,20050605101911,20050605110532,unknown
161,Regi51,4,4,20090608154908,20101012160311,unknown
162,Blaubahn,4,0,20050526131034,20051107142318,unknown
163,213.23.239.13,4,0,20050906122048,20050906123430,unknown
164,62.109.87.216,4,0,20051018083755,20051018084024,unknown
165,DerHexer,4,4,20070109145243,20090907094411,unknown
166,Redf0x,4,4,20050112192511,20050113175524,unknown
167,TXiKiBoT,4,4,20090221085035,20091130211435,unknown
168,Monmignon,4,4,20180318162926,20180320095519,unknown
169,Claudius1740,4,0,20130603111938,20140302191027,unknown
170,GFHund,4,2,20101102202430,20101113171850,unknown
171,81.208.74.176,4,0,20040307210656,20040307213455,unknown
172,Holdbold,4,1,20041204021429,20060917121004,unknown
173,Shmuel haBalshan,4,1,20060703214404,20100419114449,unknown
174,Informationswiedergutmachung,4,2,20161007140837,20180708130806,unknown
175,Martina Nolte,4,2,20120227154435,20170423182002,unknown
176,Ambross07,4,3,20091203093136,20101214073629,unknown
177,Kresspahl,3,2,20050617161936,20050617162146,unknown
178,Albrecht 2,3,1,20091111184152,20091111190852,unknown
179,84.130.233.23,3,0,20051126093833,20051126094558,unknown
180,Bertramz,3,0,20130603113959,20170217115112,unknown
181,Dexbot,3,3,20140902204959,20150103120551,unknown
182,Ἀστερίσκος,3,2,20150824191056,20171119232947,unknown
183,Detlevhfischer,3,0,20090608175734,20090608180210,unknown
184,Grani,3,3,20170208151057,20171031121305,unknown
185,Flugfrosch,3,0,20060321225721,20060323000148,unknown
186,Markus Mueller,3,0,20050712071310,20050712074757,unknown
187,Nocturne,3,3,20041203093124,20050113072825,unknown
188,Anathema,3,3,20040226185627,20050124084451,unknown
189,Invisigoth67,3,3,20180620143554,20190105115615,unknown
190,Flucco,3,0,20160616155438,20161006153010,unknown
191,Avoided,3,3,20101012133639,20101012142407,unknown
192,Escarbot,3,3,20070101211406,20080331221826,unknown
193,RonMeier,3,3,20110331112845,20170827130451,unknown
