,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Subamaggus,66,20,20170218205741,20180209161407,unknown
1,Volkstribun 2.0,51,16,20150402030738,20170831143018,unknown
2,Qualiabavariae,50,1,20120117161709,20150916141020,unknown
3,Miltrak,49,0,20140212172139,20170503105620,unknown
4,EH⁴²,47,9,20130630090623,20170722095600,unknown
5,Dr Möpuse,40,2,20170215161448,20170820195243,unknown
6,Caesar Mitis,34,5,20170124143419,20180209133419,unknown
7,Aka,27,27,20120718191318,20190123110426,unknown
8,Eschweiler,27,6,20060801201215,20170129212145,unknown
9,JosFritz,24,5,20140217230829,20160903105438,unknown
10,Rudolph Buch,23,13,20161128142405,20180209162520,unknown
11,Distelfinck,19,2,20170514204636,20180209190226,unknown
12,Hardenacke,19,10,20080216210523,20170501164656,unknown
13,ThurnerRupert,19,0,20160625165901,20170506180042,unknown
14,RoBri,16,8,20161124054243,20180214140517,unknown
15,San Andreas,16,16,20170124205642,20170215204548,unknown
16,80.134.108.212,14,0,20130302154720,20130302155532,unknown
17,Lämpel,14,2,20170309074757,20180221143418,unknown
18,Gödeke,14,14,20080303195034,20140911070109,unknown
19,Neun-x,13,0,20140214100515,20170525041526,unknown
20,Kängurutatze,13,2,20170206131352,20170301111428,unknown
21,Horst Gräbner,13,8,20131202190534,20180211154759,unknown
22,Perrak,12,0,20170427190949,20181009121235,unknown
23,Sprachpfleger,12,8,20170206082712,20181106211540,unknown
24,KimHolgerKelting,12,1,20170717160030,20180623134741,unknown
25,Flk-Brdrf,11,0,20170218021938,20190123074330,unknown
26,Anima,11,4,20170129165623,20171201212647,unknown
27,El Duende,11,0,20090521114600,20110607120944,unknown
28,Natsu Dragoneel,10,6,20170616131021,20171120232538,unknown
29,194.95.119.139,10,0,20090603114538,20120203122027,unknown
30,Nov3rd17,9,1,20180208031637,20180215172524,unknown
31,Seewolf,9,8,20080111175834,20181119145026,unknown
32,Aflis,9,5,20120120175421,20170528142703,unknown
33,Paul Peplow,9,0,20140501093544,20140526210100,unknown
34,Eishöhle,9,8,20140501131156,20140502173115,unknown
35,Cyve,8,0,20170124144403,20170603051355,unknown
36,Boshomi,8,5,20140912145132,20170130212755,unknown
37,Excolis,8,2,20131224083945,20181225144239,unknown
38,PasseVivant,8,5,20130812130504,20170319133150,unknown
39,Qcomp,8,5,20170127235800,20170211093715,unknown
40,Frze,8,8,20140214093143,20170126020648,unknown
41,LiliCharlie,8,1,20150909132914,20160724091521,unknown
42,Gustav von Aschenbach,8,5,20140212232909,20180212160946,unknown
43,NORLU,7,2,20070306113816,20151103081954,unknown
44,Olag,7,1,20140213194429,20140220105141,unknown
45,46.5.30.250,7,0,20180209072511,20180212072729,unknown
46,Tfjt,7,5,20170129200409,20181123131331,unknown
47,77.87.228.70,6,0,20170609140106,20170616131505,unknown
48,Olaf Kosinsky,6,3,20160321091929,20180213174134,unknown
49,Mr. bobby,6,0,20171201131041,20171209175908,unknown
50,Alstersegler,6,0,20180214030304,20180214034500,unknown
51,Aschmidt,6,1,20170307124751,20170320153845,unknown
52,Luckas-bot,6,6,20110607225336,20120322152953,unknown
53,Braveheart,6,1,20140213235617,20161115153115,unknown
54,Ulitz,6,2,20161114162535,20180216230112,unknown
55,Rübenkopf,5,3,20170124182621,20170801112434,unknown
56,Ngowatchtransparent,5,1,20090227145527,20100726143518,unknown
57,Rmcharb,5,4,20170807111501,20181001105515,unknown
58,KorrekTOM,5,3,20161124174310,20170205132807,unknown
59,Ralf Roletschek,5,0,20170226190720,20180213205733,unknown
60,Cirdan,5,2,20170218100018,20180320131455,unknown
61,Frogfol,5,1,20140202013340,20140218011443,unknown
62,Logograph,5,5,20160311070709,20180927101641,unknown
63,Hubertl,5,2,20101124150831,20141121092006,unknown
64,Andropov,5,0,20170202092101,20170528125709,unknown
65,Pölkkyposkisolisti,4,0,20140423192722,20140702083150,unknown
66,Roger Ufeck,4,0,20170202112829,20170206175455,unknown
67,Altsprachenfreund,4,2,20140620143218,20170724115531,unknown
68,193.174.243.130,4,0,20130529125253,20130529125838,unknown
69,Universalamateur,4,1,20181011142342,20181123131843,unknown
70,Nolispanmo,4,4,20101124165354,20170807111626,unknown
71,Mhvn,4,1,20120715124341,20120715135108,unknown
72,Kleiner Stampfi,4,3,20140212190648,20140416082418,unknown
73,Xocolatl,4,4,20131027130428,20171103192407,unknown
74,88.72.235.90,4,0,20180208202015,20180209065401,unknown
75,ACBahn,4,0,20141213145932,20150514174428,unknown
76,Lettres,4,0,20101124211436,20171208151714,unknown
77,Itti,4,4,20120203121116,20170131221256,unknown
78,188.105.8.40,4,0,20170724064332,20170724144327,unknown
79,2003:75:2F53:5212:191:FA14:4F94:EB5C,4,0,20171204192948,20171204193355,unknown
80,Qaswa,4,1,20170130100137,20180209174130,unknown
81,Cosal,4,3,20140216014757,20170111223302,unknown
82,AchimBaatzsch,4,0,20070926071720,20070926073151,unknown
83,93.104.171.217,4,0,20150201152420,20150201153959,unknown
84,Luke081515Bot,4,0,20160321031705,20161212232343,unknown
85,Stefanbw,4,0,20140213222246,20171125120710,unknown
86,134.176.75.96,4,0,20180209135605,20180209143005,unknown
87,79.253.129.219,3,0,20120117095139,20120117095512,unknown
88,91.221.58.27,3,0,20170807103849,20170807110927,unknown
89,GT1976,3,0,20120725143111,20151114063316,unknown
90,Stefan0161,3,0,20161014102326,20161014102453,unknown
91,MAY,3,0,20130627003020,20170118175926,unknown
92,Benatrevqre,3,1,20170816101137,20170921170501,unknown
93,Pm,3,3,20040318080814,20040318080956,unknown
94,Hobbyschweizer,3,0,20140131150952,20140131152053,unknown
95,Callidior,3,3,20080312100742,20090607200219,unknown
96,Hans Haase,3,0,20170302094128,20181108053257,unknown
97,93.104.161.140,3,0,20150203180122,20150203182226,unknown
98,Parvolus,3,1,20180505172228,20180509222800,unknown
99,Czernin Verlag,3,1,20170124154730,20170202084054,unknown
100,78.48.160.192,3,0,20170923190530,20170923190822,unknown
101,HSV4life,3,3,20180604213328,20180604213428,unknown
102,Wilske,3,3,20171030051723,20171030082321,unknown
103,84.169.163.250,3,0,20100602185953,20100603052547,unknown
104,Japanito,3,2,20170131055404,20170131061646,unknown
105,Thomas Schulte im Walde,3,1,20140219131847,20170525192239,unknown
106,,3,0,20170921170832,20171103120831,unknown
107,Werner von Basil,3,3,20121212091635,20170927150754,unknown
108,Sebbot,3,1,20090325005459,20110404210129,unknown
109,84.169.176.148,3,0,20100603184409,20100603184819,unknown
110,177.130.223.206,3,0,20170901171606,20170901171820,unknown
111,Alberto568,3,2,20131115220854,20131115221016,unknown
112,Salamibus,3,0,20170125164214,20170125171311,unknown
113,217.249.100.230,3,0,20171102235557,20171102235922,unknown
114,Gripweed,3,3,20170801225912,20171204212923,unknown
115,Das Eichhörnchen,3,0,20170924094823,20170924110225,unknown
116,Pittimann,3,2,20170921170849,20171016121359,unknown
117,Viet2001,3,0,20170919173928,20171103192158,unknown
118,Cholo Aleman,3,0,20130615161135,20131129173025,unknown
119,Zwobot,3,2,20041205180436,20060123191108,unknown
