,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Dr. Manuel,23,2,20080625162228,20120901110117,unknown
1,Rita2008,17,1,20081119104603,20180225144119,unknown
2,RedTux,9,3,20060118140927,20090414183355,unknown
3,Fräggel,7,2,20080514183824,20080524180029,unknown
4,Arbeiter- und Bauernmacht,7,6,20090117123333,20090308104856,unknown
5,Benatrevqre,6,3,20091018215423,20091018215841,unknown
6,MerlIwBot,6,6,20110701214957,20130310024735,unknown
7,Belucha,6,2,20060116010604,20060117234929,unknown
8,Nuuk,5,1,20071007195241,20100403120010,unknown
9,August aus Reval,4,2,20061030124939,20120709192528,unknown
10,Hydro,4,4,20070207111224,20081029130034,unknown
11,188.108.179.21,3,0,20140906183027,20140906183142,unknown
12,Mycroft Holmes,3,0,20070430161642,20070430162030,unknown
13,Zinnmann,3,1,20060116085610,20120524082958,unknown
14,Aka,2,2,20060426194103,20080925174041,unknown
15,84.189.16.114,2,0,20070514202956,20070514203124,unknown
16,Amurtiger,2,0,20070326082059,20070326082246,unknown
17,KastusK,2,0,20120608162936,20120608162951,unknown
18,Marcel601,2,0,20101010220100,20120307220714,unknown
19,VolkovBot,2,2,20100307203244,20100311073349,unknown
20,Wikswat,2,0,20100114152309,20100114154021,unknown
21,ErikvanB,2,0,20120305043703,20120305043943,unknown
22,Seewolf,2,1,20071014064046,20071014064117,unknown
23,77.109.183.74,2,0,20170309080510,20170309080542,unknown
24,Ex2,2,0,20080512080724,20080628171528,unknown
25,CommonsDelinker,2,2,20110401155822,20120831212441,unknown
26,Mr. Mustard,2,0,20101211193948,20101211201146,unknown
27,83.78.86.38,2,0,20071014063640,20071014063721,unknown
28,Franz Jäger Berlin,2,0,20101211201010,20101212155642,unknown
29,84.165.126.249,2,0,20080524174319,20080524174453,unknown
30,Hödel,1,1,20090504201132,20090504201132,unknown
31,JonBs,1,1,20140318125323,20140318125323,unknown
32,Heinz Seidler,1,0,20160115160605,20160115160605,unknown
33,176.0.57.87,1,0,20160325101512,20160325101512,unknown
34,Ephraim33,1,0,20060428163023,20060428163023,unknown
35,Chricho,1,0,20140916183118,20140916183118,unknown
36,KekZ22,1,1,20140318125210,20140318125210,unknown
37,84.179.217.131,1,0,20060412160033,20060412160033,unknown
