,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Johannes Rohr,148,29,20050417204311,20110221172659,unknown
1,Funkruf,39,2,20101202022106,20101205220545,unknown
2,Ot,38,20,20040824123510,20161220070246,unknown
3,Addicted,37,25,20040804190641,20070322190653,unknown
4,LKD,29,29,20060309091209,20100218105357,unknown
5,Pittimann,22,21,20100226081425,20161103082430,unknown
6,Aka,20,20,20051129112420,20180705121004,unknown
7,217.232.111.233,19,0,20070911062311,20070911063943,unknown
8,Liberal Freemason,18,6,20050129182339,20090311212244,unknown
9,Bios bestattungen,16,4,20081216221626,20081222094206,unknown
10,Nerd,16,13,20030103122951,20061221144726,unknown
11,Sinn,16,4,20070326071617,20071026105147,unknown
12,FNDE,15,9,20150418111129,20160519093842,unknown
13,Flash Metroid,15,0,20060511150012,20060511150247,unknown
14,Hydro,14,13,20070506123157,20160919110630,unknown
15,Nuwv,13,2,20160205162841,20160906101549,unknown
16,Karllanze,12,1,20120109135500,20160519134245,unknown
17,158.38.51.111,11,0,20050804084413,20070829074936,unknown
18,Fossa,11,0,20060306165350,20100316161216,unknown
19,Mixia,9,2,20070904212237,20090126160857,unknown
20,SieBot,9,9,20080615085910,20100922093624,unknown
21,Ratio~dewiki,9,1,20041220001724,20050223034839,unknown
22,WAH,8,4,20060207142610,20090116111759,unknown
23,ParaDox,8,6,20070403161000,20100328050158,unknown
24,VolkovBot,8,8,20080804223641,20101124140509,unknown
25,Regi51,8,8,20081218114720,20160116162801,unknown
26,Spuk968,8,8,20100219094956,20160511105540,unknown
27,85.167.138.44,8,0,20050426163601,20050502200516,unknown
28,62.224.138.237,8,0,20050415143932,20050415145730,unknown
29,217.24.13.146,8,0,20060207142200,20060207142925,unknown
30,80.130.183.6,7,0,20050629070140,20050629070915,unknown
31,Zwobot,7,7,20040218211737,20060221025036,unknown
32,212.117.127.210,7,0,20060330093917,20060405080737,unknown
33,Emma7stern,7,0,20101008215050,20121204090131,unknown
34,Tfjt,7,3,20120606214358,20120722144811,unknown
35,Samum~dewiki,7,5,20050130145407,20050723103816,unknown
36,He3nry,6,6,20051018085852,20141208133822,unknown
37,Asdfj,6,3,20060929151042,20061005080742,unknown
38,Rufus46,6,6,20070129185610,20161115075932,unknown
39,Dachris,6,6,20060404100317,20070304115649,unknown
40,IngaGottschalk,6,0,20100304083544,20120318174128,unknown
41,79.212.22.123,6,0,20150617114941,20150617115121,unknown
42,THausherr,6,0,20060315175240,20070318080000,unknown
43,EberhardMR,6,2,20171120081416,20171120090147,unknown
44,84.143.200.144,6,0,20060309090853,20060309091815,unknown
45,Itti,6,6,20140130143048,20160615063200,unknown
46,Kruwi,6,3,20070808112307,20080406105752,unknown
47,Peter200,6,6,20070416062657,20090126113605,unknown
48,Herr Andrax,6,3,20061205221412,20061205224642,unknown
49,Horst Gräbner,6,6,20150609172004,20161119164252,unknown
50,Bennsenson,5,0,20070626154057,20100315152818,unknown
51,Carolin,5,1,20100805065208,20190117171126,unknown
52,Snoopy1964,5,5,20141016084427,20161214134022,unknown
53,Genix,5,0,20080202002933,20080303043235,unknown
54,87.173.129.68,5,0,20100309120836,20100309121242,unknown
55,212.82.236.181,5,0,20041215150643,20050204161939,unknown
56,Anima,5,3,20110105172916,20160411162424,unknown
57,Benatrevqre,5,2,20120101174254,20120101182830,unknown
58,Martin Wolfangel,5,0,20110907131549,20120201145659,unknown
59,Schnabeltassentier,5,4,20150611065133,20171121022434,unknown
60,Spam,5,2,20060605034419,20060621215323,unknown
61,Julius1990,5,0,20051218184514,20070911192421,unknown
62,84.148.74.236,5,0,20060131142627,20060131143124,unknown
63,80.141.212.145,5,0,20050403123245,20050403123655,unknown
64,62.159.116.32,5,0,20060210121706,20060215074654,unknown
65,Konsul,5,5,20050730083956,20050730085256,unknown
66,217.81.98.107,5,0,20041209140336,20041209142831,unknown
67,80.219.167.13,5,0,20081229161212,20081229163220,unknown
68,Diba,5,5,20070508091829,20151012070121,unknown
69,83.176.140.128,5,0,20041122175805,20041122180120,unknown
