,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,David Wintzer,21,20,20080914141146,20181005075242,unknown
1,Verzettelung,12,11,20141215014453,20180202220121,unknown
2,GS63,8,0,20140831003153,20171104104834,unknown
3,N.Eschenhagen,8,5,20111128183848,20171117095155,unknown
4,Komischn,5,5,20111110214744,20180101230517,unknown
5,Baumfreund-FFM,5,1,20141211085719,20181013075331,unknown
6,Olaf Kosinsky,5,0,20160430164212,20171209101809,unknown
7,Cylleru,4,1,20160321112021,20160321113640,unknown
8,Igorakkerman,4,3,20141018121623,20141018122123,unknown
9,Oliver S.Y.,4,0,20150928105736,20160321134209,unknown
10,Eppelheim,4,0,20141211090340,20141211090517,unknown
11,87.122.32.123,3,0,20050812152832,20050812152958,unknown
12,StagiaireMGIMO,3,1,20141220080211,20141220080459,unknown
13,APPER,3,1,20050907101227,20100527023304,unknown
14,Rabanusmaurus,3,0,20140829094018,20141018145543,unknown
15,Fridolin freudenfett,3,0,20141023065117,20170317184357,unknown
16,Scooter,2,1,20051208000551,20141018204334,unknown
17,Emmridet,2,2,20121109194933,20121109195133,unknown
18,85.178.85.156,2,0,20110919134209,20110919134616,unknown
19,Yoda1893,2,0,20141211092749,20141211092841,unknown
20,Aka,2,2,20141020193653,20170322132942,unknown
21,Zweioeltanks,2,0,20181212080423,20181212095005,unknown
22,Pelz,2,2,20090716204143,20111020213104,unknown
23,BLueFiSH.as,2,2,20070317195150,20070317195202,unknown
24,Artikelsammler,2,0,20181212092720,20181212110442,unknown
25,Siwibegewp,2,0,20161113095007,20161113100945,unknown
26,LiterallySimon,2,1,20111128164156,20161208181619,unknown
27,Illsley,2,0,20141020074159,20141020074335,unknown
28,SDKmac,2,0,20160710031749,20170322091445,unknown
29,RedBot,2,2,20090723075029,20090803154046,unknown
30,80.187.97.172,2,0,20151129192151,20151129192418,unknown
31,Hardenacke,2,2,20080117195222,20080609185452,unknown
32,Alstersegler,2,0,20170511012606,20170511012636,unknown
33,FinnlandFreund,2,0,20181031232909,20181031233913,unknown
34,194.95.177.101,2,0,20051110133348,20051110133431,unknown
35,Citaro86,2,0,20141018171225,20141120201448,unknown
36,Betriebsrat,2,2,20080606230528,20081113193402,unknown
37,176.114.240.35,1,0,20181212043043,20181212043043,unknown
38,93.232.203.164,1,0,20141214160250,20141214160250,unknown
39,217.227.9.171,1,0,20170130132514,20170130132514,unknown
40,KL052,1,0,20180820162050,20180820162050,unknown
41,Rapober,1,0,20111206214034,20111206214034,unknown
42,Thomas Schulte im Walde,1,0,20141116100617,20141116100617,unknown
43,Slökmann,1,1,20161027170436,20161027170436,unknown
44,Ute Erb,1,1,20141019094116,20141019094116,unknown
45,77.6.140.181,1,0,20160501005955,20160501005955,unknown
46,Der Naturfreund,1,0,20180504221048,20180504221048,unknown
47,Ticketautomat,1,1,20090108095151,20090108095151,unknown
48,78.52.85.113,1,0,20141018134833,20141018134833,unknown
49,82.113.99.139,1,0,20150928205455,20150928205455,unknown
50,"Geist, der stets verneint",1,1,20171102210538,20171102210538,unknown
51,89.204.137.66,1,0,20190228162412,20190228162412,unknown
52,Kh80,1,1,20070126020605,20070126020605,unknown
53,Tremonist,1,0,20140110151237,20140110151237,unknown
54,80.187.107.89,1,0,20170317140117,20170317140117,unknown
55,Hdh9hwe98dn82,1,0,20181004225451,20181004225451,unknown
56,85.183.154.174,1,0,20120609140800,20120609140800,unknown
57,Dietrich,1,0,20161209053033,20161209053033,unknown
58,Muns,1,0,20180628130117,20180628130117,unknown
59,141.15.31.1,1,0,20111201114847,20111201114847,unknown
60,Ralf Roletschek,1,0,20160902222735,20160902222735,unknown
61,Sebbot,1,0,20100128004933,20100128004933,unknown
62,Reinhard Kraasch,1,1,20141018182236,20141018182236,unknown
63,Archie02,1,0,20180112062040,20180112062040,unknown
