,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qwqchris,23,0,20070704134919,20080423094554,unknown
1,Bassaar,23,12,20060830143007,20070814063256,unknown
2,TMFS,11,6,20050614104228,20080710223729,unknown
3,Skyman gozilla,9,3,20060915214104,20071215191045,unknown
4,84.187.151.61,8,0,20060129104823,20060129110928,unknown
5,Suirenn,7,6,20071102173214,20090924101601,unknown
6,Iiigel,7,2,20160426165150,20161109201456,unknown
7,Pelz,7,1,20051020214527,20150204000238,unknown
8,91.5.223.30,6,0,20070424181824,20070424190300,unknown
9,Roentgenium111,6,0,20110613213540,20170207150520,unknown
10,Hafenbar,6,5,20040204220208,20040925214652,unknown
11,80.226.0.1,5,0,20110411222750,20110411225318,unknown
12,Mehlauge,5,1,20150407070835,20150407123440,unknown
13,217.236.91.106,5,0,20040722151355,20040722151842,unknown
14,Jed,4,3,20070202063915,20120220194751,unknown
15,Aka,4,4,20051031114211,20150706095348,unknown
16,KarstenG,4,3,20100620111730,20100620121312,unknown
17,91.5.102.8,4,0,20071128094428,20071128094828,unknown
18,84.171.184.162,4,0,20120202103527,20120202103846,unknown
19,134.76.6.135,3,0,20071010165704,20071208144303,unknown
20,Frantisek,3,2,20060412192536,20060416062439,unknown
21,213.140.14.185,3,0,20060703132141,20060703132306,unknown
22,Peter200,3,3,20120202103544,20120202103853,unknown
23,Azog,3,3,20070424183436,20070424190419,unknown
24,84.162.14.197,3,0,20050728090044,20050728090228,unknown
25,Eishöhle,3,3,20140601172928,20140601173025,unknown
26,DJSchumi,3,1,20100118123135,20100118123900,unknown
27,84.166.103.73,3,0,20070705160243,20070705160646,unknown
28,Meistolf,3,0,20160104115723,20160104120023,unknown
29,Benatrevqre,3,2,20090320132904,20100608175412,unknown
30,89.49.153.108,3,0,20060330204941,20060330205637,unknown
31,193.17.232.1,2,0,20110729122831,20110729122850,unknown
32,212.23.126.20,2,0,20071116094919,20071116095008,unknown
33,Zwobot,2,2,20040701115617,20061001132735,unknown
34,Abdull,2,0,20050919105928,20060601194124,unknown
35,79.211.249.242,2,0,20080206091116,20080206091143,unknown
36,Schlesinger,2,2,20071128094456,20080206091147,unknown
37,Berlinschneid,2,2,20070805095141,20071102185111,unknown
38,Gerhardvalentin,2,2,20091122185943,20110323103750,unknown
39,Neferhotep,2,0,20110321113911,20110321114031,unknown
40,Entbert,2,1,20140401215602,20151127222757,unknown
41,SoWhy,2,0,20070704092159,20070705182451,unknown
42,80.140.110.164,2,0,20090916205322,20090916205817,unknown
43,Giftmischer,2,2,20110810181151,20140303084729,unknown
44,Hasselklausi,2,1,20180110161219,20180110162238,unknown
45,PolskiNiemiec,2,0,20100607124148,20100607124246,unknown
46,193.17.243.1,2,0,20110519150630,20110519150729,unknown
47,84.141.106.48,2,0,20060614055853,20060614060152,unknown
48,Walter Koch,2,2,20030209161407,20030217220400,unknown
49,193.17.243.101,2,0,20070117173154,20070117173233,unknown
50,84.144.75.128,2,0,20070710075148,20070710075240,unknown
51,Abr,2,0,20140212002753,20140323094259,unknown
52,217.229.62.206,2,0,20070705122501,20070705122532,unknown
53,Nicolas G.,2,1,20071128094820,20071128094839,unknown
54,Ralf Roletschek,2,0,20171124150449,20171124150758,unknown
55,HaeB,2,2,20050906083659,20050915081735,unknown
56,Alnilam,2,2,20120202103715,20131016103019,unknown
57,84.63.98.0,2,0,20060203164530,20060203164639,unknown
58,84.138.84.69,2,0,20061115092446,20061115092605,unknown
59,Rumpelstolz,2,0,20101013233551,20101013233652,unknown
60,79.203.225.108,2,0,20100609105708,20100609105757,unknown
61,Asperatus,2,0,20110524153224,20110524155642,unknown
62,Gnu1742,2,2,20060614055933,20060614060343,unknown
63,Media lib,2,0,20030824072359,20030824072515,unknown
64,Tönjes,2,2,20070710075156,20070710075303,unknown
65,Ziko,2,0,20110303145958,20110303150407,unknown
66,Excolis,2,0,20140218114128,20140218120826,unknown
67,Purodha,2,2,20070626123403,20070814003015,unknown
68,FDP Thüringen,2,2,20180524092128,20180703163953,unknown
69,Toddy,2,2,20051224205005,20051224205203,unknown
70,CennoxX,2,1,20130916150649,20170127145831,unknown
71,Boshomi,2,0,20141113200534,20150407162534,unknown
72,Augiasstallputzer,2,2,20070211173759,20070211173902,unknown
73,Shurakai,2,2,20161123110436,20161123110559,unknown
74,80.128.185.109,2,0,20050915073640,20050915073739,unknown
75,Urgelein,2,1,20110612142335,20170124213448,unknown
76,HerrAdams,2,1,20170314180627,20170314180837,unknown
77,88.68.107.78,2,0,20080915170714,20080915171330,unknown
78,Bgressor,2,1,20061202164611,20121008225235,unknown
79,Man209,2,0,20160824160636,20161019134815,unknown
80,Ole62,2,2,20080322011014,20101201093839,unknown
81,Geitost,2,1,20091031120046,20091227005148,unknown
82,82.119.7.55,2,0,20061004154534,20061004154720,unknown
83,Wö-ma,2,0,20070628202925,20070628203053,unknown
84,84.133.109.231,1,0,20051227131811,20051227131811,unknown
85,Olytibar,1,1,20130927181558,20130927181558,unknown
86,David Liuzzo,1,0,20060726161119,20060726161119,unknown
87,93.193.75.134,1,0,20150506191441,20150506191441,unknown
88,Crazy1880,1,0,20171210183012,20171210183012,unknown
89,Androl,1,1,20090327201559,20090327201559,unknown
90,Studmult,1,0,20100531145547,20100531145547,unknown
91,84.136.194.195,1,0,20051031114148,20051031114148,unknown
92,Neun-x,1,0,20130409041657,20130409041657,unknown
93,Parell,1,0,20060602094333,20060602094333,unknown
94,217.224.237.113,1,0,20141127013735,20141127013735,unknown
95,84.138.236.5,1,0,20070216093553,20070216093553,unknown
96,91.13.91.190,1,0,20170207123603,20170207123603,unknown
97,193.17.243.2,1,0,20081002070402,20081002070402,unknown
98,Hanna-Emilia,1,0,20091213213535,20091213213535,unknown
99,Magnus,1,1,20030209161200,20030209161200,unknown
100,Market,1,0,20130104095531,20130104095531,unknown
101,89.12.211.94,1,0,20140922210630,20140922210630,unknown
102,89.49.66.207,1,0,20070110153721,20070110153721,unknown
103,Alkab,1,1,20161201210743,20161201210743,unknown
104,HAH,1,1,20070707133340,20070707133340,unknown
105,Tobias Nüssel,1,1,20080603071503,20080603071503,unknown
106,RacoonyRE,1,1,20091111163521,20091111163521,unknown
107,80.171.106.83,1,0,20110302130102,20110302130102,unknown
108,Andol,1,0,20121014164650,20121014164650,unknown
109,80.144.212.46,1,0,20060207111847,20060207111847,unknown
110,WIKImaniac,1,1,20140203211517,20140203211517,unknown
111,88.73.55.106,1,0,20061123085810,20061123085810,unknown
112,Hadibe,1,1,20160610094219,20160610094219,unknown
113,Buffty,1,1,20070704140124,20070704140124,unknown
114,Tafkas,1,0,20091024145558,20091024145558,unknown
115,Deichkind1981,1,0,20101105110906,20101105110906,unknown
116,84.141.34.90,1,0,20050715184500,20050715184500,unknown
117,Greifen,1,0,20111118101929,20111118101929,unknown
118,62.143.60.12,1,0,20060119201313,20060119201313,unknown
119,62.225.235.120,1,0,20131029140727,20131029140727,unknown
120,Karsten11,1,0,20060831152225,20060831152225,unknown
121,Bilby2001,1,0,20151124084330,20151124084330,unknown
122,SeBBo,1,0,20070513170436,20070513170436,unknown
123,Andim,1,1,20180218140416,20180218140416,unknown
124,GGShinobi,1,1,20090907134226,20090907134226,unknown
125,Ne discere cessa!,1,1,20100609105837,20100609105837,unknown
126,Deprifry,1,1,20040731115055,20040731115055,unknown
127,Lateiner,1,0,20051217171224,20051217171224,unknown
128,188.193.23.198,1,0,20130820154629,20130820154629,unknown
