,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hegeba,79,65,20050510215514,20130121140344,unknown
1,JS8,44,5,20171119105000,20190224125309,unknown
2,Janjonas,25,24,20140209214618,20171217094608,unknown
3,Marcus Cyron,14,12,20070120143408,20180210182501,unknown
4,Miebner,13,0,20080126073414,20180214061645,unknown
5,Wikijunkie,5,1,20091123133530,20171204221343,unknown
6,Yoda1893,4,0,20100217001223,20140213170824,unknown
7,Az13student,3,2,20150215101406,20150318231343,unknown
8,DCB,3,2,20180127140112,20180723112734,unknown
9,Treal,3,2,20140211200501,20140213212653,unknown
10,Contrast-Christian,3,0,20170219142531,20180104071057,unknown
11,Bmstr,3,0,20170120173139,20180213131342,unknown
12,Luckas-bot,3,3,20100216001800,20100507171040,unknown
13,Gamsbart,3,3,20080708163145,20081025175247,unknown
14,2003:4C:6F30:9C1F:8DA0:4789:86A1:A89E,2,0,20160129144449,20160129144534,unknown
15,91.89.130.152,2,0,20150222162138,20150222162225,unknown
16,AmiraAmidala,2,1,20140211174011,20180213125241,unknown
17,Tommes,2,1,20131118025532,20131118025733,unknown
18,217.247.161.131,2,0,20150215125814,20150215125852,unknown
19,Garnichtsoeinfach,2,2,20081214123725,20081214124435,unknown
20,87.141.26.246,2,0,20150214130127,20150214130322,unknown
21,BeneBot2008,2,0,20131123120321,20131123123117,unknown
22,217.247.169.2,2,0,20150729160816,20150729160910,unknown
23,ANKAWÜ,2,1,20140212054902,20180108120759,unknown
24,Gödeke,2,2,20131218110235,20140304224722,unknown
25,Schmoffi,2,0,20091128211517,20091128211944,unknown
26,79.209.70.119,2,0,20140210201843,20140210201919,unknown
27,62.46.21.74,2,0,20170219134308,20170219141758,unknown
28,Paediprotect,2,1,20181106132558,20181106135841,unknown
29,Sebbot,2,0,20120307140446,20120821075847,unknown
30,Suppengrün,1,1,20100219214852,20100219214852,unknown
31,109.193.135.157,1,0,20180130185305,20180130185305,unknown
32,Fressbacke,1,0,20100216012535,20100216012535,unknown
33,212.65.1.102,1,0,20140212075446,20140212075446,unknown
34,Bitzer,1,1,20090921215327,20090921215327,unknown
35,84.168.24.160,1,0,20140105155549,20140105155549,unknown
36,Krdbot,1,1,20161112092938,20161112092938,unknown
37,2A02:908:2F33:2100:D77:3F62:D398:E620,1,0,20190127160520,20190127160520,unknown
38,Cleverboy,1,1,20081211000331,20081211000331,unknown
39,217.250.244.23,1,0,20130208204128,20130208204128,unknown
40,2003:D4:C3CD:3434:153:C50F:88DD:2CE4,1,0,20180603202143,20180603202143,unknown
41,Ares k,1,1,20110212123607,20110212123607,unknown
42,2A02:8109:B1C0:E74:7518:2957:8953:3871,1,0,20180214045848,20180214045848,unknown
43,Don Magnifico,1,0,20071122121801,20071122121801,unknown
44,BotdeSki,1,1,20100218072343,20100218072343,unknown
45,87.156.47.56,1,0,20150112160930,20150112160930,unknown
46,Dk1909,1,1,20180127121155,20180127121155,unknown
47,EdgarvonSchleck,1,1,20060303124830,20060303124830,unknown
48,JoachimS,1,1,20091208214547,20091208214547,unknown
49,Regi51,1,1,20170219141836,20170219141836,unknown
50,LaaknorBot,1,1,20090424110200,20090424110200,unknown
51,Xqbot,1,1,20160716194532,20160716194532,unknown
52,Stepro,1,1,20181115225220,20181115225220,unknown
53,Olaf Kosinsky,1,0,20120414203314,20120414203314,unknown
54,79.250.6.68,1,0,20150322134220,20150322134220,unknown
55,JannWestermann,1,0,20180215133853,20180215133853,unknown
56,Rheingauner1965,1,0,20101030143451,20101030143451,unknown
57,134.106.74.226,1,0,20180213125159,20180213125159,unknown
58,PortalBot,1,1,20070330101259,20070330101259,unknown
59,Kegler,1,0,20100216220658,20100216220658,unknown
60,Mihewag,1,1,20140212105343,20140212105343,unknown
61,2A02:908:C32:E0C0:243B:46A5:AC2C:471B,1,0,20171119120016,20171119120016,unknown
62,84.153.66.24,1,0,20050511090138,20050511090138,unknown
63,Aka,1,1,20090925175157,20090925175157,unknown
