,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,259,21,20050415090336,20110106122333,unknown
1,DerSalamander,143,97,20110213181234,20130923181148,unknown
2,JD,114,87,20041117000119,20171014214915,unknown
3,Niggo911,66,12,20100619205557,20180802111511,unknown
4,Mogelzahn,59,41,20040619102253,20170103165435,unknown
5,Zaphiro,53,48,20051203193500,20100606083530,unknown
6,Fehlerfuchs,49,11,20080909101819,20151118115051,unknown
7,212.118.216.43,47,0,20130327161710,20150121165410,unknown
8,Hao Xi,43,29,20080225194611,20110102130156,unknown
9,Ulitz,42,13,20040919213910,20100223205727,unknown
10,ElTres,32,4,20090731191726,20160125085518,unknown
11,Fossa,27,3,20060731163644,20090912170748,unknown
12,Unscheinbar,24,15,20040920092358,20051205134519,unknown
13,33cln33,24,15,20150130184601,20180915081730,unknown
14,Southpark,22,17,20040208235246,20060730173252,unknown
15,Die Winterreise,21,7,20090504101706,20091002213936,unknown
16,Aka,20,20,20051124102017,20180525164719,unknown
17,Subversiv-action,19,5,20041112144623,20050523120135,unknown
18,Captain-C,18,7,20040914105356,20060107093847,unknown
19,Hozro,17,11,20080426200118,20170703121216,unknown
20,Gustav von Aschenbach,16,13,20090826152401,20181015151035,unknown
21,Lhonneux,15,1,20100627125408,20100628175402,unknown
22,Perrak,15,1,20070123094245,20180824183622,unknown
23,Natsu Dragoneel,14,11,20140630122517,20181225175912,unknown
24,Häuslebauer,14,0,20080404175158,20180114143748,unknown
25,Pelikan74,14,0,20100901111738,20100901114955,unknown
26,Scooter,13,7,20051001130341,20130529085157,unknown
27,Gonzo.Lubitsch,13,6,20100728221510,20151213124319,unknown
28,Observer,13,0,20041030091020,20041106032931,unknown
29,Boshomi,13,4,20130112195241,20170109212614,unknown
30,H2SO4,13,3,20070425085643,20120425183146,unknown
31,BeverlyHillsCop,13,0,20110428095620,20141101223420,unknown
32,MAK,12,0,20050423091552,20060528074914,unknown
33,KarlV,12,7,20061004140355,20160513135754,unknown
34,Rauchfarbenes strahlenloses Licht,12,1,20060919072330,20060919074341,unknown
35,Goliath613,12,0,20120425174925,20130909201732,unknown
36,D,11,8,20050917235148,20070502150846,unknown
37,Skriptor,11,6,20040225065410,20050919131449,unknown
38,Horst Gräbner,11,9,20130406155916,20180308153944,unknown
39,Niedergrund,11,4,20110726052737,20130401182026,unknown
40,Ratz Faz,11,6,20131014005005,20150209091434,unknown
41,JPP,10,9,20040922171137,20040925180131,unknown
42,Alkim Y,10,5,20110730105541,20130907083822,unknown
43,Polaris,10,3,20061009193450,20080530083837,unknown
44,Lixo,10,5,20090825101632,20090830185748,unknown
45,Aufklärer,10,7,20050929095752,20080208062504,unknown
46,In dubio pro dubio,9,7,20110127220437,20110620211256,unknown
47,W. Edlmeier,9,2,20090323145822,20150707140213,unknown
48,Zoidberg,9,9,20041029214605,20041101011749,unknown
49,Anton-Josef,9,9,20071002131723,20100628173952,unknown
50,Stefan64,9,7,20061221103743,20150119124905,unknown
51,EscoBier,9,0,20060919124449,20071120100233,unknown
52,GrummelMC,9,0,20060919155802,20071025181427,unknown
53,Andyblue68,8,0,20110303211530,20110327095510,unknown
54,Oomen,8,0,20060322095308,20060519100946,unknown
55,PhHertzog,8,3,20040928073901,20050104012647,unknown
56,W. A. R.,8,0,20050719064501,20051205134346,unknown
57,Maria Stella~dewiki,8,0,20060610141808,20060610142601,unknown
58,Freeworld,8,1,20040922213721,20040923122719,unknown
59,Sambalolec,8,7,20070901032120,20090328033811,unknown
60,62.204.165.222,8,0,20170213192301,20171006162845,unknown
61,91.12.88.119,8,0,20070427102335,20070427111153,unknown
62,Felix König,8,3,20100708182813,20140112092649,unknown
63,JosFritz,8,4,20110322104122,20180822144958,unknown
64,Tritonus05,8,0,20060619102922,20060802155636,unknown
65,Wetterwolke,8,6,20140707222403,20180318141105,unknown
66,Agathenon,8,5,20080622174227,20161123173351,unknown
67,Tao~dewiki,8,0,20050916201012,20051117232958,unknown
68,80.132.19.44,8,0,20060527142708,20060527143443,unknown
69,Griesgram,8,0,20040917204131,20050523095725,unknown
70,93.104.249.74,7,0,20130411170622,20130907101844,unknown
71,Jorges,7,2,20040614213229,20041211223057,unknown
72,Micha2564,7,3,20060919174530,20061120183122,unknown
73,Chricho,7,1,20130224182626,20130720221738,unknown
74,Asentreu,7,0,20070905133019,20080714093134,unknown
75,Emdee,7,3,20090825132233,20091003164401,unknown
76,Regi51,7,7,20100223184655,20180111152313,unknown
77,82.83.168.20,6,0,20041106115724,20041106143629,unknown
78,Nocturne,6,5,20040806131516,20051011112634,unknown
79,Okatjerute,6,5,20060527143008,20100426180651,unknown
80,The weaver,6,2,20061002184315,20061105193032,unknown
81,Thorbjoern,6,0,20050420083124,20051018093446,unknown
82,Zwobot,6,6,20031218185058,20070918033115,unknown
83,82.83.68.142,6,0,20050516190556,20050516190917,unknown
84,Peter200,6,6,20071012060928,20130912062045,unknown
85,Cyve,6,1,20140526151050,20170117114030,unknown
86,84.133.112.234,6,0,20041124051731,20041124064834,unknown
87,J budissin,5,2,20081112143530,20161003160724,unknown
88,Mathias Schindler,5,5,20041129075017,20050419183747,unknown
89,Khatschaturjan,5,0,20160906193201,20160907125239,unknown
90,Axt,5,1,20080214133219,20080515190807,unknown
91,85.74.9.129,5,0,20050523110045,20050523120521,unknown
92,Tintagel,5,1,20170117093253,20170117131813,unknown
93,KastusK,5,0,20130511150558,20160811152912,unknown
94,Frau Olga,5,0,20060921165733,20060921171558,unknown
95,Sargoth,5,5,20091201094847,20170706123540,unknown
96,Karsten11,5,1,20090310133508,20180725191806,unknown
97,Krawi,5,5,20070425102933,20071009135249,unknown
98,Schilderwaldmeister,5,0,20180718161734,20180813114954,unknown
99,Gelegenheitsaccount,5,2,20140709071101,20181201203621,unknown
100,House1630,5,1,20151227141009,20160209083301,unknown
101,141.20.103.68,5,0,20040922135152,20041113191535,unknown
102,Harry8,5,5,20101129101014,20141124095812,unknown
103,Robert Weemeyer,5,2,20140901104751,20170811084343,unknown
104,Itti,5,5,20131106072858,20150107115212,unknown
105,CommonsDelinker,5,5,20100729095138,20110618232723,unknown
106,83.129.57.135,5,0,20050917234944,20050917235254,unknown
107,84.128.141.33,5,0,20041105212652,20041105212844,unknown
108,Buchbibliothek,5,2,20140705203515,20160304223833,unknown
109,Eike sauer,5,4,20050517195611,20070910110105,unknown
