,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Antemister,10,4,20100301141122,20120824124137,unknown
1,MARK,9,7,20061027233056,20090510084958,unknown
2,Bartleby08,6,6,20160508133459,20160508134114,unknown
3,VolkovBot,5,5,20080120101519,20090430175359,unknown
4,Junyi,5,5,20051206075431,20060305040404,unknown
5,91.42.206.209,5,0,20100615072738,20100615102522,unknown
6,Aka,4,4,20070318141843,20190204220249,unknown
7,Macjena,4,1,20140803132720,20140803133057,unknown
8,217.229.218.107,4,0,20040925224710,20040925225430,unknown
9,M. Yasan,4,0,20060514102914,20070125201638,unknown
10,84.56.16.99,4,0,20050927214640,20050927220851,unknown
11,Trainspotter,4,4,20050429191434,20080524184328,unknown
12,Info4Torty,3,0,20031119215313,20031121160119,unknown
13,TXiKiBoT,3,3,20080612112314,20100715095422,unknown
14,Karsten11,3,1,20100501201733,20110829175118,unknown
15,78.53.45.37,3,0,20100623093026,20100623094233,unknown
16,80.109.164.75,3,0,20140817232246,20140817234159,unknown
17,Casra,3,1,20160330175408,20160330180133,unknown
18,Masturbius,3,3,20051205012101,20060301004516,unknown
19,Karl der Größte,3,0,20140201210140,20140201210542,unknown
20,Lycopithecus,3,0,20061205065346,20061205065750,unknown
21,SieBot,3,3,20070904045313,20090816032311,unknown
22,EmausBot,3,3,20110308091114,20121215222740,unknown
23,79.247.48.189,2,0,20130115124438,20130115124846,unknown
24,79.97.210.125,2,0,20100703110700,20100703111218,unknown
25,Cocoloi,2,2,20070225180128,20070225181656,unknown
26,91.42.173.253,2,0,20100608060422,20100608060850,unknown
27,Regi51,2,2,20110412160701,20110412161333,unknown
28,Felix Stember,2,1,20050927230348,20050927230536,unknown
29,84.129.97.215,2,0,20070318141836,20070318141918,unknown
30,84.167.235.172,2,0,20080524084049,20080524143632,unknown
31,Rustler,2,2,20110503143428,20110503145517,unknown
32,Chobot,2,2,20061127101352,20070325032230,unknown
33,84.174.239.105,2,0,20110314191510,20110314191537,unknown
34,Horst Gräbner,2,0,20130115124636,20180327154424,unknown
35,80.171.122.232,2,0,20090118181747,20090118181946,unknown
36,Loveless,2,2,20070514144815,20090804191043,unknown
37,CWitte,2,2,20050622113114,20050626105848,unknown
38,2001:16B8:2EEB:9600:B4E9:CFFF:DFE5:7630,2,0,20181128162516,20181128162917,unknown
39,Thijs!bot,2,2,20061007114429,20070124175044,unknown
40,ArthurBot,2,2,20081205053303,20110104221348,unknown
41,89.15.19.159,2,0,20100828225532,20100828230039,unknown
42,Memnon335bc,2,1,20100701124956,20100702110856,unknown
43,77.177.22.55,2,0,20110412160223,20110412160654,unknown
44,Zwobot,2,2,20040306092145,20040515132113,unknown
45,91.45.161.47,2,0,20101224102946,20101224103008,unknown
46,Julez A.,2,1,20100708163404,20100708164526,unknown
47,RobotQuistnix,2,2,20070305191105,20070729151401,unknown
48,84.167.251.21,2,0,20080614092001,20080614092142,unknown
49,CommonsDelinker,2,0,20160424154427,20171001225343,unknown
50,Leo Eule,2,0,20100227140518,20100303063024,unknown
51,84.167.255.59,2,0,20080524223240,20080525084233,unknown
52,Franz Halac,2,2,20100120235325,20100120235402,unknown
53,Alnilam,2,2,20110520105304,20151119114013,unknown
54,Jhartmann,2,2,20050117132530,20050117132549,unknown
55,Stefan Kühn,2,1,20040512182527,20040512182552,unknown
56,Nasiruddin,2,0,20160408082816,20160411221802,unknown
57,FlugTurboFan,2,1,20090224205009,20090224205229,unknown
58,62.178.249.176,2,0,20100403073614,20100403084850,unknown
59,Mmg,2,2,20150322190820,20150322191407,unknown
60,Goldplie,2,0,20190204200524,20190204200826,unknown
61,Hirt des Seyns,2,0,20100221124147,20100221124325,unknown
62,91.16.77.185,2,0,20100620170109,20100620170638,unknown
63,77.20.205.244,1,0,20100518170629,20100518170629,unknown
64,113.166.59.101,1,0,20110427153509,20110427153509,unknown
65,Pm,1,0,20130625075541,20130625075541,unknown
66,Finanzer,1,1,20040925224932,20040925224932,unknown
67,2A02:8071:AAE:9E00:251B:DB5C:584D:4B98,1,0,20160504184603,20160504184603,unknown
68,Nikkis,1,1,20080206163446,20080206163446,unknown
69,GünniX,1,1,20090509102321,20090509102321,unknown
70,Knoerz,1,1,20100407143820,20100407143820,unknown
71,Dreaven3,1,1,20110313121808,20110313121808,unknown
72,Jaellee,1,1,20160322150703,20160322150703,unknown
73,72.193.77.4,1,0,20060524020138,20060524020138,unknown
74,Nixred,1,1,20070807043959,20070807043959,unknown
75,Arbeiter- und Bauernmacht,1,1,20090117153509,20090117153509,unknown
76,Giftpflanze,1,1,20101108083553,20101108083553,unknown
77,FA2010,1,1,20120712092435,20120712092435,unknown
78,84.226.149.176,1,0,20150503055416,20150503055416,unknown
79,213.39.178.29,1,0,20051116100516,20051116100516,unknown
80,Rei-bot,1,1,20070422231401,20070422231401,unknown
81,Matt1971,1,0,20080922233441,20080922233441,unknown
82,Dinarsad,1,1,20111212143115,20111212143115,unknown
83,Tohma,1,0,20141130080921,20141130080921,unknown
84,Gavin.C,1,0,20050609060655,20050609060655,unknown
85,46.165.228.92,1,0,20180416104302,20180416104302,unknown
86,Saltose,1,1,20100203161140,20100203161140,unknown
87,Olag,1,0,20110724155128,20110724155128,unknown
88,79.240.244.177,1,0,20131110103447,20131110103447,unknown
89,217.88.225.84,1,0,20050128130626,20050128130626,unknown
90,188.110.167.18,1,0,20170529173737,20170529173737,unknown
91,Leshonai,1,1,20061214132418,20061214132418,unknown
92,Alecs.bot,1,1,20080226134701,20080226134701,unknown
93,Eschenmoser,1,1,20090921184102,20090921184102,unknown
94,KnightMove,1,0,20130401185127,20130401185127,unknown
95,24-online,1,1,20040726114330,20040726114330,unknown
96,82.113.98.88,1,0,20160413223723,20160413223723,unknown
97,89.55.204.162,1,0,20060926190508,20060926190508,unknown
98,84.161.187.175,1,0,20071226233019,20071226233019,unknown
99,Geof,1,1,20090321122304,20090321122304,unknown
100,Cheiron94,1,1,20100403133402,20100403133402,unknown
101,Giftmischer,1,1,20110118213946,20110118213946,unknown
102,RibotBOT,1,1,20121212155034,20121212155034,unknown
103,Dandelo,1,1,20151020162915,20151020162915,unknown
104,Bjb,1,1,20060207130739,20060207130739,unknown
105,Nfreaker91,1,1,20070610194726,20070610194726,unknown
106,STBR,1,1,20081117115322,20081117115322,unknown
107,77.2.130.249,1,0,20100721140711,20100721140711,unknown
108,Chrisvomberg,1,0,20120519095558,20120519095558,unknown
109,81.62.199.149,1,0,20150404150926,20150404150926,unknown
110,2003:CA:BF04:A500:A05E:71E9:A7A8:191D,1,0,20190211180354,20190211180354,unknown
111,Jodo,1,1,20080806211422,20080806211422,unknown
112,91.54.201.221,1,0,20100225204720,20100225204720,unknown
113,Luckas-bot,1,1,20111030232018,20111030232018,unknown
114,Velten de,1,1,20050508092348,20050508092348,unknown
115,91.64.41.47,1,0,20180318115547,20180318115547,unknown
116,131.220.71.63,1,0,20070125140344,20070125140344,unknown
117,Tickle me,1,0,20091211072501,20091211072501,unknown
118,HRoestTypo,1,1,20100519121226,20100519121226,unknown
119,Ute Erb,1,1,20130811153655,20130811153655,unknown
120,213.47.253.193,1,0,20041026145125,20041026145125,unknown
121,207.5.150.207,1,0,20080208145233,20080208145233,unknown
122,134.106.137.37,1,0,20090510084643,20090510084643,unknown
123,129.247.247.240,1,0,20100414074914,20100414074914,unknown
124,Wst,1,0,20031120082631,20031120082631,unknown
125,84.61.71.145,1,0,20060829192554,20060829192554,unknown
126,SashatoBot,1,1,20070813133945,20070813133945,unknown
127,91.89.16.85,1,0,20101114105538,20101114105538,unknown
128,Georg-Johann,1,1,20120924205238,20120924205238,unknown
129,109.47.195.190,1,0,20150509184924,20150509184924,unknown
130,91.96.49.136,1,0,20081014233207,20081014233207,unknown
131,GiordanoBruno,1,1,20100314121025,20100314121025,unknown
132,Adlei,1,1,20100703112436,20100703112436,unknown
133,82.135.35.10,1,0,20120216074209,20120216074209,unknown
134,Pt.GM,1,1,20150123122017,20150123122017,unknown
135,FlaBot,1,1,20070227034147,20070227034147,unknown
136,Idioma-bot,1,1,20080612125547,20080612125547,unknown
137,188.104.20.8,1,0,20100220171117,20100220171117,unknown
138,91.42.188.75,1,0,20100608135443,20100608135443,unknown
139,WikitanvirBot,1,1,20110819011007,20110819011007,unknown
140,Florian.Keßler,1,0,20050130014420,20050130014420,unknown
141,Tuxman,1,1,20170628110603,20170628110603,unknown
142,°,1,0,20061224095522,20061224095522,unknown
143,Ginosbot,1,1,20080430112025,20080430112025,unknown
144,93.221.243.250,1,0,20091015100020,20091015100020,unknown
145,Mazee,1,1,20100505222725,20100505222725,unknown
146,2428D,1,1,20110412161318,20110412161318,unknown
147,Matthias Hake,1,0,20130420163444,20130420163444,unknown
148,217.88.158.73,1,0,20040922144200,20040922144200,unknown
149,217.255.26.115,1,0,20160416152526,20160416152526,unknown
150,84.191.181.156,1,0,20090427154234,20090427154234,unknown
151,PDD,1,0,20100403221434,20100403221434,unknown
152,62.203.46.135,1,0,20110122105957,20110122105957,unknown
153,MerlIwBot,1,1,20130114043938,20130114043938,unknown
154,213.196.231.123,1,0,20151119114007,20151119114007,unknown
155,67.68.140.37,1,0,20060508133713,20060508133713,unknown
156,77.176.205.48,1,0,20070611053020,20070611053020,unknown
157,PeterPaan,1,1,20120519120636,20120519120636,unknown
158,Crazy1880,1,0,20150405174609,20150405174609,unknown
159,80.141.167.65,1,0,20050927234157,20050927234157,unknown
160,John N.,1,1,20080807172639,20080807172639,unknown
161,79.206.219.135,1,0,20100226055917,20100226055917,unknown
162,95.33.210.28,1,0,20111201190421,20111201190421,unknown
163,Bujo,1,1,20140823122705,20140823122705,unknown
164,Kolja21,1,0,20050516133643,20050516133643,unknown
165,139.18.15.41,1,0,20180327152913,20180327152913,unknown
166,Ebcdic,1,0,20070213144409,20070213144409,unknown
167,Neurasthenio,1,1,20080524095726,20080524095726,unknown
168,87.178.172.248,1,0,20100116160310,20100116160310,unknown
169,92.224.195.120,1,0,20100529213852,20100529213852,unknown
170,84.167.115.173,1,0,20110520105153,20110520105153,unknown
171,44Pinguine,1,0,20131007181152,20131007181152,unknown
172,MFM,1,1,20041029132625,20041029132625,unknown
173,Querstrebe,1,1,20170116221055,20170116221055,unknown
174,62.47.190.231,1,0,20080222205111,20080222205111,unknown
175,Fadesga,1,0,20090629141926,20090629141926,unknown
176,Kretschik,1,1,20100417022344,20100417022344,unknown
177,So66,1,1,20130121094240,20130121094240,unknown
178,KorrekTOM,1,1,20160330221327,20160330221327,unknown
179,84.183.130.10,1,0,20060829222959,20060829222959,unknown
180,88.68.208.177,1,0,20090217144526,20090217144526,unknown
181,87.183.160.77,1,0,20120929114013,20120929114013,unknown
182,Leyo,1,1,20151017164842,20151017164842,unknown
183,Geher,1,1,20070604153718,20070604153718,unknown
184,Revolus,1,1,20081014233421,20081014233421,unknown
185,80.141.104.208,1,0,20100321173617,20100321173617,unknown
186,Torwartfehler,1,1,20120216074221,20120216074221,unknown
187,Hkoeln,1,1,20150303125356,20150303125356,unknown
188,Lixo,1,0,20050625231910,20050625231910,unknown
189,Jivee Blau,1,1,20181128162931,20181128162931,unknown
190,91.46.68.32,1,0,20100221123631,20100221123631,unknown
191,79.221.186.22,1,0,20110829132500,20110829132500,unknown
192,217.88.232.8,1,0,20050204191502,20050204191502,unknown
193,188.174.2.73,1,0,20170812124428,20170812124428,unknown
194,DorganBot,1,1,20061231142256,20061231142256,unknown
195,DaSch,1,0,20080510233318,20080510233318,unknown
196,Andi oisn,1,0,20091018145652,20091018145652,unknown
197,88.75.76.2,1,0,20100508170346,20100508170346,unknown
198,Snake2000,1,1,20110424172827,20110424172827,unknown
199,80.226.24.12,1,0,20130625071008,20130625071008,unknown
200,.anacondabot,1,1,20061015022205,20061015022205,unknown
201,217.229.183.211,1,0,20080206163430,20080206163430,unknown
202,DumZiBoT,1,1,20090430123708,20090430123708,unknown
203,213.23.186.67,1,0,20100407143626,20100407143626,unknown
204,FA2010Bot,1,1,20130114215045,20130114215045,unknown
205,Buchbibliothek,1,0,20151205080932,20151205080932,unknown
206,Mardil,1,0,20070716221250,20070716221250,unknown
207,79.210.225.202,1,0,20090111102854,20090111102854,unknown
208,NEXT903125,1,0,20101011125103,20101011125103,unknown
209,178.5.46.167,1,0,20120710120411,20120710120411,unknown
210,Pauli94,1,0,20150417184544,20150417184544,unknown
211,Proofreader,1,1,20050930142717,20050930142717,unknown
212,Matthiasb,1,0,20070328115549,20070328115549,unknown
213,Schultss,1,1,20080904140548,20080904140548,unknown
214,XxKAndixX,1,0,20100702163532,20100702163532,unknown
