,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Fossa,105,9,20060118022832,20171217081141,unknown
1,Phi,33,6,20081015104147,20181104084335,unknown
2,Jesusfreund,28,3,20041220224136,20100330215126,unknown
3,Benatrevqre,24,10,20071005224443,20160711113646,unknown
4,Aka,23,23,20050504112604,20190302144159,unknown
5,62.180.160.66,21,0,20060623161024,20060623172705,unknown
6,Samweis,16,2,20060209154428,20060531192152,unknown
7,Ulitz,16,4,20060316174815,20171023212557,unknown
8,Toter Alter Mann,16,13,20100831132744,20111001141303,unknown
9,62.180.160.31,12,0,20060624105423,20060624112311,unknown
10,Emkaer,12,7,20070503165107,20080703090700,unknown
11,Sebastian Huber,11,1,20060803212134,20070616115518,unknown
12,Horst Gräbner,10,10,20120418145242,20190214144022,unknown
13,Machahn,9,1,20060606204034,20070718203910,unknown
14,Jeldrik,9,1,20051218163635,20060228165022,unknown
15,Gustav von Aschenbach,9,5,20100307183427,20180323034326,unknown
16,In dubio pro dubio,8,8,20111219112033,20111219221213,unknown
17,Wolpodzilla,8,1,20081230233544,20110418103142,unknown
18,Pittimann,8,6,20091217134501,20170918174854,unknown
19,LKD,7,7,20060620163038,20110509095455,unknown
20,Filip nohe,7,7,20040321105139,20040321154321,unknown
21,H-stt,7,7,20080304215034,20100909133730,unknown
22,Stefan64,6,5,20060916083343,20100526181409,unknown
23,He3nry,6,6,20051004081553,20160920071317,unknown
24,RobotQuistnix,6,6,20050829123302,20060824015405,unknown
25,84.146.178.18,6,0,20050505074503,20050505082048,unknown
26,Rmcharb,6,6,20170212110331,20171112133355,unknown
27,SieBot,6,6,20071128034348,20100303202539,unknown
28,FlaBot,6,6,20041201144525,20060521020123,unknown
29,Lotta Continua,6,3,20110325194155,20110413171828,unknown
30,VolkovBot,6,6,20081016125917,20110412054348,unknown
31,Der.Traeumer,5,4,20100608080758,20180115113109,unknown
32,217.225.252.97,5,0,20161013121922,20161013122533,unknown
33,DerHexer,5,5,20060818074904,20131023092630,unknown
34,Eduard Eisenstadt,5,0,20171216202510,20171217085251,unknown
35,Thomas7,5,0,20041124194837,20041130194139,unknown
36,79.220.125.86,5,0,20150511125309,20150511130111,unknown
37,Xqbot,5,5,20091228100752,20130127000138,unknown
38,Fingalo,5,0,20090723100509,20090723102445,unknown
39,Fräggel,5,0,20061211134332,20061216104008,unknown
40,ArthurBot,5,5,20090504013705,20100604221443,unknown
41,D,5,3,20060327232446,20070906234736,unknown
42,Bdk,5,4,20060916035400,20070918143245,unknown
43,84.180.123.169,5,0,20051004081217,20051004081745,unknown
44,Oleosolemio,4,2,20130222155821,20130222164215,unknown
45,80.139.96.230,4,0,20041211185340,20041211190908,unknown
46,193.170.68.246,4,0,20050609165522,20050609165628,unknown
47,Graphikus,4,4,20110301145748,20160920071708,unknown
48,Wst,4,3,20030722090757,20050413175652,unknown
49,85.197.26.84,4,0,20150424151956,20150424155211,unknown
50,Peter200,4,4,20110330190437,20130606102929,unknown
51,Regi51,4,4,20140917144351,20180115113345,unknown
52,83.124.44.73,4,0,20071124021057,20071124025407,unknown
