,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,98,39,20070704002059,20161211102833,unknown
1,Phi,67,19,20050721161159,20181108213501,unknown
2,HaeB,31,6,20040504143955,20060310115406,unknown
3,Asdfj,20,8,20060708090417,20100209170550,unknown
4,P. Birken,19,7,20040512140553,20060613135629,unknown
5,Richard Lenzen,19,17,20120129021406,20190216175749,unknown
6,Mannerheim,17,7,20071114191631,20091015114507,unknown
7,84.182.101.201,17,0,20051129075426,20051129103553,unknown
8,Asthma,14,2,20051121113348,20100729075150,unknown
9,Buchbibliothek,13,10,20130706040430,20140914145259,unknown
10,Hozro,13,6,20070731144526,20121030071801,unknown
11,Xqbot,12,12,20090911175635,20130119123721,unknown
12,Steschke,11,10,20050506140150,20071217161317,unknown
13,Anton-Josef,9,9,20071018134729,20110430184011,unknown
14,Goliath613,9,0,20110618214744,20120313095336,unknown
15,Benutzername eingeben,9,2,20141125045654,20141212121351,unknown
16,Zinnmann,9,7,20040421150329,20181108214105,unknown
17,Dr. Steller,9,0,20050907111146,20050912185125,unknown
18,OldJo,9,0,20070807061540,20071014112337,unknown
19,Chaddy,8,8,20080101194058,20080722113523,unknown
20,Jesusfreund,8,0,20061111074131,20080924124306,unknown
21,RobotQuistnix,8,8,20050829114614,20070729151946,unknown
22,Aka,8,8,20051215201028,20180118223858,unknown
23,FlaBot,8,8,20050409182058,20061213004149,unknown
24,Millfield,7,5,20050606234449,20051124235849,unknown
25,Widerborst,7,2,20111225160548,20120708204502,unknown
26,Bujo,7,0,20160909161041,20160910153602,unknown
27,EmausBot,7,7,20111104153149,20130203165449,unknown
28,NL,6,0,20040429111043,20040503162540,unknown
29,Fornax,6,3,20060819060649,20100307113135,unknown
30,Felix König,6,6,20120708141104,20131027103449,unknown
31,217.253.186.163,6,0,20050713204852,20050713214418,unknown
32,Kiwiv,6,0,20071212150755,20080819084325,unknown
33,SchallundRauch,6,0,20060122175212,20060122190017,unknown
34,Zwobot,6,6,20040319211516,20080116160645,unknown
35,Sauquark,6,0,20040503020147,20040503023010,unknown
36,84.56.80.48,6,0,20050731095924,20050731101500,unknown
37,Ilja Lorek Schaffhausen,5,5,20170814173150,20171012175301,unknown
38,Skriptor,5,0,20040503062713,20050914181959,unknown
39,Anima,5,2,20080902194917,20140623223419,unknown
40,Southpark,5,4,20040312194046,20051110193609,unknown
41,Göte,5,5,20130324180649,20150408173339,unknown
42,84.56.106.174,5,0,20050801145803,20050801152335,unknown
43,Ekkehart baals,5,2,20100202150059,20101116182850,unknown
44,MalteF,5,0,20051110193353,20061010154536,unknown
45,Hermann666,5,0,20060612075254,20060613123052,unknown
46,Tobias1983,5,4,20070508105647,20121223222807,unknown
47,Rita2008,5,0,20071220221012,20120502144059,unknown
48,SieBot,4,4,20070713015826,20080510002747,unknown
49,Jed,4,3,20051024202528,20121126222024,unknown
50,GetulioV,4,4,20110913142625,20110913143523,unknown
51,Nico b.,4,2,20051213133210,20060703195552,unknown
52,Bernd vdB,4,0,20081230180350,20090113145117,unknown
53,Berci,4,3,20121102181139,20121102181953,unknown
54,Salomonschatzberg,4,4,20050604213313,20050825211447,unknown
55,Stilfehler,4,1,20050911233203,20051025131620,unknown
56,STBR,4,4,20051129095537,20051129133207,unknown
57,HotChip,4,0,20080513161608,20091028190355,unknown
58,84.128.166.63,4,0,20050719170651,20050719171024,unknown
59,Magnus,4,4,20030706144254,20040130130108,unknown
60,Alexander.stohr,4,0,20090517170237,20090517173024,unknown
61,Amurtiger,4,0,20070709145947,20090113121645,unknown
62,Lung,4,1,20060114124232,20070314134124,unknown
63,Stefan Kühn,4,2,20030725190339,20040206160254,unknown
64,Zoris Trömm,4,0,20070308222457,20090802205024,unknown
65,C.Löser,4,3,20050917164806,20070426194553,unknown
66,80.228.141.143,3,0,20050717134522,20050717134912,unknown
67,Res-berlin,3,0,20040410112639,20040430071610,unknown
68,Ulitz,3,2,20070102121408,20101105222031,unknown
69,Ifindit,3,0,20140227045417,20140227054750,unknown
70,Polarlys,3,1,20060722083048,20071221181619,unknown
71,Macador,3,2,20050413105008,20050602103612,unknown
72,84.140.238.193,3,0,20060207071543,20060207074610,unknown
73,Phantom,3,3,20060626212751,20061124054010,unknown
74,33cln33,3,1,20151224101559,20151230192530,unknown
75,Toni Müller,3,0,20170122161510,20170122162037,unknown
76,YurikBot,3,3,20060614212327,20060802075729,unknown
77,Jergen,3,1,20050425123429,20170122165349,unknown
78,DragonBot,3,3,20081015093339,20090425090742,unknown
79,He3nry,3,1,20060303063639,20141212102027,unknown
80,Pelagus,3,1,20051011201006,20051206214448,unknown
81,84.176.111.220,3,0,20051211160545,20051211161238,unknown
82,LogoX,3,1,20101125132752,20111229120753,unknown
83,80.143.216.219,3,0,20051030095808,20051030100135,unknown
84,Lhonneux,3,0,20100627144143,20100628174147,unknown
85,Nightdiver,3,0,20121015063629,20150811170204,unknown
86,Complex,3,3,20071216225832,20071216230117,unknown
87,Usquam,3,1,20091118174931,20100216094525,unknown
88,Inspektor.Godot,3,2,20060703173245,20070905141045,unknown
89,Assayer,3,3,20141126183921,20170101181258,unknown
90,SashatoBot,3,3,20070719044808,20070905041253,unknown
91,85.124.50.29,3,0,20060105091347,20060105092514,unknown
92,Saltose,3,3,20090926203441,20100105163341,unknown
93,Herrick,3,2,20040423075551,20050514133615,unknown
94,Kall,3,0,20180304111410,20180304111643,unknown
95,Miraki,3,2,20100628195401,20101014062732,unknown
96,Neun-x,3,0,20121030045541,20161208201032,unknown
97,Evilboy,2,2,20051220210304,20051220210445,unknown
98,Finanzer,2,1,20060304200331,20060317004935,unknown
99,Machahn,2,2,20110319161455,20111024121522,unknown
100,Braveheart,2,1,20060814191619,20150323153541,unknown
101,81.74.86.176,2,0,20050424233955,20050424234031,unknown
102,TXiKiBoT,2,2,20070623141525,20081231124630,unknown
103,84.182.80.154,2,0,20051129144543,20051129151108,unknown
104,Hnsjrgnweis,2,0,20181227162603,20181227163558,unknown
105,Graf,2,0,20060705020339,20060705020617,unknown
106,AlleborgoBot,2,2,20070512063353,20080228180320,unknown
107,Andropov,2,1,20141216082319,20141216082452,unknown
108,62.45.152.125,2,0,20050810163249,20050810163449,unknown
109,Jotterbot,2,2,20090411071156,20090723151701,unknown
110,Uwe Gille,2,2,20061120163406,20071209112344,unknown
111,Gelegenheitsaccount,2,1,20140621151910,20140622221141,unknown
112,Strikerman,2,0,20061026114429,20061026114852,unknown
113,Klobo zwo,2,2,20160124140510,20161226150603,unknown
114,Karl-Henner,2,2,20040512014004,20050708014501,unknown
115,MystBot,2,2,20080914095027,20090219171827,unknown
116,Asserty,2,0,20041003232115,20041005221647,unknown
117,LiamDaProfessor,2,0,20180321164257,20180321164415,unknown
118,Hafenbar,2,2,20040304092634,20040501210516,unknown
119,Rote4132,2,1,20131130214425,20131130214528,unknown
120,Chobot,2,2,20070714140113,20120706155907,unknown
121,Störfix,2,2,20051220214722,20070906160027,unknown
122,84.190.114.204,2,0,20060210085135,20060210085827,unknown
123,MicBy67,2,2,20101116161202,20111225161316,unknown
124,Boggie,2,1,20040831142042,20040910164630,unknown
125,Kimya,2,2,20050405193904,20050405194136,unknown
126,Rafl,2,0,20050529192314,20050529193300,unknown
127,Orik,2,2,20180504134434,20190116210222,unknown
128,Mogelzahn,2,2,20060129122848,20060207184103,unknown
129,Bernardoni,2,2,20130331214646,20130407224448,unknown
130,Matt1971,2,1,20050510103633,20060221232727,unknown
131,LinkFA-Bot,2,0,20080414125200,20090709162036,unknown
132,RnBandCrunk,2,0,20130118203548,20130118203621,unknown
133,Baumanns,2,2,20050927184022,20051129101608,unknown
134,TobeBot,2,2,20091020005805,20091209065956,unknown
135,Stechlin,2,1,20040501125302,20040504161141,unknown
136,Kdwnv,2,2,20040404135248,20040404160132,unknown
137,Holgerjan,2,1,20100913191713,20100929210046,unknown
138,Gamma,2,1,20120229185148,20120229185555,unknown
139,Wulf Isebrand~dewiki,2,2,20061219012739,20061219012827,unknown
140,Horst Gräbner,2,1,20130217142448,20150612195734,unknown
141,JonskiC,2,0,20160601102314,20170322103919,unknown
142,VolkovBot,2,2,20080408111833,20100304223505,unknown
143,84.157.190.131,2,0,20051020155313,20051020155518,unknown
144,Babbel,2,0,20071220074358,20071220074629,unknown
145,Zaibatsu,2,2,20081031235238,20110130182644,unknown
146,Str1977,2,0,20070305001103,20070305001403,unknown
147,Martin-vogel,2,0,20050630163033,20080403130805,unknown
148,Gudrun Meyer,2,1,20071128111548,20110709173831,unknown
149,JuTa,2,2,20090920131953,20091203150847,unknown
150,PsY.cHo,2,2,20071106063553,20140811122725,unknown
151,PortalBot,2,2,20060129165120,20060129193658,unknown
152,Florian.Keßler,2,2,20050324145403,20090728222130,unknown
153,62.47.29.233,2,0,20050511134513,20050511134700,unknown
154,Lucius Castus,2,2,20140816041358,20140816045420,unknown
155,Et Mikkel,2,1,20070925153611,20070925153655,unknown
156,Rat,2,0,20050801152220,20050801152252,unknown
157,Katharina,2,2,20040218175719,20040218180738,unknown
158,BBCLCD,2,0,20130123104916,20131106083210,unknown
159,Bota47,2,2,20050722152947,20060611031450,unknown
160,Edgar8,2,0,20080222190830,20080315164451,unknown
161,Ziko,2,0,20070322131738,20170608170543,unknown
162,MerlIwBot,2,2,20110317064136,20130128002434,unknown
163,Elend,2,1,20070612132731,20070612133028,unknown
164,Holgus,2,2,20080710093742,20080710093939,unknown
165,Interpretix,2,1,20040404154839,20050123100213,unknown
166,Jeanyfan,2,1,20061225230907,20061225230950,unknown
167,CherryX,2,1,20130619223126,20130619232645,unknown
168,80.226.242.239,2,0,20050808222052,20050808222220,unknown
169,Leithian,2,2,20080517142518,20080517142707,unknown
170,TMFS,2,1,20040309224506,20040322155347,unknown
171,Gustav von Aschenbach,2,1,20111205135929,20130309211429,unknown
172,Thijs!bot,2,2,20061119040611,20070406112242,unknown
173,Ivla,2,0,20130309205414,20130309214109,unknown
174,Revvar,2,2,20051020155449,20051020155549,unknown
175,Fossa,2,0,20081231192125,20081231192521,unknown
176,Gerakibot,2,2,20110912013627,20121015095345,unknown
177,Geof,2,0,20140130171128,20140130190711,unknown
178,Uranus95,2,1,20060822173524,20091009112716,unknown
179,Ääänkaaa,2,0,20150612194305,20150614145836,unknown
180,Grrrubber,2,0,20071207020855,20071207213516,unknown
181,Severinus70,2,0,20080830234643,20080830235050,unknown
182,Quirin,2,2,20051211161031,20051211161416,unknown
183,Leider,2,2,20070522114456,20080516111420,unknown
184,80.108.40.133,2,0,20050602103425,20050602105347,unknown
185,Elektrofisch,2,0,20130412170822,20130412170847,unknown
186,Oskar Schindler,2,0,20050514093619,20050514134031,unknown
187,Dexbot,2,2,20140902105025,20140912150902,unknown
188,S.K.,2,2,20160818015447,20160818023213,unknown
189,Janericloebe,2,0,20081217080454,20081218080157,unknown
190,Traroth,2,0,20030925151243,20030925151259,unknown
191,217.83.93.51,2,0,20040515121958,20040515123645,unknown
192,Liesel,1,0,20131109083418,20131109083418,unknown
193,Mabschaaf,1,0,20151217121228,20151217121228,unknown
194,Sabri76,1,1,20071219112119,20071219112119,unknown
195,82.70.202.206,1,0,20051007001326,20051007001326,unknown
196,Loveless,1,1,20081026035106,20081026035106,unknown
197,Zeno Gantner,1,1,20030427153610,20030427153610,unknown
198,JAnDbot,1,1,20091222213207,20091222213207,unknown
199,80.134.217.64,1,0,20041108203530,20041108203530,unknown
200,JackieBot,1,1,20120705115055,20120705115055,unknown
201,Jpp,1,1,20070301121213,20070301121213,unknown
202,Toxilly,1,1,20150224201938,20150224201938,unknown
203,Diwas,1,1,20071119100144,20071119100144,unknown
