,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,In dubio pro dubio,43,41,20130717214024,20170909221002,unknown
1,Thorbjoern,30,7,20050802205052,20090313103636,unknown
2,Stefan64,13,13,20051124140054,20180726182136,unknown
3,Emdee,12,3,20080806005447,20090521130950,unknown
4,D,12,10,20050809075405,20071003010137,unknown
5,Vwpolonia75,9,8,20121226195614,20130306152251,unknown
6,Emkaer,8,3,20080426104854,20080809172340,unknown
7,Anton-Josef,8,8,20071130112829,20080806101447,unknown
8,Asdfj,8,4,20080315091910,20080813235332,unknown
9,Regi51,8,8,20140514144811,20171130151419,unknown
10,Schreibvieh,7,0,20080315100837,20080701111526,unknown
11,Paul Krummbiegel,7,4,20130305193823,20130308102155,unknown
12,Berlin-Jurist,7,3,20050802142134,20161229004624,unknown
13,Alnilam,6,6,20130522131244,20150310161336,unknown
14,Rmcharb,6,5,20160916171122,20171130141043,unknown
15,Brod,6,2,20070318015505,20101123194754,unknown
16,Horst Gräbner,5,5,20140120113514,20170228173146,unknown
17,DKS95,5,1,20120316151249,20120316153246,unknown
18,Gustav von Aschenbach,5,5,20131218123135,20171104202431,unknown
19,AydinC,5,1,20060930151558,20070518202647,unknown
20,Unscheinbar,5,4,20041123112632,20051215215512,unknown
21,Gretarsson,4,3,20170616121205,20170901085015,unknown
22,93.203.50.221,4,0,20140319081849,20140319082456,unknown
23,Mathias Schindler,4,4,20040226070018,20060110110920,unknown
24,84.187.253.121,4,0,20051201090205,20051201091143,unknown
25,Pittimann,4,4,20131011093712,20171120083906,unknown
26,62.158.44.109,4,0,20050314101209,20050314101623,unknown
27,Andy king50,4,4,20161029180723,20181110192530,unknown
28,Itti,4,4,20140122215457,20150318073031,unknown
29,Serols,4,4,20140925195818,20181011070858,unknown
30,Gustaf van Goch,3,0,20180726181410,20180726181923,unknown
31,79.251.65.48,3,0,20171130140659,20171130141038,unknown
32,FNDE,3,3,20170105132230,20170403090437,unknown
33,Sprachpfleger,3,2,20100615194246,20100615203120,unknown
34,Southpark,3,3,20050310005530,20051110173545,unknown
35,193.171.251.198,3,0,20051011094414,20051011094636,unknown
36,217.80.243.164,3,0,20060119164644,20060119164757,unknown
37,Harry Canyon,3,1,20141015005653,20141015010111,unknown
38,Aka,3,1,20050314101438,20060124162439,unknown
39,212.117.96.115,3,0,20051125135815,20051125140618,unknown
40,Dundak,3,2,20041106215039,20060106105659,unknown
41,Superbass,3,2,20051028191151,20130306160322,unknown
42,Inspektor.Godot,3,3,20070825104033,20070909210853,unknown
43,HDara,3,1,20100811095640,20101124190933,unknown
44,67.86.88.68,3,0,20051116002927,20051116003000,unknown
45,207.232.153.30,3,0,20060206142104,20060206142413,unknown
46,KnightMove,3,1,20110209210405,20131018082248,unknown
47,Benatrevqre,3,0,20090613195636,20110514063928,unknown
48,Dachris,3,0,20051201090420,20051201091203,unknown
49,Schreiben,3,1,20100602161418,20101114223600,unknown
50,Freibeuter,3,0,20040226050406,20040226072139,unknown
51,HH58,3,2,20051003212628,20190202144503,unknown
52,Achates,3,2,20070203085025,20081115194401,unknown
53,84.157.101.45,3,0,20060106105556,20060106105717,unknown
