,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Nerd,243,98,20021014080109,20101227215625,unknown
1,Sava,156,26,20050108205922,20051225060222,unknown
2,OB-LA-DI,119,29,20050911184059,20080421165313,unknown
3,FelMol,102,11,20090123142140,20150315204057,unknown
4,Mr. Mustard,100,15,20090110150906,20111012180858,unknown
5,Palaver,85,11,20070607132020,20090126160521,unknown
6,Pass3456,83,1,20101113205615,20150430211143,unknown
7,Livani,62,8,20070627012944,20090124002917,unknown
8,Gurion,56,0,20060131105355,20060316112750,unknown
9,Physikr,32,2,20051220070229,20070828155216,unknown
10,Charmrock,30,4,20110318002034,20111011083429,unknown
11,Spazzo,29,0,20050108184832,20050429190858,unknown
12,Neon02,28,1,20070507174158,20101211170206,unknown
13,NebMaatRe,26,13,20090126000210,20101115215623,unknown
14,Oeconomix,24,0,20070727111343,20080318105609,unknown
15,212.63.57.45,23,0,20050103164005,20050428083944,unknown
16,UHT,21,6,20081221200410,20090126195728,unknown
17,AshSert,21,10,20040704163613,20040809232803,unknown
18,Stern,19,5,20040717214828,20060115000343,unknown
19,Olag,18,3,20101114223204,20110811105934,unknown
20,Trinitrix,18,3,20110624120016,20130118203009,unknown
21,Gracklauers Witwe,18,1,20101114200202,20101220154323,unknown
22,Liberal Freemason,16,4,20050814231058,20060117152429,unknown
23,Fgb,15,4,20020820151015,20050715222456,unknown
24,Millbart,15,10,20070205000820,20130227141004,unknown
25,M. Yasan,15,2,20071007092144,20071008100307,unknown
26,Dinalb,14,0,20090117163407,20090118114557,unknown
27,Kharon,13,12,20110811130818,20160526140923,unknown
28,Alex1011,13,2,20051201143817,20160719113938,unknown
29,Sitacu,13,5,20160820145029,20181227154853,unknown
30,Jan eissfeldt,12,9,20080612215829,20101117084614,unknown
31,EconomicProphet,12,1,20101115115808,20110604142457,unknown
32,Ot,12,8,20041210072406,20090903062519,unknown
33,Stoerte,11,7,20050215102010,20050228110141,unknown
34,Aka,10,10,20051111101510,20180502071226,unknown
35,Minister~dewiki,10,2,20051104080301,20060119190137,unknown
36,85.72.37.43,10,0,20050211160342,20050211162831,unknown
37,Gerd Marquardt,10,0,20061012113637,20061015203751,unknown
38,81.173.239.145,10,0,20060213230037,20060214002909,unknown
39,81.173.145.109,10,0,20060205102820,20060205105400,unknown
40,DL5MDA,10,1,20081221173016,20090220222920,unknown
41,134.155.53.23,9,0,20030321174439,20030821131938,unknown
42,ChristophDemmer,9,9,20050331060214,20051029213608,unknown
43,Merlissimo,9,9,20100120152933,20120523084827,unknown
44,Krähenfüßchen,9,1,20080318130604,20080403110956,unknown
45,Unscheinbar,9,8,20050108135135,20051214202944,unknown
46,Barb,9,4,20050325185831,20050327222348,unknown
47,Zaphiro,8,7,20051006171322,20080525221452,unknown
48,Nis Randers,8,6,20070619111306,20081229081056,unknown
49,Robodoc,8,1,20030919113944,20030929102736,unknown
50,Tohma,8,1,20110208090127,20170717052500,unknown
51,Desputin,8,4,20110117165636,20140323232729,unknown
52,Anorak,7,0,20060131092220,20060228130637,unknown
53,Rtc,7,3,20130210022637,20130607193244,unknown
54,Merlinschnee,7,7,20140220102941,20150812141600,unknown
55,Bert2,7,0,20050214172151,20050817073428,unknown
56,C.Löser,7,4,20050516072925,20060410110334,unknown
