,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,29,9,20031117202226,20061101135044,unknown
1,Parzi,15,7,20080208105412,20080219214929,unknown
2,Sir James,14,10,20071105203244,20110612062657,unknown
3,Mogelzahn,11,6,20051127194816,20170606205919,unknown
4,Wiki4you,7,0,20090919144301,20120509125801,unknown
5,82.212.16.41,7,0,20070209231805,20070209234516,unknown
6,Neun-x,7,0,20100731035655,20171121190612,unknown
7,212.238.215.149,6,0,20050109195856,20050117234530,unknown
8,Feliks,6,0,20170103180005,20170103181524,unknown
9,Skara Brae,6,6,20061120111832,20061120112757,unknown
10,84.152.146.177,5,0,20070214175158,20070214181255,unknown
11,DrBiochemiePhysioAnatomie,5,2,20100103161929,20100103162430,unknown
12,MAY,5,0,20051115052254,20180627005430,unknown
13,2.204.20.152,5,0,20130503170557,20130503172056,unknown
14,N.Eschenhagen,5,1,20090831214806,20140205103305,unknown
15,Querstange,4,0,20160312210051,20160312210558,unknown
16,Aka,4,4,20061129134114,20180406200309,unknown
17,91.55.104.228,4,0,20091107105105,20091107132710,unknown
18,Anathema,4,3,20040921111146,20040923062205,unknown
19,GFHund,4,2,20120502071417,20120513031249,unknown
20,88.72.1.112,4,0,20080417123745,20080417124422,unknown
21,134.2.3.102,3,0,20040304203429,20040304203702,unknown
22,Nuuk,3,0,20081203145438,20081208150211,unknown
23,84.59.16.197,3,0,20070519175508,20070519175809,unknown
24,RoBri,3,3,20131208130710,20170509070605,unknown
25,Über-Blick,3,0,20151226191157,20151226191430,unknown
26,Masao~dewiki,3,1,20060527201835,20061111134113,unknown
27,87.220.53.161,3,0,20081015171505,20081015171754,unknown
28,Jivee Blau,3,2,20100313001320,20140104214435,unknown
29,Mgrasek100,3,0,20140105141420,20140105143252,unknown
30,80.137.168.173,3,0,20070224141623,20070224143921,unknown
31,WinfriedSchneider,3,2,20091203235740,20091204002301,unknown
32,JCS,3,1,20061109215107,20080324044948,unknown
33,Sicherlich,3,1,20070521141204,20070806152001,unknown
34,Gtappend,3,1,20051011114346,20051011115308,unknown
35,Pittimann,3,2,20081214184258,20130503170613,unknown
36,Cyper,3,0,20050723144629,20050909120052,unknown
37,Aaaah,3,2,20081021191318,20081028211333,unknown
38,87.178.107.177,3,0,20110409023145,20110409023308,unknown
39,Lupo1,3,0,20051001102724,20051003024645,unknown
40,2A02:908:DC50:AE80:F168:E1F7:F4F5:93B7,3,0,20160825190504,20160825191331,unknown
41,195.243.113.249,3,0,20050721120127,20050721120223,unknown
42,Koyaanisqatsi01,3,3,20180622171636,20180622172214,unknown
43,Mmh6673,3,1,20040425093144,20040725125713,unknown
44,84.180.193.250,3,0,20060627074715,20060627082522,unknown
45,Brod,3,2,20071109172401,20071109172822,unknown
46,62.246.177.192,3,0,20040608125942,20040608130309,unknown
47,He3nry,3,3,20050622090406,20060725123133,unknown
48,Güwy,3,2,20160307212942,20160314212827,unknown
49,Knollebuur,2,1,20070216161457,20090816230628,unknown
50,79.246.106.195,2,0,20110304084738,20110304085113,unknown
51,2003:89:2E31:9A01:3948:C2C3:61:6C94,2,0,20160626094227,20160626094335,unknown
52,David Schupp,2,0,20090724111730,20090724112048,unknown
53,217.238.181.40,2,0,20040817164955,20040817165032,unknown
54,84.142.75.80,2,0,20051228185947,20051228190334,unknown
55,Bhuck,2,0,20051006132622,20051006132653,unknown
56,Rafael Zink,2,2,20091112163405,20091112163437,unknown
57,Zeltmacher,2,1,20141218083715,20141218083847,unknown
58,79.201.10.142,2,0,20140919203526,20140919204222,unknown
59,R-B-S,2,2,20160316164648,20160316183836,unknown
60,84.62.139.248,2,0,20090501072438,20090501072519,unknown
61,InternetArchiveBot,2,0,20180325125311,20180827131552,unknown
62,Ticketautomat,2,2,20080625065909,20080625074636,unknown
63,EPei,2,0,20110406072529,20110406072921,unknown
64,Eike sauer,2,1,20060625155428,20060627093417,unknown
65,Clemenceau,2,0,20041112113741,20041112121728,unknown
66,EH⁴²,2,1,20120512200429,20120512200612,unknown
67,Lektor w,2,0,20160706070536,20160706070832,unknown
68,Giftmischer,2,2,20100428085433,20160424210439,unknown
69,212.144.216.211,2,0,20050721112518,20050721112753,unknown
70,92.218.57.81,2,0,20160313171052,20160313175311,unknown
71,Noebse,2,0,20090326184552,20090326184619,unknown
72,Friedrich.Kromberg,2,2,20040530234713,20040530234936,unknown
73,Zollernalb,2,2,20100220232635,20150721121058,unknown
74,84.144.234.78,2,0,20060924153801,20060924153825,unknown
75,ChristianSchd,2,0,20151231155414,20151231155646,unknown
76,David Wintzer,2,2,20180113161452,20180227084641,unknown
77,88.75.72.172,2,0,20080425094741,20080425094937,unknown
78,212.144.9.87,2,0,20050129195254,20050129195325,unknown
79,2.204.45.70,2,0,20130502201235,20130502201341,unknown
80,Pfalzfrank,2,0,20070214175336,20070214180214,unknown
81,85.177.171.3,2,0,20080213224459,20080213225230,unknown
82,In dubio pro dubio,2,1,20110108193322,20110114232902,unknown
83,80.185.91.252,2,0,20050909113151,20050909113254,unknown
84,Sprachfreund49,2,1,20121004214645,20121004214758,unknown
85,Amberg,2,0,20100713152108,20120513032318,unknown
86,°,2,0,20061125174542,20070112090616,unknown
87,APPERbot,2,2,20100329153809,20131012122558,unknown
88,Horst Gräbner,2,1,20140105142558,20140317071220,unknown
89,Hubertl,2,0,20160312213625,20160312213833,unknown
90,141.2.118.111,2,0,20070508125925,20070508130521,unknown
91,Columbin,2,1,20080718195826,20080718211810,unknown
92,Asthma,2,2,20070320023317,20080409190126,unknown
93,Anton-kurt,2,0,20080401063849,20081031201755,unknown
94,Tuxman,2,2,20090103023325,20090103023415,unknown
95,Zwobot,2,2,20041204220922,20060122081039,unknown
96,Kandschwar,2,0,20060219171644,20090825163214,unknown
97,Triebtäter,2,0,20040531000834,20041203154609,unknown
98,77.8.170.188,2,0,20110612031324,20110612031510,unknown
99,Wolf1949,2,1,20180303232033,20181115144045,unknown
100,Altsprachenfreund,2,2,20150721134348,20160226191732,unknown
101,84.61.113.135,2,0,20060618152321,20060618152418,unknown
102,Euku,2,1,20100401084256,20100401084432,unknown
103,188.78.58.177,2,0,20160313120016,20160313120251,unknown
104,Schreibvieh,2,1,20080718203830,20081021195317,unknown
105,Norbert zeescouts,2,0,20091213021915,20091213022123,unknown
106,131.165.143.1,2,0,20050826130735,20060323170818,unknown
107,Hans Haase,2,0,20141028091924,20141028092636,unknown
108,Radschläger,2,2,20081211151652,20081214183204,unknown
109,80.156.44.1,2,0,20061009100856,20061009100926,unknown
110,62.204.165.222,2,0,20180318094033,20180318094138,unknown
111,Sebbot,1,0,20100128000916,20100128000916,unknown
112,Friedemann Lindenthal,1,1,20050208104346,20050208104346,unknown
113,Chester100,1,0,20110324221035,20110324221035,unknown
114,145.254.108.199,1,0,20051017154048,20051017154048,unknown
115,Merkið,1,1,20130605153057,20130605153057,unknown
116,Faber-Castell,1,0,20060811170152,20060811170152,unknown
117,84.57.47.250,1,0,20150721154654,20150721154654,unknown
118,212.8.193.40,1,0,20170503144805,20170503144805,unknown
119,Loveless,1,1,20080301155530,20080301155530,unknown
120,92.227.116.75,1,0,20090219151239,20090219151239,unknown
121,Otto,1,0,20021227211205,20021227211205,unknown
122,Triebtäter (2009),1,0,20091201031548,20091201031548,unknown
123,Rybak,1,1,20041221161721,20041221161721,unknown
124,Guffi,1,0,20050913143035,20050913143035,unknown
125,Letdemsay,1,0,20130303182301,20130303182301,unknown
126,Gastreferenten,1,0,20060623094505,20060623094505,unknown
127,BeverlyHillsCop,1,1,20150222132515,20150222132515,unknown
128,JuTa,1,1,20070125202728,20070125202728,unknown
129,BrutFork,1,0,20161106223728,20161106223728,unknown
130,Gardeoffizier77,1,0,20080122190146,20080122190146,unknown
131,Felix Stember,1,0,20081225153314,20081225153314,unknown
132,Froop,1,0,20091002211305,20091002211305,unknown
133,24-online,1,1,20040921111942,20040921111942,unknown
134,80.137.255.5,1,0,20100916031546,20100916031546,unknown
135,AndreasGothe,1,0,20050811103734,20050811103734,unknown
136,188.140.72.36,1,0,20120509124252,20120509124252,unknown
137,Ulula,1,0,20060317111850,20060317111850,unknown
138,93.218.175.46,1,0,20141023215609,20141023215609,unknown
139,84.151.164.2,1,0,20061129134053,20061129134053,unknown
140,3ecken1elfer,1,0,20070807214706,20070807214706,unknown
141,88.77.204.109,1,0,20100414211420,20100414211420,unknown
142,Benedikt Kroll,1,0,20050720173453,20050720173453,unknown
143,Klopfspecht,1,0,20110928080713,20110928080713,unknown
144,79.254.40.48,1,0,20140406203700,20140406203700,unknown
145,217.247.30.111,1,0,20061101135017,20061101135017,unknown
146,Micha.Kramer,1,0,20160313131442,20160313131442,unknown
147,2A02:8071:2A6:F00:388B:2D55:E8B6:1CC3,1,0,20180805062248,20180805062248,unknown
148,W!B:,1,1,20080817014111,20080817014111,unknown
149,Lordnaikon,1,1,20090319123134,20090319123134,unknown
150,212.114.220.118,1,0,20040426121733,20040426121733,unknown
