,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Alkim Y,27,6,20130730051442,20130826063512,unknown
1,Corvalán,24,10,20100227164929,20100404195817,unknown
2,TMFS,23,3,20041014204504,20071115153159,unknown
3,JasonM,19,0,20070403224735,20080127140208,unknown
4,Neun-x,15,0,20100604115053,20180318180112,unknown
5,Mogelzahn,8,2,20100227205935,20180108130856,unknown
6,Phr~dewiki,7,0,20060814140529,20061001212300,unknown
7,Karsten11,7,1,20100319141135,20111018205904,unknown
8,Occulos,7,0,20070804111325,20070804113259,unknown
9,172.173.253.111,7,0,20061218193346,20061218194137,unknown
10,Thomas Schulte im Walde,6,3,20070128185059,20171027100652,unknown
11,Pruefer,6,0,20060327131408,20060327133107,unknown
12,Amsonnenufer,6,1,20110810120435,20110831114845,unknown
13,Moguntiner,6,2,20100227144924,20120218171418,unknown
14,SpiegelLeser,6,1,20100227190705,20100404200217,unknown
15,Aka,6,6,20060806161010,20171017163603,unknown
16,Miltrak,6,0,20130315223323,20151120165356,unknown
17,ChristophDemmer,6,3,20040618122839,20171027070047,unknown
18,217.235.80.206,6,0,20100501105630,20100501112033,unknown
19,Natsu Dragoneel,6,2,20151112054810,20181207072205,unknown
20,Lämpel,5,2,20170905170719,20171027104310,unknown
21,Spuk968,5,4,20110330141349,20140203121148,unknown
22,178.2.97.11,5,0,20110227072035,20110227075559,unknown
23,Mastad,5,5,20051018102214,20051018103859,unknown
24,Benatrevqre,5,0,20120219152610,20130802143231,unknown
25,Rita2008,4,0,20140411130235,20140425142844,unknown
26,Dtuk,4,1,20160704114421,20170804035153,unknown
27,MAY,4,0,20090328184243,20171019125029,unknown
28,LIU,4,3,20120904205020,20130908162654,unknown
29,Hardenacke,4,4,20081019180216,20100520070356,unknown
30,Thomas Glintzer,4,3,20100404205535,20110202104858,unknown
31,Arcy,4,2,20100227200106,20100227210132,unknown
32,Kuebi,4,1,20130730063708,20130730064722,unknown
33,85.179.95.236,4,0,20090725201529,20090725230831,unknown
34,Sir James,4,4,20120318121304,20120319073959,unknown
35,153.100.131.12,4,0,20130730105636,20130730121435,unknown
36,Goesseln,4,0,20130729210011,20130803100013,unknown
37,Sciurus,4,2,20051018175200,20051018180048,unknown
38,109.192.220.16,4,0,20130801132549,20130801134310,unknown
39,Boshomi,3,0,20121103093122,20140101184951,unknown
40,D0c,3,1,20061002212801,20061126110115,unknown
41,Webverbesserer,3,1,20071229220907,20101111105936,unknown
42,Huberbe,3,2,20171125192637,20171211112129,unknown
43,Verum,3,1,20130731003507,20130824052904,unknown
44,188.99.235.190,3,0,20160402060442,20160402060937,unknown
45,Armin P.,3,2,20090725230909,20100501111432,unknown
46,134.99.94.72,3,0,20051010093336,20051010093526,unknown
47,Atomiccocktail,3,0,20111018204202,20111019222058,unknown
48,Berihert,3,1,20170903194738,20181220143146,unknown
49,Simpsonsfan2,3,1,20100227190607,20100401163720,unknown
50,134.176.101.70,3,0,20051018155342,20051018155547,unknown
51,Sic!,3,1,20060729104013,20061218200457,unknown
52,Laberkiste,3,3,20160402060458,20160402060949,unknown
53,84.137.81.14,3,0,20100520070344,20100520070558,unknown
54,Horst Gräbner,3,1,20151120153536,20170911134909,unknown
55,David Wintzer,3,2,20040609070904,20171203132603,unknown
56,Sir,3,2,20060512104231,20060609225055,unknown
57,Zwobot,3,3,20041204220935,20080120030948,unknown
58,Dermotor,3,0,20130731003322,20131127084057,unknown
59,62.156.50.41,3,0,20160319142505,20160319142719,unknown
60,80.136.102.243,3,0,20051018125647,20051018125849,unknown
61,Intelligenzparameter,3,3,20130730151535,20130730151635,unknown
62,Regi51,3,3,20080921201334,20160720070557,unknown
63,Elian,3,2,20100227190958,20100320142044,unknown
64,Mff,3,2,20060302081636,20130628213153,unknown
65,Mihewag,3,3,20110202115311,20111021141620,unknown
66,Thijs!bot,2,2,20060725101335,20100601140049,unknown
67,Thoken,2,2,20071022091118,20080530083733,unknown
68,Saibo,2,1,20081118110109,20081118110207,unknown
69,Tobias1983,2,1,20080930194942,20130730170830,unknown
70,In dubio pro dubio,2,2,20120217125437,20120217125632,unknown
71,EH⁴²,2,2,20130730085131,20130730085300,unknown
72,InternetArchiveBot,2,0,20180325125410,20180827144808,unknown
73,Qaswa,2,0,20170530115851,20171025123137,unknown
74,91.113.39.31,2,0,20130908134304,20130908135105,unknown
75,RoBri,2,0,20171203123420,20181126161148,unknown
76,Berlin-Jurist,2,1,20051018231238,20060602230239,unknown
77,Simplicius,2,0,20070907135902,20130730211220,unknown
78,Adelhaid Müller,2,0,20110313064614,20110313082551,unknown
