,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Neun-x,63,10,20100529082356,20180224203741,unknown
1,Mogelzahn,24,7,20091028120308,20170312191828,unknown
2,Simplicius,21,0,20120516203804,20121231094922,unknown
3,Der wahre Jakob,20,9,20091027150618,20180213131921,unknown
4,Alberto568,18,1,20120517070055,20121104120702,unknown
5,Qualiabavariae,17,0,20130705182929,20150602142608,unknown
6,Tohma,14,5,20050304063514,20161014191941,unknown
7,Jüppken,11,11,20161210122528,20161210125112,unknown
8,OecherAlemanne,8,5,20110328114825,20170122141712,unknown
9,Michelhausen,8,0,20120130201259,20120615132314,unknown
10,HaeB,7,2,20050126053102,20130915212134,unknown
11,TMFS,7,1,20060303135931,20080414145653,unknown
12,Aka,7,7,20111126150153,20180521202013,unknown
13,Hafenbar,6,2,20060518142601,20060721084701,unknown
14,Boshomi,5,2,20140331210943,20161111142304,unknown
15,78.42.237.201,5,0,20130916065050,20130916100637,unknown
16,Diba,5,5,20050705192834,20120510083212,unknown
17,Ute Erb,5,3,20090801215737,20120519190539,unknown
18,Springfield911,5,2,20051003110524,20060518184003,unknown
19,Von Eden,4,1,20120513194625,20120518144834,unknown
20,Regi51,4,4,20091202162829,20120506204627,unknown
21,Pfieffer Latsch,4,1,20110511175207,20110708211110,unknown
22,Tobias1983,4,1,20090326185545,20160901092421,unknown
23,Jhartmann,4,0,20100808171926,20100808193824,unknown
24,Tischbeinahe,4,1,20101127052124,20110307152732,unknown
25,Felix König,4,2,20120530164849,20140120172929,unknown
26,Sir James,4,4,20120317093709,20120317101138,unknown
27,Perrak,4,1,20100827074532,20101203190516,unknown
28,-WolliWolli-,4,2,20120605221801,20120606101519,unknown
29,Olaf Kosinsky,4,4,20150212185748,20150213180225,unknown
30,87.148.231.59,4,0,20110412124032,20110412124736,unknown
31,Cardhu,4,3,20101102141546,20101109065225,unknown
32,Sabp,3,0,20061208092211,20061208093334,unknown
33,Dr Möpuse,3,0,20130129202947,20170929145039,unknown
