,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Alstersegler,54,0,20170508204715,20180324035925,unknown
1,Vsop,38,8,20101202160509,20180422132006,unknown
2,N.Eschenhagen,18,4,20101129223150,20150417190105,unknown
3,Wahrerwattwurm,14,9,20050928140351,20110302182637,unknown
4,Volkstribun 2.0,11,4,20131004151520,20190107055514,unknown
5,In dubio pro dubio,11,10,20110221125145,20110309145532,unknown
6,Olaf Kosinsky,11,4,20130922232230,20180324152123,unknown
7,Aka,10,10,20151030221653,20190205110630,unknown
8,Markooo,10,7,20110309085829,20110413134518,unknown
9,Leit,9,5,20071113171343,20180314174903,unknown
10,2A02:810D:923F:FABE:7512:4826:35FA:7A29,9,0,20180814200848,20180815000042,unknown
11,TMFS,8,1,20051014131917,20080220231421,unknown
12,2A02:810D:923F:FABE:1828:8EDF:4538:517A,8,0,20180815192117,20180815193525,unknown
13,RoBri,7,5,20180214144113,20180815194742,unknown
14,Christrose,7,0,20171219170822,20190122151414,unknown
15,ManRabe,7,3,20050928220256,20090625094520,unknown
16,TUBS,6,0,20071121104403,20071121141928,unknown
17,Emmridet,5,5,20171122235711,20171127180452,unknown
18,92.76.6.209,5,0,20090130114743,20090130121142,unknown
19,77.179.229.224,5,0,20110308000932,20110308001141,unknown
20,Akkakk,5,4,20110307163809,20110308003821,unknown
21,Mogelzahn,5,1,20060601094530,20140725155432,unknown
22,Pittimann,5,5,20140103085953,20180615123906,unknown
23,Cornwells,5,0,20121014022832,20121014025955,unknown
24,Rusti,4,0,20071121172307,20080303202311,unknown
25,79.238.166.181,4,0,20121112081901,20121116072625,unknown
26,UweRohwedder,4,1,20110321091238,20190204102245,unknown
27,Natsu Dragoneel,4,3,20160120084559,20180820122438,unknown
28,Regi51,4,3,20080404200000,20121205191709,unknown
29,Rustikus,4,1,20140116230616,20140116235922,unknown
30,(nob),4,3,20071114082135,20071114082637,unknown
31,Howwi,4,4,20100607062321,20121116072715,unknown
32,Hardenacke,4,3,20080214194557,20080422184759,unknown
33,VolkovBot,4,4,20080105123942,20091008074448,unknown
34,TennisOpa,4,2,20190204095323,20190205005234,unknown
35,84.61.227.19,4,0,20180314070529,20180314123513,unknown
36,TobiBu,4,0,20071113150456,20071113151023,unknown
37,Zollernalb,4,4,20110222095201,20180719090319,unknown
38,Sir,4,2,20050925135215,20071113202940,unknown
39,Bene16,3,0,20071114124830,20071114214649,unknown
40,Rmcharb,3,1,20170712152008,20181224102326,unknown
41,84.169.178.131,3,0,20100719060952,20100719061027,unknown
42,Horst Gräbner,3,2,20170401170512,20180728111541,unknown
43,2.240.80.174,3,0,20170110090501,20170110093558,unknown
44,93.104.1.233,3,0,20110220173729,20110220174412,unknown
45,Scooter,3,2,20050902190541,20100719071254,unknown
46,KL052,3,3,20180310214741,20180310223132,unknown
47,Siehe-auch-Löscher,3,1,20100916152231,20150216074712,unknown
48,Blunt.,3,1,20090624203849,20090625095144,unknown
49,Wnme,3,3,20101128173213,20110220174058,unknown
50,Neun-x,3,0,20160831130000,20180212042759,unknown
51,David Wintzer,3,3,20090130154003,20150215131003,unknown
52,Anti.,3,0,20110308103422,20110308124753,unknown
53,Complex,3,3,20070218001357,20180321121109,unknown
54,213.39.229.61,3,0,20060107113546,20060107115438,unknown
55,89.52.155.253,3,0,20071113173127,20071113174613,unknown
56,217.162.127.210,3,0,20070519104103,20070519121925,unknown
57,Rapober,3,3,20100826174623,20110307184600,unknown
58,213.39.168.161,3,0,20060214001915,20060214002042,unknown
59,93.204.255.149,3,0,20110309133158,20110309133322,unknown
60,Wikilouw009,3,0,20181224102244,20181224102313,unknown
61,92.76.232.207,3,0,20160724103852,20160724104355,unknown
62,PeterPunzel,3,2,20180213183741,20180314154243,unknown
63,Schniggendiller,3,3,20110308001110,20110308012352,unknown
64,Gribbs,3,0,20101130154455,20101130184617,unknown
65,Sebbot,3,0,20130213071440,20150213063045,unknown
66,Yoda1893,2,0,20091024094729,20091027143704,unknown
67,84.128.133.123,2,0,20050203125438,20050203125548,unknown
68,Mupa280868,2,1,20180705205816,20180705205940,unknown
69,Lukati,2,1,20141203191321,20141203191519,unknown
70,Solid State,2,2,20091208111438,20091208111542,unknown
71,Okmijnuhb,2,1,20091106205313,20091109074656,unknown
72,84.141.34.90,2,0,20050715184022,20050715184157,unknown
73,PhHertzog,2,1,20050121225805,20050201112907,unknown
74,91.62.40.98,2,0,20100607062301,20100607062330,unknown
75,2A02:810D:923F:FABE:21BD:F6E2:5366:58F6,2,0,20180701112134,20180701113635,unknown
76,Heimarbeiter,2,2,20170329085722,20170918143153,unknown
77,InternetArchiveBot,2,0,20180325125519,20180827125503,unknown
78,Holder,2,2,20110220111347,20110307182910,unknown
79,Roxedl,2,0,20050825083258,20050825083406,unknown
80,Pfieffer Latsch,2,0,20110307154150,20120809103101,unknown
81,Unscheinbar,2,1,20050203220349,20050907210934,unknown
82,Jocian,2,1,20180214160115,20180214161531,unknown
83,Bogert,2,0,20071113155213,20071116193610,unknown
84,141.91.210.162,2,0,20150108101551,20150108101630,unknown
85,Entlinkt,2,2,20071207205514,20080209151546,unknown
86,Zxmt,2,0,20170110090706,20180209093323,unknown
87,Punktional,2,0,20071101080711,20090330075030,unknown
88,Luke081515Bot,2,0,20161119141138,20161129201121,unknown
89,Stefan,2,2,20080526001138,20091109215814,unknown
90,Jensbest,2,0,20170929232500,20171216011347,unknown
91,EH⁴²,2,0,20130912133104,20130912133208,unknown
92,Parvolus,2,1,20180815192214,20180815192321,unknown
93,Hofres,2,0,20110221205739,20110222085536,unknown
94,217.92.147.117,2,0,20110311083509,20110311083616,unknown
95,78.54.91.24,2,0,20170401170047,20170401170322,unknown
96,Elvaube,2,0,20100418101136,20111023110119,unknown
97,92.200.86.123,2,0,20180609212811,20180610171652,unknown
98,Bubo bubo,2,2,20080521173022,20180827190414,unknown
99,82.82.118.251,2,0,20061201154151,20061201154216,unknown
100,KaPe,2,1,20071114184931,20071114190543,unknown
101,2.240.204.119,2,0,20161112155321,20161112155458,unknown
102,WikiFreibeuter,2,2,20180309115639,20180309115735,unknown
103,2A02:810D:923F:FABE:8CE8:8327:CA02:954E,2,0,20180813151710,20180813151815,unknown
104,217.111.5.60,2,0,20080922083931,20080922084026,unknown
105,Inkowik,2,2,20091218153841,20110303140936,unknown
106,Otberg,2,0,20110308115645,20110508200133,unknown
107,Sebastianvader,2,2,20071121113416,20110307203201,unknown
108,84.188.241.11,2,0,20080420002416,20080420002803,unknown
109,Martin H.,2,0,20090813003549,20090813004240,unknown
110,Luckas-bot,2,2,20110221212352,20111116215853,unknown
111,Mike Krüger,2,2,20071113184838,20180627072630,unknown
112,Shidata,2,2,20080311101453,20080311101734,unknown
113,Radschläger,2,2,20081211151701,20081214183211,unknown
114,2.240.20.26,2,0,20161205143649,20161205164940,unknown
115,Altsprachenfreund,2,0,20180129195836,20180314230454,unknown
116,91.5.88.204,2,0,20091208111429,20091208111521,unknown
117,DavidG,2,0,20110220144843,20110220171413,unknown
118,Hubbardist,2,2,20071121150515,20071121150957,unknown
119,Klios,2,0,20091028185148,20100226173323,unknown
120,Saibo,2,0,20071113222646,20071114205927,unknown
121,Don Magnifico,2,1,20080126125153,20090916165639,unknown
122,Gbulrich,2,2,20091231194944,20091231195536,unknown
123,TMg,2,0,20140119173654,20140119174338,unknown
124,PsY.cHo,2,2,20071122154233,20071122181048,unknown
125,Armin P.,2,2,20091114120911,20111116183525,unknown
126,Phrontis,2,1,20110307202339,20110307202431,unknown
127,D,2,2,20050814210101,20050831010652,unknown
128,84.140.223.17,1,0,20080424164731,20080424164731,unknown
129,2A02:8108:8380:5D34:7174:D77B:8309:C304,1,0,20180314140611,20180314140611,unknown
130,92.224.68.230,1,0,20101128173146,20101128173146,unknown
131,80.136.75.144,1,0,20110307150713,20110307150713,unknown
132,Benatrevqre,1,0,20110513165604,20110513165604,unknown
133,217.248.115.137,1,0,20060906052714,20060906052714,unknown
134,JamesP,1,1,20160824085213,20160824085213,unknown
135,79.219.21.56,1,0,20180820122345,20180820122345,unknown
136,217.230.237.43,1,0,20090916115830,20090916115830,unknown
137,Brezelsuppe,1,1,20110221220009,20110221220009,unknown
138,Mathias Schindler,1,1,20040725170758,20040725170758,unknown
139,Peacock1000,1,0,20110319102326,20110319102326,unknown
140,Revvar,1,1,20060122155019,20060122155019,unknown
141,EmausBot,1,1,20130401055924,20130401055924,unknown
