,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Jesusfreund,263,53,20050929204521,20110217114945,unknown
1,Leit,126,56,20080316204755,20181030215321,unknown
2,Ekab,74,8,20100506144844,20160814122608,unknown
3,Zollstock,49,0,20050524184452,20051006171304,unknown
4,Boris Fernbacher,40,0,20061127184705,20061130123623,unknown
5,Zaphiro,35,34,20050730085201,20090921182137,unknown
6,Phantom,34,15,20051230043222,20080925131640,unknown
7,Eike sauer,33,16,20050602080746,20060728174651,unknown
8,TMFS,29,7,20031117142605,20080514224228,unknown
9,Arcy,24,2,20090523103528,20100516194517,unknown
10,Dipa19,23,0,20050811092812,20051016171215,unknown
11,Feliks,22,0,20150904140857,20180603205942,unknown
12,Berlin-Jurist,21,12,20050618220828,20160725234659,unknown
13,Rita2008,19,3,20071220200942,20171201180848,unknown
14,Le Prestre de Vauban,19,1,20080921051150,20081020174929,unknown
15,Gustav von Aschenbach,18,6,20070822153247,20150321104235,unknown
16,85.139.110.29,16,0,20060928233618,20070301103319,unknown
17,Miastko,16,4,20050618210159,20060507164633,unknown
18,Dirk33,15,0,20050706015713,20051008141313,unknown
19,Polentario,15,6,20080922182440,20080925085941,unknown
20,Kh80,15,13,20050910141002,20150524215629,unknown
21,Blunt.,14,10,20081021192308,20090511172951,unknown
22,89.51.126.14,14,0,20070204152854,20070204162747,unknown
23,89.51.126.56,14,0,20070101200455,20070101205815,unknown
24,WinfriedSchneider,11,10,20100123154117,20170724105235,unknown
25,EscoBier,11,0,20061116171515,20061129173052,unknown
26,Rusti,10,0,20070120230836,20071124224821,unknown
27,Scooter,10,4,20050929203315,20070121095506,unknown
28,Neun-x,10,2,20110225103010,20160530211133,unknown
29,Lettres,10,4,20091031160655,20180422163626,unknown
30,Lux lb,10,1,20070802150235,20070822123956,unknown
31,Carolus.Abraxas,10,2,20070528113340,20120823201429,unknown
32,Tohma,9,2,20080921064916,20120130094747,unknown
33,Fossa,9,0,20060730211810,20080604192719,unknown
34,Hansele,8,0,20050611104433,20070101125211,unknown
35,N.Eschenhagen,8,2,20061207185000,20140114165902,unknown
36,Alte Schule,8,0,20120131024504,20120131031928,unknown
37,83.109.190.159,7,0,20060928194740,20060928200432,unknown
38,Nuuk,7,2,20070527201134,20181022071710,unknown
39,Cabo Lituma,7,3,20090914064159,20090914113333,unknown
40,217.246.25.8,7,0,20070129113122,20070129114607,unknown
41,Aka,7,6,20050705172752,20190111093306,unknown
42,89.51.125.176,6,0,20070101210455,20070128141454,unknown
43,Southpark,6,5,20050419103808,20090123142530,unknown
44,M. Yasan,6,4,20070205161038,20070205220354,unknown
45,Snevern,6,1,20091101145405,20100126215812,unknown
46,GS,6,1,20051017095527,20051017132050,unknown
47,Zwobot,5,5,20040208131949,20040706090007,unknown
48,131.130.120.90,5,0,20040809115802,20040809123812,unknown
49,Aristeides,5,4,20050527163104,20050904215507,unknown
50,Casra,5,3,20100413181436,20110810192339,unknown
51,Tritonus05,5,1,20061223220217,20061223223502,unknown
52,He3nry,5,4,20050627150252,20160507184733,unknown
53,Volkstribun 2.0,5,0,20130327132503,20170331132433,unknown
54,Stefan64,5,3,20051004210527,20110921122447,unknown
55,Jed,5,3,20040211205815,20120315022847,unknown
56,Kaffeefan,5,1,20081020165723,20081021184558,unknown
57,Ziko,4,0,20090106231450,20120524213327,unknown
58,Schaf,4,0,20050524134212,20050530210136,unknown
59,Olaf Kosinsky,4,2,20150212181141,20160521191438,unknown
60,Saidmann,4,1,20140404170729,20140404173104,unknown
61,Winterfreude,4,0,20090123114854,20090123115955,unknown
62,80.172.32.158,4,0,20050928165621,20050928191436,unknown
63,84.157.193.198,4,0,20050619091434,20050619092308,unknown
64,Stern,4,1,20040508081906,20051014091334,unknown
65,85.72.170.10,4,0,20050606130305,20050606133938,unknown
66,Ticketautomat,4,3,20100123122901,20100131193548,unknown
