,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Benatrevqre,162,42,20090829054519,20180706144058,unknown
1,Oenie,35,34,20100429200910,20111205152238,unknown
2,Tohma,32,0,20060919161804,20170716204923,unknown
3,Kmhkmh,19,1,20080822120603,20140421033652,unknown
4,Rita2008,17,3,20111009123201,20181111110519,unknown
5,Giro,16,2,20100709190529,20130403153147,unknown
6,Kramar,15,10,20120907213412,20170823140830,unknown
7,Evershagen,15,4,20060703175423,20071203181936,unknown
8,Mannerheim,12,1,20080914140833,20090828125632,unknown
9,Neun-x,9,0,20110713113611,20180629185816,unknown
10,Boonekamp,9,4,20090828164139,20170406083519,unknown
11,Aka,9,9,20051109163442,20180521203028,unknown
12,-jkb-,9,1,20110307095044,20170520160155,unknown
13,Tekko,8,6,20070613183806,20070613184939,unknown
14,Dr. Manuel,8,6,20090115135655,20100701085814,unknown
15,SchwabenBoy,7,0,20090717100413,20091001093835,unknown
16,62.216.215.217,7,0,20161128164909,20161128180755,unknown
17,Jonny84,6,1,20060520224544,20081101125758,unknown
18,84.170.204.3,6,0,20070122114848,20070122115506,unknown
19,Bernd vdB,6,2,20070611000500,20070614203219,unknown
20,Anton-Josef,6,6,20080219184715,20091213130327,unknown
21,Enst38,5,4,20090106203514,20090106204405,unknown
22,129.187.244.28,5,0,20161109130358,20170202093545,unknown
23,188.174.107.214,5,0,20131125235002,20131126000914,unknown
24,193.134.76.171,5,0,20070418135840,20070418141111,unknown
25,85.199.21.33,5,0,20061202102237,20061202103019,unknown
26,Widlotic,5,2,20120901211617,20120901230337,unknown
27,LKD,5,4,20060814095950,20110509141135,unknown
28,84.147.56.250,4,0,20120127081253,20120127082257,unknown
29,GrouchoBot,4,4,20080927175107,20130120114339,unknown
30,Mwknacker,4,1,20130129135128,20130209211345,unknown
31,84.112.22.146,4,0,20050606235655,20050607001905,unknown
32,BrThomas,4,3,20120717115118,20170518213331,unknown
33,Klausb,4,1,20090323160234,20161111222320,unknown
34,2.174.223.249,4,0,20131008204948,20131008211128,unknown
35,Acf,4,1,20040823171817,20040823191410,unknown
36,Woches,4,0,20110822084503,20151030235141,unknown
37,Fakie,4,2,20050807010954,20050807124506,unknown
38,Lysippos,4,0,20180630220403,20180630225742,unknown
39,Olahus,3,2,20150827193856,20160307132514,unknown
40,62.245.238.188,3,0,20081031124111,20081031125002,unknown
41,Kipferl,3,2,20030214230546,20030215100515,unknown
42,193.170.219.114,3,0,20070511070457,20070511070725,unknown
43,RobotQuistnix,3,3,20050822001125,20060118110247,unknown
44,Pittimann,3,3,20100301201500,20151026172359,unknown
45,188.174.143.16,3,0,20131202153057,20131202153412,unknown
46,91.113.60.18,3,0,20170404060901,20170404170245,unknown
47,Longoso,3,0,20080401081445,20080401090144,unknown
48,83.125.88.82,3,0,20080110233942,20080110234556,unknown
49,93.82.140.134,3,0,20170520135402,20170520162029,unknown
50,Der Messer,3,3,20120127081259,20120127081640,unknown
51,91.113.61.13,3,0,20170401115324,20170401152940,unknown
52,178.191.236.110,3,0,20170223194928,20170223201304,unknown
53,Ilja Lorek,3,2,20140511214412,20140511215313,unknown
54,Wheeke,3,3,20120310095239,20180124110123,unknown
55,Gonzo Greyskull,3,0,20101002094142,20130209211759,unknown
56,87.123.80.214,3,0,20080823104528,20080823104952,unknown
57,195.212.29.163,3,0,20060323093039,20060323093248,unknown
58,Wiki-vr,3,3,20061021152551,20061021153032,unknown
59,M.Satori,3,0,20071201151210,20071202180446,unknown
60,145.254.238.253,3,0,20050328132333,20050328132634,unknown
61,DerHexer,3,3,20060829134609,20070122114859,unknown
62,Xqbot,3,3,20090528021104,20090811032044,unknown
63,83.221.78.82,3,0,20110106183557,20110106183835,unknown
64,93.196.236.44,2,0,20130122223129,20130122223220,unknown
65,84.142.78.144,2,0,20070505133933,20070505133948,unknown
66,Solid State,2,2,20080329082847,20110830071242,unknown
