,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Parzi,24,16,20070413181749,20101020153040,unknown
1,Berlin-Jurist,22,1,20050910192240,20080425194508,unknown
2,TMFS,15,4,20031117192054,20071012081601,unknown
3,-jha-,13,1,20051013204716,20080213131159,unknown
4,MrPtroll,10,0,20110710143312,20110710231102,unknown
5,Zaphiro,10,8,20051015140254,20051018195537,unknown
6,Ekkenekepen,10,0,20041121132840,20050111035601,unknown
7,Aka,8,8,20111216162043,20181228141707,unknown
8,Hardenacke,8,6,20080213130600,20170424152456,unknown
9,84.152.58.96,7,0,20130623094831,20130623113147,unknown
10,Robert Weemeyer,7,2,20050128123348,20080215124601,unknown
11,Anathema,6,3,20050101120033,20050413190129,unknown
12,DancingMephisto,6,0,20051015133519,20051015154431,unknown
13,Qualiabavariae,6,0,20170516134426,20170516145552,unknown
14,Schniggendiller,6,5,20090317201248,20091001202814,unknown
15,Rudolph Buch,6,1,20100521153216,20160627201223,unknown
16,Über-Blick,5,0,20120522114642,20121113060310,unknown
17,Kh80,5,3,20050909113323,20150402142249,unknown
18,Kulturkampfforschung,5,1,20120421065003,20120501173332,unknown
19,Procopius,4,4,20140905012807,20140905013619,unknown
20,Itu,4,0,20150615110851,20150615210915,unknown
21,Nemissimo,4,1,20120721190729,20120721192720,unknown
22,ChrisM,4,4,20050513002514,20050513002835,unknown
23,Seewolf,4,3,20060801090149,20090830091403,unknown
24,195.200.34.50,4,0,20060720070551,20060720071303,unknown
25,Lung,4,2,20061230193338,20061230193924,unknown
26,Olaf Kosinsky,4,1,20130203173643,20151219124551,unknown
27,90.186.75.10,4,0,20090929232153,20090929232838,unknown
28,84.57.246.167,4,0,20050909112938,20050909113404,unknown
29,MAY,4,0,20120920235152,20160416013555,unknown
30,FkMohr,4,1,20140529165154,20140529173002,unknown
31,193.170.250.70,3,0,20030717090558,20030717090639,unknown
32,93.211.18.74,3,0,20121031215226,20121031220335,unknown
33,Forevermore,3,0,20041128193742,20060515185802,unknown
34,Wahldresdner,3,3,20051019161017,20051019161404,unknown
35,Mrtschmid,3,0,20060823185952,20060823191025,unknown
36,Kurt Jansson,3,2,20010925121649,20021008161528,unknown
37,84.151.111.147,3,0,20050716190507,20050716191231,unknown
38,Triebtäter,3,0,20040507053519,20060731143336,unknown
39,Head,3,2,20040302191307,20060122034432,unknown
40,Appaloosa,3,3,20080529130242,20080529130733,unknown
41,P. Birken,3,2,20050522131343,20050527122947,unknown
42,AristophanisTheReal,3,2,20130625080037,20130625080532,unknown
43,Lausitzer,3,1,20050816172059,20051029145004,unknown
44,Unscheinbar,3,1,20050203161925,20050909152614,unknown
45,188.99.253.105,3,0,20150402132815,20150402133301,unknown
46,Aschmidt,3,0,20110903213126,20110903213355,unknown
47,Nescio*,3,2,20150526131014,20160205221100,unknown
48,Steschke,3,1,20051024234635,20091020231408,unknown
49,Buka~dewiki,3,0,20111216094111,20111216095036,unknown
50,84.166.191.81,3,0,20050808231500,20050808231746,unknown
51,Taube Nuss,3,2,20050109101308,20050128112050,unknown
52,Scooter,3,3,20051212225515,20091116204524,unknown
53,88.134.164.94,3,0,20060423203907,20060423204627,unknown
54,Southpark,3,3,20060319121032,20060801005545,unknown
55,Paddy,2,2,20040830031549,20050111040408,unknown
56,Gazaiasai,2,0,20090523135247,20090523135334,unknown
57,Boshomi,2,0,20150517103300,20151030205200,unknown
58,PfundGehacktes,2,0,20060818072840,20060818074159,unknown
59,Ziko,2,0,20090106233644,20090624170759,unknown
60,Nocturne,2,1,20050110090649,20050110090832,unknown
61,80.136.160.199,2,0,20051208191211,20051208193330,unknown
62,Ramsau,2,0,20060617130427,20060624084047,unknown
63,195.4.115.13,2,0,20050522130035,20050522130446,unknown
64,Mycomp,2,1,20100813062235,20100813062545,unknown
65,Bobi211,2,2,20061105145239,20061105145856,unknown
66,134.176.169.79,2,0,20030930130750,20030930130953,unknown
67,Bodhi-Baum,2,0,20160927191934,20160927192059,unknown
68,Weizenbuddy,2,0,20071004104352,20120209090026,unknown
69,Bogart99,2,1,20051219095348,20060216123432,unknown
70,Johamar,2,0,20120512161934,20120521163812,unknown
71,Janjonas,2,2,20130724203454,20130724203938,unknown
72,Stern,2,0,20060517063706,20060517063725,unknown
73,Joachimspaeth,2,0,20051124184542,20051124184928,unknown
74,Tamirogogo,2,1,20100126195120,20100128075300,unknown
75,TobiM233,2,2,20090110160039,20090110160213,unknown
76,ICE21,2,0,20050114204616,20050127140811,unknown
77,Perrak,2,0,20110515184011,20180606132450,unknown
78,Sportfreund.php,2,1,20121111100515,20150607205016,unknown
79,Hnikolaus,2,0,20091003192339,20091003192936,unknown
80,80.136.182.235,2,0,20051209011418,20051209013610,unknown
81,IP-Sichter,2,0,20110911101319,20110912175927,unknown
82,95.223.168.163,2,0,20130315090359,20130315090426,unknown
83,84.184.58.93,2,0,20050719211524,20050719211645,unknown
84,Luke081515Bot,2,0,20161116211651,20161210222847,unknown
85,Graphikus,2,0,20091020230355,20091020230533,unknown
86,80.185.152.182,2,0,20050711193258,20050711193335,unknown
87,Sir James,2,2,20080930162708,20091214230908,unknown
