,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,AF666,201,6,20050331150036,20071215185124,unknown
1,Phantom,112,70,20051023210020,20080327223242,unknown
2,Ulitz,87,20,20050416234636,20070602191203,unknown
3,Eike sauer,59,28,20050404230104,20070819111121,unknown
4,Arne List,43,17,20040209181348,20070707171336,unknown
5,Zollstock,40,0,20050521102242,20051015162114,unknown
6,Southpark,36,30,20040105193650,20051223130054,unknown
7,Zaphiro,32,30,20050521120538,20070520081226,unknown
8,ArtMechanic,31,15,20050626162730,20070401122556,unknown
9,83.236.14.179,28,0,20050717161748,20050717222947,unknown
10,Gretznik,26,7,20070514091317,20070523101148,unknown
11,Debauchery,26,8,20050715140535,20051011064356,unknown
12,Unscheinbar,25,9,20040822120430,20050919170726,unknown
13,Skriptor,23,10,20041217185139,20050919210018,unknown
14,Abdiel,20,0,20060907223031,20070625081949,unknown
15,Rusti,20,0,20070616072616,20080108214241,unknown
16,Tohma,18,2,20081101172448,20150919174908,unknown
17,Rita2008,16,3,20050718145321,20180413171630,unknown
18,Konsul,16,13,20050212142944,20050729125222,unknown
19,Spa,15,6,20051012135119,20070310091430,unknown
20,Tritonus05,13,3,20061222224325,20061227011310,unknown
21,Init,13,3,20060214204306,20060908180915,unknown
22,Dundak,13,5,20050212144816,20061207230538,unknown
23,Mathias Schindler,12,11,20040825120613,20051001071640,unknown
24,Burschenschafter~dewiki,12,0,20050416230418,20060428183245,unknown
25,Lokalpatriot-Tegel,12,0,20061009204615,20061217124147,unknown
26,Filzstift,12,1,20050717175315,20050905080233,unknown
27,Scooter,11,1,20050815150013,20060416211429,unknown
28,Fuzzy~dewiki,11,5,20050623205834,20050813101604,unknown
29,195.202.51.2,11,0,20040909103323,20040910122232,unknown
30,Miltrak,11,0,20140102124005,20170424193820,unknown
31,83.236.15.28,10,0,20050719142816,20050719144607,unknown
32,Lung,10,3,20050716212219,20050723203647,unknown
33,Mthezeroth,10,5,20080106012336,20080414175508,unknown
34,Stimme aus dem Off,10,1,20050731102625,20051007104630,unknown
35,Kamerad~dewiki,9,0,20041217181302,20041220061018,unknown
36,UW,8,7,20050929211417,20120604203558,unknown
37,195.4.49.156,8,0,20050816234447,20050817003146,unknown
38,Bernd Bergmann,8,4,20111217210123,20181208151210,unknown
39,XPNV,8,1,20050908221646,20050910081045,unknown
40,217.83.0.176,8,0,20050331082413,20050331093408,unknown
41,Antaios,8,7,20050813162359,20050815173738,unknown
42,Tell2,8,0,20070129155424,20070129161812,unknown
43,Nuuk,8,6,20051231144333,20171102171210,unknown
44,Horst Gräbner,8,7,20120524215403,20180508185749,unknown
45,195.4.48.97,7,0,20050731130319,20050731140153,unknown
46,Arcy,7,0,20080602201805,20090718194307,unknown
47,Zitronenpresse,7,4,20120525134026,20150204003901,unknown
48,Jergen,7,5,20050717180523,20060127091500,unknown
49,Neuroca,7,0,20050824141345,20070531132106,unknown
50,Der Reiter,7,6,20050704223056,20050704225445,unknown
51,Deutschenfreund,7,0,20070602180233,20070604132601,unknown
52,Zwobot,7,7,20040411231956,20060202235732,unknown
53,Boris Fernbacher,7,0,20070707075335,20070707082038,unknown
54,Qhx,6,3,20080913171343,20091215053015,unknown
55,195.93.60.146,6,0,20050828180613,20051018121722,unknown
56,Berlin-Jurist,6,2,20050908212406,20081123111334,unknown
57,Aka,6,6,20050417093913,20160329202013,unknown
58,139.184.30.17,6,0,20051008180707,20051008181812,unknown
59,84.165.41.144,6,0,20050921212357,20050922021837,unknown
60,MAK,6,4,20040905173244,20050814162031,unknown
61,Raid,6,2,20041116182548,20050107094134,unknown
62,217.255.10.254,6,0,20040907054300,20040907054848,unknown
63,Samweis,6,4,20060618153136,20060813140009,unknown
64,Str1977,6,1,20070524065820,20100126224642,unknown
65,Tsor,5,4,20041220210022,20070513183036,unknown
66,AHZ,5,1,20041130200417,20150426112139,unknown
67,Feliks,5,1,20050921203535,20160616060013,unknown
68,Weissmann,5,5,20070516125855,20070602084739,unknown
69,Lux lb,5,1,20070822155820,20070822160609,unknown
70,83.109.161.83,5,0,20050731101842,20050731103450,unknown
71,D,5,5,20040107192822,20060727193647,unknown
72,80.141.35.146,5,0,20060424125711,20060424130411,unknown
73,Smht%,5,1,20130129214104,20130204135733,unknown
74,Marsupilami,5,5,20050718182417,20050718182823,unknown
75,Severinus70,5,3,20090208200712,20090208201640,unknown
76,DaB.,5,4,20040330160825,20050907143701,unknown
77,195.202.41.49,5,0,20040909103244,20040910060739,unknown
78,Marco K.,5,5,20060814200639,20070513184835,unknown
79,Morphopos,5,0,20080425180624,20080425181238,unknown
80,217.224.205.38,5,0,20060114165152,20060114194503,unknown
81,Miroslawa,5,1,20050517193115,20050718191423,unknown
82,Sicherlich,5,5,20050116181639,20050719105649,unknown
83,83.109.185.92,5,0,20050705193513,20050705193939,unknown
84,Sebmol,5,4,20070403153500,20071013184628,unknown
85,84.151.91.44,5,0,20050813155855,20050813165018,unknown
86,Ixitixel,5,4,20050111233536,20070411081736,unknown
87,Hagbard,5,5,20030425023805,20040414094148,unknown
88,PDD,4,3,20060428213146,20100507104620,unknown
89,Ilja Lorek,4,2,20050721044029,20140620053509,unknown
90,84.151.104.57,4,0,20050910115011,20050910120122,unknown
91,84.153.162.92,4,0,20050609170121,20050609180836,unknown
92,Epikur,4,4,20050723224950,20050729224342,unknown
93,83.236.15.36,4,0,20050816124213,20050816202100,unknown
