,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,KorrekTOM,66,41,20140429215744,20190124111606,unknown
1,ClaasA,51,12,20110605221621,20170907213513,unknown
2,Jmb1982,44,16,20150616151917,20190213151559,unknown
3,Scherben,37,10,20050728133030,20100524174807,unknown
4,Mick149,28,24,20110129192859,20180322153652,unknown
5,Eike sauer,23,4,20040926103503,20061019182654,unknown
6,Timcwerner,21,12,20081027075918,20140316103943,unknown
7,Vanellus,21,2,20140527134318,20190119192344,unknown
8,Grixlkraxl,21,6,20090718104313,20160925124030,unknown
9,Lettres,20,4,20140624002142,20181029015725,unknown
10,Rbrausse,18,10,20070812221224,20110224141351,unknown
11,Urgelein,17,6,20100620135943,20170924180334,unknown
12,ElNuevoEinstein,17,0,20090913210228,20120516141751,unknown
13,Markbenecke,16,12,20090506112758,20170521130107,unknown
14,Aka,16,16,20140624071125,20181015183413,unknown
15,AF666,16,1,20050404125526,20171118222113,unknown
16,Schwijker,15,14,20090109085948,20100510174014,unknown
17,Ute Erb,14,14,20110919092652,20180608230543,unknown
18,Skriptor,14,5,20040924184246,20050919063933,unknown
19,KastusK,14,1,20130703133646,20161108191848,unknown
20,Rudolph Buch,13,11,20130716192631,20170907130425,unknown
21,Julijane,13,7,20040901201630,20041024220809,unknown
22,Ninety Mile Beach,12,2,20090806191046,20091216131200,unknown
23,JosFritz,11,4,20130923200614,20160416111932,unknown
24,Tohma,11,0,20140419055851,20170907141728,unknown
25,Paholainen,10,6,20090814105628,20090901072043,unknown
26,Siwibegewp,10,0,20170519141017,20170915095922,unknown
27,Lumu,9,4,20091103181804,20110919080132,unknown
28,Agathenon,8,4,20140526120316,20170907111758,unknown
29,Aleph Kaph,7,4,20160909224534,20181017165256,unknown
30,195.140.123.24,7,0,20140516072626,20170802121150,unknown
31,Sänger,7,4,20161014074831,20181225233209,unknown
32,33cln33,6,4,20150516134515,20170304095933,unknown
33,185.10.148.125,6,0,20140602081448,20140602091916,unknown
34,87.123.73.19,6,0,20060625103017,20060625103546,unknown
35,213.39.136.226,6,0,20050826004744,20050826011218,unknown
36,Reeno,5,4,20040816102149,20040824134033,unknown
37,Wetterwolke,5,3,20151213183524,20180318141950,unknown
38,Acf,5,2,20040905083658,20041018053920,unknown
39,194.113.141.20,5,0,20050801073320,20050831143419,unknown
40,Wadis,5,1,20120611130210,20171025190041,unknown
41,Neuer93,5,0,20150227212546,20170722145352,unknown
42,Helmutvan,5,2,20060109105215,20160919062528,unknown
43,Fossa,5,1,20130710164337,20130904153313,unknown
44,Discostu,5,0,20110910181254,20170522084720,unknown
45,Laser-Ulm,5,2,20181029083050,20190120120702,unknown
46,Aschmidt,5,1,20090825205913,20110420102738,unknown
47,DerSalamander,5,2,20110221182541,20120411183830,unknown
48,Bujo,5,0,20170331120210,20170818135500,unknown
49,Edoe,4,2,20120805151732,20160807110412,unknown
50,77.180.205.39,4,0,20170925140446,20170926021222,unknown
51,Baumfreund-FFM,4,0,20070204135609,20080122110522,unknown
52,Gestumblindi,4,2,20050404215106,20110824002429,unknown
53,46.5.0.171,4,0,20150220170820,20150220171600,unknown
54,AlternativesLebensglück,4,0,20170915061959,20170915063254,unknown
55,Centenier,4,4,20160215133639,20160215134037,unknown
56,78.34.188.115,4,0,20151020114509,20151020115540,unknown
57,Sjo,4,0,20091213150540,20180809193021,unknown
58,Chef,4,2,20040816151308,20050913202017,unknown
59,Dundak,4,2,20040917073421,20050609110452,unknown
60,Thüringer,4,1,20081108213739,20110924130912,unknown
61,Gaumenschmaus,4,2,20130719102013,20130723113136,unknown
62,Excolis,4,2,20131229092258,20150201213918,unknown
63,88.217.83.50,4,0,20080701211850,20080701212441,unknown
64,188.96.126.249,4,0,20170802191543,20170802194232,unknown
65,212.118.216.43,4,0,20130903155758,20140518151807,unknown
66,KaterBegemot,4,2,20090809190840,20100610001308,unknown
67,Federhalter,4,1,20040823144305,20040823214537,unknown
68,Kleiner Stampfi,4,0,20130610002536,20131101210800,unknown
69,Geitost,4,1,20090721004312,20130427231811,unknown
70,ChristianErtl,4,4,20050825165152,20050916232730,unknown
71,Xand0r112358,4,3,20080123141812,20090109051658,unknown
72,158.38.51.111,4,0,20050824094212,20050824112518,unknown
73,DarkX2,4,1,20090817065128,20090910122003,unknown
74,Nemissimo,4,0,20061124163543,20090717102909,unknown
75,197.216.3.3,4,0,20160215133430,20160215134215,unknown
76,Jón,4,3,20090316212011,20090509194136,unknown
77,Der Gott des Bieres,4,0,20050807231947,20051001130117,unknown
78,87.123.111.165,3,0,20060921093126,20060921093256,unknown
79,84.159.227.45,3,0,20090309184813,20090309185654,unknown
80,Schotterebene,3,3,20120102091723,20121211073700,unknown
81,PhHertzog,3,3,20041211022037,20041212085300,unknown
82,Dandelo,3,0,20120203171648,20160826220937,unknown
83,PsY.cHo,3,3,20121130201432,20130617234149,unknown
84,31.18.210.63,3,0,20170105192006,20170425151133,unknown
85,88.153.204.140,3,0,20130911135305,20130911135919,unknown
86,217.83.5.9,3,0,20050323202633,20050323202942,unknown
87,Verdammnis,3,1,20141026200316,20150220182315,unknown
88,Luke081515Bot,3,0,20151128215325,20161211221639,unknown
89,Connoisseur of politics,3,2,20131229190532,20140103230650,unknown
90,Ficus Robusta,3,2,20140915075508,20140916010028,unknown
91,31.18.158.100,3,0,20160921152553,20161004153319,unknown
92,Publikumsjoker,3,1,20110908153242,20110915104330,unknown
93,85.180.173.210,3,0,20170903154607,20170903154827,unknown
94,Felix König,3,2,20120805175853,20140212201738,unknown
95,ElTres,3,0,20130916112257,20150515095740,unknown
96,2003:E3:8BCE:2C82:6D9A:637:F640:9D99,3,0,20170924223510,20170924224522,unknown
97,Schweißer,3,3,20090822130130,20090822130211,unknown
98,93.128.4.230,3,0,20121211071825,20121211072423,unknown
99,Gmhofmann,3,0,20050827192605,20130428125912,unknown
100,85.167.164.214,3,0,20050814134141,20050824184211,unknown
101,Hadibe,3,3,20151207032548,20160712094426,unknown
102,Dominik Steiger,3,0,20061124161808,20061126141850,unknown
103,77.179.181.127,3,0,20140722065517,20140722090631,unknown
104,Koffer,3,1,20090806220148,20090814144217,unknown
105,RoBri,3,2,20150728095645,20170518162228,unknown
106,Cepheiden,3,3,20140609193354,20150113212705,unknown
107,Krdbot,3,2,20110815092112,20170314174715,unknown
108,Redrobsche,3,2,20151108214049,20161005191630,unknown
109,31.18.40.78,3,0,20160803144720,20160822143501,unknown
110,B.Thomas95,3,3,20161208232806,20171213174430,unknown
111,Regi51,3,3,20120513193636,20190109141418,unknown
112,217.232.216.127,3,0,20100222134741,20100222135339,unknown
113,Casra,3,1,20100515122555,20100907084144,unknown
114,Ambo35,3,1,20160814234845,20160815012106,unknown
115,Boshomi,3,1,20140404164926,20150515151127,unknown
116,80.171.203.236,3,0,20170925030026,20170925031855,unknown
117,MorbZ-Bot,3,3,20130310162207,20130705121841,unknown
118,Fakten,3,1,20060613103644,20060809110537,unknown
119,Chainyi,3,0,20140226155232,20140226155645,unknown
120,Giftmischer,3,2,20091230151617,20151206185442,unknown
121,JøMa,2,0,20120319205117,20120319205248,unknown
122,Eskimbot,2,2,20060305122740,20060714150438,unknown
123,Vertragstheoretiker,2,2,20160221121234,20160614103332,unknown
124,Karsten11,2,1,20130929074349,20170718195334,unknown
125,MB-one,2,2,20080709200955,20090506190410,unknown
126,Hoheit,2,1,20041004201444,20050217174920,unknown
127,129.13.186.1,2,0,20110906172334,20110906172420,unknown
128,Gripweed,2,2,20150121055927,20190102182253,unknown
129,80.171.83.180,2,0,20091023215309,20091023215540,unknown
130,Tuxman,2,2,20080509133349,20090115022812,unknown
131,217.80.251.129,2,0,20040915120443,20040915120941,unknown
132,Paddy,2,1,20140607113438,20140607113629,unknown
133,KAMiKAZOW,2,2,20050521092325,20050521092406,unknown
134,Stelldirmalvor,2,1,20130515215943,20130515220049,unknown
135,Kängurutatze,2,1,20130912085547,20161116113549,unknown
136,Complex,2,2,20080217003527,20090428085153,unknown
137,Frīheidasliova,2,0,20160530210303,20160919061934,unknown
138,141.100.201.16,2,0,20190306173313,20190306173540,unknown
139,91.10.84.16,2,0,20080122100752,20080122122942,unknown
140,91.42.165.192,2,0,20091215230230,20091216163648,unknown
141,84.175.222.234,2,0,20080822124105,20080822124212,unknown
