,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,83,27,20040507230617,20150712210531,unknown
1,Benatrevqre,52,21,20070508040231,20150525124426,unknown
2,Phi,30,4,20070715110653,20190308195056,unknown
3,Aïnoa,22,0,20060623221532,20060723053702,unknown
4,Marco K.,19,11,20060617113052,20060706161956,unknown
5,Mannerheim,17,7,20071111123654,20090506072622,unknown
6,TSievert,15,4,20060522200425,20060626225705,unknown
7,Barb,14,9,20050808111351,20060625235528,unknown
8,LuisDeLirio,11,0,20050623231332,20060615164312,unknown
9,Viva Zapata,11,0,20071116111550,20071116120943,unknown
10,Apnoist,9,0,20060615085045,20060626222220,unknown
11,Kängurutatze,8,2,20071111133233,20150423070648,unknown
12,Flammingo,7,2,20060906232126,20070716083913,unknown
13,Wolpertinger,7,7,20050401085715,20050402002958,unknown
14,Boris Fernbacher,7,0,20070521070530,20070521072358,unknown
15,80.171.248.10,7,0,20060623153446,20060623154545,unknown
16,Kryston,6,1,20060615200454,20060721153625,unknown
17,Xqbot,6,6,20090505042510,20110612142048,unknown
18,Zwobot,5,5,20040320170919,20050811124702,unknown
19,Dr. Manuel,5,1,20060126201849,20070113170217,unknown
20,Herrick,5,1,20040806075747,20071116121031,unknown
21,TobiasKlaus,4,3,20070521075652,20090118170922,unknown
22,85.0.143.248,4,0,20080524134718,20080524135245,unknown
23,Southpark,4,2,20040217230718,20060721095758,unknown
24,Itti,4,3,20121230162119,20140713183349,unknown
25,Konsul,4,4,20050212004512,20050804151047,unknown
26,Frank-Thomas Ernst,4,0,20171204125539,20171204130143,unknown
27,EmausBot,4,4,20100614035018,20130225081816,unknown
28,MerlIwBot,4,4,20120701062023,20130206164618,unknown
29,Hnsjrgnweis,4,2,20130325143500,20130919075218,unknown
30,Schnabeltassentier,3,3,20150725140049,20181031135123,unknown
31,LKD,3,3,20060620080723,20060620081455,unknown
32,Jesusfreund,3,1,20070923070533,20070923142207,unknown
33,80.171.28.225,3,0,20060207213112,20060207224901,unknown
34,Firefly333,3,0,20060529170307,20071021183435,unknown
35,HV,3,1,20080223124132,20080223215837,unknown
36,Fossa,3,1,20090430224408,20110707221930,unknown
37,RobotQuistnix,3,3,20050826020008,20070729215523,unknown
38,80.144.239.200,3,0,20080801162150,20080801162453,unknown
39,213.73.76.21,3,0,20041130183134,20041130183649,unknown
40,Karl-Hagemann,3,2,20150214213453,20171029115105,unknown
41,Mehldau,3,2,20040417161945,20040417163840,unknown
42,2A02:908:FD33:3000:DDEF:55DA:A901:A4DC,3,0,20161003192244,20161003193901,unknown
43,80.171.250.52,3,0,20060623210702,20060623211416,unknown
44,Frederik Höri,3,2,20090118162943,20090118163518,unknown
45,Cubefox,3,0,20090610193150,20110417205331,unknown
46,Luckas-bot,3,3,20100103170506,20110105213645,unknown
47,Pittimann,3,3,20111025130342,20170831090643,unknown
48,Aka,3,3,20060530181817,20190223150832,unknown
49,Invisigoth67,3,2,20110318130752,20190116141624,unknown
50,Regi51,3,3,20101031163331,20160929142410,unknown
51,84.138.119.3,3,0,20060620080706,20060620081426,unknown
52,Oms,3,3,20070922164134,20070922164456,unknown
53,790,3,1,20050604121151,20050610224352,unknown
54,Neun-x,3,0,20110224114508,20120116080641,unknown
55,YurikBot,3,3,20051017084359,20060629064605,unknown
56,Gratisaktie,2,2,20061017102949,20061017111918,unknown
57,84.56.104.66,2,0,20050621142343,20050621142409,unknown
58,62.178.132.15,2,0,20100114193117,20100114193146,unknown
59,88.72.151.77,2,0,20131211164116,20131211164207,unknown
60,217.251.214.1,2,0,20060604230514,20060604230716,unknown
61,2003:DC:B727:B067:896D:945:69E3:A999,2,0,20181212102410,20181212102500,unknown
62,BurghardRichter,2,1,20090206180009,20160111013718,unknown
63,91.58.50.57,2,0,20100614232338,20100614232712,unknown
64,62.157.204.67,2,0,20120919122231,20120919122407,unknown
65,4342,2,2,20120524123440,20120524123657,unknown
66,80.171.251.14,2,0,20060615122243,20060615122323,unknown
67,77.2.182.100,2,0,20150919092333,20150919140810,unknown
68,145.254.35.162,2,0,20050213225220,20050213225422,unknown
69,JAnDbot,2,2,20070223094929,20080925132719,unknown
70,80.133.97.89,2,0,20040904201637,20040904201848,unknown
71,SieBot,2,2,20071020110714,20100629042044,unknown
72,91.47.142.35,2,0,20100525184047,20100525184218,unknown
73,GonzoTheRonzo,2,0,20120628195506,20140305063554,unknown
74,217.251.214.76,2,0,20060604231138,20060604231300,unknown
75,Mate-Tee,2,0,20070524145718,20070524145741,unknown
76,Martin Bahmann,2,2,20080524134758,20080524135152,unknown
77,Herr Andrax,2,0,20050124011412,20050804161823,unknown
78,82.83.67.43,2,0,20110707191807,20110707192005,unknown
79,Gerbil,2,2,20160920082646,20160920082827,unknown
80,Zimt-Speculatius,2,2,20181212102420,20181212102507,unknown
81,84.161.75.224,2,0,20060228005714,20060228005806,unknown
82,Siehe-auch-Löscher,2,0,20160513080741,20160513080847,unknown
83,89.204.138.60,2,0,20180205150856,20180205150945,unknown
84,Werner von Basil,2,2,20150919142908,20150919142925,unknown
85,62.224.84.253,2,0,20091129115204,20091129115341,unknown
86,Logograph,2,0,20060521191743,20060523014541,unknown
87,95.90.92.184,2,0,20121226223507,20121226223524,unknown
88,178.7.137.118,2,0,20160920082421,20160920082458,unknown
89,PsY.cHo,2,2,20071028145217,20120616113128,unknown
90,132.180.228.196,2,0,20040604163013,20040604163354,unknown
91,62.180.160.112,2,0,20050625101718,20050625103112,unknown
92,Markus Schweiß,2,2,20060723091902,20060814162325,unknown
93,62.180.160.2,2,0,20060207031401,20060623222204,unknown
94,Loveless,2,2,20070528131614,20070810180440,unknown
95,Corradox,2,1,20110807094905,20110807095039,unknown
96,84.134.16.229,2,0,20051221080735,20051221081253,unknown
97,129.215.108.34,2,0,20090430143626,20090430143725,unknown
98,Gambeson,2,1,20181222131403,20190308110708,unknown
99,FlaBot,2,2,20050616050701,20060109162354,unknown
