,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Riverneverever,65,0,20121002071043,20121004110719,unknown
1,EH⁴²,41,11,20120423105123,20130228093139,unknown
2,Berlin-Jurist,30,12,20050512213604,20090916123140,unknown
3,Von Eden,29,16,20110904162412,20121108014540,unknown
4,Zollstock,22,0,20050519145141,20050525091817,unknown
5,TMFS,21,4,20031117125547,20080327102432,unknown
6,Sir James,18,11,20101206210051,20111031142007,unknown
7,Hardenacke,18,15,20080321212907,20170125191854,unknown
8,MPK,17,4,20121107194704,20130913153555,unknown
9,Miltrak,16,0,20110916143427,20130605211824,unknown
10,Rudolfox,16,0,20101028155705,20110529184248,unknown
11,Andropov,16,1,20170514091917,20180318224033,unknown
12,Neun-x,15,0,20100821172720,20160715112436,unknown
13,Volkstribun 2.0,13,2,20121115011427,20131109155714,unknown
14,ArnoSchneider,13,2,20050519102350,20050519143230,unknown
15,Polemos,13,3,20111024201900,20121005150246,unknown
16,Nb,13,5,20050519170526,20050526185130,unknown
17,Vermachunft,12,0,20120930111448,20120930122139,unknown
18,Andrea8,11,0,20121002082625,20121002084606,unknown
19,82.82.200.86,10,0,20050519165856,20050519174316,unknown
20,P. Birken,10,6,20050515163010,20050611145047,unknown
21,Seewolf,9,9,20070420084745,20150304221938,unknown
22,Rolf acker,9,7,20121002195912,20121024085934,unknown
23,Mietschlossherr,9,3,20120227181927,20121217091657,unknown
24,Aka,8,8,20111130171215,20180408082121,unknown
25,Giftmischer,8,8,20100913080417,20130215190321,unknown
26,Eisbaer44,8,8,20121111093943,20150529190816,unknown
27,Times,8,0,20081105150316,20110916170330,unknown
28,KastusK,8,0,20130321183509,20131115173021,unknown
29,Casra,8,5,20100813233012,20110103194656,unknown
30,Kharon,7,7,20130228004035,20160306011203,unknown
31,Schlämmer,7,5,20090418131743,20130706123739,unknown
32,80.142.252.20,7,0,20050519133052,20050520103237,unknown
33,Gustav von Aschenbach,7,7,20081027230209,20141006203919,unknown
34,130.60.90.181,7,0,20060707105926,20060718162504,unknown
35,Felix König,6,6,20100414191913,20140308210040,unknown
36,Rüeblibüebli,6,0,20120601151405,20121210192917,unknown
37,Jbo166,6,4,20090320014318,20090327072258,unknown
38,Uwe W.,6,6,20050622110028,20051122181220,unknown
39,Leit,6,4,20060529162525,20130802212617,unknown
40,Stefan64,6,2,20070325201513,20130613210843,unknown
41,SamWinchester000,6,0,20150915182055,20151119225557,unknown
42,Aschmidt,6,3,20160715145606,20161006100505,unknown
43,195.14.254.45,6,0,20050520080421,20050520152031,unknown
44,193.174.243.130,6,0,20070807095827,20071105104238,unknown
45,83.129.21.223,6,0,20050520191537,20050520201628,unknown
46,RoBri,6,6,20110330120626,20121001125754,unknown
47,80.184.128.227,5,0,20050520072957,20050520113416,unknown
48,JüKü,5,5,20040715042409,20040715045338,unknown
49,Slökmann,5,3,20051018142434,20181023124514,unknown
