,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Qualiabavariae,47,4,20120403113508,20151015170730,unknown
1,In dubio pro dubio,44,40,20120516215348,20120530211008,unknown
2,Ngowatchtransparent,24,3,20090220223659,20110608103741,unknown
3,Olaf Kosinsky,10,5,20140305111342,20180505145050,unknown
4,Rmcharb,8,6,20141120075703,20180411104120,unknown
5,Cducsu,8,3,20060830100808,20140211094123,unknown
6,78.52.197.250,7,0,20120528104811,20120528110810,unknown
7,Aka,6,6,20060709125419,20181229144323,unknown
8,Neun-x,6,0,20120519061949,20171031151501,unknown
9,Holger1974,6,0,20171024134854,20180314131828,unknown
10,AlexanderRahm,5,4,20171129203616,20171129204420,unknown
11,Feliks,5,0,20121029083356,20140102071959,unknown
12,Qaswa,5,2,20120518212747,20120522184437,unknown
13,NacowY,5,2,20111129081623,20120603010451,unknown
14,Felix König,5,2,20120727092212,20140102120305,unknown
15,RudolfSimon,5,1,20130128181405,20130613123713,unknown
16,Jobu0101,5,5,20110404123953,20120529070315,unknown
17,EH⁴²,4,0,20120514190348,20141016180110,unknown
18,Horst Gräbner,4,2,20120820164054,20170708183827,unknown
19,YoungDylan,4,2,20140608201934,20160225085140,unknown
20,Regi51,4,4,20120919182604,20181218150129,unknown
21,Krtschil,4,3,20151007195233,20151007200000,unknown
22,Rufus46,4,4,20090921195518,20130419102301,unknown
23,Komischn,4,4,20120522142436,20181030153652,unknown
24,78.52.201.41,3,0,20120517074548,20120517110923,unknown
25,Hottentotte1,3,2,20180315152007,20180315153420,unknown
26,Grey Geezer,3,0,20120715074425,20120720072305,unknown
27,85.178.63.185,3,0,20060802194932,20060802195123,unknown
28,Logograph,3,2,20161021200110,20180524160518,unknown
29,85.178.19.21,3,0,20051113203428,20051113203800,unknown
30,Hardenacke,3,3,20080928144338,20120516155313,unknown
31,Pittimann,3,3,20130128090047,20130419073300,unknown
32,Reinold M3i3r,3,3,20170228151410,20170228152351,unknown
33,TMFS,3,0,20050920092136,20070303163815,unknown
34,Nemissimo,3,0,20120517205147,20120520181126,unknown
35,DavidHume1,3,0,20130401222958,20130402164010,unknown
36,Lektor w,3,2,20160223160254,20160223161418,unknown
37,Hebo98,3,0,20180225181630,20180225181908,unknown
38,Johnny T,3,1,20120522090416,20171024183908,unknown
39,Filterkaffee,3,1,20130905180547,20131020090124,unknown
40,Telonius,2,0,20130128193414,20130128195722,unknown
41,Sansculotte,2,0,20040404234758,20040406031856,unknown
42,KL052,2,0,20180310220128,20180311112305,unknown
43,Lapp,2,0,20190218104723,20190218104908,unknown
44,Luckas-bot,2,2,20100205121824,20120516203044,unknown
45,Konrad Lackerbeck,2,1,20120521161405,20120521161513,unknown
46,SamWinchester000,2,0,20130705100341,20161023142402,unknown
47,79.225.234.53,2,0,20120523102112,20120523102409,unknown
48,Paddy2674,2,2,20131217061319,20131217061410,unknown
49,Onkel Pit,2,0,20061030170452,20070628094227,unknown
