,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Bigbug21,19,4,20100303221406,20151030180602,unknown
1,Nixx,19,2,20080104160410,20110623113427,unknown
2,Hardenacke,12,10,20090517153127,20160529141020,unknown
3,JFH-52,12,11,20111104054023,20171225180416,unknown
4,Mogelzahn,11,6,20091029150239,20130910094552,unknown
5,Neun-x,10,0,20100630140340,20170913190505,unknown
6,TMFS,10,4,20051122133714,20080521183938,unknown
7,Feliks,9,0,20170911135703,20170911145122,unknown
8,HAH,9,1,20060712221009,20110101101204,unknown
9,Micha.Kramer,7,1,20120723080603,20130626053315,unknown
10,Holgus,7,1,20051128113432,20131129232408,unknown
11,Qualiabavariae,7,0,20151023182039,20170509114713,unknown
12,Politics,7,2,20091025230046,20100207163522,unknown
13,Lou.gruber,6,0,20041117234804,20050129170027,unknown
14,Aka,6,6,20100705202154,20180126211117,unknown
15,Helmut Zenz,5,0,20050717195610,20051229223848,unknown
16,Ramsau,4,0,20060326100457,20060326100758,unknown
17,Roterraecher,4,0,20100106132339,20100411174823,unknown
18,Excolis,4,1,20130701125953,20130701135322,unknown
19,Jjm2311,4,0,20110318072459,20110318073903,unknown
20,Bmstr,4,0,20170219183510,20171225111618,unknown
21,JD,4,3,20151004133555,20170920172023,unknown
22,Sebbot,3,1,20090325004818,20150517050812,unknown
23,Howwi,3,2,20090928155357,20120224075407,unknown
24,Diba,3,3,20091028114733,20120224075949,unknown
25,Raymond,3,1,20070111084348,20130227132203,unknown
26,InternetArchiveBot,3,0,20180325130414,20180827193511,unknown
27,Sordini2,3,0,20120723075856,20120723082935,unknown
28,193.17.232.1,3,0,20100118160052,20100129095321,unknown
29,KastusK,3,0,20130928165409,20131115171547,unknown
30,176.5.89.31,2,0,20161002095957,20161002100421,unknown
31,141.17.83.5,2,0,20100105131851,20100106113107,unknown
32,Dietrich,2,0,20141211200118,20141211200358,unknown
33,Michelhausen,2,0,20120201092818,20120201093222,unknown
34,Itti,2,1,20130705114404,20151211064625,unknown
35,Armin P.,2,2,20091201215424,20091202210019,unknown
36,Este,2,0,20060701062624,20060701062730,unknown
37,85.179.8.191,2,0,20090209224530,20090209224610,unknown
38,Unscheinbar,2,2,20151201044241,20151201045231,unknown
39,217.249.178.46,2,0,20060106195548,20060106200342,unknown
40,Schnabeltassentier,2,1,20161002100442,20170912005335,unknown
41,134.93.205.125,2,0,20091028173401,20091028173426,unknown
42,ALE!,2,2,20051128211318,20051128211446,unknown
43,79.204.106.164,2,0,20091028114707,20091028114947,unknown
44,85.176.37.160,2,0,20141202174421,20141203084600,unknown
45,Norbert Kaiser,2,0,20120331194741,20120402202315,unknown
46,TXiKiBoT,2,2,20091029165110,20091106234007,unknown
47,Agatha Bauer,2,0,20120118074211,20120118074640,unknown
48,RudolfSimon,2,0,20131005175309,20131005175408,unknown
49,Rusti,2,0,20081025131730,20081025133118,unknown
50,Seewolf,2,2,20151013232427,20160229052512,unknown
51,62.226.35.84,2,0,20120224075351,20120224075713,unknown
52,79.204.103.170,2,0,20131216034128,20131216100210,unknown
53,Schtone,2,0,20081209142148,20081209142203,unknown
54,84.134.211.37,2,0,20060103211154,20060103211546,unknown
55,193.17.244.1,2,0,20091013144217,20091013144345,unknown
56,Robodoc,2,0,20050410102009,20050424195641,unknown
57,WIKImaniac,2,1,20060713001509,20100505220734,unknown
58,91.10.65.199,2,0,20130309144450,20130309151737,unknown
59,Gib Senf dazu!,2,1,20110319121514,20160818064943,unknown
60,Triebtäter (2009),2,0,20090530091624,20090530091702,unknown
61,Inkowik,2,2,20091103173802,20121004175700,unknown
62,Dmicha,2,2,20131216055756,20131217051021,unknown
63,Zorrobot,2,2,20091029093558,20091108215129,unknown
64,Vertuioper,2,0,20151201044045,20151201045224,unknown
65,85.177.171.35,1,0,20070307144041,20070307144041,unknown
66,LucienBOT,1,1,20091024070043,20091024070043,unknown
67,Logistiktv,1,1,20110511110627,20110511110627,unknown
68,Rauchbart,1,0,20130212103204,20130212103204,unknown
69,84.146.236.134,1,0,20050507120015,20050507120015,unknown
70,Triebtäter,1,0,20060717162939,20060717162939,unknown
71,Labant,1,1,20181012221347,20181012221347,unknown
72,MerlLinkBot,1,1,20090919173537,20090919173537,unknown
73,A.fiedler,1,1,20091126140842,20091126140842,unknown
74,Mihewag,1,1,20110209102804,20110209102804,unknown
75,DF5GO,1,0,20140317092521,20140317092521,unknown
76,Sansculotte,1,0,20040407215546,20040407215546,unknown
77,Asdert,1,1,20160530085626,20160530085626,unknown
78,Informationswiedergutmachung,1,1,20171111154026,20171111154026,unknown
79,82.113.106.90,1,0,20091103132639,20091103132639,unknown
80,Giftmischer,1,1,20100727084053,20100727084053,unknown
81,TechnologyMC,1,1,20131129220632,20131129220632,unknown
82,Gezutgh,1,1,20151211005301,20151211005301,unknown
83,FNBot,1,1,20170720103943,20170720103943,unknown
84,Pessottino,1,1,20081126234226,20081126234226,unknown
85,Aligator2013,1,0,20091028161426,20091028161426,unknown
86,Pelz,1,1,20111215185712,20111215185712,unknown
87,Slökmann,1,1,20151014003210,20151014003210,unknown
88,RG1968,1,0,20161225135118,20161225135118,unknown
89,87.165.61.75,1,0,20091026172831,20091026172831,unknown
90,Iogos82,1,1,20100129095536,20100129095536,unknown
91,J. Patrick Fischer,1,0,20110724112924,20110724112924,unknown
92,Pm,1,0,20130309144707,20130309144707,unknown
93,SEM,1,1,20151002221341,20151002221341,unknown
94,Stijn Calle,1,1,20050702104820,20050702104820,unknown
95,Berlinschneid,1,0,20160701205119,20160701205119,unknown
96,91.64.163.208,1,0,20060831184524,20060831184524,unknown
97,195.16.80.12,1,0,20110320091741,20110320091741,unknown
98,EH⁴²,1,0,20130116174406,20130116174406,unknown
99,80.171.55.240,1,0,20141006223557,20141006223557,unknown
100,Sk-Bot,1,1,20050129161555,20050129161555,unknown
101,185.66.195.251,1,0,20171225101443,20171225101443,unknown
102,217.238.248.238,1,0,20090718170806,20090718170806,unknown
103,84.129.111.205,1,0,20091105170331,20091105170331,unknown
104,81.14.176.66,1,0,20110125105916,20110125105916,unknown
105,85.180.96.188,1,0,20120322173829,20120322173829,unknown
106,Hofres,1,0,20131217120225,20131217120225,unknown
107,Rooke,1,0,20160306003504,20160306003504,unknown
108,91.54.32.64,1,0,20170921065757,20170921065757,unknown
109,TheJH Bot,1,0,20100630124341,20100630124341,unknown
110,Vorderstrasse,1,1,20120116190732,20120116190732,unknown
111,Ephraim33,1,0,20131001090612,20131001090612,unknown
112,84.163.138.13,1,0,20170311234744,20170311234744,unknown
113,Gamma9,1,1,20080915132145,20080915132145,unknown
114,Engie,1,1,20091028115208,20091028115208,unknown
115,195.200.70.39,1,0,20100209133458,20100209133458,unknown
116,Ein Zar,1,0,20111104022757,20111104022757,unknown
117,77.23.23.215,1,0,20130625234419,20130625234419,unknown
