,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,16,5,20031112235101,20080605194927,unknown
1,Rita2008,9,4,20050926091236,20171009163118,unknown
2,-jha-,8,0,20060413174947,20070618082304,unknown
3,84.153.74.185,5,0,20051002203453,20051002205843,unknown
4,Onkelkoeln,5,4,20060101203642,20150321212907,unknown
5,David Wintzer,5,5,20040808165218,20141103160716,unknown
6,Atman Sun,5,1,20060908200034,20060909115938,unknown
7,92.194.110.180,4,0,20121229105917,20121229110035,unknown
8,Kks~dewiki,4,0,20060909175305,20060911164034,unknown
9,87.162.49.223,4,0,20140304223401,20140304230524,unknown
10,88.78.96.2,4,0,20131230005229,20131230011804,unknown
11,Mogelzahn,4,2,20060911182752,20170813163119,unknown
12,Andropov,4,1,20161104194759,20180125152528,unknown
13,Horst Gräbner,4,2,20121229112517,20180825142734,unknown
14,Über-Blick,4,0,20141220213638,20141220215150,unknown
15,Aka,3,3,20090501183025,20171025103102,unknown
16,84.178.244.214,3,0,20160114215422,20160114220306,unknown
17,193.17.243.1,3,0,20070504211356,20070505104524,unknown
18,92.194.17.96,3,0,20121101205629,20121101205816,unknown
19,193.17.243.2,3,0,20070716085044,20080126085849,unknown
20,PDD,3,0,20080430221158,20090927234944,unknown
21,Zwobot,3,3,20031218110146,20041218170629,unknown
22,Leppus,3,2,20060408172725,20060408173906,unknown
23,Nicor,3,0,20080618154923,20081015150402,unknown
24,Phantom,3,1,20071115203414,20080229202934,unknown
25,212.144.9.77,3,0,20040808164226,20040808170627,unknown
26,Rusti,3,0,20070616114243,20070616160331,unknown
27,Nuuk,3,2,20091024150215,20121209133750,unknown
28,Longinus Müller,3,3,20150213205317,20150213220707,unknown
29,Jivee Blau,3,1,20150205000713,20150205000855,unknown
30,Sebbot,3,0,20080125131023,20150213064759,unknown
31,Messina,2,0,20120208220026,20120209060311,unknown
32,Tohma,2,0,20140305065013,20161102132534,unknown
33,PanchoS,2,1,20131026111607,20131026111737,unknown
34,84.132.111.45,2,0,20050505105428,20050505105456,unknown
35,92.252.81.255,2,0,20110908054049,20110908054153,unknown
36,77.128.48.232,2,0,20090923220154,20090923220646,unknown
37,89.57.134.249,2,0,20061105193628,20061105194307,unknown
38,Hofres,2,0,20090503182709,20090503182909,unknown
39,Martin-vogel,2,0,20040730230731,20040730230828,unknown
40,217.110.67.196,2,0,20050919103219,20050919103302,unknown
41,217.224.222.148,2,0,20060116211915,20060116212233,unknown
42,217.81.125.193,2,0,20040812084353,20040812084439,unknown
43,Pelz,2,2,20111030212958,20111222202642,unknown
44,84.157.82.162,2,0,20070430080319,20070430080606,unknown
45,Dansker,2,0,20090923220404,20090923220856,unknown
46,2A02:908:4E0:99A0:9819:4226:ECE0:C8D6,2,0,20150205000409,20150205000537,unknown
47,Komischn,2,1,20120602003128,20130902165951,unknown
48,Finanzer,2,2,20050919103510,20060115210903,unknown
49,109.84.0.236,2,0,20151017201032,20151017201130,unknown
50,77.128.43.139,2,0,20080515205831,20080515210054,unknown
51,89.182.172.36,2,0,20121229110050,20121229110333,unknown
52,Itti,2,2,20140304224204,20150221214240,unknown
53,Nina,2,1,20060410130155,20060410130431,unknown
54,Omerzu,2,1,20070704160833,20070716122325,unknown
55,Sinn,2,0,20070430080328,20070430080615,unknown
56,217.224.206.125,2,0,20060115210616,20060115210815,unknown
57,93.135.126.44,2,0,20080909103440,20080909103613,unknown
58,Franz Richter,2,1,20090926214325,20120329230908,unknown
59,79.239.62.213,2,0,20130218121451,20130218121647,unknown
60,Ixitixel,2,1,20050101200925,20050103001947,unknown
61,Faber-Castell,2,0,20061125153310,20061221161804,unknown
62,Head,2,2,20060116212311,20061006212141,unknown
63,88.130.48.175,2,0,20180125134940,20180125140518,unknown
64,89.57.100.136,2,0,20061105192508,20061105192635,unknown
65,Gersve,1,1,20040708195409,20040708195409,unknown
66,Luke081515Bot,1,0,20161119120256,20161119120256,unknown
67,213.54.212.139,1,0,20050919101934,20050919101934,unknown
68,Berlinersorbenbayer,1,0,20070708150809,20070708150809,unknown
69,91.20.202.165,1,0,20090318170514,20090318170514,unknown
70,Akkakk,1,0,20110315115247,20110315115247,unknown
71,Spacey,1,1,20030709213351,20030709213351,unknown
72,AF666,1,0,20050821160800,20050821160800,unknown
73,Björn König,1,1,20060306182217,20060306182217,unknown
74,Möchtegern,1,1,20100115224432,20100115224432,unknown
75,Sichersicher,1,0,20130821223741,20130821223741,unknown
76,Rollis Igel,1,0,20150609124649,20150609124649,unknown
77,80.136.24.197,1,0,20050801084814,20050801084814,unknown
78,Wimpernschlag,1,0,20060115210705,20060115210705,unknown
79,Der Wolf im Wald,1,1,20070319040700,20070319040700,unknown
80,Mathias Schindler,1,1,20080913202846,20080913202846,unknown
81,83.84.224.249,1,0,20090927205000,20090927205000,unknown
82,O.Koslowski,1,1,20130218121746,20130218121746,unknown
83,Williwilli,1,1,20150206193418,20150206193418,unknown
84,89.204.139.124,1,0,20180825142721,20180825142721,unknown
85,Scooter,1,1,20051208000919,20051208000919,unknown
86,84.180.105.158,1,0,20061223084636,20061223084636,unknown
87,Asthma,1,0,20080403022354,20080403022354,unknown
88,Quintero,1,0,20090629205152,20090629205152,unknown
89,Si! SWamP,1,0,20140921212113,20140921212113,unknown
90,Giant2,1,1,20040809084148,20040809084148,unknown
91,Bori48,1,0,20171009155610,20171009155610,unknown
92,Logograph,1,1,20060909120304,20060909120304,unknown
93,80.129.89.40,1,0,20070730180756,20070730180756,unknown
94,Volksfront von Judäa,1,0,20090421212534,20090421212534,unknown
95,85.177.84.154,1,0,20140215095157,20140215095157,unknown
96,Der wahre Jakob,1,0,20161020214716,20161020214716,unknown
97,Mijobe,1,1,20050906144154,20050906144154,unknown
98,Wasseralm,1,1,20060407090756,20060407090756,unknown
99,212.144.242.58,1,0,20070618062337,20070618062337,unknown
100,Blunt.,1,1,20090112221517,20090112221517,unknown
101,Marcus Cyron,1,1,20100502005748,20100502005748,unknown
102,85.216.17.162,1,0,20130921121418,20130921121418,unknown
103,Eulenspiegel Verlagsgruppe,1,0,20151117142930,20151117142930,unknown
104,Platte,1,1,20050806224100,20050806224100,unknown
105,217.224.205.78,1,0,20060117172838,20060117172838,unknown
106,91.13.141.92,1,0,20070418202031,20070418202031,unknown
107,Procolotor,1,1,20091108205101,20091108205101,unknown
108,EmausBot,1,1,20130401050035,20130401050035,unknown
109,79.192.111.174,1,0,20150225193615,20150225193615,unknown
110,84.190.146.36,1,0,20050722140304,20050722140304,unknown
111,2A02:810D:923F:FABE:F5B1:619E:763E:2190,1,0,20181016224228,20181016224228,unknown
112,Jed,1,1,20051223072943,20051223072943,unknown
113,Johann1966,1,1,20070217094634,20070217094634,unknown
114,77.128.107.148,1,0,20080605193927,20080605193927,unknown
115,RoBri,1,1,20130107134557,20130107134557,unknown
116,Dietrich,1,0,20150204083124,20150204083124,unknown
117,82.83.135.185,1,0,20040909143411,20040909143411,unknown
118,InternetArchiveBot,1,0,20180325130610,20180325130610,unknown
119,84.153.126.94,1,0,20051113180238,20051113180238,unknown
120,84.184.236.36,1,0,20071115203252,20071115203252,unknown
121,212.89.208.80,1,0,20120526170437,20120526170437,unknown
122,79.211.102.245,1,0,20140326165822,20140326165822,unknown
123,SFfmL,1,0,20170429092332,20170429092332,unknown
124,Kksen,1,1,20060427144047,20060427144047,unknown
125,Emmridet,1,1,20090327221624,20090327221624,unknown
126,Luckas-bot,1,1,20110421080728,20110421080728,unknown
127,Str1977,1,0,20131106150727,20131106150727,unknown
128,132.195.72.40,1,0,20030710070850,20030710070850,unknown
129,188.195.156.32,1,0,20160412104844,20160412104844,unknown
130,St.Krekeler,1,0,20050826220944,20050826220944,unknown
131,Miroslawa,1,0,20060405212545,20060405212545,unknown
132,Jonathan Groß,1,1,20070529212246,20070529212246,unknown
133,House1630,1,0,20100209132834,20100209132834,unknown
134,87.189.82.125,1,0,20130822162146,20130822162146,unknown
135,PsY.cHo,1,1,20150912131426,20150912131426,unknown
136,80.136.11.17,1,0,20050801182606,20050801182606,unknown
137,84.140.119.240,1,0,20070326024541,20070326024541,unknown
138,Hans Koberger,1,1,20081205144314,20081205144314,unknown
139,77.128.20.231,1,0,20091022204432,20091022204432,unknown
140,MorbZ-Bot,1,1,20130302060436,20130302060436,unknown
141,Olaf Kosinsky,1,1,20150212180401,20150212180401,unknown
142,Guidod,1,1,20050610045529,20050610045529,unknown
143,2.247.251.218,1,0,20180826062511,20180826062511,unknown
144,84.153.72.169,1,0,20051210163236,20051210163236,unknown
145,84.168.239.34,1,0,20070120171344,20070120171344,unknown
146,Florian.Keßler,1,1,20090706234123,20090706234123,unknown
147,Xacyllum,1,1,20141012165355,20141012165355,unknown
148,Rmcharb,1,0,20171024213005,20171024213005,unknown
149,Buschkinn,1,1,20070826111744,20070826111744,unknown
150,DrFO.Tn.Bot,1,1,20090425193251,20090425193251,unknown
151,Siwibegewp,1,0,20161102014149,20161102014149,unknown
152,Lecartia,1,1,20050911194230,20050911194230,unknown
153,87.78.92.134,1,0,20070619020033,20070619020033,unknown
154,Definitiv,1,0,20090126121743,20090126121743,unknown
155,Felix König,1,1,20100627092849,20100627092849,unknown
156,DerHexer,1,0,20130927114329,20130927114329,unknown
157,44Pinguine,1,0,20160105133850,20160105133850,unknown
158,Ehrhardt,1,0,20050812114801,20050812114801,unknown
159,Dead man’s hand,1,0,20060117172917,20060117172917,unknown
160,82.113.106.82,1,0,20091113212225,20091113212225,unknown
161,Miltrak,1,0,20130529165924,20130529165924,unknown
162,46.243.81.209,1,0,20150321155106,20150321155106,unknown
163,130.133.229.138,1,0,20050730150954,20050730150954,unknown
164,2003:DD:173D:66A7:7058:C0AD:6A0C:A117,1,0,20190129231254,20190129231254,unknown
165,Bdk,1,1,20070217101153,20070217101153,unknown
166,77.12.14.34,1,0,20130204200146,20130204200146,unknown
167,Stefan Kühn,1,1,20041002213440,20041002213440,unknown
168,193.17.243.3,1,0,20180528132100,20180528132100,unknown
169,84.153.115.93,1,0,20051128173933,20051128173933,unknown
170,Frace,1,0,20061119182708,20061119182708,unknown
171,Alexbot,1,1,20090619104541,20090619104541,unknown
172,Holmium,1,0,20140326170001,20140326170001,unknown
