,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,TMFS,19,5,20050916090118,20070731113522,unknown
1,Feliks,18,0,20070730101942,20070731111124,unknown
2,Marco Keller,10,3,20130801123022,20130903091547,unknown
3,Meier99,7,7,20140325193321,20140326121258,unknown
4,Hardenacke,7,7,20081015143808,20140201192234,unknown
5,Andy king50,6,1,20180105175131,20180105181531,unknown
6,195.238.139.98,6,0,20070422112730,20070422153216,unknown
7,Aka,5,5,20050707164704,20171230192735,unknown
8,87.189.165.202,5,0,20180105180624,20180105181155,unknown
9,Knollebuur,5,3,20131219050013,20140310013654,unknown
10,195.238.138.139,4,0,20070421125943,20070421223334,unknown
11,Logograph,4,2,20180105174731,20180105181115,unknown
12,91.52.142.14,4,0,20130904164441,20130904164923,unknown
13,Blaufisch,4,4,20080308172053,20080308172347,unknown
14,Ngowatchtransparent,4,0,20090727133128,20101113102330,unknown
15,Plehn,4,0,20070305143509,20070421161821,unknown
16,Alstersegler,4,0,20180105174958,20180105175603,unknown
17,Malabon,3,3,20120312195946,20180105213140,unknown
18,Rabanusmaurus,3,0,20180106093507,20180106093832,unknown
19,212.7.131.33,3,0,20040415073012,20040415073123,unknown
20,2003:DE:706:BE94:18BF:C98F:4E67:617C,3,0,20180105180147,20180106085543,unknown
21,Wossen,3,2,20081207230233,20081207230616,unknown
22,Pelz,3,2,20070826211659,20111220205229,unknown
23,Suirenn,3,2,20081102111043,20090930061117,unknown
24,79.229.84.112,3,0,20180624140458,20180624162604,unknown
25,Boshomi,3,1,20150130213415,20160603193413,unknown
26,Rmcharb,3,1,20160213214610,20180105184946,unknown
27,TennisOpa,3,0,20180106152327,20180106153836,unknown
28,MAY,3,0,20111219173931,20140808134340,unknown
29,Andropov,2,0,20171118111513,20171118112555,unknown
30,Itti,2,2,20080128185616,20180624162611,unknown
31,195.238.136.144,2,0,20070420151501,20070420211742,unknown
32,213.23.4.74,2,0,20060727133124,20060727145649,unknown
33,Silvicola,2,1,20120110104250,20180204114750,unknown
34,Str1977,2,0,20131227164422,20131227164755,unknown
35,Dr. Ulonska,2,0,20081022234736,20081022235212,unknown
36,David Wintzer,2,2,20040806150730,20040806151212,unknown
37,Docmo,2,0,20110128084916,20110128091501,unknown
38,95.112.55.17,2,0,20130906182706,20130906182851,unknown
39,Alfred Kiefer,2,2,20180106053907,20180106054735,unknown
40,Dlonra,2,1,20081026190943,20091027131724,unknown
41,Zwobot,2,2,20050504220128,20061001143705,unknown
42,Temistokles,2,0,20040806152417,20040806152715,unknown
43,Stijn Calle,2,2,20051229112327,20051229112350,unknown
44,Ca$e,2,2,20111026172726,20111026172741,unknown
45,Jón,2,0,20080927165505,20090526180351,unknown
46,82.83.197.184,2,0,20090120142622,20090120142705,unknown
47,Drexau,2,0,20180105175133,20180105175215,unknown
48,FloSch,2,2,20061001132528,20061001132555,unknown
49,Definitiv,2,2,20090226135957,20111210143604,unknown
50,Seewolf,2,2,20070422153302,20101017104646,unknown
51,Osika,2,2,20110307001002,20110307001018,unknown
52,Zen und die Kunst,2,0,20131017104027,20131017140232,unknown
53,139.30.18.16,1,0,20060812174204,20060812174204,unknown
54,Asthma,1,1,20080409185354,20080409185354,unknown
55,195.243.248.75,1,0,20091016082248,20091016082248,unknown
56,Woches,1,0,20130702110844,20130702110844,unknown
57,Longinus Müller,1,0,20180307125232,20180307125232,unknown
58,MichaelDiederich,1,0,20040806145906,20040806145906,unknown
59,80.143.221.177,1,0,20060326155913,20060326155913,unknown
60,Zollernalb,1,1,20090528105851,20090528105851,unknown
61,Luke081515Bot,1,0,20150604162440,20150604162440,unknown
62,Scooter,1,1,20051205121745,20051205121745,unknown
63,79.195.42.104,1,0,20090217152321,20090217152321,unknown
64,Geierkrächz,1,1,20110504122834,20110504122834,unknown
65,79.250.127.70,1,0,20140205150824,20140205150824,unknown
66,Þetta reddast,1,0,20180105200959,20180105200959,unknown
67,88.75.2.167,1,0,20081102110615,20081102110615,unknown
68,Silewe,1,1,20101216202452,20101216202452,unknown
69,Dmicha,1,1,20131111144339,20131111144339,unknown
70,Kusma,1,1,20061205224347,20061205224347,unknown
71,Fu-Lank,1,1,20080727075739,20080727075739,unknown
72,Succu,1,1,20091217164001,20091217164001,unknown
73,Gustav von Aschenbach,1,1,20130904165414,20130904165414,unknown
74,2A02:8109:AD3F:DFA8:B1CE:5C14:B65E:A1B7,1,0,20180105174643,20180105174643,unknown
75,Atamari,1,0,20180602162433,20180602162433,unknown
76,Dingo,1,0,20041207195830,20041207195830,unknown
77,Don Magnifico,1,0,20080312120619,20080312120619,unknown
78,79.200.163.176,1,0,20090930010327,20090930010327,unknown
79,Tobias1983,1,1,20121102132050,20121102132050,unknown
80,Toni Müller,1,0,20161110160210,20161110160210,unknown
81,217.249.101.21,1,0,20180118224208,20180118224208,unknown
82,Hafenbar,1,1,20040426010859,20040426010859,unknown
83,84.112.30.36,1,0,20060129151045,20060129151045,unknown
84,84.146.110.188,1,0,20071024145414,20071024145414,unknown
85,Bouquineur,1,0,20090402130615,20090402130615,unknown
86,CactusBot,1,1,20150106185523,20150106185523,unknown
87,93.231.77.103,1,0,20180106040006,20180106040006,unknown
88,Carolus.Abraxas,1,0,20070702162207,20070702162207,unknown
89,GrandpaScott,1,0,20110324092415,20110324092415,unknown
90,2003:E4:ABDE:4085:4A8:79AE:D98A:26D8,1,0,20180105182529,20180105182529,unknown
91,Theodi,1,0,20051020155459,20051020155459,unknown
92,217.119.39.123,1,0,20070405054447,20070405054447,unknown
93,Stepro,1,1,20100412035000,20100412035000,unknown
94,BlackSophie,1,1,20131111011639,20131111011639,unknown
95,89.204.154.15,1,0,20180105175007,20180105175007,unknown
96,Ra'ike,1,1,20180624175508,20180624175508,unknown
97,Enslin,1,0,20050126200745,20050126200745,unknown
98,Sven-steffen arndt,1,0,20060815222916,20060815222916,unknown
99,Section6,1,0,20080419045720,20080419045720,unknown
100,Sir James,1,0,20091018214912,20091018214912,unknown
101,188.110.63.116,1,0,20171223232617,20171223232617,unknown
102,80.187.101.55,1,0,20180329134058,20180329134058,unknown
103,Christoph Wagener,1,1,20060424070411,20060424070411,unknown
104,Kriegslüsterner,1,0,20080130205744,20080130205744,unknown
105,Th1979,1,0,20090608145748,20090608145748,unknown
106,BurghardRichter,1,0,20120414195054,20120414195054,unknown
107,109.192.195.66,1,0,20150930103017,20150930103017,unknown
108,Qaswa,1,0,20180106095025,20180106095025,unknown
109,217.94.153.43,1,0,20040415073859,20040415073859,unknown
110,Stechlin,1,0,20051209155331,20051209155331,unknown
111,Quedel,1,1,20090217153411,20090217153411,unknown
112,Klare Kante,1,1,20110515143520,20110515143520,unknown
113,74.56.205.205,1,0,20180105224557,20180105224557,unknown
114,Felix König,1,1,20131111165809,20131111165809,unknown
115,62.143.83.157,1,0,20070106173051,20070106173051,unknown
116,Klausmach,1,1,20080919081914,20080919081914,unknown
117,Intimidator,1,0,20100108165856,20100108165856,unknown
118,141.20.123.158,1,0,20041228094740,20041228094740,unknown
119,Staro1,1,1,20060728211457,20060728211457,unknown
120,Jkü,1,1,20080323103613,20080323103613,unknown
121,Earnest B,1,0,20091003165048,20091003165048,unknown
122,MachtaUnix,1,0,20130112024116,20130112024116,unknown
123,134.2.251.7,1,0,20171111133254,20171111133254,unknown
124,Sitacuisses,1,1,20180118224339,20180118224339,unknown
125,Ben gb,1,0,20040712164015,20040712164015,unknown
126,Fifat,1,1,20060205150629,20060205150629,unknown
127,Zenodotos,1,0,20080112133406,20080112133406,unknown
128,91.65.198.36,1,0,20090417125954,20090417125954,unknown
129,Scialfa,1,1,20120114002948,20120114002948,unknown
130,80.139.234.169,1,0,20070706143654,20070706143654,unknown
131,GT1976,1,0,20081223081318,20081223081318,unknown
132,93.213.48.247,1,0,20110427121521,20110427121521,unknown
133,ManfredMann,1,0,20140129203604,20140129203604,unknown
134,Karim,1,1,20180105182956,20180105182956,unknown
135,84.161.120.146,1,0,20051109163923,20051109163923,unknown
136,195.238.139.152,1,0,20070413173219,20070413173219,unknown
137,91.36.252.217,1,0,20100909160951,20100909160951,unknown
138,Ennimate,1,0,20131111060110,20131111060110,unknown
139,Judit Franke,1,0,20181016113321,20181016113321,unknown
140,FordPrefect42,1,1,20060911181604,20060911181604,unknown
141,89.53.81.3,1,0,20080515173302,20080515173302,unknown
142,Radschläger,1,1,20091023192435,20091023192435,unknown
143,Zulu55,1,0,20130819072156,20130819072156,unknown
144,Beudke,1,0,20171230172609,20171230172609,unknown
145,Georg Hügler,1,0,20180422174954,20180422174954,unknown
146,84.57.80.47,1,0,20060525105738,20060525105738,unknown
147,Finxtox,1,0,20080226200712,20080226200712,unknown
148,Loveless,1,1,20090711184127,20090711184127,unknown
149,193.158.227.62,1,0,20120823132550,20120823132550,unknown
150,2003:5B:4430:1572:480E:7FB0:CA74:EBCD,1,0,20160213214213,20160213214213,unknown
151,Sprachpfleger,1,0,20180106143933,20180106143933,unknown
152,212.7.132.40,1,0,20040415100415,20040415100415,unknown
153,172.178.0.241,1,0,20070919101202,20070919101202,unknown
154,Je regrette,1,0,20090221152744,20090221152744,unknown
155,Zipfelheiner,1,1,20140515061011,20140515061011,unknown
