,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Mr.Helfer,89,30,20110517234727,20110524195723,unknown
1,Lektor w,64,9,20180526083013,20180706052646,unknown
2,Miltrak,31,0,20110919104405,20140727094305,unknown
3,Andol,26,6,20120309191610,20140831204619,unknown
4,Yoda1893,19,4,20110405141644,20131217130555,unknown
5,Mogelzahn,19,6,20091202204001,20140121162651,unknown
6,Qualiabavariae,18,1,20120806125610,20140731143744,unknown
7,Rudolfox,18,1,20090108135346,20110604102759,unknown
8,Pittimann,17,16,20100511071444,20170515102043,unknown
9,J. Patrick Fischer,13,5,20100420141827,20130922182549,unknown
10,Ifindit,12,3,20110603182802,20121228235104,unknown
11,Aka,11,11,20100823110102,20171205170421,unknown
12,Codc,10,8,20110403163621,20140422201640,unknown
13,Bigb0x,10,0,20110403170942,20110413161107,unknown
14,Reinold M3i3r,10,10,20170216102050,20170216104237,unknown
15,Komischn,10,10,20110405152051,20181030160134,unknown
16,Wangen,9,5,20110904171111,20130524130223,unknown
17,Benatrevqre,9,5,20110522142425,20180319163910,unknown
18,Michelhausen,8,0,20120201111324,20120623202817,unknown
19,Times,8,3,20091023220908,20110406063951,unknown
20,Enemenemu,8,1,20100822204339,20110404232648,unknown
21,Politics,8,2,20091023204111,20100706214217,unknown
22,FachKonto,8,0,20111006150201,20111006151343,unknown
23,Aflis,7,2,20110720164213,20110815225331,unknown
24,EH⁴²,7,1,20101222180734,20130311174055,unknown
25,ToddyB,7,6,20090112104139,20090304014519,unknown
26,Happolati,6,3,20091025090022,20091106110236,unknown
27,Spuk968,6,6,20110510214105,20130522123032,unknown
28,RudolfSimon,6,3,20120427195529,20131221152920,unknown
29,Alnilam,6,6,20130524154859,20150810093236,unknown
30,Ot,6,6,20091023155942,20140217070027,unknown
31,Sunniva,5,2,20090306222602,20091116213239,unknown
32,Logograph,5,4,20090218082628,20131217120927,unknown
33,Paddy2674,5,5,20130120152800,20130122012230,unknown
34,Pelz,5,4,20090630210514,20140121184111,unknown
35,Hæggis,5,4,20110407152608,20110608210257,unknown
36,HeBB,5,0,20100320124231,20110819172429,unknown
37,Pfieffer Latsch,5,2,20110312195424,20110918174339,unknown
38,Untitled0,5,1,20091024120440,20091024124040,unknown
39,Danielofking,5,0,20140831182607,20140831183036,unknown
40,Inkowik,4,4,20101007133024,20121220190342,unknown
41,Toter Alter Mann,4,4,20091123102021,20110406121527,unknown
42,Altaripensis,4,0,20131207193416,20131207194859,unknown
43,Luckas-bot,4,4,20091108022108,20110809165427,unknown
44,Hans Dunkelberg,4,4,20091230122455,20101011172306,unknown
45,Sparklex,4,3,20091112120425,20091112120622,unknown
46,=,4,0,20130522095806,20141225194911,unknown
47,DerHexer,4,4,20110404103013,20131030101502,unknown
48,Rapober,4,4,20090218152657,20110512092804,unknown
49,Str1977,4,0,20150207080954,20150207081752,unknown
50,Engie,4,4,20100213144233,20111006151544,unknown
51,Luke081515Bot,4,0,20161103214644,20161211232001,unknown
52,Sokkok,4,0,20131222232927,20171108225019,unknown
53,84.130.182.3,4,0,20070815090336,20070815091607,unknown
54,Joyborg,4,2,20110403224759,20110406074135,unknown
55,Neun-x,4,0,20110407093532,20171109080810,unknown
56,Ls1g,4,0,20110814174731,20110815224323,unknown
57,KastusK,3,0,20130923154924,20131221091424,unknown
58,Howwi,3,2,20090509144852,20121206072820,unknown
59,Invisigoth67,3,3,20110923115236,20151209160129,unknown
60,84.179.229.126,3,0,20130823094031,20130823094538,unknown
61,Familie Mild,3,0,20110405211814,20110407181303,unknown
62,ManfredFX,3,0,20131227120932,20180717104012,unknown
63,Sir James,3,3,20091024074752,20110408095813,unknown
64,79.218.26.180,3,0,20151209160019,20151209160119,unknown
65,S3r0,3,2,20100826104950,20110403183027,unknown
66,Eike sauer,3,2,20100619231530,20110513100818,unknown
67,Berlinschneid,3,1,20071201215928,20080425132244,unknown
68,109.90.194.57,3,0,20131207150140,20131207150624,unknown
69,141.84.246.1,3,0,20091023154912,20091023155135,unknown
70,JustaSecond,3,0,20110404172454,20110404172956,unknown
71,Ijbond,3,1,20110406072712,20130311121253,unknown
72,200.206.189.229,3,0,20070503081525,20070503213527,unknown
73,Askalan,3,2,20110405130439,20110405145947,unknown
74,Armin P.,3,3,20091201215147,20100706220222,unknown
75,Tobias1983,3,2,20100521003754,20110303171701,unknown
76,Casra,3,2,20101001001124,20101225041944,unknown
77,Alkim Y,3,1,20130923070619,20130923072910,unknown
78,Ftan,3,2,20130419163314,20130419165648,unknown
79,77.22.96.43,3,0,20110520153255,20110524194531,unknown
80,Zemenespuu,3,2,20091106104700,20091106112331,unknown
81,Phi,3,1,20130121185313,20130926200214,unknown
82,Bormaschine,3,1,20110405231057,20110406010009,unknown
83,Peter200,3,3,20091103074724,20130819103137,unknown
84,Funkruf,3,0,20130923120313,20130923121430,unknown
85,InternetArchiveBot,3,0,20180325163608,20190309005815,unknown
86,85.176.72.106,3,0,20051227095326,20051227095422,unknown
87,91.4.142.119,3,0,20090218082407,20090218082558,unknown
88,Docmo,3,2,20110406132924,20110406133009,unknown
89,EBB,3,3,20110518111531,20110519102305,unknown
90,Concept1,3,3,20090618171520,20090619140719,unknown
91,78.94.239.105,3,0,20120326103001,20120326103207,unknown
92,Zaphiro,3,3,20091023221329,20091106110040,unknown
93,Olaf Kosinsky,3,1,20160501153015,20180120134757,unknown
94,Horst Gräbner,3,3,20130617092012,20131207151551,unknown
95,Cleverboy,2,2,20080127181320,20080127231039,unknown
96,Felistoria,2,2,20110404232736,20110405125326,unknown
97,91.64.14.95,2,0,20091024121219,20091024121251,unknown
98,92.72.155.255,2,0,20091130072144,20091130072209,unknown
99,Bötsy,2,2,20071201181518,20071201181609,unknown
100,Cirdan,2,1,20130922175627,20130923084131,unknown
101,Vorrauslöscher,2,2,20110525163346,20140212162627,unknown
102,Johnny T,2,2,20091028132254,20091028150745,unknown
103,Alle Gorie,2,0,20171109035530,20171109035720,unknown
104,Hardenacke,2,2,20110223135910,20131030102016,unknown
105,Sascha-Wagner,2,2,20101225142342,20101225142630,unknown
106,145.253.223.178,2,0,20080505133751,20081229140636,unknown
107,Saila456,2,0,20110405145123,20110405200631,unknown
108,Kaisersoft,2,2,20091029221855,20120507203634,unknown
109,Der Messer,2,2,20120326103040,20120326103214,unknown
110,Lena1,2,0,20121127170459,20121128100645,unknown
111,84.73.140.49,2,0,20091029092242,20091029092337,unknown
112,Shoshone,2,2,20110522133554,20110522171710,unknown
113,Oliver S.Y.,2,0,20091026150355,20091029103933,unknown
114,Südstädter,2,2,20100319100009,20100319100027,unknown
115,Stefanbw,2,0,20130221200123,20130221200228,unknown
116,Toerbchen,2,0,20090217153419,20091110132904,unknown
117,Regi51,2,2,20120510180028,20170515102219,unknown
118,Rodina,2,0,20090105225213,20090112222634,unknown
119,Mazbln,2,1,20091102112244,20091119191848,unknown
120,Giftmischer,2,2,20111023074234,20111229150721,unknown
121,89.182.20.18,2,0,20061213190009,20061213190109,unknown
122,Marco2804,2,0,20130923220255,20130923221111,unknown
123,Knase,2,0,20090527145334,20100215085348,unknown
124,Max Dax,2,0,20110412141021,20110412150452,unknown
125,Jivee Blau,2,2,20120324213107,20160325150955,unknown
126,62.12.144.142,2,0,20111006082959,20111006083022,unknown
127,AHZ,2,2,20050505180851,20050505181128,unknown
128,89.245.11.91,2,0,20091106104316,20091106105946,unknown
129,87.139.57.172,2,0,20091103074718,20091103074735,unknown
130,Vollekanne45,2,0,20120507194729,20120508173556,unknown
131,80.138.219.205,2,0,20101230123852,20101230123926,unknown
132,Devar~dewiki,2,1,20130928131545,20130928132130,unknown
133,Mick149,2,2,20120326210237,20120327164837,unknown
134,93.202.46.147,2,0,20121206072810,20121206072928,unknown
135,PenumbraLpz,2,2,20120904172728,20120911122520,unknown
136,Brodkey65,2,2,20090301124440,20100706215638,unknown
137,Boshomi,2,1,20150530213906,20161103220905,unknown
138,Doenermoelp,2,0,20091025125842,20091025130020,unknown
139,TobeBot,2,2,20091024165824,20091025135247,unknown
140,Martin1978,2,2,20110815210048,20110922220757,unknown
141,94.222.150.223,2,0,20100119161032,20100119162851,unknown
142,Steinsplitter,2,0,20121209101551,20130313083354,unknown
143,Marcus Cyron,2,2,20090617230556,20110515164322,unknown
144,Frau Olga,2,1,20060315215259,20060320123057,unknown
145,Uwe Gille,2,2,20091024063004,20091105135225,unknown
146,EmausBot,2,2,20120707112904,20120911223244,unknown
147,Joker.mg,2,1,20120302171924,20120302182235,unknown
