,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,BurghardRichter,105,36,20120513181437,20190205011921,unknown
1,ElTres,90,16,20090629095729,20150219100801,unknown
2,JosFritz,85,71,20120401143352,20151111211649,unknown
3,Spearmind,66,55,20111002224444,20120211214524,unknown
4,Vanger,64,40,20090802151127,20120507082154,unknown
5,Blunt.,63,35,20090625195901,20100517122802,unknown
6,Oliver S.Y.,62,5,20090827233325,20160206192904,unknown
7,DerSalamander,58,28,20110221132550,20140902005853,unknown
8,EH⁴²,55,18,20120311164318,20140916170942,unknown
9,MichaelSchoenitzer,46,12,20090119234238,20100308132247,unknown
10,In dubio pro dubio,41,35,20110520224113,20120511003156,unknown
11,Nicolai P.,35,8,20090929120549,20181105210716,unknown
12,CIF222,35,34,20110925121316,20120701231607,unknown
13,Dandelo,34,14,20100108185539,20180925071416,unknown
14,Anomalie01,32,12,20090910022022,20110520225117,unknown
15,Verzettelung,31,20,20120711212220,20180316174538,unknown
16,Eishöhle,30,18,20140312155553,20140922125932,unknown
17,Fossa,29,6,20090918012141,20090924225951,unknown
18,Falk M.,29,16,20090605094050,20090719231906,unknown
19,Betaamylase,29,7,20090503230416,20090713221943,unknown
20,Einauge-4,25,14,20061214185440,20070109121238,unknown
21,Kleiner Stampfi,24,13,20110919195004,20140615181907,unknown
22,Robert Weemeyer,23,2,20140620130911,20161005140621,unknown
23,92.226.129.223,22,0,20090722233747,20090723005243,unknown
24,Krinzl,21,4,20090726213702,20120507050428,unknown
25,DE1588,20,2,20140122164326,20160221163144,unknown
26,Sig11,20,15,20090910084333,20101201171412,unknown
27,Corradox,20,6,20130117171018,20130426145908,unknown
28,Mewulwe,20,1,20120429101305,20150726202402,unknown
29,Niggo911,18,1,20110525171322,20180910213743,unknown
30,Felix König,17,11,20111003141600,20181018234245,unknown
31,Regi51,17,17,20100907102120,20170923102800,unknown
32,Japan01,17,10,20170801105615,20190205135555,unknown
33,Zaphiro,16,12,20060911085813,20091121173745,unknown
34,62.180.161.64,15,0,20070106010753,20070106025128,unknown
35,Rtc,15,3,20090830145439,20120421145505,unknown
36,Alberto568,14,4,20130316202328,20140228123102,unknown
37,Jaellee,14,10,20090831164948,20190220181553,unknown
38,Aka,14,14,20060927200908,20190103204646,unknown
39,Nobody perfect,14,12,20090107145307,20180709144342,unknown
40,Captaingrog,14,9,20060910204434,20061218091630,unknown
41,Itschi187,14,9,20071206004921,20101020204827,unknown
42,Sk!d,14,8,20110918234621,20120501125134,unknown
43,Pixelfire,14,3,20110323203253,20110929075415,unknown
44,Martin Sell,14,0,20140906185850,20181015041555,unknown
45,Elvis untot,13,0,20061208080944,20100517122424,unknown
46,Boonekamp,13,11,20090723195704,20120610064732,unknown
47,Rosenkohl,13,4,20120402144434,20120404093131,unknown
48,Saehrimnir,13,13,20100511045241,20120430044257,unknown
49,RoBri,13,8,20170512133822,20181120163935,unknown
50,Nicor,12,0,20071207002047,20130224233323,unknown
51,94.216.93.109,12,0,20090711222807,20090727164624,unknown
52,Pittimann,12,11,20110826164405,20170515101704,unknown
53,33cln33,12,7,20150402195458,20160227210214,unknown
54,Unterstrichmoepunterstrich,12,8,20090905193015,20160604082357,unknown
55,Gonzo.Lubitsch,12,3,20111019103818,20130221142840,unknown
56,Sf67,12,5,20140420182707,20180415143535,unknown
57,Juliabackhausen,12,0,20090916153343,20100503125129,unknown
58,Altaripensis,12,0,20110416113417,20140324153525,unknown
59,Jpp,11,6,20071207095729,20080828152301,unknown
60,Denndeut,11,0,20130120232938,20130510183514,unknown
61,Trustable,11,11,20090918123827,20181207165841,unknown
62,Kalorie,11,8,20090831091134,20180616131540,unknown
63,Porphyrion,11,1,20090629021009,20091013215317,unknown
64,EmausBot,10,10,20110920012429,20130402220336,unknown
65,Bernd Bergmann,10,3,20171006182927,20190309203422,unknown
66,Tharlarion,10,4,20131211054233,20150301063458,unknown
67,Blatand,10,3,20110918225054,20120411223627,unknown
68,Alnilam,10,10,20120924141312,20170321115524,unknown
69,HubPfalz,10,3,20090707110743,20150723212915,unknown
70,PsY.cHo,10,10,20120429092321,20130617085809,unknown
71,Iiigel,10,1,20120512121818,20120513231245,unknown
72,DavidG,9,1,20091206213223,20110919132149,unknown
73,212.60.157.181,9,0,20110514205829,20111106234617,unknown
74,77.0.47.31,9,0,20090622084310,20090622092622,unknown
75,STBR,9,6,20090616071918,20091116191704,unknown
76,Tohma,9,0,20160713183556,20181106064238,unknown
77,Sitic,9,3,20120504190209,20140908182710,unknown
78,Serols,9,9,20160401070401,20180925071447,unknown
79,Tweinbrenner,9,0,20130317100744,20130318170256,unknown
80,Horst Gräbner,9,4,20120731175131,20170921090328,unknown
81,Ot,8,5,20110414043141,20161012051139,unknown
82,Edoe,8,1,20071210124331,20110221164159,unknown
83,Ronistrange,8,0,20140515131717,20140515133214,unknown
84,Mogelzahn,8,3,20110226222736,20150428124400,unknown
85,78.51.121.134,8,0,20071217004939,20071217011959,unknown
86,Jmb1982,8,5,20180613074825,20190109104926,unknown
87,Spuk968,8,5,20100525142017,20140211155732,unknown
88,Felix Stember,8,7,20090622085447,20141021152051,unknown
89,Sivizius,8,7,20130512163200,20160917195347,unknown
90,Jkbw,8,8,20090725215322,20100610194028,unknown
91,TheK,8,0,20071206020231,20090830210421,unknown
92,Achates,7,5,20061208055536,20090710200605,unknown
93,DF5GO,7,4,20120410114517,20140921110331,unknown
94,Zinnmann,7,4,20070112093333,20160114083832,unknown
95,Gabbahead.,7,7,20061214214714,20121226112620,unknown
96,Xqbot,7,7,20090831061918,20120525205944,unknown
97,W like wiki,7,2,20110919165655,20170326234800,unknown
98,212.65.1.102,7,0,20110512061826,20130307115041,unknown
99,Harry8,7,2,20110221103558,20130106151147,unknown
100,Karsten11,6,0,20090117202807,20111110105515,unknown
101,Piratenreste,6,1,20160314134854,20160926161811,unknown
102,WAH,6,3,20090723192456,20121123221106,unknown
103,Wesener,6,3,20090422070253,20090717172331,unknown
104,Ninety Mile Beach,6,1,20090902220415,20091020173739,unknown
105,Ollo,6,2,20060910201116,20070107112807,unknown
106,188.174.112.35,6,0,20110306094434,20110306221422,unknown
107,Oldnag85,6,3,20100510220826,20160901181155,unknown
108,Morten Haan,6,3,20100608122707,20130523215722,unknown
109,Chjb,6,3,20110415081321,20130515065313,unknown
110,Seewolf,6,6,20090112114252,20181107053943,unknown
111,Aschmidt,6,0,20090830142056,20120515142257,unknown
112,Schwijker,6,6,20090529081034,20090805192419,unknown
113,Itti,6,6,20130124115308,20180504153257,unknown
114,Gunilla,6,3,20120331153226,20120401181335,unknown
115,Wetterwolke,6,4,20140707222005,20180318141411,unknown
116,Jivee Blau,6,4,20091028213009,20171007011259,unknown
117,Solphusion,6,1,20090913211915,20090913215005,unknown
118,Boshomi,6,1,20121027204706,20161130194927,unknown
119,132.187.3.26,6,0,20081018141001,20090703204443,unknown
120,Neun-x,6,2,20120514103118,20120827065653,unknown
121,Mywikipedian,6,5,20170826084606,20180821112803,unknown
122,Cú Faoil,5,5,20101216010340,20130202162927,unknown
123,GT-Edu,5,0,20121123110725,20121123113207,unknown
124,Gut informiert,5,4,20120301162912,20120328094241,unknown
125,Micha2564,5,1,20060910233533,20110918223910,unknown
126,Die Winterreise,5,1,20090622153740,20090827215238,unknown
127,Agathenon,5,3,20090118165026,20130901174429,unknown
128,93.104.191.227,5,0,20110304194158,20110304201245,unknown
129,Lektor w,5,0,20181111022807,20181111025420,unknown
130,Geitost,5,3,20090724200320,20130427235426,unknown
131,Lorielle,5,2,20110918174210,20120101124713,unknown
132,Sbeyer,5,1,20090704203839,20110627225051,unknown
133,Pere Ubu,5,4,20080918074744,20100105123817,unknown
134,188.98.211.41,5,0,20090701205332,20090705110520,unknown
135,Francis McLloyd,5,2,20120506171422,20120513170838,unknown
136,37.201.134.130,5,0,20180925071305,20180927061113,unknown
137,Pwagenblast,5,5,20121009220634,20121009221145,unknown
138,Jón,5,4,20090622174322,20120214152252,unknown
139,80.137.209.61,5,0,20061214231302,20061214232623,unknown
140,Sebastian Muders,5,5,20160112134414,20160206131909,unknown
141,Zuviele Interessen,5,0,20101214174504,20130514140543,unknown
142,Alexbot,5,5,20090609203318,20090903211335,unknown
143,StudentG,5,2,20090902095201,20130919172627,unknown
