,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,JosFritz,199,124,20110915171328,20160905182257,unknown
1,Elektrofisch,162,9,20110919192245,20170209203140,unknown
2,Agathenon,131,55,20100419154123,20150725070445,unknown
3,Zaphiro,125,124,20100326110707,20100910223452,unknown
4,Alkim Y,96,23,20101011185602,20130804222209,unknown
5,EH⁴²,70,41,20100808235453,20130829145913,unknown
6,Toter Alter Mann,58,48,20100325171402,20130418114012,unknown
7,Niedergrund,54,27,20110914201351,20120904211940,unknown
8,Flavia67,36,20,20100916002101,20160906143638,unknown
9,In dubio pro dubio,29,28,20101024155026,20120204204923,unknown
10,Mrdaemon,19,4,20110403193853,20190303200808,unknown
11,88.74.34.129,18,0,20100620144715,20100620162157,unknown
12,JD,18,9,20101024165402,20190301094617,unknown
13,FDMS4,17,7,20131210195155,20140215162631,unknown
14,Antemister,16,0,20100811173528,20140201211324,unknown
15,Braveheart,16,6,20100622212520,20170208104441,unknown
16,Bennsenson,15,0,20100326125756,20110929164839,unknown
17,Seewolf,14,12,20100418123857,20190202043624,unknown
18,Yikrazuul,13,2,20101024163003,20110723102914,unknown
19,SBC Guy,13,0,20160830093025,20161018083045,unknown
20,Aka,13,13,20110920164642,20180705084443,unknown
21,Seelefant,10,5,20100809114619,20110723082457,unknown
22,Hæggis,9,5,20100507122810,20100620162548,unknown
23,And the general sat and the lines on the map moved from side to side,9,0,20190107193401,20190303203325,unknown
24,88.72.244.211,9,0,20110727061001,20110727092748,unknown
25,JenniferHailey,8,0,20100325162125,20100325171641,unknown
26,Der Unbestechliche,8,7,20121119131751,20121214210156,unknown
27,Fiona B.,8,1,20121121111507,20130414154106,unknown
28,KastusK,8,0,20120701172358,20170617154622,unknown
29,Lustiger seth,8,1,20100325215133,20190303234247,unknown
30,Feliks,8,0,20130607123233,20180704091252,unknown
31,Holiday,8,2,20110915185716,20121130142221,unknown
32,Poxviridae,8,0,20100326105628,20100326111227,unknown
33,Danielkr,8,7,20130305224155,20131216123032,unknown
34,77.190.80.154,7,0,20180704154448,20180704160433,unknown
35,Sänger,7,4,20170305173215,20180921103835,unknown
36,Lutheraner,7,3,20110218155859,20170412150141,unknown
37,Kängurutatze,7,1,20131211134701,20170213085207,unknown
38,Janusz Lech Polanski,7,0,20170208104305,20170209194241,unknown
39,Wiggum,6,5,20110409115124,20111206095544,unknown
40,Alleswirdbesser,6,2,20120317174107,20120317175527,unknown
41,Varnhagen12,6,0,20130210185257,20170812210032,unknown
42,Ulitz,6,5,20120829083229,20150821182612,unknown
43,Horst Gräbner,6,6,20141109141924,20180501090732,unknown
44,Gustav von Aschenbach,6,3,20100326140154,20180920220744,unknown
45,88.72.208.225,5,0,20100910220239,20100910221431,unknown
46,Boshomi,5,0,20121021212419,20150604154444,unknown
47,RoBri,5,5,20161209223027,20180412163446,unknown
48,Hungchaka,5,1,20140201175740,20140204063013,unknown
49,Miacek (usurped),5,2,20100811200242,20130609105434,unknown
50,81.14.207.164,5,0,20170316100001,20170316100422,unknown
51,Abendstunde,5,0,20100415042639,20100510134554,unknown
52,88.74.59.95,5,0,20110606205600,20110606212901,unknown
53,Chaunzaggoroth,5,1,20101024160242,20110601174755,unknown
54,Stefan Bellini,5,2,20121207214126,20130413044428,unknown
55,Chricho,4,1,20130719135257,20140508140629,unknown
56,Martin1978,4,2,20101013063408,20120717085034,unknown
57,Über-Blick,4,0,20121212005424,20121220045919,unknown
58,Bimaterist,4,2,20120829074809,20121130221206,unknown
59,88.72.219.12,4,0,20100622212305,20100622213058,unknown
60,Luke081515Bot,4,0,20150604144950,20161126192050,unknown
61,88.215.114.180,4,0,20101212023605,20110124205158,unknown
62,88.74.40.223,4,0,20110605110804,20110605111406,unknown
63,Stefan64,4,3,20100326132425,20100326142315,unknown
64,Giftmischer,4,4,20110624135319,20131017134339,unknown
65,Dynamit-Harry,4,1,20121206120243,20121206181344,unknown
66,Ot,4,3,20100611042103,20150115055648,unknown
67,R1C0L4,4,0,20100705070946,20100705115516,unknown
68,NonScolae,3,0,20101226160552,20110413190339,unknown
69,84.59.66.48,3,0,20110305191936,20110306090211,unknown
70,Perfect Tommy,3,0,20130825145715,20130829192826,unknown
71,Badener,3,1,20111012191929,20120126160917,unknown
72,Gonzo.Lubitsch,3,0,20150201201415,20150809161631,unknown
73,Sol1,3,3,20160510140518,20160510144528,unknown
74,Fiori musicali,3,0,20120918083046,20120918083315,unknown
75,Anaximenes,3,2,20110312034443,20121031085652,unknown
76,Robert Weemeyer,3,0,20130516075148,20130522112938,unknown
77,Reinhard Wenig,3,1,20100821153849,20100829151652,unknown
78,Casra,3,2,20101013112444,20160311210142,unknown
79,Stefanbw,3,0,20130831125637,20130831130749,unknown
80,Hs-berlin,3,0,20150223142545,20180518180508,unknown
81,Stik~dewiki,3,0,20100907104616,20100907120734,unknown
82,Bunnyfrosch,3,0,20100705174728,20100811173328,unknown
83,Mullerkingdom,3,0,20101008221522,20101008234931,unknown
84,Regi51,3,3,20100620161905,20171120212450,unknown
