,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Herr Andrax,146,42,20050224084556,20070321185920,unknown
1,Nick1964,87,25,20051115023237,20071113105105,unknown
2,GS,68,7,20060128185342,20090819170644,unknown
3,König Rhampsinitos,52,0,20070107152335,20070405122742,unknown
4,Nerd,47,36,20030105080056,20070225132733,unknown
5,Skriptor,41,19,20040828085015,20050715094448,unknown
6,Sargoth,41,17,20061006100111,20170721191620,unknown
7,Barb,37,22,20050630154147,20060919172933,unknown
8,Braveheart,34,14,20060616111401,20181203100801,unknown
9,Fossa,34,3,20060728212204,20090226162308,unknown
10,Treeskeep,28,15,20070226120610,20070301103033,unknown
11,Tsui,28,7,20051213212221,20140120215742,unknown
12,Rafl,24,4,20050117200210,20060127152506,unknown
13,Anti.,23,8,20100621205954,20180711210529,unknown
14,Toter Alter Mann,19,18,20100617141414,20161215070318,unknown
15,Thorbjoern,18,4,20050104151157,20070102120318,unknown
16,Robert Huber,16,4,20060105183446,20060828161526,unknown
17,TobiasKlaus,16,4,20070228104713,20090522205739,unknown
18,Schwarze Feder,16,2,20051020111623,20140203023428,unknown
19,Anorak,15,0,20060107093047,20060919145355,unknown
20,Katharina,14,10,20030616203117,20041011193153,unknown
21,Reincke,14,7,20040210181943,20051102174243,unknown
22,193.29.247.20,13,0,20040209203902,20050817141414,unknown
23,Nexudos,12,9,20170716131128,20170806014232,unknown
24,137.248.1.11,12,0,20070130115539,20070221153803,unknown
25,Atomiccocktail,11,4,20070221192110,20070221211436,unknown
26,Eintragung ins Nichts,10,1,20071106124905,20090228133445,unknown
27,Mautpreller,10,0,20070226141605,20070301130439,unknown
28,Aka,9,9,20060923144830,20181231130428,unknown
29,87.151.250.14,9,0,20140825151518,20140826143234,unknown
30,SanFran Farmer,9,3,20101226230526,20130304180602,unknown
31,84.174.53.211,8,0,20070221132258,20070221133925,unknown
32,ParaDox,8,8,20060729172723,20060925144107,unknown
33,Neun-x,8,1,20130219072513,20180504103514,unknown
34,Jaleks,7,4,20170518124931,20170721191723,unknown
35,195.49.47.166,7,0,20061205113733,20061205120125,unknown
36,85.177.179.36,7,0,20070131082502,20070131091555,unknown
37,172.179.211.216,7,0,20041008163434,20041008170606,unknown
38,Philosoph mit dem Hammer,7,1,20070518034914,20070518065127,unknown
39,Qniemiec,6,5,20101001221739,20101001224216,unknown
40,Gail~dewiki,6,6,20030908071052,20030923201155,unknown
41,Luckas-bot,6,6,20100516131404,20120416164933,unknown
