,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,113,33,20041229224221,20180729171210,unknown
1,Hnsjrgnweis,29,1,20180116100025,20181127210149,unknown
2,Arcy,18,2,20090214222509,20100919204813,unknown
3,König Rhampsinitos,12,2,20061026205804,20061102082909,unknown
4,HuckTwain,8,3,20090429195250,20090429203115,unknown
5,Fräggel,7,2,20061101234956,20080619113923,unknown
6,82.83.20.164,7,0,20120912161057,20120912170537,unknown
7,Nerd,6,5,20030914133240,20050816102226,unknown
8,Ot,6,4,20050624040247,20101216172255,unknown
9,Gonzo Greyskull,5,2,20081227185340,20120504135720,unknown
10,M. Yasan,4,2,20060208123905,20070430135353,unknown
11,78.53.35.245,4,0,20091018093053,20091018172242,unknown
12,Gustav von Aschenbach,4,3,20080505185019,20131104112938,unknown
13,Regi51,4,4,20081204154056,20130203181907,unknown
14,Negerfreund,4,0,20071108213732,20080707171908,unknown
15,82.83.1.183,4,0,20040117214933,20040118020711,unknown
16,Turrano,4,0,20090522064045,20090707101347,unknown
17,LinkFA-Bot,4,0,20080413213620,20090302141341,unknown
18,CocuBot,4,4,20110609212603,20110623091636,unknown
19,Zwobot,4,4,20040315232046,20040820094125,unknown
20,Referenzieren statt löschen,3,0,20070305084003,20070305084131,unknown
21,JAnDbot,3,3,20080808102447,20110608110936,unknown
22,RobotQuistnix,3,3,20050830051735,20051109224358,unknown
23,EH⁴²,3,2,20130206193804,20130206194216,unknown
24,Jón,3,3,20070930155202,20071108214350,unknown
25,141.20.240.118,3,0,20060117195813,20060117195916,unknown
26,Sefo,3,1,20080622215353,20090227175246,unknown
27,Rusti,3,0,20070110134941,20070110135146,unknown
28,83.135.168.228,3,0,20070915122530,20070915123222,unknown
29,87.169.225.54,3,0,20090213194549,20090213194929,unknown
30,213.39.144.198,3,0,20060901133439,20060901135238,unknown
31,80.141.112.187,3,0,20090916072529,20090916072731,unknown
32,Perrak,3,0,20101026091449,20121121203115,unknown
33,Aka,3,3,20051118081450,20180810110614,unknown
34,EmausBot,3,3,20110619152309,20130121203106,unknown
35,82.54.247.13,2,0,20081204154019,20081204154038,unknown
36,Zaphiro,2,1,20060414170804,20060901133718,unknown
37,Don Magnifico,2,0,20080811094843,20090810224020,unknown
38,Rep~dewiki,2,1,20090613102856,20090613130704,unknown
39,.Mag,2,1,20100920102815,20100920103048,unknown
40,188.108.140.30,2,0,20120910191748,20120910191832,unknown
41,84.162.97.222,2,0,20050313172038,20050313172131,unknown
42,Gpvos,2,2,20051021144634,20051206192838,unknown
43,84.141.213.118,2,0,20081107082901,20081107082951,unknown
44,Benatrevqre,2,0,20090628141635,20090628141726,unknown
45,80.143.225.17,2,0,20050729105043,20050729105358,unknown
46,Widlotic,2,1,20120913124316,20121111102325,unknown
47,Leit,2,2,20080808155523,20080808155646,unknown
48,84.139.226.156,2,0,20061207140613,20061207140653,unknown
49,Anima,2,0,20050121214300,20050126193313,unknown
50,Luckas-bot,2,2,20120121041954,20120303110840,unknown
51,80.136.43.130,2,0,20130613121655,20130613121756,unknown
52,84.132.54.229,2,0,20080909172632,20080909172650,unknown
53,85.180.38.66,2,0,20080808151316,20080808151701,unknown
