,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,33,10,20070829200716,20150209221910,unknown
1,Katzenmeier,17,2,20071127181151,20071206111419,unknown
2,KarlV,15,7,20120718144636,20120802120816,unknown
3,Zaphiro,14,13,20070828012050,20100603164258,unknown
4,Hozro,14,12,20080809102118,20101007204249,unknown
5,In dubio pro dubio,11,11,20101111224102,20121114011824,unknown
6,A.M.,10,0,20070827195702,20070901194848,unknown
7,83.135.232.164,8,0,20071222110119,20071222111320,unknown
8,Gustav von Aschenbach,8,2,20071129120943,20090122113421,unknown
9,JensVonZobel,7,3,20070817120338,20070903145720,unknown
10,Emanuel12,7,0,20140418122143,20140418122931,unknown
11,Hartmut Banske,6,0,20070829092948,20070903155807,unknown
12,Mittagsdämon,6,0,20070827162519,20070828101423,unknown
13,Krosniczka,6,0,20080809044019,20080809103055,unknown
14,Aka,6,6,20150705125621,20180706155804,unknown
15,Ziko,6,0,20100501170127,20101019071704,unknown
16,Wiki-vr.mp,5,5,20171005122609,20171005123123,unknown
17,Oenie,5,4,20110623124601,20111119182502,unknown
18,Tohma,4,2,20140220050348,20150210053111,unknown
19,Seewolf,4,4,20071221182123,20170706101347,unknown
20,Xqbot,4,4,20090525001317,20120812141943,unknown
21,SieBot,4,4,20090601071904,20091029101351,unknown
22,80.138.122.190,3,0,20080908132215,20080908132411,unknown
23,85.180.25.211,3,0,20071008204002,20071008204335,unknown
24,83.135.168.228,3,0,20070915122001,20070915125401,unknown
25,Mungo68b,3,1,20120717104142,20120730140903,unknown
26,89.247.116.38,3,0,20100602162528,20100602162649,unknown
27,Nicthurne,3,1,20130724051903,20131006204720,unknown
28,Scisne,3,0,20141110190516,20150209203331,unknown
29,80.143.85.194,3,0,20090902084314,20090902084401,unknown
30,Kuzno,3,1,20110614100923,20110614101356,unknown
31,130.83.155.119,3,0,20141009232337,20141009233131,unknown
32,Horst Gräbner,3,3,20140328155234,20170911170818,unknown
33,Stefanbw,3,0,20130724233115,20130724233717,unknown
34,Professor van Dusen,3,0,20071129105217,20071129105851,unknown
35,Junzil,3,0,20080809183402,20080809183654,unknown
36,The Brainstorm,3,1,20090827103601,20170102202636,unknown
37,2003:E8:4BDB:5786:7494:5FC2:A964:F9ED,3,0,20180803015201,20180803022644,unknown
38,Hungchaka,3,3,20170813144829,20170925180153,unknown
39,ArthurBot,3,3,20081128215118,20111107232939,unknown
40,MerlIwBot,3,3,20110722100802,20121122013654,unknown
41,87.167.9.43,3,0,20120808000806,20120808084102,unknown
42,80.152.158.210,3,0,20090320102924,20090325102503,unknown
43,80.237.191.141,2,0,20081210230627,20081210230805,unknown
44,Dalvarez,2,2,20120906161340,20120906161610,unknown
45,85.180.38.66,2,0,20080808150758,20080808150900,unknown
46,TXiKiBoT,2,2,20090518024027,20090605083343,unknown
47,91.114.128.218,2,0,20140328155112,20140328155205,unknown
48,RedBot,2,2,20090312200226,20090621122019,unknown
49,Stewi87,2,0,20111209235356,20111211103511,unknown
50,217.226.13.206,2,0,20080809165655,20080809165829,unknown
51,Fundriver,2,1,20071006123251,20071007051035,unknown
52,Martin Siegert,2,0,20160429201002,20160430192117,unknown
53,Q-ß,2,0,20090325105416,20090505084216,unknown
54,Alnilam,2,2,20150820234718,20150824183624,unknown
55,85.178.85.152,2,0,20071221182108,20071221182337,unknown
56,79.249.5.239,2,0,20110919141627,20110919141738,unknown
57,88.134.179.47,2,0,20170207095848,20170207100045,unknown
58,Nikkis,2,2,20080908132226,20080908132341,unknown
59,BurghardRichter,2,2,20140530140429,20140530141157,unknown
60,Schnabeltassentier,2,2,20160908012037,20180803022737,unknown
61,Rdb,2,2,20070915123412,20070915125436,unknown
62,85.180.46.208,2,0,20080808152616,20080808153001,unknown
63,Don Magnifico,2,0,20090519171115,20090810224028,unknown
64,89.247.70.44,2,0,20100603151955,20100603164200,unknown
65,KnightMove,2,0,20121204075654,20140331080251,unknown
66,Julius Seestett,2,0,20161204180550,20161204180646,unknown
67,Braveheart,2,1,20090613132528,20150209100739,unknown
68,Regi51,2,2,20110919141654,20110919141745,unknown
69,Hardenacke,2,2,20090902084359,20090902084411,unknown
70,95.233.238.5,2,0,20140724143816,20140724161041,unknown
71,87.160.255.249,2,0,20071004181148,20071004184037,unknown
72,KorrekTOM,2,1,20160310122842,20190206164946,unknown
73,Engie,2,2,20080809184112,20080908132432,unknown
74,Reinhard Wenig,2,1,20090827172453,20090827172652,unknown
75,Pittimann,2,2,20110212102342,20120821132436,unknown
76,KomDok,2,0,20140924233302,20140924233832,unknown
77,EH⁴²,2,0,20140530071429,20140530071452,unknown
78,Codc,2,2,20180803015241,20180803020022,unknown
79,WAH,2,1,20070828154842,20070829084849,unknown
80,Eintragung ins Nichts,2,0,20071221200501,20071222123401,unknown
81,91.44.210.76,2,0,20080505195052,20080505195635,unknown
82,89.247.120.89,2,0,20100604053222,20100604053259,unknown
83,Luckas-bot,1,1,20120303110154,20120303110154,unknown
84,Berlow,1,0,20140208120139,20140208120139,unknown
85,2003:62:456D:3301:4D86:1815:FD39:372B,1,0,20150820234621,20150820234621,unknown
86,84.185.34.18,1,0,20170911170728,20170911170728,unknown
87,84.190.246.11,1,0,20071218024831,20071218024831,unknown
88,RonaldH,1,0,20091208222303,20091208222303,unknown
89,92.196.96.172,1,0,20110906145247,20110906145247,unknown
90,Wiki-vr,1,1,20130731163018,20130731163018,unknown
91,129.187.244.28,1,0,20150128070416,20150128070416,unknown
92,C.Löser,1,0,20061216232534,20061216232534,unknown
93,95.91.210.215,1,0,20170120155338,20170120155338,unknown
94,83.124.24.208,1,0,20071129192004,20071129192004,unknown
