,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Hnsjrgnweis,43,2,20161213104548,20180918160849,unknown
1,Häuslebauer,38,8,20080622163454,20160425115215,unknown
2,Allander,26,9,20161121130146,20180324004951,unknown
3,Braveheart,22,4,20051027115308,20180218131735,unknown
4,Bujo,19,0,20150708171341,20160116130259,unknown
5,Boris Fernbacher,18,0,20070407062724,20070409200402,unknown
6,Sitacu,18,5,20170227154114,20190208153919,unknown
7,Phi,17,0,20161116140103,20181115200417,unknown
8,Horst-schlaemma,16,4,20161110104916,20161130141341,unknown
9,Herr Andrax,16,6,20070401155434,20070401173433,unknown
10,Barnos,12,4,20181103152409,20190111072448,unknown
11,62.180.160.54,11,0,20060924014541,20060924023457,unknown
12,Fritzen,10,2,20060117182632,20080906170556,unknown
13,Aka,10,10,20170321202508,20190208201608,unknown
14,Ot,10,0,20170414063322,20190131060230,unknown
15,B.A.Enz,9,8,20130930173229,20170822094710,unknown
16,Mittagsdämon,9,0,20070823005258,20070827110150,unknown
17,Suricata,9,0,20041012081016,20050810081726,unknown
18,Pink Evolution,9,1,20070821003240,20070824165141,unknown
19,Benatrevqre,8,3,20100814163606,20180620182116,unknown
20,Toter Alter Mann,8,7,20100904175350,20110529132151,unknown
21,Gustav von Aschenbach,8,3,20070821133514,20140504124725,unknown
22,Queen of Chaos,8,1,20061029113819,20061029122711,unknown
23,Jesusfreund,6,1,20070409110352,20070410081321,unknown
24,Golden State,6,2,20080821062431,20080829222358,unknown
25,Mekkerma,6,0,20080703091452,20080703120552,unknown
26,Gonzo.Lubitsch,6,1,20141211163137,20160205135731,unknown
27,Louis Wu,6,3,20110330195429,20171128074506,unknown
28,Sambalolec,5,3,20080412144920,20110125220426,unknown
29,Herbert81,5,0,20130502170612,20130930160039,unknown
30,Charmrock,5,0,20100714114053,20100716065216,unknown
31,Casra,5,2,20100925144420,20150727164411,unknown
32,62.180.160.170,5,0,20050614005548,20050614012059,unknown
33,Ilja Lorek,5,3,20160518084243,20170402121721,unknown
34,Gerhardvalentin,4,3,20100318120910,20110517222544,unknown
35,Horst Gräbner,4,2,20160314114133,20190120151811,unknown
36,84.130.206.173,4,0,20050831140251,20050831140722,unknown
37,Lokalpatriot-Tegel,4,0,20070125180336,20070125213405,unknown
38,GünniX,4,4,20150830063458,20181110085711,unknown
